DISTRICT,OILSEED_AREA,OILSEED_PRODUCTION,OILSEED_RATIO,POTATO_AREA,POTATO_PRODUCTION,SUGARCANE_AREA,SUGARCANE_PRODUCTION
TAPLEJUNG,564,627,1.11,3615,42437,0,0
SANKHUWASHAVA,635,540,0.85,3147,39228,70,2100
SOLUKHUMBU,177,108,0.61,10143,153723,0,0
E.MOUNTAIN,1376,1275,0.93,16905,235388,70,2100
PANCHTHAR,622,512,0.82,1830,24119,38,1197
ILLAM,780,700,0.90,6815,90950,13,490
TERHATHUM,450,296,0.66,2780,30880,0,0
DHANKUTA,1062,632,0.60,2048,36460,40,800
BHOJPUR,267,187,0.70,5025,57485,0,0
KHOTANG,2201,1988,0.90,6000,70750,13,227
OKHALDHUNGA,511,255,0.50,2940,31164,5,250
UDAYAPUR,5157,3565,0.69,862,10792,0,0
E.HILLS,11050,8135,0.74,28300,352600,109,2964
JHAPA,3500,3852,1.10,10140,163820,205,6500
MORANG,13250,12470,0.94,5750,11025,2150,141900
SUNSARI,8487,6762,0.80,2510,33860,3300,185130
SAPTARI,4200,3440,0.82,5150,62904,40,1600
SIRAHA,6655,2361,0.35,1615,19380,1850,83250
E.TERAI,36092,28885,0.80,25165,290989,7545,418380
E.REGION,48518,38294,0.79,70370,878977,7724,423444
DOLAKHA,300,260,0.87,2505,27004,5,203
SINDHUPALCHOK,477,438,0.92,5033,62154,10,190
RASUWA,30,23,0.77,2560,36967,0,0
C.MOUNTAIN,807,722,0.89,10098,126125,15,393
RAMECHAP,501,296,0.59,3050,32903,0,0
SINDHULI,5492,4904,0.89,1750,17500,11,490
KAVRE,1910,1950,1.02,9695,179357.5,27,642
BHAKTAPUR,250,251,1.00,1528,23939,0,0
LALITPUR,2220,1816,0.82,975,18891,0,0
KATHMANDU,85,78,0.92,2580,48010,10,253
NUWAKOT,778,744,0.96,2850,52720,115,4000
DHADING,665,530,0.80,1660,23672,50,2575
MAKWANPUR,1534,1687,1.10,4858,67217,95,3250
C.HILLS,13435,12256,0.91,28946,464210,297,10720
DHANUSHA,3402,2006,0.59,2325,30225,3605,151410
MAHOTTARI,3115,2676,0.86,3550,41180,6500,260250
SARLAHI,6100,4638,0.76,1350,19980,17100,769500
RAUTAHAT,10450,8648,0.83,2420,44286,9050,362000
BARA,2750,3002,1.09,9895,168909,2160,90720
PARSA,6987,6229,0.89,1200,16400,930,36400
C.TERAI,45184,37904,0.84,22635,356037,39395,1672780
C.REGION,59426,50881,0.86,61679,946372,39707,1683893
MANANG,0,0,0.00,745,6894,0,0
MUSTANG,30,25,0.83,250,3200,0,0
W.MOUNTAIN,30,25,0.83,995,10094,0,0
GORKHA,716,720,1.01,2462,32672,62,1200
LAMJUNG,716,680,0.95,1836,20060,30,900
TANAHU,673,429,0.64,775,7080,58,1438
KASKI,568,435,0.77,1679,19734,32,1225
PARBAT,317,241,0.76,1516,21602,10,340
SYANGJA,266,197,0.74,850,10288,20,405
PALPA,917,713,0.78,720,9560,50,1500
MYAGDI,323,302,0.93,1580,18989,21,375
BAGLUNG,862,732,0.85,1397,18302,3,125
GULMI,530,636,1.20,445,5216,83,2420
ARGHAKHANCHI,1442,1303,0.90,775,9371,6,120
W.HILLS,7330,6388,0.87,14015,174574,375,10048
NAWALPARASI,7462,4698,0.63,1145,12366,7250,330250
RUPANDEHI,7225,7096,0.98,3865,53475,500,25000
KAPILBASTU,4130,3320,0.80,2410,34010,5300,315000
W.TERAI,18817,15114,0.80,7420,99851,13050,670250
W.REGION,26177,21527,0.82,22430,284519,13425,680298
DOLPA,19,15,0.79,925,9225,0,0
MUGU,26,16,0.62,610,6110,0,0
HUMLA,24,16,0.67,700,6825,0,0
JUMLA,85,68,0.80,2615,26150,0,0
KALIKOT,191,103,0.54,525,6127.5,0,0
MW.MOUNTAIN,345,218,0.63,5375,54438,0,0
RUKUM,770,643,0.84,1655,20431,5,100
ROLPA,332,271,0.82,1797,19929,15,300
PYUTHAN,953,1127,1.18,890,13395,22,495
SALYAN,1092,832,0.76,860,8910,12,350
JAJARKOT,1167,769,0.66,625,9211,10,250
DAILEKH,804,744,0.93,1600,20320,25,750
SURKHET,4071,3375,0.83,1177,22502,35,725
MW.HILLS,9189,7761.4,0.84,8604,114698,124,2970
DANG,19515,17025,0.87,2200,28500,40,1000
BANKE,10212,9177,0.90,2365,35380,55,2220
BARDIYA,10375,9380,0.90,4000,56000,250,10250
MW.TERAI,40102,35582,0.89,8565,119880,345,13470
BAJURA,435,245,0.56,725,7050,141,4000
BAJHANG,250,224,0.90,1030,9682,15,380
DARCHULA,140,112,0.80,716,9215,31,992
FW.MOUNTAIN,825,581,0.70,2471,25947,187,5372
ACHHAM,1276,1129,0.88,400,3980,0,0
DOTI,693,590,0.85,2400,32550,15,525
BAITADI,335,250,0.75,680,16441,300,11850
DADELDHURA,507,395,0.78,800,11750,0,0
FW.HILLS,2811,2364,0.84,4280,64721,315,12375
KAILALI,21100,16745,0.79,5000,75000,205,9225
KANCHANPUR,6342,5192,0.82,1476,19750,2440,99000
FW.TERAI,27442,21937,0.80,6476,94750,2645,108225
FW.REGION,31078,24882,0.80,13227,185418,3147,125972
