DISTRICT,OILSEED_AREA,OILSEED_PRODUCTION,OILSEED_RATIO,POTATO_AREA,POTATO_PRODUCTION,POTATO_RATIO,SUGARCANE_AREA,SUGARCANE_PRODUCTION,SUGARCANE_RATIO,TOTAL POPULATION(2001),TOTAL AREA(KM2),TOTAL ROAD LENGTH(KM.),POPULATION INFLUENCED PER KM. ROAD(NOS.) ,ROAD DENSITY (KM/100 KM2),OVERALL TOTAL,IRRIGABLE TOTAL,IRRIGATED TOTAL (HA),HOUSEHOLD     *,POPULATION TOTAL,POPULATION MALE,POPULATION FEMALE,AREA IN SQ. KM.,AVERAGE HOUSE-HOLD SIZE,SEX RATIO,POPULATION DENSITY
PALPA,917,713,0.78,720,9560,13.28,50,1500,30,268558,1373,128.59,2088,9,30354,8857,4026,59291,261180,115840,145340,1373,4.41,79.7,190.23
RUKUM,770,643,0.84,1655,20431,12.35,5,100,20,188438,2877,52.4,3596,2,23592,4170,2098,41856,208567,99159,109408,2877,4.98,90.63,72.49
DHANKUTA,1062,632,0.6,2048,36460,17.8,40,800,20,166479,891,132.14,1260,15,26797,7495,5258,37637,163412,76515,86897,891,4.34,88.05,183.4
SYANGJA,266,197,0.74,850,10288,12.1,20,405,20.25,317320,1164,137.94,2300,12,31018,9848,4071,68881,289148,125833,163315,1164,4.2,77.05,248.41
MUGU,26,16,0.62,610,6110,10.02,0,0,0,43937,3535,0,0,0,9616,2030,990,9619,55286,28025,27261,3535,5.75,102.8,15.64
SINDHUPALCHOK,477,438,0.92,5033,62154,12.35,10,190,19,305857,2542,161.65,1892,6,33820,12276,8101,66688,287798,138351,149447,2542,4.32,92.58,113.22
SALYAN,1092,832,0.76,860,8910,10.36,12,350,29.17,213500,1462,166.66,1281,11,28033,5282,2836,46556,242444,115969,126475,1462,5.21,91.69,165.83
KALIKOT,191,103,0.54,525,6127.5,11.67,0,0,0,105580,1741,64,1650,4,13126,3084,1741,23013,136948,68833,68115,1741,5.95,101.05,78.66
DARCHULA,140,112,0.8,716,9215,12.87,31,992,32,121996,2322,71.42,1708,3,13201,4239,2334,24618,133274,63605,69669,2322,5.41,91.3,57.4
KASKI,568,435,0.77,1679,19734,11.75,32,1225,38.28,380527,2017,112.96,3369,6,31405,15960,10788,125673,492098,236385,255713,2017,3.92,92.44,243.98
DAILEKH,804,744,0.93,1600,20320,12.7,25,750,30,225201,1502,172,1309,11,28373,7075,2908,48919,261770,126990,134780,1502,5.35,94.22,174.28
