DISTRICT,OILSEED_AREA,OILSEED_PRODUCTION,OILSEED_RATIO,POTATO_AREA,POTATO_PRODUCTION,POTATO_RATIO,SUGARCANE_AREA,SUGARCANE_PRODUCTION,SUGARCANE_RATIO,TOTAL POPULATION(2001),TOTAL AREA(KM2),TOTAL ROAD LENGTH(KM.),POPULATION INFLUENCED PER KM. ROAD(NOS.) ,ROAD DENSITY (KM/100 KM2),OVERALL TOTAL,IRRIGABLE TOTAL,IRRIGATED TOTAL (HA)
RASUWA,30,23,0.77,2560,36967,14.44,0,0,0,44731,1544,50.5,886,3,5201,836,1646
KAPILBASTU,4130,3320,0.8,2410,34010,14.11,5300,315000,59.43,481976,1738,222.97,2162,13,84785,84453,32786
DOLAKHA,300,260,0.87,2505,27004,10.78,5,203,40.6,204229,2191,136.68,1494,6,24042,4911,5211
DOTI,693,590,0.85,2400,32550,13.56,15,525,35,207066,2025,141.76,1461,7,27562,10468,3145
TANAHU,673,429,0.64,775,7080,9.14,58,1438,24.79,315237,1546,132.41,2381,9,33972,14496,9083
BHAKTAPUR,250,251,1,1528,23939,15.67,0,0,0,225461,119,97.47,2313,82,7223,6274,4319
OKHALDHUNGA,511,255,0.5,2940,31164,10.6,5,250,50,156702,1074,47,3334,4,24151,4478,3609
GORKHA,716,720,1.01,2462,32672,13.27,62,1200,19.35,288134,3610,88.34,3262,2,33914,11027,4008
MORANG,13250,12470,0.94,5750,11025,1.92,2150,141900,66,843220,1855,214.22,3936,12,102938,99959,90877
BARA,2750,3002,1.09,9895,168909,17.07,2160,90720,42,559135,1190,165.13,3386,14,61766,60390,55455
KALIKOT,191,103,0.54,525,6127.5,11.67,0,0,0,105580,1741,64,1650,4,13126,3084,1741
SARLAHI,6100,4638,0.76,1350,19980,14.8,17100,769500,45,635701,1259,181.42,3504,14,73710,73521,71173
PARBAT,317,241,0.76,1516,21602,14.25,10,340,34,157826,494,37.11,4253,8,15231,6455,3558
ROLPA,332,271,0.82,1797,19929,11.09,15,300,20,210004,1879,153.79,1366,8,29651,3980,1047
RAMECHHAP,501,296,0.59,3050,32903,10.79,0,0,0,212408,1546,77,2759,5,32276,4248,5391
