DISTRICT,HOUSEHOLD     *,POPULATION TOTAL,POPULATION MALE,POPULATION FEMALE,AREA IN SQ. KM.,AVERAGE HOUSE-HOLD SIZE,SEX RATIO,POPULATION DENSITY
,,,,,,,,
,,,,,,,,
,,,,,,,,
TAPLEJUNG,26509,127461,60552,66909,3646,4.81,90.5,34.96
,,,,,,,,
PANCHTHAR,41196,191817,90186,101631,1241,4.66,88.74,154.57
,,,,,,,,
ILAM,64502,290254,141126,149128,1703,4.5,94.63,170.44
,,,,,,,,
JHAPA,184552,812650,385096,427554,1606,4.4,90.07,506.01
,,,,,,,,
MORANG,213997,965370,466712,498658,1855,4.51,93.59,520.42
,,,,,,,,
SUNSARI,162407,763487,371229,392258,1257,4.7,94.64,607.39
,,,,,,,,
DHANKUTA,37637,163412,76515,86897,891,4.34,88.05,183.4
,,,,,,,,
TERHATHUM,22094,101577,47151,54426,679,4.6,86.63,149.6
,,,,,,,,
SANKHUWASAVA,34624,158742,75225,83517,3480,4.58,90.07,45.62
,,,,,,,,
BHOJPUR,39419,182459,86053,96406,1507,4.63,89.26,121.07
,,,,,,,,
SOLUKHUMBU,23785,105886,51200,54686,3312,4.45,93.63,31.97
,,,,,,,,
OKHALDHUNGA,32502,147984,68687,79297,1074,4.55,86.62,137.79
,,,,,,,,
KHOTANG,42664,206312,97092,109220,1591,4.84,88.9,129.67
,,,,,,,,
UDAYAPUR,66557,317532,149712,167820,2063,4.77,89.21,153.92
,,,,,,,,
SAPTARI,121098,639284,313846,325438,1363,5.28,96.44,469.03
,,,,,,,,
SIRAHA,117962,637328,310101,327227,1188,5.4,94.77,536.47
,,,,,,,,
DHANUSHA,138249,754777,378538,376239,1180,5.46,100.61,639.64
,,,,,,,,
MAHOTTARI,111316,627580,311016,316564,1002,5.64,98.25,626.33
,,,,,,,,
SARLAHI,132844,769729,389756,379973,1259,5.79,102.57,611.38
,,,,,,,,
SINDHULI,57581,296192,142123,154069,2491,5.14,92.25,118.9
,,,,,,,,
RAMECHHAP,43910,202646,93386,109260,1546,4.62,85.47,131.08
,,,,,,,,
DOLAKHA,45688,186557,87003,99554,2191,4.08,87.39,85.15
,,,,,,,,
SINDHUPALCHOK,66688,287798,138351,149447,2542,4.32,92.58,113.22
,,,,,,,,
KAVREPALANCHOK,80720,381937,182936,199001,1396,4.73,91.93,273.59
,,,,,,,,
LALITPUR,109797,468132,238082,230050,385,4.26,103.49,1215.93
,,,,,,,,
BHAKTAPUR,68636,304651,154884,149767,119,4.44,103.42,2560.09
,,,,,,,,
KATHMANDU,436344,1744240,913001,831239,395,4,109.84,4415.8
,,,,,,,,
NUWAKOT,59215,277471,132787,144684,1121,4.69,91.78,247.52
,,,,,,,,
RASUWA,9778,43300,21475,21825,1544,4.43,98.4,28.04
,,,,,,,,
DHADING,73851,336067,157834,178233,1926,4.55,88.55,174.49
,,,,,,,,
MAKWANPUR,86127,420477,206684,213793,2426,4.88,96.67,173.32
,,,,,,,,
RAUTAHAT,106668,686722,351079,335643,1126,6.44,104.6,609.88
,,,,,,,,
BARA,108635,687708,351244,336464,1190,6.33,104.39,577.91
,,,,,,,,
