DISTRICT,OVERALL TOTAL,IRRIGABLE TOTAL,IRRIGATED TOTAL (HA)
,,,
JHAPA,109529,109530,91319
,,,
MORANG,102938,99959,90877
,,,
SAPTARI,76949,76950,56863
,,,
SIRAHA,77726,77726,39967
,,,
SUNSARI,71757,70629,66072
,,,
EASTERN TERAI,438899,434794,345097
,,,
BHOJPUR,34676,6820,2584
,,,
DHANKUTA,26797,7495,5258
,,,
ILAM,36405,12742,6877
,,,
KHOTANG,37950,8859,4886
,,,
OKHALDHUNGA,24151,4478,3609
,,,
PANCHTHAR,32252,7241,8693
,,,
TERHATHUM,21662,6282,4939
,,,
UDAYAPUR,30773,18408,12271
,,,
EASTERN HILL,244666,72325,49117
,,,
SANKHUWASAVA,25972,5170,6337
,,,
SOLUKHUMBU,17734,2038,3882
,,,
TAPLEJUNG,22102,7443,7775
,,,
EASTERN MOUNTAIN,65808,14651,17994
,,,
EASTERN REGION,749373,521770,412207
,,,
BARA,61766,60390,55455
,,,
CHITWAN,44537,41963,30679
,,,
DHANUSHA,72925,72925,46171
,,,
MAHOTTARI,60649,60633,37577
,,,
PARSA,48374,48374,29986
,,,
RAUTAHAT,56390,56141,57653
,,,
SARLAHI,73710,73521,71173
,,,
CENTRAL TERAI,418351,413947,328694
,,,
BHAKTAPUR,7223,6274,4319
,,,
DHADING,36190,10839,7759
,,,
KATHMANDU,17104,14069,5149
,,,
KAVREPALANCHOK,29921,7958,4414
,,,
LALITPUR,11068,7425,4924
,,,
MAKWANPUR,35776,23502,3507
,,,
NUWAKOT,31783,15047,6473
,,,
RAMECHHAP,32276,4248,5391
,,,
SINDHULI,34333,20652,10898
,,,
CENTRAL HILL,235674,110014,52835
,,,
DOLAKHA,24042,4911,5211
,,,
RASUWA,5201,836,1646
,,,
SINDHUPALCHOK,33820,12276,8101
,,,
C. MOUNTAIN,63063,18023,14958
,,,
CENTRAL REGION,717088,541984,396486
,,,
KAPILBASTU,84785,84453,32786
,,,
NAWALPARASI,55238,50690,41563
,,,
RUPANDEHI,88416,87979,81158
,,,
WESTERN  TERAI,228439,223122,155507
,,,
ARGHAKHANCHI,20020,4799,2914
,,,
BAGLUNG,26522,7780,1938
,,,
GORKHA,33914,11027,4008
,,,
GULMI,25606,4240,2554
,,,
KASKI,31405,15960,10788
,,,
LAMJUNG,23848,11937,4943
,,,
MYAGDI,15740,3685,1742
,,,
PALPA,30354,8857,4026
,,,
PARBAT,15231,6455,3558
,,,
SYANGJA,31018,9848,4071
,,,
TANAHU,33972,14496,9083
,,,
WESTERN  HILL,287630,99084,44214
,,,
MANANG,718,121,353
,,,
MUSTANG,4221,159,1396
,,,
W. MOUNTAIN,4939,280,1749
,,,
WESTERN  REGION,521008,322486,201470
,,,
BANKE,49525,48550,19002
,,,
BARDIYA,52836,52660,42895
,,,
DANG,64522,59505,40212
,,,
MW TERAI,166883,160715,102109
,,,
DAILEKH,28373,7075,2908
,,,
JAJARKOT,21114,4143,1517
,,,
PYUTHAN,23197,7037,4159
,,,
ROLPA,29651,3980,1047
,,,
RUKUM,23592,4170,2098
,,,
SALYAN,28033,5282,2836
,,,
SURKHET,31231,19275,10893
,,,
MW HILL,185191,50962,25458
,,,
DOLPA,4996,544,1178
,,,
HUMLA,4983,969,582
,,,
JUMLA,12642,4765,1615
,,,
KALIKOT,13126,3084,1741
,,,
MUGU,9616,2030,990
,,,
MW MOUNTAIN,45363,11392,6106
,,,
MW REGION,397437,223069,133673
,,,
KAILALI,66723,64112,58029
,,,
KANCHANPUR,40970,40891,30788
,,,
FW TERAI,107693,105003,88817
,,,
ACHHAM,31982,10972,3371
,,,
BAITADI,25543,7450,2900
,,,
DADELDHURA,16032,7266,2764
,,,
DOTI,27562,10468,3145
,,,
FW  HILL,101119,36156,12180
,,,
BAJHANG,22642,7549,3050
,,,
BAJURA,12181,3584,4055
,,,
DARCHULA,13201,4239,2334
,,,
FWMOUNTAIN,48024,15372,9439
,,,
FW REGION,256836,156531,110436
,,,
TOTAL,2641742,1765840,1254272
