SN, DISTRICT/ZONE/REGION,TOTAL POPULATION(2001),TOTAL AREA(KM2),TOTAL ROAD LENGTH(KM.),POPULATION INFLUENCED PER KM. ROAD(NOS.) ,ROAD DENSITY (KM/100 KM2)
,,,,,,
1, TAPLEJUNG ,134698,3646,25.5,5282,1
,,,,,,
2, PANCHTHAR ,202056,1241,145.4,1390,12
,,,,,,
3, ILAM ,282806,1703,228.45,1238,13
,,,,,,
4, JHAPA ,688109,1606,196.6,3500,12
,,,,,,
TOTAL IN MECHI ZONE ,,1307669,8196,595.95,2194,7
,,,,,,
5, MORANG ,843220,1855,214.22,3936,12
,,,,,,
6, SUNSARI ,625633,1257,191.03,3275,15
,,,,,,
7, DHANKUTA ,166479,891,132.14,1260,15
,,,,,,
8, TERHATHUM ,113111,679,32.89,3439,5
,,,,,,
9, SANKHUWASAVA ,159203,3480,76.7,2076,2
,,,,,,
10, BHOJPUR ,203018,1507,50,0,3
,,,,,,
TOTAL IN KOSHI ZONE ,,2110664,9669,696.98,3028,7
,,,,,,
11, SOLUKHUMBU ,107686,3312,0,0,0
,,,,,,
12, OKHALDHUNGA ,156702,1074,47,3334,4
,,,,,,
13, KHOTANG ,231385,1591,71,0,4
,,,,,,
14, UDAYAPUR ,287689,2063,179.86,1600,9
,,,,,,
15, SAPTARI ,570282,1363,239.5,2381,18
,,,,,,
16, SIRAHA ,572399,1188,143.93,3977,12
,,,,,,
TOTAL IN SAGARMATHA ZONE ,,1926143,10591,681.29,2827,6
,,,,,,
TOTAL IN EASTERN REGION ,,5344476,28456,1974.22,2707,7
,,,,,,
17, DHANUSA ,671364,1180,189.21,3548,16
,,,,,,
18, MAHOTTARI ,553481,1002,185.29,2987,18
,,,,,,
19, SARLAHI ,635701,1259,181.42,3504,14
,,,,,,
20, SINDHULI ,279821,2491,89,3144,4
,,,,,,
21, RAMECHHAP ,212408,1546,77,2759,5
,,,,,,
22, DOLAKHA ,204229,2191,136.68,1494,6
,,,,,,
TOTAL IN JANAKPUR ZONE ,,2557004,9669,858.6,2978,9
,,,,,,
23, SINDHUPALCHOK ,305857,2542,161.65,1892,6
,,,,,,
24, KAVREPALANCHOK ,385672,1396,147.32,2618,11
,,,,,,
25, LALITPUR ,337785,385,113.01,2989,29
,,,,,,
26, BHAKTAPUR ,225461,119,97.47,2313,82
,,,,,,
27, KATHMANDU ,1081845,395,214.69,5039,54
,,,,,,
28, NUWAKOT ,288478,1121,135.71,2126,12
,,,,,,
29, RASUWA ,44731,1544,50.5,886,3
,,,,,,
30, DHADING ,338658,1926,145.88,2321,8
,,,,,,
TOTAL IN BAGMATI ZONE ,,3008487,9428,1066.23,2822,11
,,,,,,
31, MAKWANPUR ,392604,2426,278.54,1410,11
,,,,,,
32, RAUTAHAT ,545132,1126,87.83,6207,8
,,,,,,
33, BARA ,559135,1190,165.13,3386,14
,,,,,,
34, PARSA ,497219,1353,37.62,13217,3
,,,,,,
35, CHITWAN ,472048,2218,190.39,2479,9
,,,,,,
TOTAL IN NARAYANI ZONE ,,2466138,8313,759.51,3247,9
,,,,,,
TOTAL IN CENTRAL REGION ,,8031629,27410,2684.34,2992,10
,,,,,,
36, GORKHA ,288134,3610,88.34,3262,2
,,,,,,
37, LAMJUNG ,177149,1692,57.87,3061,3
,,,,,,
38, TANAHU ,315237,1546,132.41,2381,9
,,,,,,
39, SYANGJA ,317320,1164,137.94,2300,12
,,,,,,
40, KASKI ,380527,2017,112.96,3369,6
,,,,,,
41, MANANG ,9587,2246,18,0,1
,,,,,,
TOTAL IN GANDAKI ZONE ,,1487954,12275,547.52,2718,4
,,,,,,
42, MUSTANG ,14981,3573,43,0,1
,,,,,,
43, MYAGDI ,114447,2297,26,4402,1
,,,,,,
44, PARBAT ,157826,494,37.11,4253,8
,,,,,,
45,BAGLUNG,268937,1784,102.13,2633,6
,,,,,,
TOTAL IN DHAULAGIRI ZONE,556191,8148,208.24,2671,3,
,,,,,,
46,GULMI,296654,1149,110.54,2684,10
,,,,,,
47,PALPA,268558,1373,128.59,2088,9
,,,,,,
48,NAWALPARASI,562870,2162,192.33,2927,9
,,,,,,
49,RUPANDEHI,708419,1360,152.44,4647,11
,,,,,,
50,KAPILBASTU,481976,1738,222.97,2162,13
,,,,,,
51,ARGHAKHANCHI,208391,1193,102.91,2025,9
,,,,,,
TOTAL IN LUMBINI ZONE,,2526868,8975,909.78,2777,10
,,,,,,
TOTAL IN WESTERN REGION,,4571013,29398,1665.54,2744,6
,,,,,,
52,PYUTHAN,212484,1309,172,1235,13
,,,,,,
53,ROLPA,210004,1879,153.79,1366,8
,,,,,,
54,RUKUM,188438,2877,52.4,3596,2
,,,,,,
55,SALYAN,213500,1462,166.66,1281,11
,,,,,,
56,DANG,462380,2955,355.78,1300,12
,,,,,,
TOTAL IN RAPTI ZONE,,1286806,10482,900.63,1429,9
