STRICT,POTATO_RATIO,TOTAL ROAD LENGTH(KM.),IRRIGATED RATIO
PALPA,13.28,128.59,0.1326349081
RUKUM,12.35,52.4,0.0889284503
DHANKUTA,17.8,132.14,0.1962159943
SYANGJA,12.1,137.94,0.1312463731
MUGU,10.02,0,0.102953411
SINDHUPALCHOK,12.35,161.65,0.2395328208
SALYAN,10.36,166.66,0.1011664824
KALIKOT,11.67,64,0.1326375133
DARCHULA,12.87,71.42,0.1768047875
KASKI,11.75,112.96,0.3435121796
DAILEKH,12.7,172,0.1024918056
UDAYAPUR,12.52,179.86,0.3987586521
TANAHU,9.14,132.41,0.2673672436
HUMLA,9.75,30,0.1167971102
LAMJUNG,10.93,57.87,0.20727105
MORANG,1.92,214.22,0.8828323845
BARA,17.07,165.13,0.8978240456
DHANUSHA,13,189.21,0.633129928
KAVREPALANCHOK,18.5,147.32,0.1475218074
DHADING,14.26,145.88,0.2143962421
PANCHTHAR,13.18,145.4,0.2695336723
SURKHET,19.12,231.14,0.3487880631
RAMECHHAP,10.79,77,0.1670281324
PARBAT,14.25,37.11,0.2336025212
MANANG,9.25,18,0.491643454
RASUWA,14.44,50.5,0.3164776005
MUSTANG,12.8,43,0.3307273158
MAHOTTARI,11.6,185.29,0.6195815265
DADELDHURA,14.69,141.08,0.1724051896
KANCHANPUR,13.38,155.42,0.7514766903
BAJHANG,9.4,76,0.1347054147
PARSA,13.67,37.62,0.6198784471
JUMLA,10,36,0.1277487739
JHAPA,16.16,196.6,0.8337426618
GULMI,11.72,110.54,0.0997422479
SARLAHI,14.8,181.42,0.9655813322
JAJARKOT,14.74,34,0.0718480629
NUWAKOT,18.5,135.71,0.2036623352
DANG,12.95,355.78,0.6232292861
SIRAHA,12,143.93,0.5142037413
PYUTHAN,15.05,172,0.1792904255
MYAGDI,12.02,26,0.1106734435
SOLUKHUMBU,15.16,0,0.2189015451
SAPTARI,12.21,239.5,0.7389699671
SUNSARI,13.49,191.03,0.9207742799
KAPILBASTU,14.11,222.97,0.3866957599
BANKE,14.96,226.41,0.3836850076
DOLAKHA,10.78,136.68,0.216745695
KATHMANDU,18.61,214.69,0.3010406922
RAUTAHAT,18.3,87.83,1.0223975882
KAILALI,15,269.6,0.8697001034
BHOJPUR,11.44,50,0.0745183989
DOLPA,9.97,0,0.2357886309
BAJURA,9.72,16,0.332895493
MAKWANPUR,13.84,278.54,0.09802661
GORKHA,13.27,88.34,0.1181812821
ARGHAKHANCHI,12.09,102.91,0.1455544456
LALITPUR,19.38,113.01,0.4448861583
BAGLUNG,13.1,102.13,0.0730714124
NAWALPARASI,10.8,192.33,0.752434918
BHAKTAPUR,15.67,97.47,0.5979509899
OKHALDHUNGA,10.6,47,0.149434806
TERHATHUM,11.11,32.89,0.2280029545
ACHHAM,9.95,139,0.1054030392
TAPLEJUNG,11.74,25.5,0.3517781196
DOTI,13.56,141.76,0.1141063783
SANKHUWASAVA,12.47,76.7,0.2439935315
BARDIYA,14,189.32,0.8118517677
RUPANDEHI,13.84,152.44,0.9179107854
KHOTANG,11.79,71,0.1287483531
SINDHULI,10,89,0.3174205575
ILAM,13.35,228.45,0.1889026233
ROLPA,11.09,153.79,0.0353107821
BAITADI,24.18,181.5,0.1135340406
