DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
ACHHAM,BABALA,531,1,0,0,0,0,0,7,469,0,0,9,47,7,0,7,528,1,0,0,0,10,252,287,232,2,1,1,0,4,184,0,1,0,1,1,0,539,2813,1243,1570,5.2189239332096475,79.171974522293,0,1,1,117,414,6,527,1,1,0,0,0,10,520,9,2,8,559,710,474,513,82,187,3,10,2677,1181,1496,70,32,38,26,12,14,17,7,10,6,2,4,6,3,3,6,3,3,2,2,0,3,1,2,99,43,56,713,354,359,268,159,109,137,82,55,117,90,27,67,49,18,9,9,0,2,2,0,1,0,1,99,53,46,1,1,0,2446,1069,1377,1447,810,637,83,39,44,913,218,695,3,2,1,59.157808667211775,75.77174929840973,46.25998547567175,43,0,485,1,0,0,0,10,56,362,114,7
ACHHAM,BAIJINATH,267,0,15,0,0,0,0,4,155,28,26,26,16,32,0,3,278,3,1,0,0,4,57,218,165,30,46,10,4,5,188,0,3,1,0,0,11,286,1271,583,688,4.444055944055944,84.73837209302324,183,2,0,3,94,4,265,16,0,1,0,0,4,275,4,3,4,245,296,225,243,20,53,0,0,1245,568,677,12,9,3,4,2,2,4,2,2,0,0,0,2,0,2,2,0,2,0,0,0,2,2,0,61,26,35,289,149,140,179,95,84,90,46,44,68,40,28,89,60,29,31,26,5,9,9,0,1,1,0,31,13,18,0,0,0,1150,516,634,826,460,366,11,4,7,310,51,259,3,1,2,71.82608695652173,89.14728682170544,57.72870662460568,21,39,214,8,0,0,0,4,126,154,2,4
ACHHAM,BANNATOLI,596,0,0,0,0,0,0,4,373,1,1,5,215,1,0,4,591,1,0,3,0,5,369,218,120,11,2,0,0,4,186,0,1,0,0,0,13,600,2933,1312,1621,4.888333333333334,80.9376927822332,3,0,0,173,423,1,590,1,1,0,0,0,8,592,2,0,6,598,762,477,502,110,241,11,19,2844,1273,1571,41,12,29,15,6,9,21,12,9,0,0,0,5,4,1,4,2,2,0,0,0,3,3,0,178,94,84,725,367,358,308,178,130,119,79,40,117,81,36,46,37,9,10,10,0,4,1,3,2,2,0,119,46,73,17,6,11,2489,1087,1402,1505,831,674,29,7,22,955,249,706,0,0,0,60.466050622740056,76.44894204231831,48.074179743223965,111,4,482,0,0,0,0,3,548,36,12,4
ACHHAM,BARADADIVI,824,0,1,6,2,0,0,0,307,0,2,85,439,0,0,0,825,3,0,2,1,2,402,431,208,40,6,4,2,6,347,0,2,1,0,1,0,833,4452,2022,2430,5.34453781512605,83.20987654320989,243,14,113,37,426,0,814,7,8,0,0,1,3,787,40,3,3,986,1152,774,759,191,354,21,39,4424,2008,2416,6,4,2,6,3,3,10,6,4,0,0,0,2,0,2,4,1,3,0,0,0,0,0,0,99,52,47,1203,629,574,398,233,165,230,147,83,144,103,41,105,72,33,22,18,4,3,3,0,11,5,6,54,37,17,27,13,14,3869,1730,2139,2236,1279,957,53,29,24,1580,422,1158,0,0,0,57.79271129490825,73.9306358381503,44.74053295932679,122,26,673,4,0,0,5,3,741,65,27,0
ACHHAM,BASTI,661,0,0,0,3,0,0,4,467,1,37,32,116,9,2,4,643,2,0,18,0,5,322,334,319,4,0,1,0,1,69,0,0,0,0,0,12,668,3716,1739,1977,5.562874251497006,87.9615579160344,6,1,4,108,545,4,644,1,8,10,0,0,5,657,2,0,9,844,970,563,466,270,494,11,10,3665,1707,1958,15,8,7,6,2,4,15,12,3,0,0,0,5,4,1,3,1,2,1,1,0,6,4,2,178,100,78,839,474,365,245,176,69,103,83,20,70,58,12,40,30,10,15,14,1,1,1,0,0,0,0,105,49,56,6,1,5,3207,1478,1729,1489,922,567,35,16,19,1683,540,1143,0,0,0,46.42968506392267,62.38159675236806,32.79352226720648,364,4,296,0,0,0,0,4,645,11,8,4
ACHHAM,BATULASEN,697,0,0,2,1,0,0,5,425,0,0,8,242,12,13,5,698,0,0,1,0,6,214,490,468,1,0,1,0,17,146,0,0,0,0,0,1,705,4199,2027,2172,5.9560283687943265,93.32412523020258,24,13,0,180,483,5,697,1,0,0,0,0,7,702,1,0,2,999,1069,788,722,199,338,12,9,4006,1935,2071,96,50,46,51,18,33,16,7,9,1,1,0,2,1,1,9,5,4,5,3,2,13,7,6,43,25,18,1230,658,572,419,285,134,252,169,83,69,55,14,73,60,13,19,17,2,6,6,0,3,1,2,163,64,99,1,1,0,3637,1746,1891,2182,1293,889,143,65,78,1261,376,885,51,12,39,59.994500962331585,74.05498281786942,47.01216287678477,5,1,692,0,0,0,0,7,28,604,68,5
ACHHAM,BAYALA,744,0,0,2,2,0,0,11,264,0,26,3,437,18,0,11,743,5,0,0,0,11,299,457,389,12,1,1,0,5,271,2,1,0,3,0,3,759,3948,1832,2116,5.201581027667984,86.57844990548205,1,7,1,284,455,11,718,9,3,0,18,0,11,737,21,0,1,906,1027,730,639,169,375,7,13,3825,1764,2061,47,28,19,31,11,20,22,14,8,2,1,1,13,9,4,1,1,0,4,3,1,3,1,2,222,119,103,904,474,430,367,245,122,218,148,70,68,50,18,93,73,20,24,20,4,3,3,0,7,5,2,12,3,9,4,2,2,3426,1573,1853,1740,1062,678,104,44,60,1577,465,1112,5,2,3,50.78809106830122,67.51430387794024,36.58931462493254,42,34,658,4,5,2,0,14,394,106,248,11
ACHHAM,BHAGYASWORI,241,0,1,0,1,0,0,0,37,1,1,10,192,0,2,0,242,0,0,0,0,1,1,159,113,64,0,0,0,0,142,0,0,0,0,0,83,243,1091,461,630,4.489711934156379,73.17460317460316,154,4,0,1,84,0,237,5,0,0,0,0,1,233,5,0,5,194,248,171,203,22,44,1,1,1080,457,623,3,1,2,4,2,2,1,0,1,0,0,0,0,0,0,2,1,1,0,0,0,1,0,1,40,26,14,214,109,105,161,80,81,103,54,49,86,52,34,49,32,17,17,14,3,5,4,1,2,2,0,30,6,24,0,0,0,988,410,578,691,372,319,14,5,9,283,33,250,0,0,0,69.93927125506073,90.73170731707317,55.19031141868512,49,26,164,3,0,0,0,1,4,238,1,0
ACHHAM,BHAIRABSTHAN,810,2,0,0,0,0,0,8,554,1,2,34,194,27,0,8,797,1,0,13,0,9,223,586,491,4,1,0,0,9,339,0,0,0,0,0,11,820,4382,2111,2271,5.34390243902439,92.95464553060326,1,6,0,393,412,8,794,2,14,0,1,0,9,816,3,0,1,1015,1152,766,738,248,410,1,4,4013,1905,2108,250,136,114,39,23,16,35,19,16,1,0,1,11,5,6,3,1,2,8,5,3,22,17,5,201,93,108,1001,543,458,515,308,207,248,173,75,91,76,15,80,66,14,22,21,1,3,3,0,4,2,2,83,60,23,9,3,6,3774,1810,1964,2042,1248,794,141,60,81,1590,501,1089,1,1,0,54.10704822469528,68.95027624309392,40.42769857433808,420,75,296,2,1,17,0,9,679,98,35,8
ACHHAM,BHATAKATIYA,819,0,0,0,1,0,0,8,799,0,1,13,7,0,0,8,816,0,0,0,0,12,446,355,333,10,0,2,1,3,85,0,0,0,0,0,27,828,4653,2254,2399,5.619565217391305,93.95581492288454,308,8,0,38,466,8,813,3,0,0,0,0,12,823,3,0,2,1023,1149,769,684,233,437,21,28,4543,2182,2361,51,37,14,19,11,8,17,9,8,2,2,0,5,1,4,6,4,2,0,0,0,10,8,2,257,115,142,1145,667,478,329,211,118,104,74,30,194,154,40,44,36,8,12,11,1,0,0,0,1,1,0,116,61,55,11,5,6,3926,1892,2034,2097,1280,817,159,78,81,1670,534,1136,0,0,0,53.41314314824248,67.65327695560254,40.167158308751226,24,1,789,0,0,0,0,14,5,814,1,8
