DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
ARGHAKHANCHI,ADGURI,916,3,12,0,0,0,0,4,829,0,0,37,63,1,1,4,873,31,1,25,0,5,62,870,809,244,39,10,2,12,727,0,15,3,0,0,3,935,3871,1580,2291,4.140106951871657,68.96551724137932,470,356,5,98,2,4,867,35,9,16,3,0,5,895,27,0,13,637,871,552,634,68,201,17,36,3748,1506,2242,40,25,15,14,9,5,18,8,10,0,0,0,19,13,6,16,8,8,6,5,1,10,6,4,31,14,17,1134,524,610,562,220,342,274,126,148,325,129,196,91,52,39,35,25,10,5,5,0,1,0,1,208,74,134,19,9,10,3478,1388,2090,2656,1165,1491,90,35,55,729,187,542,3,1,2,76.36572742955721,83.93371757925073,71.3397129186603,129,744,50,4,2,0,0,6,131,283,517,4
ARGHAKHANCHI,ARGHA,1301,1,10,0,4,0,0,2,1148,4,6,47,102,6,3,2,1274,1,28,11,0,4,101,1182,1043,610,392,13,5,9,971,1,21,11,0,6,35,1318,5315,2271,3044,4.032625189681335,74.60578186596584,1214,93,2,6,1,2,1265,30,13,3,0,0,7,1283,28,0,7,905,1094,733,806,157,265,15,23,5226,2218,3008,40,26,14,7,2,5,9,6,3,5,3,2,7,3,4,11,7,4,2,2,0,8,4,4,88,40,48,1303,642,661,760,342,418,537,228,309,508,229,279,158,83,75,66,44,22,12,9,3,1,1,0,238,88,150,14,11,3,4797,2013,2784,3637,1691,1946,90,41,49,1069,281,788,1,0,1,75.81821972065875,84.0039741679086,69.89942528735632,58,478,746,31,0,0,0,5,316,656,344,2
ARGHAKHANCHI,ARGHATOS,1035,8,10,1,1,0,0,0,812,1,119,121,2,0,0,0,1040,5,9,1,0,0,77,957,823,231,71,5,3,19,852,3,25,0,0,6,21,1055,4070,1674,2396,3.8578199052132702,69.86644407345575,483,412,3,115,42,0,1035,18,1,1,0,0,0,1022,27,0,6,672,871,594,657,74,210,4,4,3933,1601,2332,54,31,23,15,8,7,28,10,18,1,0,1,10,6,4,12,7,5,5,5,0,12,6,6,102,52,50,1001,473,528,511,229,282,306,124,182,334,136,198,86,41,45,24,18,6,5,5,0,3,2,1,216,119,97,1,1,0,3672,1469,2203,2508,1155,1353,69,34,35,1095,280,815,0,0,0,68.30065359477125,78.62491490810075,61.416250567408085,38,851,155,10,0,1,0,0,179,319,557,0
ARGHAKHANCHI,ASURKOT,496,0,4,0,0,0,0,1,463,0,0,11,1,25,0,1,427,0,1,73,0,0,76,420,280,224,193,7,1,7,379,0,11,1,0,9,5,501,2263,971,1292,4.516966067864272,75.15479876160991,442,53,0,1,4,1,444,3,7,46,1,0,0,497,4,0,0,435,532,360,373,69,153,6,6,2155,910,1245,32,23,9,15,4,11,35,18,17,1,1,0,6,3,3,6,4,2,2,1,1,11,7,4,48,29,19,649,326,323,347,155,192,165,66,99,188,86,102,39,25,14,6,5,1,2,2,0,2,0,2,40,14,26,2,1,1,2019,841,1178,1430,678,752,59,20,39,530,143,387,0,0,0,70.827142149579,80.61831153388823,63.83701188455009,190,234,73,0,4,0,0,0,156,207,137,1
ARGHAKHANCHI,BALKOT,1018,0,3,1,2,0,0,2,365,2,494,46,108,8,1,2,1011,4,3,5,0,3,75,910,807,381,158,11,3,13,808,1,19,2,0,0,41,1026,4223,1715,2508,4.115984405458089,68.38118022328548,842,173,6,1,2,2,1006,9,0,8,0,0,3,1002,18,1,5,749,1008,659,726,85,275,5,7,4141,1673,2468,28,15,13,11,5,6,13,6,7,2,0,2,11,7,4,2,0,2,8,7,1,7,2,5,219,120,99,1273,580,693,535,228,307,376,136,240,294,122,172,55,25,30,20,15,5,7,7,0,0,0,0,104,58,46,1,0,1,3790,1479,2311,2778,1236,1542,80,35,45,932,208,724,0,0,0,73.2981530343008,83.56997971602435,66.72436174816096,149,679,191,4,0,0,0,3,219,273,533,1
ARGHAKHANCHI,BANGI,1063,1,10,1,1,0,0,0,951,0,32,47,42,4,0,0,1070,0,2,1,1,2,118,945,828,400,134,10,3,4,755,2,13,4,0,0,13,1076,4410,1869,2541,4.098513011152416,73.55371900826447,1022,44,1,3,6,0,1069,1,4,0,0,0,2,1067,6,0,3,740,916,669,717,70,193,1,6,4314,1816,2498,33,20,13,8,3,5,15,6,9,3,1,2,12,8,4,9,4,5,6,5,1,10,6,4,76,35,41,1010,508,502,578,250,328,332,149,183,523,218,305,95,48,47,30,23,7,13,10,3,4,3,1,338,145,193,2,1,1,4004,1643,2361,2955,1366,1589,56,24,32,993,253,740,0,0,0,73.8011988011988,83.14059646987218,67.30199068191445,60,288,721,2,1,1,0,3,402,486,188,0
ARGHAKHANCHI,WANGLA,1173,0,3,1,0,0,0,4,854,0,97,197,25,3,1,4,1116,9,2,52,0,2,26,1095,934,448,221,16,2,46,918,0,33,3,5,6,60,1181,4637,1929,2708,3.926333615580017,71.23338257016249,1081,92,4,0,0,4,1117,15,2,43,1,0,3,1144,23,2,12,761,918,605,669,109,189,47,60,4493,1848,2645,57,32,25,20,12,8,17,9,8,4,2,2,18,13,5,13,8,5,9,3,6,6,2,4,73,44,29,1173,548,625,595,284,311,412,155,257,548,230,318,130,64,66,33,28,5,13,10,3,1,1,0,137,81,56,26,13,13,4269,1724,2545,3043,1400,1643,182,89,93,1040,234,806,4,1,3,71.28133052237058,81.20649651972158,64.55795677799607,110,338,723,8,0,0,0,2,113,403,661,4
ARGHAKHANCHI,BHAGAWATI,940,0,7,1,12,0,1,1,663,0,49,139,102,6,2,1,947,10,1,3,0,1,75,882,721,488,83,14,7,4,800,1,35,0,0,2,5,962,3858,1620,2238,4.01039501039501,72.38605898123325,894,64,3,0,0,1,924,30,2,4,0,0,2,925,25,0,12,610,734,536,587,71,146,3,1,3722,1545,2177,37,23,14,26,11,15,16,9,7,4,1,3,17,9,8,20,14,6,3,2,1,13,6,7,79,43,36,771,366,405,526,217,309,277,120,157,467,207,260,116,64,52,24,13,11,14,13,1,2,2,0,334,209,125,5,3,2,3533,1453,2080,2587,1243,1344,53,15,38,893,195,698,0,0,0,73.22388904613642,85.54714384033035,64.61538461538461,48,830,77,6,0,0,0,1,36,322,603,1
ARGHAKHANCHI,CHHATRAGANJ,668,1,3,1,2,0,0,1,539,1,36,78,22,0,0,0,668,5,2,0,0,1,44,593,474,273,170,8,2,4,521,0,19,11,0,3,39,676,2634,1040,1594,3.896449704142012,65.24466750313677,610,60,2,2,1,1,663,10,0,2,0,0,1,657,19,0,0,421,613,374,469,46,137,1,7,2580,1011,1569,15,9,6,13,7,6,8,2,6,2,1,1,4,2,2,7,5,2,2,2,0,3,1,2,90,48,42,696,317,379,403,159,244,193,71,122,233,94,139,65,29,36,13,11,2,9,7,2,3,1,2,45,20,25,5,2,3,2383,900,1483,1713,738,975,64,30,34,606,132,474,0,0,0,71.88417960553923,82,65.74511126095753,67,475,130,3,0,0,0,1,57,223,395,1
ARGHAKHANCHI,CHIDIKA,802,0,3,0,0,0,0,4,254,0,218,63,264,6,0,4,782,2,0,21,0,4,96,685,575,269,135,1,0,3,568,2,7,0,1,1,28,809,3345,1406,1939,4.134734239802225,72.51160391954615,671,128,0,6,0,4,782,3,0,19,0,0,5,762,43,1,3,640,798,531,574,107,220,2,4,3228,1347,1881,43,21,22,18,6,12,11,7,4,5,1,4,5,3,2,13,8,5,18,12,6,4,1,3,163,89,74,989,465,524,410,183,227,256,120,136,200,79,121,57,38,19,20,11,9,0,0,0,3,2,1,68,32,36,0,0,0,3007,1228,1779,2046,952,1094,38,21,17,923,255,668,0,0,0,68.04123711340206,77.52442996742671,61.49522203485104,192,543,69,1,0,0,0,4,298,265,242,4
