DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
BAGLUNG,AKHIKARICHAUR,1404,4,4,0,8,0,0,4,1063,0,6,194,102,54,1,4,1397,0,1,15,2,9,350,1052,835,258,14,7,0,0,594,0,0,0,0,0,22,1424,6683,2923,3760,4.69311797752809,77.73936170212767,1242,102,5,5,66,4,1376,16,11,9,0,1,11,1389,33,0,2,1364,1694,977,995,308,517,79,182,6544,2836,3708,73,47,26,14,8,6,16,6,10,4,3,1,19,12,7,7,7,0,1,0,1,5,4,1,202,104,98,1901,908,993,709,361,348,240,131,109,175,88,87,84,40,44,17,12,5,3,3,0,0,0,0,459,156,303,16,5,11,5803,2468,3335,3690,1748,1942,281,131,150,1827,588,1239,5,1,4,63.58779941409616,70.82658022690438,58.23088455772114,345,89,960,2,17,0,1,10,721,337,362,4
BAGLUNG,AMALACHAUR,1191,1,11,0,1,0,0,2,870,1,22,65,245,0,1,2,1192,1,0,7,3,3,101,1073,745,180,306,26,14,11,1002,1,5,3,1,3,32,1206,4587,1878,2709,3.8034825870646767,69.32447397563676,1144,58,2,0,0,2,1169,14,8,9,0,3,3,1173,13,0,20,698,902,612,678,84,218,2,6,4458,1815,2643,55,31,24,12,2,10,15,3,12,2,2,0,22,12,10,10,6,4,2,2,0,11,5,6,111,62,49,924,401,523,632,282,350,320,130,190,481,254,227,157,69,88,53,34,19,12,9,3,1,0,1,290,148,142,4,1,3,4139,1649,2490,2931,1366,1565,28,17,11,1179,266,913,1,0,1,70.81420633003141,82.83808368708308,62.85140562248996,58,495,649,1,0,0,0,3,163,920,121,2
BAGLUNG,AMARBHUMI,559,0,3,0,0,0,0,1,554,0,0,3,5,0,0,1,555,1,1,5,0,1,57,503,407,150,45,5,13,2,459,0,1,0,0,0,3,563,2479,1054,1425,4.4031971580817055,73.96491228070175,521,36,1,1,3,1,548,9,3,0,0,0,3,523,20,0,20,405,558,347,407,52,145,6,6,2402,1015,1387,35,21,14,13,3,10,11,5,6,0,0,0,10,7,3,1,0,1,4,2,2,3,1,2,39,19,20,661,321,340,372,160,212,161,79,82,175,91,84,54,29,25,11,10,1,5,5,0,0,0,0,138,48,90,10,4,6,2226,926,1300,1579,741,838,107,38,69,540,147,393,0,0,0,70.93441150044923,80.02159827213823,64.46153846153845,58,8,496,0,0,0,0,1,65,279,219,0
BAGLUNG,ARGAL,473,0,0,1,1,0,0,0,456,0,2,2,15,0,0,0,474,0,0,0,0,1,33,434,320,129,107,7,0,5,377,0,1,2,0,0,8,475,2329,1062,1267,4.903157894736842,83.82004735595896,446,7,1,7,14,0,470,0,4,0,0,0,1,461,11,0,3,477,520,397,350,62,157,18,13,2307,1052,1255,0,0,0,5,1,4,5,2,3,0,0,0,0,0,0,6,2,4,0,0,0,6,5,1,40,16,24,707,369,338,383,177,206,159,106,53,90,49,41,14,8,6,2,1,1,2,1,1,0,0,0,137,26,111,30,15,15,2099,953,1146,1540,757,783,95,39,56,464,157,307,0,0,0,73.36827060505003,79.43336831059811,68.32460732984293,59,5,411,0,0,0,0,0,52,119,304,0
BAGLUNG,ARJEWA,474,2,6,0,1,0,0,1,388,0,0,50,45,0,0,1,480,0,1,2,0,1,41,436,305,54,174,6,4,7,374,0,0,1,0,4,7,484,1993,843,1150,4.117768595041323,73.30434782608695,460,21,1,1,0,1,473,7,0,3,0,0,1,466,13,0,5,347,408,303,305,37,95,7,8,1955,814,1141,11,8,3,3,3,0,7,3,4,2,2,0,5,3,2,4,4,0,0,0,0,6,6,0,33,21,12,518,259,259,297,126,171,174,91,83,181,81,100,39,15,24,13,10,3,1,1,0,0,0,0,209,63,146,2,1,1,1801,752,1049,1465,666,799,9,5,4,322,81,241,5,0,5,81.34369794558579,88.56382978723404,76.16777883698761,77,173,233,0,0,0,0,1,16,442,25,1
BAGLUNG,BATAKACHAUR,855,3,7,1,0,0,0,3,840,1,7,10,1,7,0,3,836,3,8,19,0,3,105,749,565,85,2,5,1,18,601,0,2,2,1,1,15,869,3859,1626,2233,4.4407364787111625,72.81683833407972,359,319,14,167,7,3,822,10,9,25,0,0,3,823,34,1,11,795,997,681,700,91,252,23,45,3775,1576,2199,40,20,20,10,6,4,7,6,1,0,0,0,11,7,4,5,5,0,1,1,0,10,5,5,103,57,46,1103,535,568,579,266,313,214,97,117,184,84,100,58,34,24,13,8,5,5,5,0,0,0,0,210,72,138,21,8,13,3499,1449,2050,2457,1151,1306,35,12,23,1006,286,720,1,0,1,70.22006287510717,79.43409247757074,63.707317073170735,299,145,411,10,0,0,0,4,118,243,505,3
BAGLUNG,BHAKUNDE,862,0,2,2,0,0,0,1,824,2,22,1,17,0,0,1,862,0,0,4,0,1,88,778,593,102,271,17,6,3,684,0,1,1,1,2,1,867,3483,1520,1963,4.017301038062284,77.43250127356087,836,29,0,0,1,1,855,6,0,5,0,0,1,861,4,0,2,461,629,373,444,86,183,2,2,3430,1491,1939,22,15,7,8,4,4,2,1,1,0,0,0,8,4,4,7,2,5,3,2,1,3,1,2,66,35,31,748,389,359,538,220,318,290,156,134,388,204,184,75,37,38,14,11,3,7,7,0,0,0,0,237,97,140,0,0,0,3212,1372,1840,2327,1136,1191,80,33,47,805,203,602,0,0,0,72.44707347447074,82.79883381924198,64.72826086956522,105,524,235,2,0,0,0,1,20,799,47,1
BAGLUNG,BHIMPOKHARA,800,1,17,0,1,0,0,6,811,2,1,3,1,1,0,6,803,9,3,0,1,9,76,657,396,162,194,13,15,7,599,1,4,3,0,11,92,825,3455,1494,1961,4.1878787878787875,76.185619581846,794,21,1,3,0,6,797,13,5,1,0,0,9,794,30,1,0,649,798,513,564,121,227,15,7,3402,1466,1936,27,14,13,6,2,4,1,1,0,1,0,1,9,4,5,6,5,1,2,1,1,1,1,0,26,14,12,984,455,529,532,251,281,341,173,168,157,85,72,71,40,31,16,9,7,4,4,0,0,0,0,103,35,68,11,8,3,3174,1357,1817,2204,1053,1151,96,43,53,870,260,610,4,1,3,69.43919344675489,77.59764185703759,63.346175013758945,100,76,633,7,0,0,0,9,37,714,68,6
BAGLUNG,BHINGGITHE,1136,6,41,0,1,0,0,2,1021,0,21,2,33,74,33,2,1107,38,6,32,0,3,255,911,627,180,158,13,2,28,600,0,2,0,0,6,20,1186,5791,2583,3208,4.882799325463743,80.51745635910224,930,189,0,0,65,2,1098,48,26,11,0,0,3,1056,96,1,33,1224,1535,922,975,246,434,56,126,5679,2527,3152,38,22,16,26,11,15,14,4,10,0,0,0,17,9,8,10,7,3,1,0,1,6,3,3,186,103,83,1909,916,993,757,360,397,271,135,136,204,109,95,64,32,32,11,11,0,3,3,0,1,1,0,140,69,71,13,6,7,5043,2199,2844,3403,1659,1744,118,62,56,1522,478,1044,0,0,0,67.47967479674797,75.44338335607094,61.32208157524614,277,212,652,38,0,0,1,6,238,418,528,2
BAGLUNG,BIHUNKOT,1395,3,31,0,0,0,0,12,1384,0,0,6,32,6,1,12,1390,10,3,25,0,13,68,1334,1042,548,553,58,23,28,1276,4,29,12,3,15,39,1441,6415,2726,3689,4.451769604441361,73.89536459745189,1359,66,0,3,1,12,1353,49,20,6,0,0,13,1301,106,4,30,1122,1388,975,1061,136,308,11,19,6243,2640,3603,75,39,36,32,16,16,15,8,7,0,0,0,25,13,12,13,4,9,9,5,4,3,1,2,190,100,90,1772,894,878,1039,409,630,489,212,277,536,247,289,226,123,103,54,33,21,11,11,0,2,2,0,178,77,101,11,4,7,5825,2429,3396,4436,2079,2357,119,59,60,1270,291,979,0,0,0,76.15450643776825,85.5907780979827,69.40518256772674,154,123,1145,2,4,0,0,13,75,1227,127,12
