DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
BAITADI,AMCHAUR,877,8,0,0,0,0,0,6,682,0,13,18,95,77,0,6,883,0,0,0,0,8,542,333,285,20,2,0,1,3,139,0,0,1,5,0,16,891,4802,2117,2685,5.389450056116723,78.84543761638734,0,587,0,281,18,5,823,56,4,0,0,0,8,884,5,0,2,957,1218,756,700,192,498,9,20,4605,2014,2591,100,53,47,46,24,22,21,9,12,0,0,0,10,5,5,7,4,3,4,2,2,9,6,3,183,93,90,1175,620,555,513,320,193,154,104,50,124,90,34,48,33,15,10,9,1,9,9,0,4,2,2,18,7,11,4,3,1,4176,1805,2371,2052,1189,863,101,48,53,2020,567,1453,3,1,2,49.137931034482754,65.87257617728531,36.39814424293547,4,4,870,2,0,3,0,8,802,72,11,6
BAITADI,BASANTAPUR,508,4,0,0,0,0,0,0,314,3,95,30,53,14,3,0,502,5,0,0,0,5,155,354,271,36,8,0,0,0,242,0,0,0,0,0,3,512,2557,1114,1443,4.994140625,77.2002772002772,183,300,1,15,13,0,469,35,3,0,0,0,5,509,3,0,0,497,635,421,438,66,184,10,13,2456,1061,1395,37,18,19,17,8,9,25,12,13,2,1,1,6,5,1,3,2,1,1,0,1,10,7,3,150,75,75,680,341,339,351,196,155,186,111,75,87,56,31,42,28,14,13,13,0,5,5,0,1,0,1,102,45,57,3,1,2,2228,951,1277,1559,840,719,76,38,38,592,72,520,1,1,0,69.97307001795332,88.32807570977917,56.303837118245895,2,4,495,6,0,0,0,5,268,188,56,0
BAITADI,BASULING,548,1,1,0,0,0,0,5,382,2,32,28,68,30,8,5,549,1,0,0,0,5,108,443,374,53,31,0,0,0,265,0,2,0,0,0,4,555,3325,1536,1789,5.990990990990991,85.85802124091671,312,220,0,2,16,5,512,36,2,0,0,0,5,545,2,1,7,702,795,573,582,125,207,4,6,3165,1469,1696,84,32,52,21,8,13,38,16,22,0,0,0,5,5,0,4,3,1,3,0,3,5,3,2,115,61,54,966,510,456,530,308,222,195,125,70,138,83,55,86,55,31,16,12,4,6,4,2,2,1,1,38,20,18,10,6,4,2927,1337,1590,1956,1110,846,100,32,68,869,195,674,2,0,2,66.8261018107277,83.02169035153328,53.20754716981132,6,9,523,12,0,0,0,5,225,206,119,5
BAITADI,BHATANA,656,1,0,1,0,0,0,6,351,2,4,119,156,21,5,6,653,0,0,1,0,10,109,469,417,4,0,2,1,6,268,0,0,1,0,0,86,664,4017,1984,2033,6.049698795180723,97.58976881455976,5,503,1,149,0,6,643,6,4,0,0,0,11,653,3,0,8,921,971,686,612,224,353,11,6,3931,1931,2000,35,17,18,16,10,6,19,12,7,3,3,0,4,3,1,1,1,0,0,0,0,8,7,1,55,26,29,1166,685,481,358,238,120,189,133,56,69,53,16,65,51,14,13,10,3,5,4,1,0,0,0,35,18,17,14,9,5,3426,1677,1749,1869,1178,691,80,41,39,1477,458,1019,0,0,0,54.55341506129597,70.24448419797257,39.508290451686676,8,8,638,0,0,0,0,10,502,130,26,6
BAITADI,BHUMESWOR,641,1,0,0,0,0,0,2,449,0,8,89,68,15,13,2,640,2,0,0,0,2,140,500,410,89,1,3,0,4,395,0,1,0,0,0,4,644,3462,1607,1855,5.375776397515528,86.63072776280323,465,113,0,5,59,2,638,3,1,0,0,0,2,640,4,0,0,685,828,582,603,102,211,1,14,3399,1576,1823,15,8,7,13,9,4,17,6,11,3,1,2,8,2,6,3,2,1,1,1,0,3,2,1,229,113,116,835,436,399,511,289,222,262,177,85,170,105,65,74,52,22,27,24,3,2,2,0,5,3,2,73,26,47,1,0,1,3020,1385,1635,2173,1219,954,93,35,58,754,131,623,0,0,0,71.95364238410596,88.014440433213,58.34862385321101,2,4,634,2,0,0,0,2,283,301,58,2
BAITADI,BIJAYAPUR,632,3,0,3,2,0,0,3,251,0,44,186,131,27,1,3,641,0,0,0,0,2,248,393,370,1,0,0,0,3,141,0,0,0,0,0,2,643,4035,1896,2139,6.275272161741835,88.63955119214586,11,231,1,141,256,3,625,3,13,0,0,0,2,620,5,1,17,852,1035,650,617,202,416,0,2,3851,1788,2063,53,24,29,29,13,16,65,40,25,2,2,0,20,18,2,8,5,3,4,3,1,3,3,0,182,81,101,1081,603,478,397,285,112,178,139,39,88,72,16,56,48,8,9,9,0,2,2,0,3,3,0,75,24,51,1,0,1,3548,1645,1903,1933,1204,729,141,54,87,1474,387,1087,0,0,0,54.48139797068771,73.19148936170212,38.30793483972675,10,42,588,1,0,0,0,2,609,7,24,3
BAITADI,BISALPUR,698,0,0,0,0,0,0,1,491,0,62,25,36,46,38,1,695,1,0,1,0,2,397,288,262,0,0,0,0,1,111,0,0,0,2,0,14,699,4174,2007,2167,5.971387696709585,92.61652053530226,3,55,0,167,473,1,669,24,4,0,0,0,2,697,0,0,2,938,1036,672,630,233,380,33,26,3915,1875,2040,120,62,58,52,22,30,49,24,25,10,5,5,1,1,0,8,4,4,2,2,0,17,12,5,176,81,95,1149,675,474,400,260,140,186,129,57,90,66,24,84,55,29,14,14,0,0,0,0,4,2,2,123,50,73,48,27,21,3627,1723,1904,2096,1279,817,170,74,96,1357,367,990,4,3,1,57.78880617590295,74.23099245502031,42.909663865546214,4,8,685,0,0,0,0,2,185,503,10,1
BAITADI,BUMIRAJ,750,8,0,1,1,0,0,5,448,0,118,86,87,21,0,5,756,5,0,0,0,4,313,435,349,10,1,0,0,2,249,0,0,1,0,0,17,765,4614,2201,2413,6.031372549019608,91.21425611272275,15,473,2,239,31,5,740,13,7,0,1,0,4,722,1,0,42,1023,1166,737,632,274,521,12,13,4509,2144,2365,40,24,16,25,10,15,14,7,7,3,2,1,10,8,2,5,2,3,7,3,4,1,1,0,92,39,53,1150,675,475,410,276,134,182,135,47,45,27,18,88,68,20,18,16,2,4,4,0,4,3,1,91,60,31,16,8,8,3943,1864,2079,1964,1248,716,140,68,72,1838,547,1291,1,1,0,49.80978950038042,66.95278969957081,34.43963443963444,5,10,737,9,0,0,0,4,577,150,33,5
BAITADI,CHAUKHAM,500,0,0,1,0,0,0,2,308,1,5,31,75,77,4,2,499,0,0,2,0,2,187,298,261,8,0,2,0,14,130,0,0,1,0,0,18,503,2764,1330,1434,5.495029821073559,92.74755927475593,337,39,7,26,92,2,496,0,4,0,0,0,3,490,5,0,8,612,662,449,399,161,255,2,8,2594,1250,1344,99,45,54,25,13,12,10,5,5,4,2,2,15,10,5,4,3,1,3,1,2,10,1,9,95,51,44,725,399,326,302,187,115,98,70,28,110,66,44,53,35,18,12,11,1,2,2,0,3,2,1,115,41,74,4,1,3,2374,1117,1257,1415,813,602,43,20,23,916,284,632,0,0,0,59.604043807919126,72.78424350940018,47.89180588703262,56,13,427,5,0,0,0,2,347,146,8,2
BAITADI,DASHARATHCHANDA MUNICIPALITY,3380,28,343,1,3,0,10,23,2615,15,611,138,362,23,2,22,3307,358,92,7,0,24,569,3118,1940,1073,1189,119,46,313,2646,11,66,7,3,35,101,3788,16791,7682,9109,4.432682154171067,84.33417499176639,3420,334,3,7,1,23,2401,1335,18,1,9,0,24,3337,320,54,77,2952,3436,2506,2548,394,818,52,70,16287,7394,8893,202,120,82,72,33,39,99,57,42,8,4,4,40,30,10,32,14,18,14,10,4,37,20,17,324,148,176,4213,2147,2066,2615,1362,1253,1695,946,749,1125,646,479,781,448,333,320,260,60,140,126,14,9,3,6,318,109,209,30,20,10,15124,6768,8356,11279,6074,5205,283,121,162,3546,569,2977,16,4,12,74.57683152605131,89.74586288416076,62.290569650550495,19,68,3160,507,1,0,2,31,1295,2196,274,23
