DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
BAJHANG,BANJH,808,1,4,0,0,0,0,5,386,0,105,93,84,146,0,4,810,0,0,2,0,6,337,478,420,15,2,0,0,11,219,0,0,0,0,1,3,818,4944,2324,2620,6.0440097799511,88.70229007633587,3,27,1,605,177,5,796,12,3,1,0,0,6,794,11,5,8,1071,1227,845,823,212,380,14,24,4818,2253,2565,38,21,17,35,19,16,30,14,16,4,1,3,5,5,0,2,1,1,2,2,0,10,8,2,227,110,117,1338,727,611,432,270,162,244,166,78,118,81,37,128,97,31,31,25,6,4,3,1,1,1,0,32,19,13,9,7,2,4215,1953,2262,2353,1404,949,125,56,69,1736,492,1244,1,1,0,55.82443653618031,71.88940092165899,41.95402298850575,85,7,695,12,0,0,9,10,439,271,103,5
BAJHANG,BHAIRABANATH,852,4,4,0,0,0,4,4,508,0,0,137,124,94,1,4,853,4,0,2,0,9,374,483,447,13,1,0,0,24,132,1,0,1,1,0,11,868,5037,2369,2668,5.802995391705069,88.79310344827587,0,81,0,335,448,4,832,17,2,0,0,0,17,847,10,4,7,1087,1248,867,812,208,417,12,19,4863,2285,2578,93,45,48,16,3,13,27,17,10,5,2,3,16,10,6,8,4,4,3,1,2,6,2,4,282,135,147,1431,793,638,394,273,121,147,105,42,162,122,40,89,62,27,16,12,4,9,9,0,2,1,1,55,29,26,1,0,1,4304,1984,2320,2267,1390,877,148,70,78,1889,524,1365,0,0,0,52.671933085501855,70.06048387096774,37.80172413793104,384,82,382,11,0,0,1,8,727,59,78,4
BAJHANG,BHAMCHAUR,746,0,0,0,0,0,0,2,529,0,0,50,118,49,0,2,744,0,0,0,0,4,303,433,344,7,0,0,0,0,216,0,0,0,0,0,12,748,4931,2412,2519,6.592245989304812,95.75228265184596,6,224,4,451,61,2,737,5,2,0,0,0,4,738,7,0,3,1140,1262,903,759,212,480,25,23,4709,2295,2414,75,41,34,50,23,27,69,39,30,0,0,0,15,9,6,6,4,2,0,0,0,7,1,6,332,163,169,1221,703,518,380,287,93,163,133,30,65,56,9,70,61,9,28,26,2,3,3,0,0,0,0,50,43,7,2,2,0,4154,2007,2147,2056,1357,699,267,126,141,1831,524,1307,0,0,0,49.49446316803081,67.61335326357748,32.55705635770843,9,4,730,0,0,0,0,5,187,399,160,2
BAJHANG,BHATEKHOLA,576,0,0,0,1,0,0,2,438,0,3,15,106,15,0,2,567,4,0,0,0,8,134,393,343,8,1,2,0,11,240,0,0,0,1,0,52,579,3577,1657,1920,6.177892918825561,86.30208333333333,4,67,0,307,199,2,553,18,0,0,0,0,8,575,0,2,2,812,888,686,585,119,293,7,10,3547,1642,1905,6,2,4,7,4,3,10,5,5,0,0,0,2,2,0,5,2,3,0,0,0,0,0,0,195,116,79,934,503,431,316,227,89,193,133,60,64,52,12,81,54,27,21,20,1,2,2,0,1,0,1,48,23,25,11,5,6,3049,1394,1655,1729,1051,678,158,73,85,1162,270,892,0,0,0,56.70711708756969,75.39454806312769,40.96676737160121,45,5,519,0,0,1,0,9,357,41,179,2
BAJHANG,BYASI,710,2,0,0,0,0,0,6,434,0,0,34,188,57,0,5,708,2,0,0,0,8,221,482,464,22,1,0,0,36,164,0,0,0,0,0,15,718,4236,2011,2225,5.899721448467966,90.38202247191012,164,150,29,258,111,6,685,24,1,0,0,0,8,714,3,0,1,907,995,684,589,216,404,7,2,4092,1946,2146,52,30,22,39,15,24,36,13,23,7,2,5,4,1,3,1,0,1,2,2,0,3,2,1,33,14,19,1024,597,427,421,272,149,254,174,80,155,113,42,156,98,58,54,43,11,10,10,0,3,2,1,31,16,15,4,1,3,3736,1749,1987,2108,1320,788,112,48,64,1515,381,1134,1,0,1,56.42398286937902,75.47169811320755,39.65777554101661,474,168,66,1,0,0,0,9,335,230,148,5
BAJHANG,CHAINPUR,1101,10,74,0,3,0,3,13,892,0,0,3,288,8,0,13,1052,60,10,59,0,23,143,1037,859,357,309,76,43,139,718,1,0,2,1,29,24,1204,6642,3369,3273,5.516611295681063,102.93308890925756,750,198,8,96,139,13,1002,104,44,1,0,19,34,960,212,23,9,1422,1442,1066,919,291,459,65,64,6550,3319,3231,33,17,16,17,7,10,22,10,12,5,4,1,4,3,1,2,1,1,5,4,1,4,4,0,261,129,132,1552,865,687,675,451,224,361,251,110,360,245,115,341,225,116,183,149,34,34,31,3,1,1,0,115,62,53,8,2,6,5846,2961,2885,3791,2363,1428,164,80,84,1889,518,1371,2,0,2,64.84775915155662,79.80412022965214,49.49740034662045,190,89,790,95,4,2,5,29,637,407,147,13
BAJHANG,CHAUDHARI,697,1,0,0,1,0,0,8,489,0,47,0,106,0,57,8,667,7,0,24,0,9,275,419,383,4,1,0,0,7,211,1,0,0,0,0,13,707,3406,1524,1882,4.817538896746817,80.97768331562168,2,236,1,377,83,8,627,44,1,0,0,25,10,673,28,0,6,713,793,595,590,102,186,16,17,3319,1474,1845,32,19,13,19,11,8,10,5,5,3,1,2,10,7,3,7,5,2,3,1,2,3,1,2,145,82,63,826,431,395,331,197,134,188,106,82,207,132,75,117,85,32,31,27,4,7,7,0,0,0,0,23,9,14,10,6,4,2989,1299,1690,1818,1045,773,67,32,35,1100,221,879,4,1,3,60.82301773168284,80.44649730561972,45.7396449704142,232,109,328,26,0,0,3,9,576,117,6,8
BAJHANG,DAHABAGAR,1014,0,1,0,0,0,0,20,935,0,1,4,11,58,6,20,1014,0,0,1,0,20,282,730,677,10,0,0,0,28,236,0,0,2,5,0,23,1035,6117,3018,3099,5.910144927536232,97.38625363020329,81,34,0,801,99,20,963,39,2,0,1,10,20,1027,4,0,4,1391,1535,1015,815,368,704,8,16,6012,2955,3057,41,26,15,16,9,7,15,10,5,5,2,3,21,13,8,3,1,2,2,1,1,2,1,1,311,157,154,1530,917,613,453,336,117,189,157,32,103,87,16,92,78,14,21,21,0,0,0,0,4,3,1,41,28,13,4,1,3,5312,2602,2710,2602,1712,890,207,102,105,2503,788,1715,0,0,0,48.98343373493976,65.79554189085319,32.84132841328413,28,7,979,0,0,1,0,20,526,426,63,20
BAJHANG,DANGAJI,708,5,0,1,1,0,0,17,572,0,0,0,142,2,0,16,714,0,0,2,0,16,275,395,379,2,0,0,0,5,100,2,0,0,1,1,62,732,4290,2044,2246,5.860655737704918,91.00623330365093,7,55,0,336,318,16,707,4,3,0,0,0,18,720,6,5,1,994,1031,790,597,194,424,10,10,4140,1975,2165,52,28,24,41,15,26,25,7,18,2,2,0,13,7,6,9,3,6,3,2,1,5,5,0,79,48,31,1238,702,536,308,211,97,116,89,27,75,55,20,50,43,7,18,15,3,4,4,0,2,1,1,25,11,14,9,2,7,3597,1670,1927,1828,1130,698,114,47,67,1655,493,1162,0,0,0,50.82012788434807,67.66467065868264,36.22210690192008,22,4,665,22,0,0,0,19,628,53,34,17
BAJHANG,DATOLA,530,0,0,0,0,0,0,17,455,0,0,3,70,3,0,16,528,0,0,3,0,16,178,349,333,11,0,0,0,1,85,0,0,0,0,0,20,547,3156,1532,1624,5.769652650822669,94.33497536945814,33,3,0,177,317,17,528,0,0,0,0,0,19,531,2,0,14,714,753,532,442,175,293,7,18,3043,1469,1574,38,23,15,18,10,8,23,13,10,2,1,1,3,1,2,15,8,7,3,3,0,11,4,7,102,53,49,1023,611,412,217,169,48,79,67,12,66,54,12,30,22,8,19,18,1,2,2,0,0,0,0,197,28,169,5,3,2,2667,1289,1378,1671,985,686,60,27,33,935,276,659,1,1,0,62.65466816647919,76.41582622187742,49.782293178519595,23,1,506,0,0,0,0,17,300,154,76,17
