DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
BAJURA,ATICHAUR,743,0,0,0,0,0,0,8,580,0,0,32,97,33,1,8,744,0,0,0,0,7,240,382,343,2,15,6,3,14,143,0,0,0,0,0,129,751,4277,2082,2195,5.6950732356857525,94.85193621867882,146,0,0,66,531,8,743,1,0,0,0,0,7,740,5,5,1,943,1043,809,699,132,340,2,4,4184,2031,2153,25,10,15,25,17,8,27,15,12,1,0,1,8,3,5,5,5,0,1,0,1,1,1,0,347,185,162,997,557,440,396,264,132,174,116,58,123,96,27,57,42,15,15,15,0,1,1,0,2,1,1,29,9,20,1,0,1,3677,1753,1924,1809,1101,708,111,53,58,1756,598,1158,1,1,0,49.19771552896383,62.806617227609806,36.7983367983368,423,12,309,0,0,0,0,7,269,237,237,8
BAJURA,BADDHU,961,0,0,1,3,0,0,15,336,0,0,9,591,29,0,15,963,0,0,0,1,16,623,352,257,6,0,1,0,5,199,0,0,1,0,0,5,980,5059,2411,2648,5.162244897959184,91.04984894259819,146,28,0,112,679,15,945,1,13,0,0,5,16,957,10,0,13,1064,1273,851,849,190,395,23,29,4794,2268,2526,59,30,29,72,41,31,61,35,26,5,1,4,35,18,17,6,2,4,10,6,4,17,10,7,130,64,66,1441,782,659,526,341,185,253,160,93,102,77,25,106,77,29,17,16,1,3,3,0,3,1,2,23,9,14,36,14,22,4411,2064,2347,2498,1478,1020,166,78,88,1743,507,1236,4,1,3,56.631149399229194,71.60852713178295,43.45973583297827,333,57,311,1,0,219,42,17,855,16,94,15
BAJURA,BAI,612,0,0,0,1,0,0,15,514,1,1,1,93,3,0,15,613,0,0,2,0,13,336,250,197,2,0,0,0,0,128,0,0,0,0,1,42,628,3383,1581,1802,5.3869426751592355,87.73584905660378,2,1,0,277,334,14,613,0,1,0,0,0,14,623,5,0,0,748,846,609,605,138,239,1,2,3263,1529,1734,36,12,24,41,18,23,19,7,12,1,0,1,17,11,6,0,0,0,2,2,0,4,2,2,133,70,63,1016,524,492,320,227,93,218,149,69,33,25,8,65,45,20,10,9,1,6,5,1,2,2,0,17,6,11,1,1,0,2950,1356,1594,1686,994,692,59,23,36,1205,339,866,0,0,0,57.152542372881356,73.30383480825958,43.412797992471766,180,11,69,0,0,355,0,13,532,32,49,15
BAJURA,BARHABIS,1628,2,3,0,2,0,0,15,915,0,1,114,605,0,0,15,1564,0,0,69,1,16,803,828,696,12,8,0,0,11,414,6,2,1,0,0,19,1650,8374,3875,4499,5.075151515151515,86.13025116692599,2,2,0,458,1173,15,1563,0,41,2,0,28,16,1582,46,2,20,1827,2064,1416,1354,308,528,103,182,7949,3652,4297,175,108,67,96,37,59,92,47,45,4,1,3,20,10,10,8,4,4,2,1,1,28,15,13,442,231,211,2174,1168,1006,693,454,239,355,252,103,248,182,66,126,89,37,35,29,6,5,5,0,8,4,4,161,92,69,4,4,0,7123,3211,3912,3974,2373,1601,152,69,83,2992,769,2223,5,0,5,55.791099255931485,73.90221114917472,40.92535787321063,416,97,1119,0,0,0,0,18,1358,147,130,15
BAJURA,BICHHAIYA,500,0,0,0,0,0,0,7,255,0,1,7,201,36,0,7,495,0,0,2,4,6,350,154,122,3,0,0,0,1,84,0,0,0,0,0,3,507,2723,1423,1300,5.370808678500986,109.46153846153845,1,1,0,354,144,7,494,0,0,0,0,7,6,495,7,1,4,621,610,434,386,181,218,6,6,2615,1367,1248,36,18,18,33,17,16,20,13,7,2,1,1,13,5,8,2,1,1,0,0,0,2,1,1,252,116,136,639,407,232,157,102,55,61,44,17,33,30,3,15,14,1,6,6,0,0,0,0,7,7,0,34,21,13,2,1,1,2310,1207,1103,1037,671,366,42,16,26,1231,520,711,0,0,0,44.891774891774894,55.5923777961889,33.18223028105168,44,1,374,4,20,52,6,6,315,116,69,7
BAJURA,BRAMHATOLA,1293,1,0,0,11,0,0,17,899,0,1,43,348,9,5,17,1299,0,0,3,3,17,631,668,567,21,3,0,0,16,285,0,1,0,1,0,23,1322,6431,2890,3541,4.864599092284418,81.61536289183846,167,3,0,380,755,17,1170,3,33,1,98,0,17,1276,42,0,4,1372,1665,1160,1188,202,452,10,25,6236,2787,3449,83,46,37,30,12,18,43,22,21,6,2,4,14,11,3,10,5,5,7,4,3,2,1,1,155,88,67,1763,858,905,666,425,241,356,224,132,163,111,52,134,90,44,25,20,5,4,4,0,3,2,1,186,88,98,34,12,22,5571,2445,3126,3445,1900,1545,140,51,89,1986,494,1492,0,0,0,61.8380901094956,77.70961145194273,49.424184261036466,225,73,945,0,57,2,0,20,940,111,254,17
BAJURA,BUDHIGANGA,806,0,0,0,1,0,0,1,585,0,0,36,156,30,0,1,761,0,0,43,3,1,268,537,470,5,0,1,0,19,218,0,0,0,0,0,3,808,4042,1986,2056,5.002475247524752,96.59533073929961,1,36,0,230,540,1,751,9,2,1,0,44,1,728,70,0,10,906,959,741,701,160,253,5,5,3858,1869,1989,98,66,32,31,17,14,37,24,13,0,0,0,6,2,4,5,5,0,0,0,0,7,3,4,145,71,74,1275,699,576,383,259,124,138,107,31,90,63,27,55,38,17,15,15,0,2,2,0,1,1,0,2,0,2,4,2,2,3404,1671,1733,1907,1153,754,174,77,97,1322,440,882,1,1,0,56.02232667450059,69.00059844404548,43.50836699365262,193,51,558,0,0,0,4,2,634,14,159,1
BAJURA,CHHATARA,693,0,0,0,0,0,0,7,498,0,0,0,195,0,0,7,689,0,0,1,0,10,292,354,287,3,0,1,0,3,184,0,0,0,0,0,54,700,3712,1725,1987,5.3028571428571425,86.81429290387518,690,0,0,1,2,7,686,2,1,0,0,1,10,696,1,1,2,766,935,623,708,127,206,16,21,3595,1662,1933,54,34,20,27,10,17,20,12,8,0,0,0,3,1,2,3,0,3,1,0,1,9,6,3,157,65,92,933,486,447,424,243,181,194,130,64,112,87,25,64,45,19,16,15,1,2,2,0,2,1,1,45,13,32,3,2,1,3127,1444,1683,1894,1060,834,64,22,42,1169,362,807,0,0,0,60.56923568915894,73.40720221606648,49.554367201426025,17,1,670,0,0,0,0,12,36,647,10,7
BAJURA,DAHAKOT,801,0,0,0,0,0,0,5,643,0,1,62,69,26,0,5,801,1,0,0,0,4,115,663,641,1,0,0,0,1,151,0,1,0,0,0,28,806,4438,2179,2259,5.506203473945409,96.45861000442673,110,0,0,528,163,5,797,4,1,0,0,0,4,764,31,4,7,960,1024,734,681,206,329,20,14,4227,2055,2172,80,46,34,34,19,15,70,46,24,1,0,1,11,6,5,9,4,5,2,1,1,4,2,2,213,98,115,1305,709,596,463,302,161,223,144,79,75,67,8,28,25,3,13,12,1,5,5,0,3,1,2,7,3,4,0,0,0,3864,1921,1943,2149,1282,867,133,60,73,1581,578,1003,1,1,0,55.61594202898551,66.73607496095784,44.62171899125064,180,5,614,2,0,0,0,5,311,28,462,5
BAJURA,DOGADI,586,0,0,0,0,0,0,2,476,0,1,49,50,10,0,2,584,0,0,0,0,4,345,226,188,2,0,0,0,3,84,0,0,0,0,0,17,588,3456,1627,1829,5.877551020408164,88.95571350464735,2,0,0,61,523,2,581,1,2,0,0,0,4,576,4,0,8,768,887,576,499,191,386,1,2,3358,1574,1784,49,29,20,21,9,12,15,6,9,2,1,1,4,3,1,2,2,0,0,0,0,5,3,2,145,82,63,894,482,412,255,185,70,143,117,26,106,88,18,27,21,6,5,5,0,3,3,0,2,2,0,13,8,5,0,0,0,2941,1368,1573,1510,944,566,23,12,11,1408,412,996,0,0,0,51.343080584835086,69.00584795321637,35.98219961856326,317,6,260,0,0,0,0,5,512,37,37,2
