DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
BANKE,BAGESWARI,1985,29,602,7,207,3,1,6,709,1998,69,2,1,0,55,6,1172,649,160,240,609,10,171,2644,1659,1714,633,149,69,223,2051,20,347,2201,9,349,25,2840,12671,5641,7030,4.461619718309859,80.24182076813656,2620,169,21,5,19,6,1073,858,102,22,48,727,10,2728,90,1,21,2204,2596,1774,1841,368,648,62,107,12462,5530,6932,82,45,37,27,16,11,33,16,17,2,0,2,15,6,9,18,9,9,7,3,4,25,16,9,180,87,93,2915,1482,1433,2206,962,1244,1292,652,640,1369,623,746,558,291,267,133,92,41,36,30,6,10,6,4,724,275,449,11,7,4,11688,5116,6572,9261,4416,4845,183,81,102,2244,619,1625,0,0,0,79.23511293634496,86.31743549648164,73.72185027388922,304,367,1119,1027,3,0,7,13,481,1105,1248,6
BANKE,BANKATAWA,3197,10,298,80,272,3,14,9,33,3662,8,1,3,0,167,9,1661,437,136,305,1325,19,283,3552,1528,1614,111,49,8,70,2132,119,222,3049,12,106,48,3883,18792,8772,10020,4.839557043523049,87.54491017964072,3222,330,9,12,300,10,1056,656,118,34,848,1128,43,3804,49,9,21,3825,4310,2909,2884,894,1392,22,34,18425,8564,9861,114,69,45,63,30,33,82,47,35,6,4,2,44,32,12,25,12,13,16,6,10,17,8,9,312,177,135,4981,2748,2233,3132,1524,1608,1548,793,755,1028,523,505,358,205,153,63,43,20,21,18,3,0,0,0,1059,392,667,20,10,10,16931,7809,9122,12281,6302,5979,372,175,197,4276,1331,2945,2,1,1,72.53558561219066,80.7017543859649,65.54483665862749,279,566,2183,810,12,0,14,19,1775,1047,1051,10
BANKE,BANKATTI,944,5,2,22,0,0,0,4,6,959,2,5,1,0,0,4,528,91,1,179,172,6,89,883,335,137,7,1,0,7,404,11,61,851,4,4,5,977,6202,3187,3015,6.348004094165813,105.70480928689885,428,538,0,2,5,4,406,191,40,5,38,291,6,972,0,1,4,1590,1561,900,710,605,679,85,172,6083,3123,2960,39,20,19,14,7,7,22,15,7,0,0,0,18,9,9,12,7,5,9,4,5,5,2,3,169,98,71,1643,944,699,406,304,102,176,157,19,53,39,14,29,23,6,9,5,4,2,2,0,53,27,26,125,83,42,13,8,5,5365,2751,2614,2477,1574,903,174,83,91,2705,1088,1617,9,6,3,46.16961789375583,57.215557978916756,34.54475899005356,215,68,394,292,1,0,1,6,958,13,2,4
BANKE,BASUDEVPUR,1043,8,282,0,8,0,1,7,365,852,1,5,0,0,119,7,512,356,76,133,255,17,161,1172,399,498,245,56,11,39,856,9,148,894,2,74,16,1349,6830,3359,3471,5.063009636767976,96.77326418899452,1049,276,7,2,8,7,497,432,93,16,21,270,20,1205,130,2,12,1572,1626,994,896,486,626,92,104,6768,3323,3445,21,15,6,7,4,3,11,6,5,0,0,0,4,3,1,12,6,6,5,1,4,2,1,1,294,155,139,1571,837,734,845,465,380,485,288,197,279,169,110,193,105,88,65,46,19,25,20,5,1,1,0,73,26,47,30,18,12,6036,2969,3067,3690,2045,1645,185,78,107,2157,844,1313,4,2,2,61.133200795228625,68.87841023913775,53.635474404955986,168,230,306,621,9,0,0,15,773,350,219,7
BANKE,BAIJAPUR,1879,2,2,0,19,0,0,4,254,1607,3,8,1,27,2,4,518,55,6,1322,1,4,284,1601,963,85,1,3,0,12,863,11,28,1177,45,0,21,1906,12230,5753,6477,6.416579223504722,88.82198548710822,10,628,1,802,461,4,397,49,773,537,146,0,4,1883,16,3,4,2800,3403,2156,2235,613,1130,31,38,12093,5684,6409,44,29,15,42,20,22,31,13,18,0,0,0,13,4,9,3,2,1,3,1,2,1,0,1,260,162,98,3772,2004,1768,1497,794,703,651,406,245,325,205,120,103,65,38,13,11,2,5,4,1,3,0,3,791,251,540,60,28,32,11052,5130,5922,7325,3841,3484,185,69,116,3541,1220,2321,1,0,1,66.2775968150561,74.87329434697855,58.83147585275245,610,133,1106,36,15,0,0,6,1665,140,97,4
BANKE,BELAHARI,703,7,7,174,5,0,0,13,163,714,1,19,0,0,0,12,485,160,1,46,191,26,44,840,478,221,9,3,1,4,353,21,91,764,5,6,25,909,5289,2712,2577,5.818481848184819,105.23864959254948,393,493,3,6,1,13,471,160,9,12,43,188,26,907,1,0,1,1376,1297,625,503,688,751,63,43,5234,2682,2552,27,15,12,10,8,2,3,1,2,1,1,0,4,1,3,7,4,3,1,0,1,2,0,2,15,9,6,1307,723,584,289,233,56,147,119,28,28,23,5,32,29,3,15,13,2,5,5,0,1,1,0,0,0,0,54,38,16,4782,2481,2301,1865,1181,684,125,58,67,2788,1240,1548,4,2,2,39.000418235048095,47.601773478436115,29.726205997392434,444,70,106,250,4,0,7,28,827,41,28,13
BANKE,BELBHAR,802,13,16,106,3,0,0,4,7,899,1,10,1,0,22,4,707,116,0,16,100,5,283,657,169,270,12,1,0,3,340,6,42,613,1,12,4,944,5318,2736,2582,5.633474576271187,105.96436870642914,570,365,1,3,1,4,477,197,8,10,145,102,5,914,12,0,18,1277,1176,687,550,561,600,29,26,5253,2692,2561,15,11,4,14,9,5,5,4,1,0,0,0,7,5,2,10,5,5,5,3,2,9,7,2,15,8,7,1154,669,485,537,341,196,338,247,91,9,3,6,21,17,4,31,22,9,13,7,6,1,0,1,1,0,1,8,6,2,4713,2443,2270,2054,1286,768,91,44,47,2568,1113,1455,0,0,0,43.58158285593041,52.64019647973802,33.83259911894273,233,92,315,291,4,0,4,5,660,30,250,4
BANKE,BETAHANI,1417,26,0,7,0,0,0,6,287,1136,8,18,0,1,0,6,297,138,5,872,137,7,168,1273,311,150,3,4,0,6,539,3,76,1219,7,2,15,1456,8141,4310,3831,5.591346153846154,112.50326285565126,423,1004,14,6,3,6,391,172,157,386,27,316,7,1455,1,0,0,2092,1816,1102,803,950,988,40,25,7964,4212,3752,35,21,14,67,36,31,30,16,14,0,0,0,12,6,6,11,8,3,3,2,1,19,9,10,43,24,19,2076,1229,847,568,420,148,256,200,56,76,57,19,46,36,10,16,13,3,2,1,1,4,4,0,2,2,0,4,2,2,7298,3883,3415,2875,1867,1008,271,153,118,4140,1858,2282,12,5,7,39.39435461770348,48.08138037599794,29.51683748169839,781,129,242,257,23,0,0,24,1425,21,5,5
BANKE,BHABANIYAPUR,571,1,29,136,1,0,0,0,10,717,1,2,0,0,8,0,309,38,5,58,328,0,139,589,95,173,61,8,4,13,326,3,52,557,3,15,10,738,4326,2277,2049,5.861788617886178,111.12737920937042,489,247,0,0,2,0,241,124,8,2,17,346,0,719,17,1,1,1147,1027,509,402,626,617,12,8,4261,2231,2030,25,21,4,11,9,2,8,5,3,1,0,1,3,2,1,10,6,4,2,1,1,5,2,3,154,77,77,937,554,383,313,212,101,171,131,40,73,52,21,46,35,11,26,15,11,3,2,1,2,1,1,85,48,37,2,2,0,3776,1996,1780,1608,1025,583,306,161,145,1861,810,1051,1,0,1,42.58474576271186,51.35270541082164,32.752808988764045,137,58,319,223,0,0,1,0,653,70,15,0
BANKE,BINAUNA,1164,11,4,4,18,0,0,3,250,940,4,5,1,2,0,2,772,26,3,244,156,3,50,1097,711,74,3,4,1,2,692,2,53,854,3,0,57,1204,7332,3514,3818,6.089700996677741,92.03771608171817,5,214,1,579,402,3,442,35,33,304,383,3,4,1185,6,1,12,1581,1863,1184,1259,362,557,35,47,7224,3453,3771,38,22,16,23,14,9,14,8,6,0,0,0,11,5,6,6,2,4,6,5,1,10,5,5,199,96,103,1979,1102,877,998,534,464,489,262,227,302,176,126,93,62,31,17,16,1,3,3,0,4,2,2,435,178,257,2,0,2,6606,3152,3454,4326,2340,1986,113,55,58,2159,754,1405,8,3,5,65.48592188919164,74.23857868020305,57.498552403011004,214,30,891,49,5,0,11,4,970,71,160,3
