DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
BARA,AMARPATTI,103,8,0,386,10,0,0,1,6,489,2,4,1,0,5,1,147,43,11,148,157,2,91,416,270,106,7,5,0,1,244,2,34,388,1,0,1,508,3738,1874,1864,7.358267716535433,100.53648068669527,182,321,0,4,0,1,83,59,13,171,129,51,2,491,2,0,15,818,868,507,380,277,413,34,75,3662,1833,1829,13,9,4,48,23,25,4,1,3,1,1,0,5,3,2,0,0,0,2,2,0,3,2,1,23,10,13,749,431,318,281,196,85,145,110,35,118,96,22,42,28,14,17,14,3,5,4,1,4,4,0,1,1,0,17,10,7,3246,1619,1627,1348,873,475,117,52,65,1776,693,1083,5,1,4,41.52803450400493,53.922174181593576,29.194837123540257,94,9,363,33,1,0,6,2,464,36,7,1
BARA,AMLEKHGANJ,1150,6,167,0,1,11,12,23,1102,0,0,65,57,86,36,24,38,615,16,669,1,31,191,1136,542,750,764,40,10,75,953,31,129,210,2,197,43,1370,6709,3413,3296,4.897080291970803,103.5497572815534,1187,156,2,0,1,24,30,572,663,67,0,6,32,1231,89,45,5,1456,1454,741,684,652,718,63,52,6598,3361,3237,42,26,16,25,10,15,16,7,9,0,0,0,13,4,9,3,2,1,12,3,9,0,0,0,87,48,39,1764,939,825,862,501,361,431,260,171,383,226,157,209,110,99,84,51,33,20,12,8,2,1,1,123,73,50,14,7,7,6135,3111,3024,3962,2218,1744,174,86,88,1996,806,1190,3,1,2,64.5802770986145,71.29540340726454,57.67195767195767,219,893,52,173,1,0,1,31,541,503,302,24
BARA,AMRITGANG,1066,36,9,337,3,0,9,6,27,1421,1,4,4,1,4,4,810,275,13,213,150,5,114,1348,599,480,61,26,2,12,865,49,189,1229,34,9,4,1466,9133,4609,4524,6.229877216916781,101.8788682581786,1027,417,1,16,1,4,575,285,35,472,18,75,6,1453,6,3,4,1996,1896,1290,1129,700,763,6,4,8712,4367,4345,92,58,34,189,107,82,46,24,22,15,7,8,33,25,8,27,12,15,10,5,5,9,4,5,156,83,73,2295,1337,958,826,512,314,365,250,115,387,265,122,155,113,42,55,49,6,13,11,2,9,5,4,12,4,8,7,5,2,8097,4116,3981,4185,2591,1594,71,33,38,3841,1492,2349,0,0,0,51.685809559095965,62.949465500485914,40.04019090680733,292,15,868,268,2,0,16,5,1044,346,70,6
BARA,AMAB,912,3,0,12,1,0,0,0,3,885,0,40,0,0,0,0,4,68,349,502,5,0,84,811,392,372,78,6,7,17,612,1,62,736,29,5,33,928,5258,2566,2692,5.665948275862069,95.31946508172364,636,289,1,2,0,0,9,127,2,778,3,9,0,922,4,0,2,1181,1204,799,718,372,478,10,8,5103,2476,2627,51,28,23,56,39,17,20,10,10,2,1,1,12,6,6,4,4,0,1,0,1,9,2,7,244,132,112,1145,652,493,608,387,221,276,181,95,322,202,120,64,43,21,14,12,2,1,1,0,0,0,0,52,33,19,1,0,1,4792,2330,2462,2673,1616,1057,82,33,49,2036,681,1355,1,0,1,55.78046744574291,69.35622317596567,42.93257514216084,16,5,826,77,0,0,4,0,897,29,2,0
BARA,BABUAIN,265,6,2,251,1,0,2,11,2,514,1,10,0,0,0,11,19,110,33,365,1,10,44,484,110,131,1,0,0,14,356,1,30,448,1,0,10,538,3459,1778,1681,6.429368029739777,105.7703747769185,261,265,0,1,0,11,24,128,150,226,0,0,10,538,0,0,0,758,739,500,426,236,307,22,6,3423,1762,1661,16,9,7,6,1,5,1,0,1,1,0,1,2,1,1,2,0,2,4,2,2,4,3,1,119,55,64,815,505,310,361,238,123,156,120,36,97,78,19,69,53,16,43,36,7,14,12,2,1,0,1,2,1,1,1,0,1,2981,1536,1445,1601,1063,538,79,38,41,1300,435,865,1,0,1,53.70680979537068,69.20572916666666,37.2318339100346,106,3,354,59,5,0,0,11,461,63,3,11
BARA,BACHHANPURWA,855,6,0,0,30,0,15,1,4,872,1,0,0,0,29,1,40,132,171,519,43,2,100,780,346,395,42,9,2,19,553,0,74,676,6,10,27,907,4860,2284,2576,5.35832414553473,88.66459627329193,770,133,0,3,0,1,11,192,3,650,25,24,2,873,3,0,31,959,1145,650,636,298,490,11,19,4769,2233,2536,29,20,9,20,7,13,13,7,6,1,1,0,16,10,6,10,6,4,1,0,1,1,0,1,236,118,118,1036,574,462,462,275,187,241,149,92,223,125,98,95,63,32,27,24,3,7,7,0,2,0,2,35,20,15,11,7,4,4356,2030,2326,2264,1307,957,73,34,39,2015,688,1327,4,1,3,51.974288337924705,64.38423645320196,41.14359415305245,71,64,646,123,1,0,0,2,778,99,29,1
BARA,BADAKI FULBARIYA,462,27,2,386,1,0,0,26,4,868,4,4,0,0,0,24,251,142,20,361,115,15,115,772,274,95,2,7,1,2,417,6,91,696,4,0,17,904,7107,3739,3368,7.861725663716814,111.01543942992873,102,772,0,4,0,26,165,179,23,397,11,113,16,897,1,0,6,1755,1518,758,528,843,806,154,184,6951,3644,3307,46,29,17,33,20,13,33,15,18,0,0,0,17,14,3,8,8,0,11,7,4,8,2,6,57,39,18,1396,837,559,520,360,160,169,122,47,183,146,37,75,64,11,20,17,3,6,5,1,2,0,2,3,3,0,33,17,16,6187,3271,2916,2389,1571,818,299,146,153,3488,1548,1940,11,6,5,38.61322127040569,48.02812595536533,28.052126200274348,257,8,453,157,12,0,2,15,757,75,47,25
BARA,BAGAHI,39,8,0,389,0,0,1,14,3,430,1,1,0,0,4,12,86,49,0,106,198,12,27,405,83,53,3,1,0,3,240,4,45,385,3,0,19,451,3491,1811,1680,7.740576496674057,107.79761904761904,134,302,1,0,0,14,69,43,4,117,11,195,12,451,0,0,0,838,848,487,319,290,384,61,145,3473,1801,1672,9,6,3,3,1,2,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,3,1,2,10,7,3,634,369,265,257,189,68,145,124,21,97,72,25,59,47,12,13,12,1,3,3,0,3,3,0,11,6,5,13,4,9,3155,1639,1516,1231,829,402,192,74,118,1732,736,996,0,0,0,39.01743264659271,50.57962172056132,26.517150395778366,82,2,313,40,0,0,0,14,397,30,10,14
BARA,BAHUARI,605,4,23,6,0,0,0,8,6,631,1,0,0,0,0,8,5,503,4,127,0,7,24,621,432,327,154,27,3,6,336,7,127,534,0,15,1,646,4965,2574,2391,7.685758513931889,107.65370138017565,572,63,0,3,0,8,11,501,8,117,2,0,7,643,3,0,0,1110,1078,695,620,404,453,11,5,4958,2572,2386,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,29,11,18,1391,787,604,608,386,222,337,263,74,207,157,50,107,78,29,73,62,11,31,27,4,0,0,0,6,4,2,2,1,1,4477,2316,2161,2789,1775,1014,95,53,42,1581,486,1095,12,2,10,62.29618047799866,76.64075993091537,46.92272096251735,96,6,76,450,2,0,0,16,403,224,11,8
BARA,BALIRAMPUR,560,6,1,439,1,0,3,4,226,727,16,19,7,0,15,4,43,355,99,499,11,7,38,967,420,357,6,8,1,6,467,11,94,913,35,3,9,1014,7126,3685,3441,7.0276134122287965,107.09096192967161,646,352,1,4,7,4,39,409,8,548,1,2,7,1010,1,1,2,1672,1622,854,676,764,874,54,72,6993,3619,3374,29,12,17,75,32,43,4,3,1,1,1,0,11,7,4,8,6,2,1,1,0,4,4,0,70,39,31,1574,941,633,536,373,163,279,214,65,206,150,56,119,100,19,39,34,5,2,2,0,0,0,0,15,15,0,12,8,4,6262,3224,3038,2851,1875,976,111,54,57,3298,1295,2003,2,0,2,45.528585116576174,58.1575682382134,32.126398946675444,195,11,559,238,3,0,1,7,941,39,30,4
