DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
BARDIYA,BADALPUR,1003,0,9,86,117,0,2,0,2,1194,2,0,0,0,19,0,4,58,1,1153,1,0,78,1138,551,436,14,12,3,2,845,0,34,963,0,7,1,1217,6881,3415,3466,5.654067378800328,98.52856318522792,882,321,0,11,3,0,11,57,4,321,4,820,0,1212,2,0,3,1471,1548,1008,1030,450,498,13,20,6809,3373,3436,26,18,8,9,2,7,10,4,6,0,0,0,8,5,3,6,4,2,4,3,1,9,6,3,212,107,105,1677,943,734,1109,635,474,479,270,209,406,256,150,131,89,42,35,29,6,4,3,1,4,4,0,333,106,227,4,2,2,6389,3160,3229,4171,2339,1832,147,67,80,2071,754,1317,0,0,0,65.28408201596494,74.01898734177215,56.73583152678848,275,873,46,17,1,0,4,1,801,124,292,0
BARDIYA,BAGANAHA,2250,1,27,0,200,0,0,4,11,2449,4,14,0,0,0,4,1171,113,49,1103,39,7,196,2244,1246,567,44,32,10,39,1638,6,77,1843,59,11,42,2482,13048,6188,6860,5.257050765511684,90.20408163265307,1304,313,8,91,762,4,1159,169,9,252,144,737,12,2455,16,1,10,2704,3017,2098,2062,596,935,10,20,12791,6040,6751,103,73,30,42,21,21,38,16,22,1,0,1,32,18,14,15,10,5,3,1,2,23,9,14,368,187,181,3170,1710,1460,1814,971,843,863,488,375,606,350,256,367,228,139,65,48,17,29,25,4,2,1,1,408,167,241,1,0,1,11738,5539,6199,7419,4031,3388,268,123,145,4049,1385,2664,2,0,2,63.20497529391719,72.77486910994764,54.653976447814166,299,153,1792,195,1,0,36,6,1024,750,704,4
BARDIYA,BANIYABHAR,3314,7,15,6,216,0,0,3,39,3499,8,10,1,0,2,2,1460,124,2,1965,7,3,316,3208,1531,521,23,29,10,34,2121,4,106,2979,171,17,37,3561,17682,8571,9111,4.965459140690817,94.07309845242015,2007,130,6,25,1390,3,1400,100,56,1265,118,619,3,3525,23,3,10,3862,4383,2839,2936,997,1411,26,36,17153,8283,8870,156,89,67,141,68,73,118,62,56,13,6,7,35,25,10,23,14,9,12,7,5,31,17,14,779,404,375,4870,2654,2216,2603,1473,1130,886,568,318,703,431,272,173,122,51,43,33,10,13,11,2,1,1,0,821,213,608,7,4,3,15979,7702,8277,10508,5711,4797,358,140,218,5111,1849,3262,2,2,0,65.76131172163464,74.14957153985978,57.95578108010149,1249,50,2037,101,7,0,113,4,2206,594,758,3
BARDIYA,BELAWA,3135,11,26,4,53,0,4,2,396,2317,68,17,247,61,127,2,1721,171,12,868,456,7,495,2713,1354,550,29,20,0,133,1574,15,58,2067,24,14,27,3235,15568,7447,8121,4.812364760432766,91.70052949144194,1615,629,5,249,735,2,1320,263,226,180,1115,122,9,3117,104,5,9,3416,3740,2541,2448,818,1210,57,82,15284,7281,8003,121,78,43,52,26,26,28,16,12,12,7,5,16,9,7,19,13,6,14,7,7,22,10,12,487,264,223,4344,2365,1979,2272,1139,1133,965,559,406,577,341,236,206,140,66,52,31,21,6,6,0,4,0,4,334,147,187,7,2,5,13968,6605,7363,9022,4868,4154,240,115,125,4696,1619,3077,10,3,7,64.59049255441009,73.70174110522332,56.41722124134184,1150,399,1504,131,9,0,25,17,2561,242,430,2
BARDIYA,BHIMAPUR,1662,5,5,0,59,1,1,4,210,1520,1,1,0,0,1,4,9,88,8,1616,10,6,194,1481,728,406,21,17,3,9,1090,0,37,1241,67,11,62,1737,10053,4857,5196,5.787564766839378,93.4757505773672,795,914,7,13,4,4,21,88,7,691,3,920,7,1728,4,2,3,2270,2453,1598,1560,659,872,13,21,9934,4787,5147,38,24,14,30,15,15,12,9,3,5,2,3,14,6,8,8,5,3,3,1,2,9,8,1,162,90,72,2753,1532,1221,1451,794,657,678,367,311,329,207,122,129,81,48,38,30,8,7,5,2,0,0,0,214,87,127,7,2,5,9148,4404,4744,5638,3123,2515,193,77,116,3310,1203,2107,7,1,6,61.630957586357674,70.91280653950953,53.01433389544689,878,731,95,22,0,0,1,10,1125,134,474,4
BARDIYA,DAULATPUR,1312,11,13,3,76,0,0,1,33,1359,2,10,2,0,9,1,40,149,16,1083,128,0,115,1294,667,408,13,8,0,1,814,0,38,1086,1,3,7,1416,7524,3575,3949,5.313559322033898,90.5292479108635,1098,277,18,21,1,1,37,169,59,614,7,529,1,1405,4,0,7,1560,1763,1086,1177,459,568,15,18,7444,3535,3909,27,16,11,20,8,12,13,5,8,4,3,1,5,2,3,4,3,1,0,0,0,7,3,4,98,52,46,1853,993,860,1074,575,499,475,268,207,348,198,150,104,68,36,22,15,7,3,2,1,6,2,4,129,58,71,3,2,1,6893,3257,3636,4083,2219,1864,51,24,27,2758,1013,1745,1,1,0,59.23400551283912,68.13018114829597,51.26512651265126,299,759,321,30,6,0,1,0,1014,184,217,1
BARDIYA,DEUDAKALA,3462,11,76,3,223,0,0,22,21,3698,5,4,1,0,46,22,1516,482,90,1429,251,29,251,3499,2023,1214,134,48,14,110,2611,25,137,2975,177,47,47,3797,19221,8952,10269,5.062154332367658,87.1749926964651,2723,994,6,9,43,22,1387,564,303,537,839,135,32,3659,40,6,92,3952,4632,3071,3229,817,1287,64,116,18875,8755,10120,135,76,59,52,35,17,51,27,24,11,5,6,38,22,16,27,17,10,6,5,1,26,10,16,554,298,256,5224,2660,2564,3126,1639,1487,1350,691,659,999,528,471,356,199,157,81,56,25,22,20,2,4,1,3,338,111,227,42,22,20,17529,8081,9448,11721,6034,5687,610,251,359,5185,1791,3394,13,5,8,66.86633578641108,74.66897661180548,60.192633361558,690,537,2135,365,9,0,29,32,1949,588,1238,22
BARDIYA,DHADHAWAR,3950,22,89,16,280,0,2,10,74,4138,2,22,5,1,117,10,2373,173,21,1144,648,10,395,3935,2078,762,125,48,10,72,2652,12,120,3447,152,33,39,4369,22882,11195,11687,5.237354085603113,95.79019423290835,2548,953,6,104,749,9,2293,200,112,925,587,240,12,4272,40,28,29,5008,5554,3718,3846,1259,1667,31,41,22379,10933,11446,188,110,78,112,53,59,71,32,39,18,8,10,45,25,20,23,11,12,17,6,11,29,17,12,531,280,251,5826,3143,2683,3611,1923,1688,1445,814,631,903,551,352,399,258,141,84,62,22,27,25,2,24,15,9,721,333,388,12,5,7,20879,10143,10736,13279,7264,6015,441,199,242,7153,2679,4474,6,1,5,63.599789261937836,71.61589273390516,56.02645305514158,1208,386,2275,409,7,0,70,14,2397,663,1300,9
BARDIYA,DHODHARI,1712,6,26,2,138,0,0,14,17,1749,3,95,0,14,6,14,773,116,9,980,2,18,87,1766,884,324,16,14,1,13,1016,8,50,1575,2,20,45,1898,10059,4827,5232,5.299789251844047,92.2591743119266,715,165,6,322,676,14,761,120,17,816,34,132,18,1868,13,1,16,2175,2501,1608,1646,549,822,18,33,9975,4791,5184,29,14,15,19,9,10,17,7,10,1,0,1,6,2,4,6,2,4,5,2,3,1,0,1,265,141,124,2612,1385,1227,1380,730,650,472,280,192,346,196,150,116,82,34,33,23,10,10,8,2,6,3,3,380,156,224,14,6,8,9138,4367,4771,5451,2922,2529,185,73,112,3501,1372,2129,1,0,1,59.65200262639527,66.9109228303183,53.0077551875917,473,58,1273,69,3,0,1,21,963,326,596,13
BARDIYA,GOLA,1023,2,3,1,135,1,0,1,8,1130,0,3,2,18,4,1,3,82,8,1072,0,1,141,1015,782,302,25,5,0,77,752,0,33,766,1,7,10,1166,6814,3234,3580,5.843910806174957,90.33519553072625,801,274,0,34,56,1,3,88,0,450,0,624,1,1157,3,0,6,1492,1616,1159,1140,324,457,9,19,6626,3135,3491,65,40,25,39,16,23,31,11,20,0,0,0,17,11,6,9,5,4,10,5,5,17,11,6,313,166,147,1788,983,805,967,510,457,499,307,192,287,161,126,116,70,46,19,17,2,9,8,1,3,3,0,323,106,217,1,0,1,6200,2923,3277,4189,2264,1925,27,13,14,1983,646,1337,1,0,1,67.56451612903226,77.45466985973314,58.742752517546535,527,381,237,18,1,0,1,1,826,168,171,1
