DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
BHAKTAPUR,BAGESWORI,738,12,370,0,10,1,2,4,963,4,12,10,115,3,26,4,810,290,23,6,0,8,12,1100,770,977,300,171,59,238,885,9,183,89,0,81,25,1137,5385,2609,2776,4.736147757255937,93.98414985590779,1091,28,8,0,6,4,789,322,1,13,3,0,9,1018,101,7,11,761,853,583,595,142,217,36,41,5343,2592,2751,17,8,9,3,1,2,1,0,1,1,1,0,8,1,7,0,0,0,2,2,0,10,4,6,83,50,33,981,482,499,701,373,328,658,382,276,607,365,242,458,265,193,163,111,52,33,25,8,0,0,0,218,104,114,50,29,21,5046,2440,2606,3928,2173,1755,169,73,96,938,191,747,11,3,8,77.84383670233849,89.05737704918033,67.34458940905603,74,529,203,319,0,0,2,10,96,802,235,4
BHAKTAPUR,BALKOT,303,115,3528,14,3,0,7,29,2711,606,334,80,147,0,97,24,784,1691,1450,6,12,56,52,3913,2496,3232,2502,1674,844,1364,3525,161,1338,398,7,1185,34,3999,15881,7977,7904,3.971242810702676,100.9235829959514,3935,15,17,3,1,28,615,3285,10,5,13,9,62,2203,1741,6,49,2169,2102,1728,1568,415,502,26,32,15754,7912,7842,50,29,21,11,6,5,17,6,11,9,3,6,15,9,6,12,8,4,4,1,3,9,3,6,386,206,180,2488,1236,1252,1760,943,817,1426,767,659,2282,1167,1115,2102,1119,983,1335,846,489,635,466,169,14,9,5,450,182,268,25,7,18,14755,7375,7380,12879,6938,5941,192,71,121,1681,366,1315,3,0,3,87.28566587597425,94.07457627118644,80.50135501355014,25,322,229,3338,15,0,6,64,11,3821,139,28
BHAKTAPUR,BHAKTAPUR MUNICIPALITY,3337,777,12650,12,4,81,685,93,15998,107,444,217,350,4,425,94,8623,4154,4513,53,14,282,424,17033,8640,15036,9889,5352,2198,4816,15418,647,4939,3684,92,3130,182,17639,81748,41081,40667,4.6345030897443165,101.0180244424226,17395,65,61,2,17,99,8320,8923,53,37,10,10,286,11796,5569,151,123,12513,11563,9176,8493,3095,2836,242,234,80897,40639,40258,285,150,135,114,54,60,164,86,78,28,12,16,81,52,29,80,36,44,35,17,18,64,35,29,2134,1142,992,14790,8146,6644,11535,6507,5028,8387,4689,3698,9332,5200,4132,8159,4389,3770,3649,2209,1440,1197,808,389,65,36,29,2763,1262,1501,395,210,185,76695,38376,38319,62283,34531,27752,1037,456,581,13336,3375,9961,39,14,25,81.20868374731077,89.98071711486345,72.42360186852476,91,8055,910,8190,40,4,24,325,50,16900,590,99
BHAKTAPUR,CHANGUNARAYAN,951,9,407,0,2,2,0,3,906,41,170,97,152,1,4,3,1033,221,99,14,4,3,32,1304,882,1147,462,184,57,198,1062,12,260,21,2,109,38,1374,6211,2985,3226,4.52037845705968,92.52944823310601,1350,16,0,0,5,3,837,353,2,14,161,4,3,1257,103,0,14,1020,1161,771,790,219,323,30,48,6123,2937,3186,54,26,28,10,7,3,6,4,2,0,0,0,6,3,3,5,4,1,1,1,0,6,3,3,132,65,67,1312,674,638,872,496,376,777,451,326,366,224,142,426,228,198,125,90,35,33,26,7,1,0,1,205,107,98,117,47,70,5790,2771,3019,4344,2396,1948,216,95,121,1227,279,948,3,1,2,75.02590673575129,86.46697942980873,64.52467704537926,82,786,146,340,14,0,1,5,299,859,213,3
BHAKTAPUR,CHHALING,1381,6,383,1,9,3,30,4,1407,9,61,126,176,5,29,4,1525,196,69,16,6,5,75,1723,1094,1591,483,270,66,315,1489,25,362,211,8,118,19,1817,8129,3851,4278,4.473858007705008,90.01870032725573,1757,30,14,1,11,4,1305,340,7,20,132,2,11,1672,102,3,40,1162,1367,850,952,293,394,19,21,7933,3749,4184,62,29,33,47,21,26,25,12,13,1,0,1,23,18,5,19,12,7,8,4,4,11,6,5,156,78,78,1400,683,717,1249,636,613,978,537,441,861,532,329,607,341,266,256,154,102,58,51,7,3,1,2,192,97,95,26,12,14,7584,3535,4049,5742,3097,2645,84,34,50,1756,403,1353,2,1,1,75.7120253164557,87.6096181046676,65.3247715485305,76,699,689,346,2,0,0,5,223,852,738,4
BHAKTAPUR,CHITAPOL,896,12,354,0,6,4,1,1,906,4,125,93,142,0,3,1,954,272,31,9,2,6,74,1194,612,1051,512,189,60,184,961,23,217,27,1,126,6,1274,5619,2758,2861,4.410518053375196,96.3998601887452,1222,29,15,3,4,1,854,326,12,9,67,0,6,1171,97,2,4,841,891,675,642,148,226,18,23,5571,2732,2839,18,8,10,7,4,3,6,4,2,0,0,0,9,6,3,5,4,1,2,0,2,1,0,1,87,48,39,1169,621,548,857,456,401,628,356,272,628,396,232,371,225,146,131,94,37,23,18,5,10,4,6,79,45,34,6,3,3,5255,2558,2697,3986,2264,1722,23,6,17,1236,287,949,10,1,9,75.85156993339677,88.50664581704457,63.84872080088988,42,687,224,308,4,0,0,9,48,785,440,1
BHAKTAPUR,DADHIKOT,700,52,1914,4,1,0,2,15,2442,11,100,2,90,0,30,13,973,661,1024,5,6,19,54,2612,1615,2343,1394,841,307,763,2402,67,803,274,6,408,22,2688,11629,5859,5770,4.326264880952381,101.5424610051993,2643,19,5,1,3,17,891,1707,16,27,19,7,21,1905,749,10,24,1702,1598,1294,1162,353,386,55,50,11553,5815,5738,17,13,4,13,3,10,10,5,5,3,1,2,10,5,5,14,9,5,5,4,1,4,4,0,266,153,113,2010,1056,954,1555,839,716,1286,710,576,1519,883,636,1240,694,546,622,406,216,232,169,63,4,1,3,116,43,73,59,29,30,10859,5426,5433,8901,4976,3925,200,86,114,1758,364,1394,0,0,0,81.96887374528042,91.70659786214522,72.24369593226578,43,558,333,1714,9,0,4,27,32,2414,225,17
BHAKTAPUR,DUWAKOT,459,69,1819,4,3,7,2,49,1279,217,403,178,218,2,67,48,825,867,588,25,5,102,40,2305,1483,1949,1121,557,188,545,1985,68,731,224,2,317,67,2412,10461,5321,5140,4.337064676616915,103.52140077821012,2322,30,6,3,2,49,760,1485,20,29,15,0,103,1692,700,5,15,1564,1608,1180,1170,321,392,63,46,10367,5273,5094,44,23,21,8,4,4,20,7,13,0,0,0,8,4,4,6,3,3,1,1,0,7,6,1,226,115,111,1972,984,988,1429,759,670,1112,609,503,1197,737,460,1090,701,389,382,238,144,127,92,35,7,5,2,372,174,198,87,49,38,9727,4920,4807,7986,4452,3534,187,85,102,1520,368,1152,34,15,19,82.10136732805593,90.48780487804878,73.51778656126481,48,492,305,1447,1,2,9,108,40,1932,390,50
BHAKTAPUR,GUNDU,993,10,200,0,12,1,41,0,1170,1,21,28,35,0,1,1,990,221,42,1,2,1,77,1177,835,1004,552,220,67,304,1022,17,369,76,2,100,3,1257,5689,2735,2954,4.525855210819412,92.58632362897767,1227,21,6,1,1,1,916,305,4,4,27,0,1,1217,35,0,5,799,832,623,614,146,192,30,26,5631,2705,2926,21,10,11,6,5,1,9,5,4,3,1,2,8,4,4,3,3,0,3,1,2,5,1,4,133,70,63,975,504,471,784,438,346,671,376,295,593,342,251,459,254,205,214,148,66,44,34,10,2,2,0,428,180,248,4,3,1,5368,2568,2800,4302,2348,1954,59,25,34,1007,195,812,0,0,0,80.14157973174366,91.43302180685359,69.78571428571428,38,587,344,286,0,0,1,1,116,722,418,1
BHAKTAPUR,JHAUKHEL,795,25,772,3,6,2,11,17,994,176,269,142,23,0,10,17,967,557,86,1,5,15,27,1569,859,1405,775,371,119,417,1237,31,451,212,18,181,35,1631,7721,3908,3813,4.733905579399142,102.4914765276685,1585,19,3,6,1,17,908,638,5,4,57,3,16,1467,156,3,5,1177,1121,915,849,226,244,36,28,7610,3859,3751,40,20,20,22,7,15,19,8,11,1,0,1,13,9,4,7,2,5,3,2,1,6,1,5,199,106,93,1304,685,619,1077,582,495,923,533,390,815,485,330,725,438,287,325,203,122,96,78,18,2,2,0,226,106,120,6,4,2,7275,3660,3615,5672,3205,2467,175,77,98,1424,378,1046,4,0,4,77.96563573883162,87.56830601092896,68.24343015214384,41,584,332,651,2,1,2,18,79,1092,443,17
