DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
BHOJPUR,AAMTEP,571,1,0,0,0,0,0,3,358,0,0,50,164,0,0,3,560,0,0,5,6,4,108,467,379,28,0,0,3,5,409,0,0,0,0,0,0,575,2635,1187,1448,4.582608695652174,81.97513812154696,5,145,1,302,119,3,559,0,0,11,0,0,5,558,10,0,7,458,595,365,437,92,157,1,1,2572,1151,1421,23,12,11,13,8,5,12,8,4,4,1,3,4,1,3,6,5,1,0,0,0,1,1,0,53,18,35,669,324,345,365,174,191,162,89,73,183,95,88,32,21,11,16,15,1,0,0,0,0,0,0,50,32,18,0,0,0,2352,1037,1315,1452,736,716,222,103,119,678,198,480,0,0,0,61.73469387755102,70.97396335583413,54.448669201520914,446,51,74,0,0,0,0,4,145,133,294,3
BHOJPUR,ANNAPURNA,323,0,2,1,1,0,0,0,270,0,0,10,47,0,0,0,324,0,1,1,1,0,67,254,225,58,5,2,1,1,214,0,1,2,1,0,6,327,1545,728,817,4.724770642201835,89.10648714810281,0,65,2,230,30,0,324,1,0,2,0,0,0,303,12,2,10,305,320,241,245,64,75,0,0,1512,712,800,18,8,10,2,1,1,6,4,2,0,0,0,4,1,3,2,1,1,0,0,0,1,1,0,56,39,17,412,225,187,202,94,108,133,61,72,153,82,71,45,25,20,10,7,3,6,6,0,1,0,1,84,34,50,0,0,0,1422,661,761,1085,560,525,16,9,7,321,92,229,0,0,0,76.30098452883263,84.72012102874432,68.98817345597898,225,42,59,1,0,0,0,0,16,14,297,0
BHOJPUR,BAIKUNTHE,577,0,0,0,1,0,0,3,430,1,0,84,56,7,0,3,573,0,0,4,0,4,158,399,336,31,0,0,0,7,233,0,1,0,0,0,24,581,2731,1235,1496,4.700516351118761,82.55347593582889,45,141,0,186,206,3,566,0,2,8,0,0,5,558,10,1,12,535,674,397,485,135,188,3,1,2646,1188,1458,45,21,24,6,5,1,6,5,1,0,0,0,13,7,6,3,0,3,0,0,0,12,9,3,57,36,21,781,394,387,345,162,183,260,135,125,163,74,89,23,10,13,9,9,0,0,0,0,0,0,0,93,52,41,0,0,0,2492,1113,1379,1670,838,832,49,30,19,773,245,528,0,0,0,67.01444622792937,75.29200359389039,60.33357505438723,535,32,9,0,1,0,0,4,387,6,185,3
BHOJPUR,BASIKHORA,838,5,1,2,1,1,0,0,706,1,66,45,26,3,1,0,809,1,0,32,6,0,268,526,397,14,0,0,0,5,354,0,0,0,1,0,54,848,4094,1912,2182,4.827830188679245,87.62603116406966,12,253,9,403,171,0,807,1,2,37,0,1,0,839,5,0,4,859,982,694,739,148,222,17,21,3969,1850,2119,32,22,10,22,12,10,20,7,13,11,3,8,20,6,14,3,2,1,6,3,3,11,7,4,56,22,34,1314,679,635,541,275,266,327,170,157,155,82,73,42,25,17,7,7,0,0,0,0,2,2,0,72,46,26,15,7,8,3695,1718,1977,2452,1274,1178,68,29,39,1169,412,757,6,3,3,66.35994587280109,74.15599534342259,59.5852301466869,801,39,6,0,1,0,1,0,399,25,424,0
BHOJPUR,WASHINGTHARPU,345,0,0,0,0,0,0,0,193,0,28,22,97,5,0,0,344,0,0,0,0,1,106,239,217,7,1,1,0,2,87,0,0,0,0,0,0,345,1613,743,870,4.6753623188405795,85.40229885057471,20,93,0,133,99,0,344,0,0,0,0,0,1,333,9,0,3,349,382,275,268,71,114,3,0,1512,694,818,45,20,25,17,8,9,11,5,6,1,1,0,6,5,1,3,2,1,1,0,1,17,8,9,34,19,15,585,302,283,180,86,94,88,54,34,66,31,35,13,7,6,5,4,1,2,2,0,0,0,0,79,31,48,2,1,1,1431,659,772,1047,535,512,7,2,5,377,122,255,0,0,0,73.16561844863732,81.18361153262519,66.32124352331607,245,30,69,0,0,0,0,1,184,5,156,0
BHOJPUR,BASTEEM,536,3,0,1,1,0,1,1,335,2,26,127,51,0,1,1,527,1,0,8,6,1,129,414,332,19,0,3,0,1,311,0,0,4,0,0,0,543,2485,1153,1332,4.5764272559852675,86.56156156156156,4,68,1,414,55,1,523,2,1,14,0,2,1,516,22,1,4,487,583,343,363,136,214,8,6,2391,1108,1283,43,21,22,27,10,17,9,6,3,1,1,0,7,3,4,1,1,0,2,2,0,4,1,3,14,4,10,703,355,348,317,158,159,181,97,84,128,68,60,19,10,9,13,12,1,3,1,2,2,2,0,41,20,21,18,8,10,2258,1034,1224,1421,726,695,92,43,49,745,265,480,0,0,0,62.9317980513729,70.2127659574468,56.78104575163398,490,48,3,1,0,0,0,1,317,43,182,1
BHOJPUR,BHAISIPANKHA,530,3,0,0,0,0,2,0,488,0,3,13,27,4,0,0,532,0,0,3,0,0,156,375,272,38,1,0,0,12,281,0,0,0,0,0,4,535,2424,1145,1279,4.530841121495327,89.5230648944488,12,152,7,280,84,0,381,2,2,3,147,0,0,503,27,0,5,523,542,378,363,144,178,1,1,2400,1128,1272,5,4,1,8,7,1,2,1,1,0,0,0,5,2,3,2,1,1,0,0,0,2,2,0,17,11,6,753,399,354,467,254,213,200,95,105,158,87,71,17,9,8,4,4,0,1,1,0,0,0,0,20,13,7,1,0,1,2235,1037,1198,1615,859,756,29,16,13,591,162,429,0,0,0,72.25950782997764,82.8351012536162,63.10517529215359,331,129,71,0,3,0,1,0,29,38,468,0
BHOJPUR,BHOJPUR,1536,5,380,3,3,3,139,1,1781,1,4,17,266,0,0,1,1943,87,0,29,8,3,108,1930,1414,959,254,148,118,385,1668,6,10,12,4,6,32,2070,7446,3524,3922,3.597101449275362,89.8521162672106,1724,222,10,102,11,1,1586,98,10,32,337,3,4,1114,822,95,39,1207,1317,974,929,214,372,19,16,7312,3447,3865,63,37,26,20,12,8,17,8,9,0,0,0,18,12,6,8,5,3,2,0,2,6,3,3,104,65,39,1551,762,789,1075,546,529,857,445,412,1042,511,531,458,281,177,214,163,51,99,83,16,1,0,1,105,50,55,7,4,3,6856,3229,3627,5473,2886,2587,137,58,79,1244,285,959,2,0,2,79.82788798133022,89.37751625890368,71.32616487455196,396,1492,170,0,3,0,5,4,94,1396,579,1
BHOJPUR,YOON,358,1,1,2,0,0,1,0,243,1,11,58,44,6,0,0,356,0,0,1,6,0,77,286,263,13,4,1,0,2,89,0,0,0,0,0,0,363,1807,870,937,4.977961432506887,92.8495197438634,9,107,0,156,91,0,354,0,1,7,0,1,0,352,8,0,3,386,387,319,294,63,91,4,2,1745,838,907,28,20,8,7,1,6,6,2,4,2,1,1,5,2,3,3,2,1,0,0,0,11,4,7,58,33,25,513,269,244,238,144,94,136,77,59,116,68,48,29,17,12,4,2,2,1,1,0,0,0,0,56,29,27,0,0,0,1616,785,831,1074,598,476,94,43,51,448,144,304,0,0,0,66.46039603960396,76.17834394904459,57.28038507821901,329,28,3,0,0,2,1,0,179,5,179,0
BHOJPUR,BHULKE,508,3,0,1,2,0,1,1,352,0,12,77,74,0,0,1,513,0,0,2,0,1,82,418,371,33,1,2,4,5,338,0,0,0,0,0,16,516,2424,1127,1297,4.6976744186046515,86.89282960678489,6,84,0,379,46,1,512,0,0,2,1,0,1,509,7,0,0,484,556,367,389,117,167,0,0,2423,1127,1296,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,10,12,645,326,319,334,180,154,194,89,105,175,97,78,26,15,11,17,16,1,1,1,0,1,1,0,83,44,39,0,0,0,2213,1016,1197,1498,779,719,10,5,5,705,232,473,0,0,0,67.69091730682332,76.6732283464567,60.06683375104428,487,9,18,0,1,0,0,1,213,76,226,1
