DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
CHITWAN,AYODHYAPURI,2230,16,63,10,229,0,2,5,481,558,194,1053,67,159,38,5,174,164,18,2186,2,11,360,2100,1825,365,6,2,8,72,1499,4,70,311,13,3,95,2555,10693,4914,5779,4.185127201565558,85.03201245890293,6,480,3,1341,720,5,374,250,1517,198,4,200,12,1531,60,7,957,2143,2509,1580,1572,530,883,33,54,10243,4672,5571,115,72,43,77,42,35,121,53,68,6,4,2,49,19,30,25,14,11,24,16,8,33,22,11,197,102,95,3261,1657,1604,1360,614,746,630,304,326,396,223,173,157,99,58,29,20,9,9,5,4,3,1,2,534,268,266,13,9,4,9572,4341,5231,6433,3227,3206,246,115,131,2873,991,1882,20,8,12,67.20643543669034,74.33771020502189,61.288472567386734,1125,1298,65,34,9,0,8,16,319,1401,830,5
CHITWAN,BACHHAULI,1169,10,571,2,523,10,22,14,200,2090,6,1,4,0,6,14,221,994,208,874,7,17,52,2243,1489,1561,826,291,153,310,1981,109,483,1921,53,384,26,2321,10905,5387,5518,4.698405859543301,97.62595143167815,2195,92,8,2,10,14,139,1256,10,445,1,452,18,2017,202,10,92,1933,2076,1483,1478,428,583,22,15,10823,5340,5483,16,12,4,26,12,14,18,9,9,2,1,1,8,6,2,5,3,2,3,2,1,4,2,2,195,107,88,2419,1279,1140,1814,908,906,1154,624,530,939,550,389,555,342,213,164,116,48,20,15,5,7,3,4,517,256,261,27,20,7,10214,5011,5203,7775,4199,3576,71,34,37,2366,777,1589,2,1,1,76.12101037791267,83.79564957094392,68.72957908898712,248,1394,64,587,3,0,7,18,110,1553,644,14
CHITWAN,BAGAUDA,2074,13,141,7,290,0,3,4,303,1433,143,604,3,9,33,4,515,227,71,1709,5,5,264,2243,1750,726,33,22,57,69,1753,3,181,1389,33,8,25,2532,10913,4856,6057,4.3100315955766195,80.17170216278686,6,543,6,1750,223,4,475,447,403,967,34,201,5,2271,91,5,165,1965,2502,1494,1618,451,846,20,38,10425,4621,5804,134,66,68,186,80,106,64,29,35,17,10,7,41,25,16,23,11,12,11,8,3,12,6,6,183,99,84,2979,1466,1513,1801,827,974,789,357,432,578,329,249,214,121,93,54,39,15,16,12,4,3,1,2,397,184,213,8,5,3,10000,4385,5615,6923,3388,3535,263,117,146,2804,874,1930,10,6,4,69.23,77.26339794754847,62.95636687444346,360,620,1374,167,2,0,4,5,550,1590,388,4
CHITWAN,BHANDARA,2145,4,923,5,389,11,8,4,600,2752,78,34,1,0,20,4,1070,556,316,1536,6,5,199,3257,1862,1698,875,258,105,386,2859,58,364,2219,94,320,33,3489,16121,7529,8592,4.620521639438234,87.6280260707635,3217,239,7,5,17,4,998,1292,238,445,9,502,5,2359,275,24,831,3047,3411,2235,2325,744,993,68,93,15642,7288,8354,142,83,59,100,46,54,96,51,45,4,1,3,66,28,38,37,14,23,11,7,4,23,11,12,378,199,179,4173,2162,2011,2516,1209,1307,1403,711,692,1138,614,524,584,284,300,145,81,64,39,34,5,12,9,3,743,333,410,25,15,10,14873,6885,7988,11077,5613,5464,247,108,139,3538,1159,2379,11,5,6,74.47724063739662,81.52505446623094,68.40260390585878,302,2157,351,623,10,0,37,9,447,2082,956,4
CHITWAN,BHARATPUR MUNICIPALITY,7205,468,27421,30,1416,31,178,190,19236,13466,3443,404,40,8,152,190,5041,16447,13246,1469,266,470,948,35706,24088,22814,25431,9960,5634,9927,32203,1598,11885,22823,277,13651,285,36939,143836,71175,72661,3.8938790979723326,97.9548863902231,36178,433,68,33,27,200,2587,31461,705,715,131,840,500,20226,14823,940,950,24067,22408,17780,16450,5645,5419,642,539,140763,69550,71213,871,524,347,1139,574,565,359,169,190,65,28,37,200,112,88,157,78,79,91,48,43,191,92,99,2901,1600,1301,28150,14791,13359,21499,10702,10797,14293,7098,7195,18702,9605,9097,14728,7705,7023,6543,4045,2498,2551,1928,623,119,57,62,5079,2327,2752,321,159,162,134054,65938,68116,114407,59729,54678,1971,885,1086,17623,5304,12319,53,20,33,85.34396586450237,90.58357851314871,80.27188913030713,707,12718,145,22637,97,0,121,514,323,32952,3462,202
CHITWAN,BIRENDRANAGAR,1998,15,1024,7,317,1,4,8,2046,943,213,162,2,1,0,7,1541,447,514,855,6,11,161,3189,2016,1659,853,291,94,211,2733,72,444,2279,37,485,24,3374,14934,6909,8025,4.426200355660937,86.09345794392523,3213,136,8,2,7,8,1654,1181,178,113,190,46,12,2836,280,15,243,2571,2796,1952,1887,556,799,63,110,14530,6697,7833,119,74,45,66,25,41,88,42,46,8,4,4,49,26,23,28,15,13,15,8,7,31,18,13,288,159,129,3479,1779,1700,2590,1251,1339,1253,620,633,1409,703,706,635,326,309,182,104,78,28,20,8,11,4,7,775,361,414,23,9,14,13816,6320,7496,10547,5262,5285,242,131,111,3024,926,2098,3,1,2,76.3390272148234,83.25949367088607,70.5042689434365,230,2240,234,627,15,0,14,14,152,2374,840,8
CHITWAN,CHAINPUR,2016,10,1176,4,485,17,55,16,1347,1939,81,378,2,0,16,16,2148,811,342,427,24,27,113,3582,2271,2285,1606,324,217,274,3198,34,627,2821,48,549,84,3779,16786,7752,9034,4.441915850754167,85.80916537524907,3656,95,8,1,3,16,1999,1439,82,141,17,71,30,3363,305,39,72,2878,3211,2220,2241,600,869,58,101,16452,7572,8880,95,57,38,53,27,26,59,31,28,7,3,4,46,19,27,24,13,11,15,9,6,35,21,14,309,177,132,3813,1933,1880,2726,1296,1430,1587,785,802,1500,792,708,792,401,391,239,142,97,60,47,13,8,4,4,614,284,330,124,65,59,15625,7142,8483,11710,5889,5821,245,120,125,3658,1131,2527,12,2,10,74.944,82.45589470736489,68.61959212542732,331,2397,202,787,17,0,17,28,242,2976,545,16
CHITWAN,CHANDI BHANJYANG,823,4,16,1,0,0,0,3,771,0,0,38,11,24,0,3,739,35,2,67,0,4,115,704,662,43,4,0,0,3,272,0,10,7,0,5,28,847,4978,2460,2518,5.877213695395514,97.69658459094519,160,353,1,211,120,2,746,35,47,12,0,2,5,820,19,2,6,1180,1198,810,770,362,416,8,12,4848,2381,2467,45,27,18,30,16,14,17,10,7,1,1,0,10,8,2,6,3,3,1,1,0,20,13,7,202,97,105,1530,833,697,429,226,203,152,83,69,52,27,25,38,24,14,0,0,0,0,0,0,3,2,1,277,125,152,5,2,3,4353,2157,2196,2548,1349,1199,311,160,151,1492,646,846,2,2,0,58.534344130484726,62.54056560037089,54.59927140255009,444,357,29,9,3,0,0,5,94,326,424,3
CHITWAN,DAHAKHANI,934,3,0,1,0,0,0,1,843,28,1,49,1,16,0,1,391,3,3,539,1,2,171,767,572,35,9,0,0,3,514,1,42,287,4,2,1,939,4803,2304,2499,5.115015974440895,92.1968787515006,163,420,1,272,82,1,391,60,478,6,0,2,2,735,5,0,199,1077,1229,702,684,349,495,26,50,4716,2258,2458,18,12,6,17,9,8,14,9,5,10,2,8,8,3,5,4,1,3,2,2,0,14,8,6,148,71,77,1667,897,770,506,293,213,72,46,26,33,22,11,25,17,8,3,2,1,0,0,0,1,1,0,43,29,14,2,1,1,4246,2041,2205,2329,1291,1038,323,155,168,1594,595,999,0,0,0,54.85162505887895,63.253307202351785,47.074829931972786,434,466,31,2,4,0,0,2,144,254,540,1
CHITWAN,DARECHOK,1229,13,747,1,22,2,13,2,1994,4,1,10,14,3,1,2,942,590,238,247,6,6,181,1818,1168,779,820,134,42,184,1583,35,172,134,6,302,30,2029,9607,4836,4771,4.734844751108921,101.3623978201635,1854,164,0,4,5,2,937,854,160,37,3,32,6,1436,509,24,60,2032,1984,1498,1413,515,539,19,32,9396,4717,4679,82,47,35,44,24,20,24,17,7,3,1,2,28,14,14,9,4,5,3,2,1,18,10,8,256,150,106,2666,1420,1246,1413,730,683,782,430,352,527,282,245,389,214,175,95,73,22,32,26,6,1,1,0,795,440,355,26,16,10,8836,4437,4399,6838,3707,3131,253,103,150,1729,621,1108,16,6,10,77.38795835219557,83.54744196529187,71.17526710616049,296,1127,62,535,2,0,0,7,179,1639,209,2
