DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
DADELDHURA,AJAYAMERU,770,3,0,0,0,1,0,12,627,1,0,2,22,7,115,12,763,7,0,4,0,12,215,562,390,126,7,4,1,1,487,0,2,1,0,0,9,786,3852,1765,2087,4.900763358778626,84.57115476760902,538,53,2,7,174,12,734,36,3,1,0,0,12,759,17,3,7,818,907,660,622,147,275,11,10,3650,1651,1999,55,38,17,48,22,26,58,28,30,2,1,1,22,16,6,8,5,3,0,0,0,9,4,5,111,56,55,999,503,496,567,342,225,300,199,101,105,75,30,95,62,33,40,29,11,18,17,1,4,3,1,68,39,29,9,2,7,3450,1581,1869,2177,1259,918,142,68,74,1131,254,877,0,0,0,63.10144927536232,79.63314358001266,49.11717495987159,25,28,710,9,1,0,0,13,319,346,109,12
DADELDHURA,ALITAL,2365,1,2,1,2,0,1,7,1712,1,146,231,189,91,2,7,1793,68,6,497,2,13,562,1670,1316,147,49,8,1,22,1085,5,8,0,0,6,147,2379,13461,6446,7015,5.658259773013872,91.88880969351389,1072,166,4,247,883,7,1716,145,457,43,1,3,14,2304,45,6,24,2997,3466,2319,2427,633,946,45,93,13033,6211,6822,224,123,101,50,25,25,51,31,20,4,1,3,49,26,23,25,14,11,13,8,5,12,7,5,593,309,284,4263,2234,2029,1797,1078,719,609,370,239,326,213,113,200,146,54,46,39,7,7,7,0,9,6,3,295,125,170,41,15,26,11642,5524,6118,7667,4277,3390,292,132,160,3661,1108,2553,22,7,15,65.85638206493729,77.42577842143375,55.410264792415816,705,959,645,43,5,0,9,13,566,1244,562,7
DADELDHURA,AMARGADHI MUNICIPALITY,3990,24,691,2,6,6,40,19,3757,9,83,229,526,113,38,23,3549,581,430,181,4,33,1036,3656,1903,1327,856,300,152,351,3218,38,189,40,5,22,86,4778,21245,10003,11242,4.446421096693177,88.97882938978829,3947,246,17,18,527,23,3165,1369,170,17,1,22,34,3907,680,125,66,4118,4693,3404,3381,660,1232,54,80,20706,9699,11007,227,119,108,97,52,45,49,26,23,11,6,5,63,47,16,44,23,21,21,16,5,27,15,12,686,401,285,4895,2557,2338,3023,1614,1409,2062,1225,837,1030,618,412,1176,732,444,469,333,136,194,170,24,12,7,5,237,110,127,7,4,3,19068,8889,10179,13392,7547,5845,333,165,168,5336,1176,4160,7,1,6,70.23285084959093,84.90268871639105,57.42214362904018,201,618,2946,929,13,2,33,36,1570,2590,596,22
DADELDHURA,ASHIGRAM,641,0,4,2,1,0,0,2,492,3,0,9,31,111,2,2,576,7,21,44,0,2,146,498,382,164,33,6,2,17,381,6,18,13,0,9,6,650,3388,1573,1815,5.212307692307692,86.66666666666667,439,12,5,24,168,2,448,136,62,2,0,0,2,606,34,3,7,701,815,562,588,138,225,1,2,3207,1481,1726,76,36,40,22,14,8,21,10,11,3,1,2,37,18,19,8,5,3,8,5,3,6,3,3,198,100,98,931,494,437,539,307,232,289,174,115,78,47,31,95,58,37,18,15,3,2,2,0,0,0,0,36,10,26,2,1,1,3011,1373,1638,2043,1133,910,107,45,62,861,195,666,0,0,0,67.8512122218532,82.52002913328478,55.55555555555556,115,88,418,26,1,0,0,2,299,295,54,2
DADELDHURA,BAGARKOT,832,4,3,3,3,0,3,11,785,2,0,3,5,24,29,11,809,2,1,34,2,11,201,649,545,59,21,0,0,4,395,0,3,2,3,0,9,859,4632,2279,2353,5.392316647264261,96.85507862303443,343,40,11,97,357,11,760,29,44,12,0,3,11,821,18,0,20,1004,1087,770,755,225,316,9,16,4546,2233,2313,29,13,16,16,8,8,15,8,7,6,4,2,8,5,3,9,7,2,0,0,0,3,1,2,187,89,98,1324,707,617,701,434,267,343,242,101,131,96,35,94,61,33,28,24,4,2,1,1,3,3,0,23,15,8,1,0,1,4120,2005,2115,2720,1615,1105,47,22,25,1352,368,984,1,0,1,66.01941747572816,80.54862842892769,52.24586288416076,123,69,639,10,0,2,5,11,316,413,119,11
DADELDHURA,BELAPUR,1435,0,1,1,3,0,0,11,834,1,103,63,137,201,101,11,1425,4,0,9,0,13,589,837,761,10,0,0,0,3,439,0,1,0,0,0,25,1451,7374,3274,4100,5.082012405237767,79.85365853658537,42,103,2,214,1079,11,1389,37,9,0,1,2,13,1414,17,5,15,1562,1938,1215,1206,318,658,29,74,7081,3127,3954,157,74,83,43,21,22,44,22,22,2,1,1,21,14,7,16,8,8,2,2,0,8,5,3,220,118,102,2079,1081,998,926,546,380,383,247,136,145,100,45,99,67,32,23,23,0,9,9,0,10,8,2,97,53,44,3,1,2,6371,2766,3605,3751,2126,1625,159,76,83,2460,564,1896,1,0,1,58.8761575890755,76.86189443239336,45.07628294036061,120,25,1281,10,1,0,1,13,1134,189,117,11
DADELDHURA,BHADRAPUR,438,0,0,0,0,0,0,4,298,0,0,1,75,1,63,4,431,1,1,2,0,7,97,339,284,59,7,1,0,0,258,0,0,0,0,0,6,442,2165,962,1203,4.898190045248869,79.96674979218619,289,37,0,9,103,4,428,2,5,0,0,0,7,429,5,0,8,405,530,351,391,44,112,10,27,2069,902,1167,28,16,12,19,12,7,20,13,7,0,0,0,9,4,5,10,9,1,2,1,1,8,5,3,33,20,13,568,285,283,383,204,179,216,125,91,64,39,25,74,48,26,26,23,3,7,7,0,3,2,1,40,8,32,3,3,0,1952,851,1101,1376,744,632,79,27,52,497,80,417,0,0,0,70.49180327868852,87.42655699177439,57.402361489554956,7,3,422,1,0,0,0,9,90,260,88,4
DADELDHURA,BHAGESWOR,665,2,0,3,2,0,0,10,563,1,5,8,57,36,2,10,666,1,0,6,0,9,169,491,431,3,0,0,0,25,269,0,0,1,0,1,22,682,3717,1733,1984,5.4501466275659824,87.34879032258065,5,54,2,281,330,10,626,14,31,2,0,0,9,659,3,0,20,845,941,712,697,121,231,12,13,3479,1619,1860,62,31,31,85,32,53,36,18,18,6,2,4,22,15,7,11,7,4,7,6,1,9,3,6,105,54,51,1188,625,563,506,292,214,252,163,89,105,66,39,95,63,32,21,17,4,5,5,0,4,2,2,8,5,3,16,7,9,3334,1543,1791,2142,1216,926,162,82,80,1030,245,785,0,0,0,64.24715056988603,78.80751782242385,51.70295924064769,52,61,557,2,1,0,0,9,315,266,91,10
DADELDHURA,CHIPUR,551,0,1,0,0,0,1,2,337,0,0,5,49,10,152,2,551,0,0,0,0,4,149,401,324,73,6,0,0,0,289,1,0,0,2,0,5,555,2724,1251,1473,4.908108108108108,84.928716904277,329,30,0,37,157,2,544,7,0,0,0,0,4,519,11,1,24,545,670,458,483,86,186,1,1,2594,1182,1412,33,19,14,20,9,11,46,23,23,1,0,1,12,10,2,2,2,0,11,4,7,5,2,3,55,27,28,775,407,368,401,231,170,180,113,67,116,70,46,52,41,11,19,16,3,4,4,0,1,1,0,128,40,88,2,1,1,2458,1111,1347,1696,931,765,27,14,13,735,166,569,0,0,0,68.99918633034989,83.79837983798379,56.792873051224944,5,1,545,0,0,0,0,4,165,310,78,2
DADELDHURA,DEWAL DIBYAPUR,1011,3,2,0,0,1,0,6,722,0,0,30,105,17,143,6,993,17,1,2,0,10,323,688,583,42,14,3,0,5,362,0,0,2,0,0,12,1023,5879,2786,3093,5.746823069403715,90.07436146136438,370,146,0,58,443,6,982,25,0,2,1,3,10,1012,3,4,4,1270,1508,967,1023,274,456,29,29,5577,2636,2941,130,60,70,65,26,39,45,28,17,11,8,3,12,9,3,18,9,9,4,2,2,17,8,9,179,79,100,1567,801,766,778,473,305,295,189,106,139,86,53,87,66,21,32,28,4,6,6,0,0,0,0,173,103,70,3,3,0,5209,2433,2776,3079,1752,1327,166,82,84,1958,597,1361,6,2,4,59.10923401804568,72.0098643649815,47.80259365994236,17,21,857,4,0,0,114,10,426,224,368,5
