DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
DAILEKH,AWAL PARAJUL,751,0,0,0,3,0,0,12,431,2,3,39,271,9,0,11,749,0,1,1,0,15,209,539,359,36,0,1,0,0,431,0,0,0,0,0,18,766,4213,2039,2174,5.5,93.7902483900644,195,0,0,221,339,11,745,4,1,1,0,0,15,757,6,0,3,953,1045,676,690,223,240,54,115,4044,1931,2113,99,67,32,21,13,8,24,10,14,1,1,0,8,6,2,2,1,1,8,5,3,6,5,1,72,38,34,1107,625,482,494,274,220,273,153,120,119,78,41,105,67,38,9,7,2,8,7,1,3,2,1,8,2,6,29,9,20,3645,1751,1894,2113,1205,908,222,105,117,1304,440,864,6,1,5,57.96982167352538,68.81781838949172,47.94086589229145,184,6,548,1,9,3,0,15,392,256,107,11
DAILEKH,BADABHAIRAB,517,0,0,1,1,0,0,0,390,0,7,3,116,3,0,0,517,0,0,0,0,2,201,316,220,0,0,0,0,1,223,0,2,0,0,1,2,519,2995,1412,1583,5.770712909441233,89.19772583701831,1,5,2,330,181,0,509,1,4,0,0,3,2,505,2,0,12,667,837,532,619,134,218,1,0,2907,1362,1545,31,21,10,19,10,9,19,7,12,0,0,0,14,8,6,1,1,0,4,3,1,0,0,0,74,39,35,882,443,439,396,200,196,138,90,48,58,41,17,66,40,26,25,17,8,7,4,3,3,2,1,34,7,27,0,0,0,2576,1190,1386,1607,842,765,55,27,28,914,321,593,0,0,0,62.38354037267081,70.75630252100841,55.1948051948052,8,16,490,1,0,1,0,3,26,489,4,0
DAILEKH,BADAKHOLA,568,4,0,5,10,0,0,1,380,0,18,62,123,3,1,1,586,0,0,1,0,1,256,331,205,8,0,0,0,1,252,0,0,0,0,0,1,588,2775,1249,1526,4.719387755102041,81.84796854521625,15,115,2,275,180,1,568,3,15,1,0,0,1,579,3,0,6,578,677,483,520,93,156,2,1,2715,1212,1503,7,4,3,19,9,10,13,10,3,3,2,1,8,7,1,2,2,0,4,2,2,4,1,3,75,35,40,862,476,386,359,182,177,141,76,65,124,67,57,35,20,15,8,7,1,0,0,0,3,3,0,94,33,61,0,0,0,2463,1090,1373,1663,877,786,49,28,21,750,185,565,1,0,1,67.51928542427933,80.45871559633028,57.246904588492356,147,59,373,1,1,6,0,1,89,395,103,1
DAILEKH,BADALAMJI,1151,1,1,2,3,0,0,6,77,0,18,176,880,4,3,6,1144,8,0,4,1,7,608,546,402,5,0,0,1,2,434,0,5,2,0,0,10,1164,6325,3067,3258,5.433848797250859,94.13750767341928,4,41,0,546,568,5,1133,16,2,3,0,2,8,1143,13,0,8,1370,1522,944,1048,381,417,45,57,6080,2933,3147,133,73,60,35,20,15,25,10,15,10,4,6,21,15,6,10,5,5,5,3,2,6,4,2,184,100,84,1464,765,699,683,404,279,315,180,135,242,143,99,154,105,49,17,15,2,4,4,0,4,1,3,129,84,45,6,3,3,5492,2653,2839,2972,1683,1289,227,113,114,2289,856,1433,4,1,3,54.11507647487254,63.437617791179804,45.403311025008804,252,29,622,9,0,178,63,11,753,224,181,6
DAILEKH,BALUWATAR,576,1,1,4,6,0,0,14,393,1,1,41,135,15,2,14,588,0,0,0,0,14,177,402,348,6,0,1,1,0,136,0,0,0,0,0,23,602,3524,1736,1788,5.853820598006645,97.0917225950783,201,4,3,165,215,14,587,0,1,0,0,0,14,595,5,0,2,860,901,532,521,288,345,40,35,3454,1696,1758,30,16,14,11,9,2,10,6,4,0,0,0,4,0,4,6,3,3,0,0,0,9,6,3,26,13,13,1243,673,570,359,214,145,120,84,36,50,40,10,18,9,9,9,9,0,0,0,0,2,1,1,16,1,15,25,12,13,3009,1498,1511,1825,1038,787,351,175,176,832,284,548,1,1,0,60.65137919574609,69.29238985313752,52.08471211118465,428,21,139,0,0,0,0,14,471,49,68,14
DAILEKH,BANSI,772,0,4,0,1,0,0,8,343,0,6,199,181,47,1,8,770,2,0,1,2,10,440,317,162,0,0,1,0,0,254,0,1,0,0,0,28,785,4005,1813,2192,5.101910828025478,82.70985401459853,6,0,0,342,430,7,766,6,0,1,0,1,11,775,0,0,10,876,1040,680,703,190,325,6,12,3942,1776,2166,24,12,12,3,1,2,12,6,6,1,0,1,16,12,4,1,1,0,1,0,1,5,5,0,32,17,15,1255,707,548,446,242,204,194,99,95,97,62,35,37,19,18,13,11,2,1,1,0,4,3,1,119,43,76,2,1,1,3479,1561,1918,2191,1199,992,59,21,38,1229,341,888,0,0,0,62.97786720321932,76.80973734785394,51.72054223149114,103,19,605,1,0,33,11,13,346,328,103,8
DAILEKH,BARAHA,712,0,0,0,0,0,0,7,449,0,2,17,168,53,23,7,706,6,0,1,0,6,147,561,470,13,0,3,0,19,320,0,3,1,0,4,11,719,3863,1883,1980,5.372739916550765,95.1010101010101,54,2,0,324,332,7,704,7,1,0,0,0,7,702,13,0,4,903,910,703,649,189,244,11,17,3746,1819,1927,37,23,14,18,7,11,23,12,11,1,1,0,14,7,7,8,5,3,0,0,0,16,9,7,125,65,60,1086,591,495,510,297,213,346,221,125,116,68,48,69,40,29,16,12,4,3,3,0,1,0,1,54,11,43,3,3,0,3438,1659,1779,2219,1256,963,133,55,78,1086,348,738,0,0,0,64.543339150669,75.708257986739,54.131534569983145,348,112,196,15,6,35,0,7,226,309,177,7
DAILEKH,BELPATA,543,2,21,0,0,0,0,4,330,0,1,0,234,1,0,4,483,69,10,4,0,4,28,542,498,129,72,8,1,52,377,2,14,2,0,0,0,570,2721,1303,1418,4.773684210526316,91.88998589562765,464,67,0,4,31,4,471,91,0,3,0,1,4,474,95,1,0,581,647,479,471,102,174,0,2,2697,1292,1405,6,3,3,3,1,2,4,0,4,2,2,0,5,3,2,1,0,1,3,2,1,0,0,0,23,16,7,715,348,367,502,262,240,306,175,131,194,122,72,80,46,34,17,11,6,3,3,0,1,1,0,27,3,24,0,0,0,2473,1172,1301,1853,980,873,79,35,44,541,157,384,0,0,0,74.92923574605742,83.61774744027304,67.1022290545734,104,82,254,64,2,60,0,4,41,480,45,4
DAILEKH,BHAWANI,390,0,0,0,1,0,0,2,273,0,0,22,93,3,0,2,392,0,0,1,0,0,151,242,181,2,0,1,0,1,128,0,0,0,1,0,0,393,2197,1079,1118,5.590330788804072,96.51162790697676,62,10,0,76,243,2,392,0,1,0,0,0,0,383,3,0,7,526,555,349,365,175,187,2,3,2171,1070,1101,10,4,6,4,2,2,4,0,4,0,0,0,6,3,3,1,0,1,0,0,0,1,0,1,40,15,25,629,357,272,269,149,120,153,88,65,62,33,29,13,10,3,1,1,0,0,0,0,0,0,0,51,15,36,2,0,2,1877,906,971,1185,656,529,84,30,54,608,220,388,0,0,0,63.132658497602556,72.40618101545255,54.4799176107106,159,7,225,0,0,1,0,1,260,67,64,2
DAILEKH,BINDHYABASINI,573,1,0,0,0,0,0,3,358,0,33,75,107,1,0,3,562,0,0,1,0,14,150,422,395,1,0,0,0,0,230,0,1,0,0,1,5,577,2945,1343,1602,5.103986135181976,83.83270911360799,1,21,0,431,121,3,558,2,2,1,0,0,14,556,17,4,0,635,773,523,573,103,178,9,22,2860,1290,1570,37,22,15,19,15,4,17,10,7,0,0,0,6,4,2,1,0,1,1,1,0,4,1,3,102,51,51,807,415,392,417,214,203,196,104,92,86,49,37,48,26,22,8,4,4,2,2,0,0,0,0,144,72,72,10,5,5,2604,1169,1435,1774,917,857,109,34,75,721,218,503,0,0,0,68.12596006144393,78.44311377245509,59.7212543554007,103,7,439,0,0,9,0,19,286,220,68,3
