DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
DANG,BAGHMARE,1581,5,0,0,1,0,0,8,1469,1,0,65,18,34,0,8,1532,7,1,9,36,10,455,1116,840,157,0,8,0,5,802,1,8,21,0,3,24,1595,7787,3678,4109,4.882131661442006,89.51082988561694,379,730,3,208,267,8,990,21,8,1,542,21,12,1568,9,1,17,1628,1878,1193,1298,379,511,56,69,7585,3557,4028,70,44,26,33,22,11,30,13,17,14,7,7,21,13,8,10,7,3,4,2,2,20,13,7,167,88,79,1828,940,888,1254,609,645,516,273,243,309,177,132,163,96,67,34,24,10,5,5,0,5,2,3,65,46,19,42,23,19,6968,3262,3706,4299,2237,2062,166,79,87,2484,937,1547,19,9,10,61.69632606199771,68.57755977927653,55.63950350782515,449,188,936,4,2,0,2,14,883,398,306,8
DANG,BELA,2017,2,9,3,21,0,0,3,47,1001,35,589,18,310,52,3,873,18,3,957,199,5,383,1665,1065,304,0,19,1,10,1260,5,47,798,2,7,7,2055,11245,5409,5836,5.472019464720194,92.68334475668266,946,225,2,140,739,3,706,39,443,443,288,131,5,2024,28,1,2,2597,2965,1780,1730,780,1199,37,36,10991,5267,5724,89,52,37,40,20,20,33,19,14,4,3,1,46,27,19,9,2,7,12,8,4,21,11,10,412,238,174,3243,1739,1504,1304,722,582,434,243,191,247,158,89,95,62,33,21,20,1,7,7,0,1,0,1,408,234,174,10,5,5,9917,4718,5199,5782,3207,2575,350,181,169,3780,1329,2451,5,1,4,58.303922557224965,67.97371767698178,49.528755529909596,1806,120,14,105,2,0,2,6,1570,327,155,3
DANG,BIJAURI,2259,19,284,231,136,1,13,39,2042,22,222,332,125,185,17,37,2649,135,92,8,49,49,457,2492,1695,1027,257,62,15,88,2079,19,186,653,12,43,33,2982,13922,6596,7326,4.668678739101274,90.03549003549004,1903,871,14,127,28,39,1818,269,5,21,741,77,51,2747,185,31,19,2753,3186,1938,1992,681,1042,134,152,13693,6475,7218,81,44,37,41,14,27,41,23,18,2,1,1,19,11,8,18,12,6,1,1,0,26,15,11,332,187,145,3174,1616,1558,2056,978,1078,1047,569,478,823,464,359,412,255,157,238,173,65,73,57,16,7,4,3,667,340,327,37,20,17,12536,5882,6654,8762,4609,4153,223,100,123,3548,1172,2376,3,1,2,69.89470325462668,78.35770146208773,62.41358581304478,1095,1554,35,211,35,0,0,52,1206,1156,581,39
DANG,CHAULAHI,2766,9,985,9,500,3,4,15,1225,1397,963,556,16,15,104,15,1928,850,888,599,8,18,160,4083,2240,1199,1407,327,72,274,3216,112,479,2643,96,416,48,4291,20696,9874,10822,4.823118154276393,91.24006653114027,3869,290,10,19,88,15,1556,1882,29,472,238,96,18,3590,632,17,52,4135,4625,3228,3364,876,1233,31,28,20331,9687,10644,138,74,64,79,40,39,59,26,33,3,1,2,31,22,9,20,7,13,15,6,9,20,11,9,704,391,313,4882,2560,2322,2909,1390,1519,1868,961,907,1226,665,561,1107,638,469,293,197,96,79,69,10,17,9,8,1203,599,604,15,10,5,19017,9048,9969,14073,7360,6713,400,183,217,4528,1499,3029,16,6,10,74.00220855024452,81.34394341290893,67.3387501253887,1274,1130,91,1770,5,0,1,20,1617,2225,434,15
DANG,DHANAURI,1893,7,16,7,7,0,1,2,139,117,270,885,265,102,153,2,1740,18,3,8,161,3,296,1599,1088,452,87,19,1,16,1250,7,22,277,4,8,38,1933,9433,4382,5051,4.879979306777031,86.75509800039596,1181,722,3,11,14,2,1219,29,8,5,578,89,5,1830,22,0,81,1862,2173,1450,1563,395,580,17,30,9153,4237,4916,73,37,36,70,35,35,66,31,35,4,1,3,26,15,11,11,7,4,3,3,0,27,16,11,249,137,112,2417,1211,1206,1495,744,751,658,356,302,523,292,231,219,146,73,47,32,15,15,11,4,4,3,1,345,158,187,28,14,14,8532,3919,4613,5934,3065,2869,104,51,53,2492,803,1689,2,0,2,69.54992967651195,78.20872671599898,62.1938001300672,310,337,1265,9,4,0,3,5,1024,597,310,2
DANG,DHARNA,1527,3,9,1,12,0,0,10,13,106,760,440,31,66,136,10,1464,4,2,65,17,10,196,1352,763,451,1,6,0,5,1096,0,29,334,1,5,14,1562,6851,3077,3774,4.386043533930858,81.53153153153153,925,601,1,10,15,10,963,11,28,46,472,31,11,1527,24,0,11,1375,1717,1021,1073,331,601,23,43,6542,2918,3624,110,59,51,65,31,34,58,28,30,19,11,8,14,8,6,7,4,3,9,6,3,27,12,15,137,72,65,2137,1115,1022,1048,504,544,440,230,210,236,126,110,92,50,42,20,15,5,2,2,0,0,0,0,141,67,74,4,2,2,6126,2712,3414,4146,2127,2019,250,104,146,1727,480,1247,3,1,2,67.67874632713027,78.429203539823,59.13884007029877,1136,390,19,6,1,0,0,10,665,746,141,10
DANG,DHIKPUR,1207,7,89,994,83,1,4,3,16,233,297,1654,105,31,49,3,2109,13,24,16,218,8,197,2167,1505,718,30,30,3,18,1927,11,88,950,5,7,24,2388,11033,4993,6040,4.620184254606365,82.66556291390728,1367,786,9,27,196,3,1189,69,3,19,1057,42,9,2282,23,3,80,2242,2618,1718,1776,505,824,19,18,10797,4852,5945,57,40,17,92,54,38,34,19,15,2,2,0,15,7,8,16,8,8,8,5,3,12,6,6,447,243,204,2636,1375,1261,1880,884,996,914,500,414,570,323,247,181,111,70,45,36,9,18,17,1,5,4,1,273,117,156,12,5,7,9993,4462,5531,6742,3477,3265,289,141,148,2960,843,2117,2,1,1,67.46722705894126,77.92469744509188,59.03091665160007,629,1229,468,44,5,0,2,11,303,1725,357,3
DANG,DURUWA,2535,25,46,110,10,0,0,9,196,545,506,1232,146,61,40,9,2463,20,4,10,226,12,406,2260,1625,550,15,16,1,23,1851,1,57,557,2,1,69,2735,12979,5959,7020,4.745521023765996,84.88603988603988,1277,1275,4,25,145,9,1124,33,7,15,1457,87,12,2678,43,0,14,2685,3148,2077,2070,598,1059,10,19,12764,5847,6917,65,39,26,55,30,25,36,15,21,0,0,0,22,11,11,7,3,4,8,4,4,22,10,12,162,82,80,2782,1455,1327,2123,1060,1063,1031,545,486,577,314,263,200,129,71,56,44,12,9,7,2,4,2,2,1131,562,569,12,5,7,11755,5335,6420,7993,4162,3831,202,87,115,3560,1086,2474,0,0,0,67.99659719268396,78.01312089971884,59.67289719626169,1298,902,484,31,7,0,0,13,1717,736,273,9
DANG,GADHAWA,1840,16,79,25,206,1,0,9,501,1420,39,153,3,46,5,9,711,144,58,1245,10,8,230,1877,1177,584,177,38,10,17,1453,15,117,1109,1,21,69,2176,11430,5393,6037,5.252757352941177,89.33244989233063,1719,216,5,22,205,9,689,204,404,721,58,92,8,2100,62,2,12,2426,2785,1836,1933,566,810,24,42,11311,5329,5982,38,19,19,18,10,8,14,5,9,4,2,2,26,17,9,11,6,5,1,1,0,7,4,3,388,193,195,2880,1499,1381,1689,855,834,809,434,375,453,251,202,279,167,112,60,45,15,20,20,0,7,3,4,124,49,75,15,4,11,10379,4829,5550,6523,3419,3104,164,68,96,3682,1335,2347,10,7,3,62.84805857982465,70.80140815903914,55.927927927927925,1496,227,53,381,9,0,1,9,1391,636,140,9
DANG,GANGAPRASPUR,1852,1,19,31,124,0,2,2,349,1454,59,126,25,11,5,2,399,116,17,1492,5,2,291,1718,1017,534,49,20,3,19,1174,18,103,1189,2,15,22,2031,10972,5366,5606,5.402264894140817,95.71887263646094,1561,294,3,4,167,2,402,135,194,941,9,347,3,1998,12,0,21,2401,2561,1716,1682,627,805,58,74,10704,5220,5484,76,43,33,51,25,26,55,26,29,0,0,0,22,11,11,26,18,8,6,6,0,32,17,15,241,132,109,2779,1463,1316,1506,790,716,712,394,318,436,250,186,195,135,60,51,43,8,12,10,2,6,4,2,152,78,74,20,11,9,9930,4838,5092,5920,3211,2709,130,71,59,3877,1556,2321,3,0,3,59.617321248741185,66.37040099214552,53.20109976433621,1558,201,12,242,5,0,6,7,1391,313,325,2
