DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
DARCHULA,BHAGABATI,584,0,0,0,7,0,0,3,493,0,0,9,22,57,10,3,581,7,1,2,0,3,132,458,440,16,0,1,1,2,226,0,0,1,0,0,4,594,3018,1389,1629,5.08080808080808,85.2670349907919,68,261,0,229,33,3,502,87,1,1,0,0,3,581,7,0,6,545,651,469,481,69,164,7,6,2927,1342,1585,35,19,16,20,11,9,14,6,8,1,1,0,3,0,3,6,4,2,1,1,0,11,5,6,69,31,38,673,330,343,486,276,210,291,168,123,161,100,61,111,68,43,24,19,5,8,7,1,1,1,0,91,42,49,5,4,1,2678,1211,1467,1850,1012,838,130,41,89,698,158,540,0,0,0,69.08140403286033,83.56729975227086,57.12338104976141,3,3,574,11,0,0,0,3,361,225,5,3
DARCHULA,BOHARIGAU,749,3,3,0,1,0,0,4,580,0,2,2,16,7,150,3,751,6,0,0,0,3,119,628,617,2,0,0,0,9,177,0,1,0,0,0,13,760,4211,1967,2244,5.54078947368421,87.65597147950089,81,320,0,334,22,3,655,94,6,0,2,0,3,759,0,0,1,765,938,617,655,130,267,18,16,4095,1908,2187,49,26,23,24,9,15,26,15,11,0,0,0,8,4,4,3,2,1,1,0,1,5,3,2,119,54,65,1109,595,514,522,281,241,404,234,170,157,93,64,213,138,75,27,25,2,18,17,1,9,3,6,8,3,5,7,4,3,3733,1721,2012,2470,1392,1078,103,42,61,1158,286,872,2,1,1,66.1666220198232,80.88320743753631,53.57852882703777,5,15,731,6,0,0,0,3,366,313,77,4
DARCHULA,BRAMHADEV,348,3,0,0,0,0,0,0,324,0,0,0,17,9,1,0,326,16,0,0,9,0,142,208,188,12,0,0,0,11,110,0,0,0,0,0,1,351,1752,807,945,4.9914529914529915,85.39682539682539,13,248,0,89,1,0,264,77,1,0,0,9,0,342,4,0,5,329,379,254,241,59,67,16,71,1665,751,914,44,26,18,18,10,8,8,7,1,1,0,1,6,5,1,6,5,1,1,1,0,3,2,1,24,12,12,470,255,215,211,135,76,109,69,40,92,53,39,43,24,19,7,5,2,6,6,0,0,0,0,0,0,0,3,1,2,1557,712,845,956,557,399,38,22,16,558,132,426,5,1,4,61.40012845215157,78.23033707865169,47.218934911242606,10,9,303,20,0,0,8,1,189,133,29,0
DARCHULA,BYASH,173,1,0,0,0,0,0,0,0,0,92,0,82,0,0,0,172,0,0,2,0,0,50,124,123,0,0,0,0,0,9,0,0,0,0,0,0,174,556,259,297,3.1954022988505746,87.20538720538721,68,99,0,7,0,0,171,0,2,0,0,1,0,146,23,0,5,64,68,38,45,26,23,0,0,550,256,294,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,135,65,70,67,44,23,30,12,18,33,21,12,58,34,24,25,4,21,1,0,1,2,2,0,0,0,0,0,0,0,513,238,275,351,184,167,4,1,3,157,53,104,1,0,1,68.42105263157895,77.31092436974791,60.72727272727273,1,5,76,0,1,91,0,0,168,1,5,0
DARCHULA,CHHAPARI,525,0,2,0,1,0,0,1,468,0,0,0,59,1,0,1,484,41,2,0,0,2,154,345,300,58,1,0,0,11,160,1,0,0,0,2,30,529,2822,1340,1482,5.334593572778828,90.41835357624831,198,276,1,53,0,1,390,136,1,0,0,0,2,521,6,0,2,582,630,463,423,115,201,4,6,2751,1309,1442,29,15,14,20,5,15,4,0,4,3,2,1,7,5,2,4,3,1,2,0,2,2,1,1,46,21,25,762,394,368,399,246,153,237,153,84,107,72,35,71,35,36,35,22,13,4,3,1,3,3,0,1,1,0,0,0,0,2499,1179,1320,1618,927,691,16,4,12,863,247,616,2,1,1,64.74589835934374,78.62595419847328,52.348484848484844,1,8,467,50,0,0,0,3,256,200,72,1
DARCHULA,DADAKOT,364,1,0,0,0,0,0,0,324,0,0,26,5,9,1,0,362,2,0,1,0,0,116,248,225,14,2,2,1,0,170,0,0,0,0,0,1,365,1907,871,1036,5.2246575342465755,84.07335907335907,71,54,0,43,197,0,317,45,2,0,1,0,0,359,3,1,2,319,394,261,294,54,97,4,3,1866,845,1021,15,9,6,17,13,4,6,2,4,0,0,0,2,2,0,0,0,0,1,0,1,0,0,0,22,12,10,487,272,215,267,135,132,149,80,69,114,54,60,111,63,48,22,17,5,10,10,0,0,0,0,17,5,12,2,1,1,1692,768,924,1186,640,546,9,4,5,496,124,372,1,0,1,70.09456264775413,83.33333333333334,59.09090909090909,0,9,336,13,7,0,0,0,285,71,9,0
DARCHULA,DATTU,451,5,0,0,2,0,0,0,419,0,3,0,25,10,1,0,401,55,1,0,0,1,89,367,343,48,1,4,1,0,222,0,1,8,0,1,2,458,2186,946,1240,4.77292576419214,76.29032258064517,225,122,0,106,5,0,189,268,0,0,0,0,1,447,9,0,2,329,444,299,345,26,88,4,11,2094,899,1195,49,24,25,15,9,6,13,4,9,0,0,0,8,6,2,3,2,1,0,0,0,4,2,2,93,39,54,477,255,222,324,146,178,269,153,116,105,54,51,136,63,73,29,19,10,20,17,3,5,1,4,0,0,0,3,2,1,1975,835,1140,1410,729,681,32,11,21,532,95,437,1,0,1,71.39240506329114,87.30538922155688,59.73684210526316,0,3,362,89,0,0,3,1,145,290,23,0
DARCHULA,DETHALA,626,4,0,0,2,0,0,1,521,0,2,15,20,62,12,1,554,77,0,1,0,1,243,383,335,5,0,0,0,6,232,0,0,0,0,1,7,633,3821,1831,1990,6.036334913112165,92.01005025125627,2,321,0,289,20,1,459,173,0,0,0,0,1,629,0,0,4,790,914,576,593,191,301,23,20,3721,1776,1945,47,23,24,17,10,7,6,4,2,4,2,2,6,4,2,6,4,2,2,1,1,12,7,5,158,92,66,1133,590,543,426,262,164,254,153,101,142,88,54,88,54,34,60,38,22,4,4,0,4,3,1,6,0,6,4,2,2,3367,1586,1781,2142,1210,932,165,81,84,1054,289,765,6,6,0,63.61746361746362,76.29255989911728,52.330151600224596,0,7,601,22,1,0,0,2,493,133,6,1
DARCHULA,DHAP,869,11,6,0,6,0,0,4,776,0,1,0,30,85,0,4,727,164,0,2,0,3,195,668,576,55,60,1,0,32,358,2,1,1,0,1,33,896,4906,2225,2681,5.475446428571429,82.99142111152555,182,534,0,169,7,4,555,331,6,1,0,0,3,881,11,0,4,964,1148,822,864,142,279,0,5,4789,2162,2627,37,16,21,26,17,9,17,10,7,5,1,4,12,8,4,8,5,3,1,1,0,11,5,6,97,45,52,1433,690,743,683,385,298,462,267,195,184,97,87,184,100,84,49,40,9,8,6,2,3,2,1,41,16,25,3,0,3,4392,1960,2432,3007,1582,1425,102,46,56,1283,332,951,0,0,0,68.46539162112933,80.71428571428572,58.59375,7,14,673,167,0,0,30,5,499,372,21,4
DARCHULA,DHARI,747,7,0,0,2,0,0,2,582,0,0,4,154,7,9,2,745,2,0,5,0,6,288,460,415,9,0,2,0,30,196,0,0,0,0,0,10,758,4175,2010,2165,5.507915567282322,92.8406466512702,12,480,0,264,0,2,589,135,3,5,0,20,6,746,7,0,5,891,1004,688,642,195,354,8,8,4079,1956,2123,38,17,21,22,13,9,15,7,8,3,3,0,10,7,3,1,1,0,3,2,1,4,4,0,163,85,78,1148,593,555,549,334,215,274,205,69,140,97,43,66,34,32,16,15,1,1,1,0,2,1,1,77,32,45,11,6,5,3704,1759,1945,2409,1389,1020,111,47,64,1184,323,861,0,0,0,65.0377969762419,78.96532120523024,52.44215938303341,42,10,682,6,0,5,5,8,173,81,502,2
