DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
DHADING,AGINCHOK,837,1,11,0,22,0,0,2,738,0,9,40,76,7,1,2,838,7,7,16,2,3,95,778,657,129,0,1,0,29,665,1,8,1,1,1,0,873,3580,1539,2041,4.100801832760595,75.40421362077413,203,349,0,299,20,2,838,17,7,7,0,1,3,862,4,1,6,621,729,526,506,93,219,2,4,3450,1469,1981,26,16,10,29,13,16,31,13,18,2,1,1,21,14,7,11,6,5,0,0,0,10,7,3,85,46,39,800,415,385,506,226,280,195,100,95,195,90,105,99,39,60,26,17,9,5,5,0,1,1,0,59,43,16,9,3,6,3257,1379,1878,1913,944,969,185,88,97,1159,347,812,0,0,0,58.73503223825607,68.45540246555476,51.597444089456864,77,593,191,9,0,0,0,3,186,542,143,2
DHADING,BAIRENI,2180,31,513,0,44,10,4,13,2383,48,17,180,131,23,0,13,2208,162,338,25,34,28,435,2304,1598,271,608,111,20,246,1662,25,156,95,8,155,56,2795,13369,6630,6739,4.783184257602862,98.38254933966464,1918,772,0,70,22,13,2132,562,31,6,0,36,28,2374,373,14,34,2896,3080,1863,1942,1022,1122,11,16,13103,6485,6618,98,46,52,42,22,20,29,19,10,6,3,3,41,24,17,10,5,5,19,13,6,21,13,8,341,173,168,4227,2262,1965,1583,863,720,711,367,344,584,337,247,272,155,117,91,61,30,55,45,10,0,0,0,396,238,158,13,8,5,12220,6050,6170,8152,4459,3693,247,129,118,3815,1459,2356,6,3,3,66.71031096563011,73.70247933884298,59.85413290113453,59,1437,915,354,0,0,1,29,1057,1151,574,13
DHADING,BASERI,829,1,12,0,13,0,0,4,795,0,0,2,58,0,0,4,853,1,0,0,0,5,71,759,645,94,1,1,0,7,657,1,2,0,0,0,29,859,3660,1609,2051,4.260768335273574,78.44953681131156,196,369,0,227,63,4,847,7,0,0,0,0,5,854,2,0,3,657,857,552,609,81,213,24,35,3469,1501,1968,52,27,25,41,18,23,46,28,18,5,1,4,18,13,5,5,3,2,2,2,0,22,16,6,28,13,15,1051,537,514,495,230,265,200,98,102,167,106,61,46,17,29,20,13,7,4,3,1,1,1,0,113,76,37,17,9,8,3337,1427,1910,2132,1098,1034,62,18,44,1143,311,832,0,0,0,63.889721306562784,76.94463910301332,54.13612565445026,61,693,98,0,1,0,0,6,220,353,282,4
DHADING,BENIGHAT,1466,24,560,1,36,16,16,4,1682,0,1,357,67,10,2,4,1352,241,379,124,20,7,248,1832,1145,277,653,87,24,138,1443,10,143,38,9,203,43,2123,9717,4854,4863,4.577013659915214,99.8149290561382,1639,351,0,35,94,4,1401,641,36,23,0,15,7,1676,390,23,34,2074,2080,1405,1415,655,651,14,14,9509,4734,4775,73,40,33,28,16,12,21,16,5,3,2,1,36,16,20,6,2,4,17,13,4,24,15,9,286,150,136,3029,1663,1366,1261,649,612,539,285,254,615,333,282,293,148,145,111,80,31,36,29,7,4,4,0,232,142,90,9,6,3,8812,4393,4419,6347,3464,2883,139,68,71,2326,861,1465,0,0,0,72.02678166137085,78.85272023674027,65.24100475220638,166,891,614,433,1,0,7,11,612,1255,252,4
DHADING,BHUMESTHAN,1909,18,161,1,50,0,3,3,1786,1,50,96,179,29,1,3,1955,62,86,28,13,1,225,1855,1336,306,186,39,7,29,1522,33,74,26,3,58,65,2145,10786,5323,5463,5.028438228438229,97.43730550979315,1868,243,0,11,20,3,1929,158,8,17,1,30,2,1987,145,3,10,2398,2486,1614,1625,744,827,40,34,10594,5216,5378,93,58,35,25,9,16,13,7,6,1,1,0,26,17,9,14,4,10,7,2,5,13,9,4,379,222,157,3491,1942,1549,1092,555,537,399,218,181,347,197,150,186,100,86,33,25,8,18,13,5,4,3,1,222,126,96,11,6,5,9759,4785,4974,5991,3298,2693,404,212,192,3357,1271,2086,7,4,3,61.38948662772825,68.92371995820271,54.141535987133096,40,1438,544,100,1,1,19,2,846,959,337,3
DHADING,BUDHATHUM,823,2,22,0,17,0,1,1,803,0,0,5,57,0,0,1,850,11,0,3,1,1,57,760,590,296,21,9,0,32,637,0,9,6,2,1,49,866,3732,1543,2189,4.309468822170901,70.48880767473732,666,145,0,24,30,1,846,14,3,1,0,1,1,846,17,0,3,616,888,537,685,73,189,6,14,3630,1491,2139,35,22,13,21,7,14,24,11,13,0,0,0,17,8,9,5,4,1,0,0,0,0,0,0,48,25,23,1123,517,606,509,235,274,221,123,98,189,102,87,61,26,35,18,12,6,3,3,0,2,2,0,213,91,122,3,1,2,3422,1385,2037,2386,1135,1251,37,13,24,999,237,762,0,0,0,69.72530683810638,81.94945848375451,61.413843888070694,94,521,247,3,0,0,0,1,374,303,188,1
DHADING,CHAINPUR,1327,1,23,0,161,1,0,1,914,0,80,58,419,40,2,1,1493,7,1,9,1,3,141,1354,1214,400,28,8,5,29,955,1,17,5,0,10,19,1514,6349,2747,3602,4.193527080581242,76.26318711826762,902,358,0,110,143,1,1459,29,8,14,0,0,4,1488,10,1,15,1091,1414,900,1018,187,388,4,8,6187,2663,3524,55,31,24,28,15,13,33,15,18,3,2,1,12,5,7,14,6,8,11,8,3,6,2,4,171,86,85,1727,846,881,853,363,490,323,153,170,286,165,121,152,74,78,36,27,9,9,9,0,10,3,7,306,126,180,8,5,3,5790,2456,3334,3796,1815,1981,74,40,34,1910,597,1313,10,4,6,65.56131260794473,73.90065146579805,59.41811637672465,158,803,539,10,0,0,1,3,215,560,738,1
DHADING,CHHATREDEURALI,1601,11,38,0,2,0,0,3,1601,0,19,26,4,1,1,3,1613,25,4,10,1,2,183,1440,1008,988,31,26,2,20,1168,6,108,37,2,14,32,1655,7687,3665,4022,4.644712990936556,91.12381899552462,1575,76,0,1,0,3,1603,37,4,9,0,0,2,1599,32,3,21,1366,1659,961,1070,379,542,26,47,7595,3619,3976,28,15,13,17,8,9,13,3,10,4,3,1,18,10,8,9,5,4,3,2,1,0,0,0,163,85,78,1779,900,879,1009,521,488,625,350,275,396,220,176,252,148,104,69,49,20,14,13,1,1,1,0,333,215,118,83,46,37,7127,3371,3756,4655,2518,2137,79,42,37,2393,811,1582,0,0,0,65.31499929844254,74.69593592405815,56.895633652822156,27,1499,103,21,1,0,1,3,560,661,431,3
DHADING,DARKHA,1095,4,12,0,0,1,0,9,1107,0,0,1,4,0,0,9,1110,2,0,0,0,9,206,836,707,180,1,4,0,62,631,2,1,0,0,1,79,1121,5269,2431,2838,4.700267618198038,85.65891472868216,638,372,0,95,7,9,1109,2,1,0,0,0,9,1092,22,0,7,1101,1266,931,972,155,276,15,18,5174,2373,2801,39,23,16,15,8,7,10,8,2,0,0,0,18,11,7,7,3,4,5,5,0,1,0,1,77,47,30,1532,770,762,740,351,389,368,192,176,207,111,96,52,33,19,9,8,1,4,4,0,0,0,0,195,81,114,22,18,4,4769,2174,2595,3161,1589,1572,113,45,68,1494,540,954,1,0,1,66.28223946319983,73.09107635694572,60.578034682080926,32,290,788,0,1,0,0,10,396,294,422,9
DHADING,DHOLA,753,6,13,0,220,1,0,5,504,0,22,52,382,33,0,5,989,0,0,6,0,3,99,845,641,273,24,6,1,17,690,0,14,0,0,6,54,998,4033,1772,2261,4.041082164328658,78.37240159221584,807,164,1,5,16,5,973,5,7,1,1,0,11,985,9,1,3,707,906,599,642,102,258,6,6,3934,1723,2211,27,14,13,17,9,8,19,8,11,3,0,3,14,9,5,12,4,8,4,2,2,3,3,0,114,58,56,1057,537,520,476,206,270,187,97,90,196,105,91,74,43,31,16,12,4,4,4,0,3,0,3,232,113,119,14,9,5,3648,1590,2058,2308,1150,1158,81,39,42,1258,401,857,1,0,1,63.26754385964912,72.32704402515722,56.268221574344025,43,455,496,0,1,0,0,3,222,462,309,5
