DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
DHANKUTA,AHALE,875,5,1,1,0,3,0,2,752,2,0,11,97,23,0,2,417,5,1,462,0,2,159,708,519,220,9,5,0,2,523,0,0,0,0,3,20,887,4050,1948,2102,4.565952649379932,92.67364414843007,797,86,1,1,0,2,487,21,160,212,0,5,2,877,10,0,0,757,846,586,590,166,252,5,4,3910,1862,2048,36,20,16,10,5,5,39,29,10,4,3,1,16,10,6,13,6,7,4,2,2,18,11,7,148,75,73,901,480,421,567,267,300,346,177,169,230,117,113,36,20,16,13,9,4,1,0,1,0,0,0,535,291,244,4,4,0,3709,1769,1940,2773,1435,1338,27,15,12,909,319,590,0,0,0,74.76408735508222,81.11927642736009,68.96907216494846,403,463,3,9,3,1,2,3,139,725,21,2
DHANKUTA,ANKHISALLA,1199,2,24,0,1,0,2,0,966,0,62,140,48,12,0,0,783,22,4,396,23,0,228,1000,633,420,5,11,0,15,778,2,12,1,3,3,0,1228,5466,2591,2875,4.45114006514658,90.12173913043479,1063,162,0,2,1,0,854,29,52,292,0,1,0,1182,36,1,9,965,1115,770,852,193,257,2,6,5233,2453,2780,63,39,24,21,11,10,89,57,32,2,1,1,15,7,8,8,6,2,3,0,3,32,17,15,104,43,61,1314,658,656,818,422,396,443,220,223,364,164,200,81,44,37,23,19,4,7,7,0,2,1,1,432,205,227,3,1,2,4981,2318,2663,3549,1763,1786,123,58,65,1308,496,812,1,1,0,71.25075286087132,76.05694564279551,67.06721742395794,891,322,3,7,2,0,0,3,537,220,471,0
DHANKUTA,ARKHAULE JITPUR,918,2,11,0,0,0,0,3,755,1,9,51,114,1,0,3,817,5,0,96,9,7,203,726,539,294,29,11,7,2,623,0,13,0,0,3,5,934,3984,1818,2166,4.265524625267666,83.93351800554017,730,163,6,19,13,3,814,5,8,100,0,0,7,847,49,2,36,670,788,541,551,128,233,1,4,3813,1717,2096,64,37,27,19,12,7,45,26,19,1,0,1,26,19,7,4,2,2,2,1,1,10,4,6,55,30,25,1034,521,513,624,302,322,372,227,145,285,145,140,111,59,52,32,21,11,11,9,2,3,3,0,69,26,43,2,1,1,3622,1621,2001,2574,1330,1244,47,20,27,1001,271,730,0,0,0,71.0657095527333,82.04811844540407,62.16891554222889,606,313,5,1,0,0,1,8,182,280,469,3
DHANKUTA,BASANTATAR,635,0,6,2,0,0,2,3,555,1,44,22,16,7,0,3,504,46,0,96,0,2,102,539,338,137,1,11,0,2,458,4,10,0,0,0,7,648,2758,1240,1518,4.256172839506172,81.68642951251647,384,104,10,103,44,3,447,49,36,114,0,0,2,614,22,3,9,520,616,345,360,172,252,3,4,2669,1197,1472,20,13,7,14,4,10,26,13,13,1,0,1,11,3,8,10,6,4,2,0,2,5,4,1,114,59,55,736,392,344,432,185,247,226,102,124,127,64,63,37,13,24,18,13,5,3,3,0,1,0,1,193,72,121,1,0,1,2486,1104,1382,1858,888,970,32,15,17,595,201,394,1,0,1,74.73853580048271,80.43478260869566,70.18813314037627,405,236,2,2,0,0,0,3,94,152,399,3
DHANKUTA,BELHARA,1195,1,75,0,4,0,3,3,1155,0,10,39,19,55,0,3,1013,72,5,186,1,4,104,1159,767,642,82,30,28,49,1064,4,19,1,2,22,18,1281,5882,2829,3053,4.591725214676035,92.66295447101211,1148,126,0,2,2,3,958,91,40,176,0,12,4,1161,73,40,7,1091,1186,799,787,288,389,4,10,5641,2690,2951,85,50,35,28,12,16,58,32,26,1,0,1,37,27,10,8,4,4,3,3,0,21,11,10,127,65,62,1576,865,711,952,488,464,493,253,240,355,191,164,120,78,42,41,30,11,17,15,2,1,1,0,494,194,300,3,0,3,5344,2556,2788,4161,2171,1990,51,23,28,1129,361,768,3,1,2,77.86302395209582,84.93740219092332,71.37733142037303,630,599,0,44,2,0,0,6,415,319,545,2
DHANKUTA,BHIRGAUN,959,2,0,1,11,0,0,2,782,0,37,112,40,2,0,2,893,0,1,74,4,3,134,839,491,558,4,8,2,11,747,0,1,1,0,0,2,975,4297,1960,2337,4.407179487179487,83.86820710312367,842,122,3,1,5,2,889,1,0,82,0,0,3,947,13,2,13,776,915,609,634,164,278,3,3,4227,1929,2298,31,13,18,9,5,4,8,4,4,2,1,1,8,6,2,3,2,1,1,0,1,8,0,8,45,22,23,1426,708,718,684,341,343,423,229,194,244,142,102,64,32,32,24,16,8,1,0,1,4,2,2,5,3,2,1,0,1,3973,1794,2179,2888,1480,1408,37,11,26,1048,303,745,0,0,0,72.69066196828592,82.49721293199555,64.61679669573198,405,560,5,0,3,0,0,2,103,203,667,2
DHANKUTA,BODHE,681,3,3,2,0,0,0,2,331,0,6,288,3,61,0,2,455,2,0,186,47,1,91,584,503,227,3,8,3,2,476,1,2,1,0,0,16,691,3056,1412,1644,4.422575976845152,85.88807785888078,606,54,9,7,13,2,435,17,20,209,2,7,1,664,2,1,24,576,641,422,442,153,197,1,2,2915,1333,1582,29,15,14,15,6,9,42,23,19,6,3,3,14,10,4,8,4,4,6,4,2,21,14,7,72,43,29,776,424,352,460,195,265,287,144,143,160,81,79,44,19,25,12,7,5,2,1,1,2,0,2,256,105,151,2,0,2,2783,1268,1515,2052,1004,1048,19,8,11,712,256,456,0,0,0,73.73338124326267,79.17981072555204,69.17491749174917,475,209,4,2,0,0,0,1,249,129,312,1
DHANKUTA,CHHA NAMBAR BUDHABARE,425,1,16,0,0,0,4,0,415,0,1,17,11,2,0,0,388,4,1,44,9,0,80,366,325,131,25,13,4,5,254,2,26,9,1,1,0,446,1832,855,977,4.1076233183856505,87.51279426816787,292,121,4,27,2,0,387,9,3,47,0,0,0,384,59,2,1,332,368,251,266,81,101,0,1,1785,825,960,19,12,7,3,2,1,7,4,3,1,0,1,10,9,1,5,3,2,1,0,1,1,0,1,76,29,47,537,286,251,248,131,117,177,94,83,105,50,55,49,37,12,14,12,2,5,4,1,1,1,0,182,45,137,1,0,1,1673,771,902,1393,689,704,16,4,12,264,78,186,0,0,0,83.26359832635984,89.3644617380026,78.04878048780488,175,268,1,1,0,0,0,1,72,136,238,0
DHANKUTA,BUDI MORANG,804,2,26,1,2,3,4,5,805,0,0,23,1,13,0,5,688,41,1,111,1,5,120,714,505,205,12,14,1,18,652,7,13,3,0,1,13,847,3603,1667,1936,4.25383707201889,86.10537190082644,714,101,0,24,3,5,631,41,58,108,0,4,5,783,40,3,21,676,788,469,521,202,252,5,15,3449,1574,1875,41,25,16,14,8,6,25,15,10,0,0,0,41,22,19,3,0,3,4,4,0,26,19,7,68,39,29,1156,641,515,562,262,300,352,146,206,119,63,56,65,37,28,16,9,7,4,2,2,2,2,0,116,37,79,4,0,4,3291,1523,1768,2428,1221,1207,30,14,16,832,287,545,1,1,0,73.77696748708598,80.17071569271175,68.26923076923077,457,380,0,3,1,0,1,5,402,125,315,5
DHANKUTA,CHANUWA,827,2,0,1,0,1,0,0,734,2,7,39,27,19,3,0,764,3,0,50,11,3,128,677,394,263,71,10,6,11,618,0,1,1,0,0,26,831,3717,1679,2038,4.472924187725631,82.3846908734053,729,89,2,10,1,0,738,8,6,75,0,1,3,807,15,3,6,696,854,541,574,154,277,1,3,3603,1621,1982,36,18,18,17,9,8,14,5,9,1,1,0,19,11,8,5,3,2,0,0,0,22,11,11,19,12,7,1092,512,580,550,286,264,268,145,123,261,130,131,54,32,22,18,14,4,6,6,0,2,2,0,107,48,59,3,2,1,3355,1485,1870,2366,1183,1183,27,13,14,962,289,673,0,0,0,70.52160953800298,79.66329966329965,63.26203208556149,691,127,8,0,1,0,1,3,231,145,455,0
