DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
DHANUSHA,ANDUPATTI,70,0,0,576,6,0,1,8,16,636,1,0,0,0,0,8,3,122,3,524,0,9,75,577,293,313,15,13,2,5,492,5,26,497,3,1,9,661,3503,1773,1730,5.299546142208775,102.48554913294798,644,7,1,2,0,7,4,118,3,527,0,0,9,661,0,0,0,845,805,566,403,228,363,51,39,3468,1753,1715,9,5,4,11,6,5,6,4,2,0,0,0,4,1,3,2,2,0,3,2,1,0,0,0,43,21,22,732,431,301,349,222,127,202,148,54,112,88,24,58,53,5,14,12,2,1,1,0,1,1,0,42,30,12,19,10,9,3150,1597,1553,1519,991,528,98,54,44,1529,551,978,4,1,3,48.22222222222222,62.053850970569826,33.99871216999356,54,8,517,47,24,0,2,9,596,41,16,8
DHANUSHA,AURAHI,87,2,5,834,1,0,22,10,245,613,0,4,0,0,90,9,82,260,1,602,4,12,102,812,340,368,44,6,0,11,721,15,79,585,3,1,47,961,5589,2912,2677,5.815816857440167,108.77848337691445,830,107,4,1,10,9,80,249,45,526,46,1,14,959,1,0,1,1198,1149,635,518,517,578,46,53,5533,2881,2652,36,21,15,6,3,3,5,3,2,1,0,1,4,1,3,2,1,1,0,0,0,2,2,0,38,20,18,848,488,360,527,311,216,282,206,76,432,324,108,142,106,36,48,44,4,14,13,1,4,3,1,4,3,1,11,8,3,5055,2657,2398,2324,1510,814,154,66,88,2557,1077,1480,20,4,16,45.97428288822948,56.83101242002259,33.94495412844037,124,7,644,168,5,0,0,13,720,37,194,10
DHANUSHA,BAFAI,141,3,1,390,0,0,5,11,141,359,1,1,1,0,37,11,9,130,53,349,0,10,59,470,319,256,24,4,0,10,347,4,36,361,2,1,22,551,2921,1395,1526,5.3012704174228675,91.41546526867627,474,65,2,1,0,9,8,180,8,345,0,0,10,550,0,0,1,600,676,410,358,149,283,41,35,2887,1377,1510,10,5,5,8,3,5,1,1,0,0,0,0,3,1,2,5,4,1,2,1,1,5,3,2,17,12,5,676,356,320,271,145,126,100,69,31,175,140,35,36,27,9,38,32,6,28,23,5,0,0,0,4,2,2,40,31,9,2601,1237,1364,1376,832,544,55,25,30,1168,380,788,2,0,2,52.902729719338716,67.25949878738885,39.882697947214076,43,3,312,158,22,0,2,11,136,183,221,11
DHANUSHA,BAGHCHAURA,574,6,5,476,0,1,1,6,372,692,0,0,0,0,0,5,72,224,28,714,10,21,142,923,543,487,179,12,0,18,714,15,111,789,0,2,4,1069,5888,2852,3036,5.507951356407858,93.93939393939394,1003,60,0,0,0,6,45,199,126,667,8,0,24,1069,0,0,0,1321,1393,716,599,535,734,70,60,5716,2760,2956,37,19,18,51,20,31,51,29,22,0,0,0,6,5,1,18,12,6,0,0,0,9,7,2,15,9,6,1070,590,480,536,318,218,282,211,71,175,124,51,95,69,26,46,38,8,6,5,1,1,1,0,14,7,7,53,28,25,5301,2563,2738,2257,1384,873,192,87,105,2832,1084,1748,20,8,12,42.5768722882475,53.99921966445571,31.884587289992695,232,5,653,142,10,0,0,27,740,38,286,5
DHANUSHA,BAHEDA BELA,322,18,5,769,2,0,1,14,290,824,0,3,1,0,0,13,27,139,16,914,2,33,78,1013,752,308,13,5,0,20,665,21,73,960,8,0,40,1131,6983,3737,3246,6.174182139699381,115.12630930375846,913,193,4,7,0,14,21,125,6,938,3,5,33,1129,0,0,2,1771,1512,879,648,820,813,72,51,6938,3711,3227,17,13,4,15,5,10,2,0,2,2,2,0,1,1,0,3,1,2,1,1,0,4,3,1,28,12,16,1111,631,480,650,407,243,366,263,103,140,112,28,116,92,24,24,21,3,3,3,0,1,1,0,4,2,2,20,11,9,6266,3365,2901,2432,1538,894,293,169,124,3505,1641,1864,36,17,19,38.812639642515165,45.70579494799406,30.81695966907963,30,15,966,72,13,0,1,34,958,17,142,14
DHANUSHA,BAHUARBA,35,2,12,820,4,0,0,10,14,853,1,3,0,0,2,10,158,313,36,305,64,7,118,757,336,535,13,3,0,32,617,11,61,586,5,3,8,883,5068,2450,2618,5.739524348810872,93.58288770053476,795,76,1,0,0,11,52,374,15,418,12,5,7,882,1,0,0,1136,1197,599,472,496,695,41,30,5015,2416,2599,26,17,9,6,4,2,1,1,0,0,0,0,9,5,4,7,4,3,4,3,1,0,0,0,12,7,5,894,479,415,433,279,154,216,157,59,231,161,70,99,70,29,27,24,3,6,6,0,0,0,0,0,0,0,27,11,16,4520,2162,2358,1931,1187,744,93,46,47,2495,929,1566,1,0,1,42.7212389380531,54.90286771507863,31.552162849872772,91,8,543,229,1,0,1,10,707,70,97,9
DHANUSHA,BALABAKHAR,201,7,6,1164,2,0,0,7,39,1215,1,123,0,1,0,8,10,115,21,1224,1,16,129,1249,761,301,3,9,1,8,984,18,117,987,15,0,9,1387,7820,4013,3807,5.638067772170151,105.41108484370896,1155,217,2,4,1,8,9,127,11,1217,3,0,20,1386,0,1,0,1808,1759,940,697,847,1050,21,12,7762,3978,3784,22,16,6,15,9,6,7,3,4,1,0,1,6,4,2,4,3,1,2,0,2,1,0,1,80,51,29,1372,770,602,585,408,177,261,182,79,257,191,66,72,58,14,26,23,3,6,6,0,1,1,0,66,55,11,22,13,9,7017,3602,3415,2568,1650,918,608,318,290,3838,1634,2204,3,0,3,36.59683625480975,45.80788450860633,26.881405563689604,356,14,893,94,9,0,0,21,1309,52,19,7
DHANUSHA,BALAHA KATHAL,130,4,0,501,1,1,0,16,1,627,1,8,0,1,0,15,19,131,18,460,1,24,169,448,132,185,1,0,0,6,413,1,23,301,1,0,36,653,3405,1630,1775,5.214395099540582,91.83098591549296,540,96,0,1,0,16,17,133,16,463,0,0,24,653,0,0,0,747,791,432,347,268,400,47,44,3370,1612,1758,19,10,9,6,4,2,1,1,0,0,0,0,3,2,1,5,1,4,0,0,0,1,0,1,16,8,8,666,380,286,286,176,110,213,135,78,44,37,7,80,59,21,40,36,4,2,2,0,1,1,0,2,1,1,7,4,3,3059,1467,1592,1352,837,515,131,55,76,1572,572,1000,4,3,1,44.1974501471069,57.05521472392638,32.34924623115578,126,36,348,93,24,0,0,26,527,73,37,16
DHANUSHA,BALAHA SADHARA,414,13,2,261,0,0,0,8,261,426,2,2,0,0,0,7,15,109,30,535,0,9,86,609,342,239,35,6,0,5,468,7,67,424,1,4,3,698,4030,1934,2096,5.773638968481375,92.27099236641222,512,162,0,16,0,8,8,137,5,537,1,0,10,695,0,1,2,909,944,411,296,497,647,1,1,4011,1923,2088,3,1,2,6,4,2,3,3,0,0,0,0,2,2,0,2,0,2,2,1,1,1,0,1,24,15,9,512,284,228,228,150,78,204,133,71,89,63,26,62,46,16,34,30,4,4,3,1,1,1,0,28,18,10,0,0,0,3579,1697,1882,1186,743,443,1,1,0,2392,953,1439,0,0,0,33.1377479742945,43.783146729522684,23.538788522848034,138,51,391,100,3,0,4,11,611,62,17,8
DHANUSHA,BALLAGOTH,53,36,2,557,1,0,2,22,208,405,7,23,0,0,9,21,13,180,10,446,2,22,222,413,126,52,4,5,1,1,307,1,18,150,3,0,38,673,4283,2127,2156,6.364041604754829,98.65491651205936,89,548,4,10,0,22,21,185,1,443,0,1,22,672,1,0,0,1034,1013,462,326,553,668,19,19,4219,2098,2121,36,16,20,3,2,1,3,1,2,1,0,1,4,3,1,6,2,4,5,2,3,6,3,3,22,19,3,608,367,241,247,172,75,94,61,33,103,75,28,43,32,11,32,27,5,3,2,1,63,23,40,23,12,11,23,16,7,3745,1845,1900,1257,804,453,97,52,45,2368,982,1386,23,7,16,33.56475300400534,43.577235772357724,23.842105263157894,139,48,336,105,21,0,2,22,504,50,97,22
