DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
DOLAKHA,ALAMPU,411,1,0,0,0,0,0,1,287,0,4,74,41,6,0,1,405,0,0,4,1,3,108,284,279,11,0,2,0,3,62,0,0,0,0,0,21,413,1803,864,939,4.365617433414044,92.01277955271566,136,167,0,25,84,1,400,1,6,2,0,1,3,410,3,0,0,418,421,332,302,74,110,12,9,1703,819,884,34,17,17,13,5,8,23,10,13,1,1,0,15,8,7,4,2,2,2,0,2,8,2,6,194,99,95,535,306,229,116,67,49,48,31,17,12,6,6,16,10,6,1,1,0,0,0,0,1,1,0,36,14,22,0,0,0,1587,758,829,785,439,346,164,83,81,638,236,402,0,0,0,49.464398235664774,57.9155672823219,41.73703256936068,8,3,395,1,2,0,1,3,57,38,317,1
DOLAKHA,BABARE,790,2,0,0,0,0,0,2,703,0,4,17,55,12,1,2,790,0,1,1,0,2,182,608,588,27,2,0,0,2,275,1,0,0,1,0,4,794,3533,1638,1895,4.449622166246852,86.43799472295515,355,288,0,126,23,2,781,1,9,0,0,0,3,785,5,1,3,697,884,556,665,113,179,28,40,3399,1577,1822,51,23,28,27,8,19,19,9,10,4,2,2,9,4,5,10,5,5,2,1,1,12,9,3,168,76,92,945,477,468,395,201,194,124,67,57,116,78,38,42,30,12,13,11,2,2,2,0,7,2,5,234,122,112,47,15,32,3155,1444,1711,1980,1030,950,78,29,49,1097,385,712,0,0,0,62.75752773375595,71.32963988919667,55.52308591466978,70,34,684,0,3,0,0,3,234,140,418,2
DOLAKHA,BHEDAPU,907,4,0,0,2,0,0,5,596,0,2,14,277,16,8,5,898,8,0,4,4,4,178,726,636,120,30,4,2,4,495,1,6,0,0,0,14,918,3705,1596,2109,4.0359477124183005,75.67567567567568,765,146,0,0,2,5,892,14,0,7,0,1,4,914,1,0,3,678,853,581,644,90,193,7,16,3582,1532,2050,55,30,25,9,4,5,28,15,13,2,1,1,13,8,5,8,3,5,4,1,3,4,2,2,152,76,76,869,454,415,531,280,251,247,131,116,149,79,70,68,39,29,6,3,3,1,1,0,1,1,0,75,38,37,10,7,3,3448,1481,1967,2035,1070,965,197,87,110,1214,324,890,2,0,2,59.019721577726216,72.24848075624578,49.05948144382308,68,525,291,4,16,0,9,5,487,219,207,5
DOLAKHA,BHIMESHWOR MUNICIPALITY,4413,96,1535,0,1,3,13,15,5247,0,3,54,724,12,21,15,4462,646,775,157,10,26,643,5368,4278,2506,1830,481,144,354,4183,33,256,37,5,109,65,6076,22537,10489,12048,3.7091836734693877,87.06009296148738,5871,168,2,8,12,15,4350,1492,155,30,1,20,28,4766,1223,43,44,3896,4023,3147,3019,652,870,97,134,21774,10095,11679,340,177,163,150,64,86,109,63,46,17,9,8,64,38,26,42,21,21,9,4,5,32,18,14,701,393,308,4869,2590,2279,3067,1611,1456,1632,914,718,2055,1074,981,1207,621,586,484,301,183,152,124,28,18,9,9,957,423,534,51,28,23,20873,9640,11233,14999,7989,7010,963,349,614,4894,1297,3597,17,5,12,71.85838164135487,82.8734439834025,62.405412623519986,300,3424,952,1350,8,0,9,33,604,3112,2345,15
DOLAKHA,BHIRKOT,598,0,1,0,0,0,0,3,551,0,1,15,30,2,0,3,590,2,4,3,0,3,99,501,438,142,33,3,1,6,423,3,4,2,0,1,2,602,2562,1163,1399,4.255813953488372,83.13080771979986,573,22,1,0,3,3,581,14,4,0,0,0,3,599,2,0,1,468,579,368,408,94,171,6,0,2461,1116,1345,46,23,23,16,7,9,13,5,8,0,0,0,12,4,8,4,3,1,1,0,1,9,5,4,56,29,27,704,363,341,330,163,167,150,91,59,117,58,59,44,23,21,13,8,5,3,3,0,4,2,2,42,8,34,12,12,0,2313,1036,1277,1436,742,694,142,54,88,735,240,495,0,0,0,62.08387375702551,71.62162162162163,54.346123727486294,39,171,384,4,0,0,1,3,151,343,105,3
DOLAKHA,BHUSAFEDA,514,1,0,0,0,0,0,4,394,0,0,35,84,3,0,3,511,1,0,3,0,4,112,349,270,87,4,1,0,4,229,0,3,0,0,0,58,519,2091,955,1136,4.028901734104046,84.0669014084507,389,125,0,0,1,4,511,1,1,2,0,0,4,511,1,1,6,374,448,291,315,76,101,7,32,2012,916,1096,32,17,15,12,6,6,15,8,7,1,0,1,9,3,6,3,1,2,0,0,0,7,4,3,63,30,33,558,317,241,261,141,120,99,50,49,71,45,26,24,13,11,3,1,2,0,0,0,0,0,0,46,27,19,1,0,1,1948,888,1060,1076,600,476,81,35,46,791,253,538,0,0,0,55.23613963039015,67.56756756756756,44.905660377358494,75,281,158,1,0,0,1,3,325,164,27,3
DOLAKHA,BIGU,400,2,0,0,0,0,0,4,363,0,1,4,28,6,0,4,392,0,0,4,0,10,128,278,265,1,0,0,0,0,96,0,0,0,0,0,0,406,1612,759,853,3.9704433497536944,88.98007033997656,0,110,0,126,166,4,378,2,8,1,0,0,17,396,2,0,8,338,366,232,261,94,93,12,12,1531,715,816,28,18,10,18,6,12,18,11,7,0,0,0,8,4,4,4,2,2,1,0,1,4,3,1,103,49,54,444,253,191,159,85,74,68,41,27,16,11,5,9,3,6,2,1,1,0,0,0,0,0,0,40,19,21,8,5,3,1468,693,775,752,422,330,18,10,8,688,255,433,10,6,4,51.22615803814714,60.89466089466089,42.58064516129032,5,4,251,0,136,0,0,10,191,95,117,3
DOLAKHA,BOCHA,768,0,2,0,0,0,0,5,762,0,0,1,5,2,0,5,752,7,3,6,1,6,151,599,448,267,13,6,0,6,374,1,2,0,0,0,25,775,2799,1182,1617,3.6116129032258066,73.09833024118738,749,18,0,0,3,5,718,35,14,0,0,1,7,768,6,0,1,446,603,345,420,96,165,5,18,2766,1166,1600,8,5,3,4,2,2,2,1,1,0,0,0,9,4,5,8,3,5,0,0,0,2,1,1,68,38,30,632,303,329,398,201,197,226,103,123,152,72,80,73,29,44,21,9,12,0,0,0,2,2,0,20,15,5,17,9,8,2609,1090,1519,1576,761,815,69,32,37,956,296,660,8,1,7,60.40628593330778,69.81651376146789,53.653719552337066,7,636,112,8,3,0,2,7,3,757,10,5
DOLAKHA,BULUNG,507,2,0,0,0,0,0,1,441,0,0,51,15,0,2,1,509,0,0,0,0,1,110,397,379,15,0,0,0,6,182,0,0,1,0,0,3,510,2043,972,1071,4.0058823529411764,90.75630252100841,109,330,0,65,5,1,504,4,1,0,0,0,1,503,2,3,2,437,449,368,336,66,111,3,2,1897,891,1006,66,38,28,20,13,7,21,14,7,5,3,2,12,5,7,3,2,1,1,0,1,18,6,12,106,54,52,586,320,266,260,144,116,140,95,45,41,28,13,13,6,7,6,5,1,0,0,0,1,0,1,80,34,46,0,0,0,1901,897,1004,1206,670,536,32,18,14,663,209,454,0,0,0,63.44029458179905,74.69342251950948,53.38645418326693,12,105,381,3,8,0,0,1,132,141,236,1
DOLAKHA,CHANKHU,343,0,0,0,1,0,0,3,341,0,0,0,3,0,0,3,336,1,0,7,0,3,51,284,268,55,3,1,0,13,121,0,1,2,0,0,12,347,1272,603,669,3.6657060518731988,90.13452914798206,343,1,0,0,0,3,334,1,5,3,1,0,3,319,24,0,4,265,249,201,168,58,74,6,7,1224,583,641,15,7,8,16,9,7,5,3,2,1,0,1,4,0,4,0,0,0,1,0,1,6,1,5,78,49,29,329,202,127,130,66,64,63,39,24,26,13,13,14,12,2,6,3,3,2,2,0,7,7,0,13,3,10,2,2,0,1168,558,610,641,382,259,89,28,61,438,148,290,0,0,0,54.880136986301366,68.45878136200717,42.459016393442624,2,51,110,1,180,0,0,3,132,45,167,3
