DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
DOLPA,BHIJER,83,0,0,9,1,0,0,0,53,0,0,0,10,30,0,0,93,0,0,0,0,0,16,77,72,16,0,1,0,2,57,0,0,0,0,0,0,93,446,218,228,4.795698924731183,95.6140350877193,1,0,0,90,2,0,93,0,0,0,0,0,0,90,0,0,3,82,98,38,21,43,70,1,7,436,212,224,3,2,1,1,1,0,0,0,0,1,0,1,2,1,1,1,0,1,0,0,0,2,2,0,9,6,3,57,36,21,13,12,1,0,0,0,7,5,2,2,1,1,3,3,0,0,0,0,1,1,0,30,29,1,1,1,0,385,180,205,115,88,27,5,2,3,264,89,175,1,1,0,29.87012987012987,48.888888888888886,13.170731707317074,0,0,3,0,1,89,0,0,21,3,69,0
DOLPA,CHHARKA,118,0,0,0,0,1,0,0,3,0,1,0,0,115,0,0,119,0,0,0,0,0,68,51,50,1,0,0,0,0,1,0,0,0,0,0,0,119,746,363,383,6.26890756302521,94.7780678851175,1,4,0,91,23,0,118,0,0,0,0,0,1,119,0,0,0,160,195,82,63,77,131,1,1,739,362,377,2,1,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,25,11,14,101,61,40,30,17,13,15,11,4,10,4,6,33,24,9,28,25,3,1,1,0,1,0,1,5,5,0,5,3,2,692,333,359,253,161,92,7,5,2,432,167,265,0,0,0,36.5606936416185,48.348348348348345,25.62674094707521,1,1,2,0,1,113,0,1,117,2,0,0
DOLPA,DHO,36,0,0,174,0,0,0,2,37,0,0,12,87,74,0,2,210,0,0,0,0,2,97,105,105,4,0,0,0,0,0,0,0,0,0,0,10,212,923,417,506,4.35377358490566,82.41106719367589,0,0,0,210,0,2,210,0,0,0,0,0,2,204,3,1,4,192,242,102,102,84,127,6,13,918,415,503,1,1,0,3,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,66,39,27,192,104,88,17,12,5,8,5,3,7,7,0,5,4,1,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,829,384,445,237,137,100,20,13,7,572,234,338,0,0,0,28.588661037394452,35.67708333333333,22.47191011235955,0,0,6,1,0,203,0,2,201,3,6,2
DOLPA,DUNAI,653,11,6,0,0,1,0,1,647,0,0,0,3,20,1,1,642,5,1,20,0,4,66,602,199,150,260,56,37,80,550,0,0,0,0,3,4,672,2592,1327,1265,3.857142857142857,104.90118577075098,654,11,0,1,5,1,632,13,21,0,0,0,6,404,180,86,2,405,527,297,351,99,150,9,26,2518,1291,1227,26,13,13,11,6,5,12,3,9,3,3,0,16,9,7,1,0,1,2,0,2,3,2,1,82,43,39,553,282,271,314,189,125,219,141,78,219,158,61,217,136,81,75,66,9,23,21,2,0,0,0,107,38,69,0,0,0,2301,1172,1129,1802,1069,733,11,7,4,488,96,392,0,0,0,78.31377661886137,91.21160409556313,64.92471213463243,0,97,0,6,19,544,0,6,209,420,42,1
DOLPA,JUFAL,521,1,0,0,0,0,0,0,393,0,0,0,116,13,0,0,520,0,0,0,1,1,215,293,55,32,175,8,0,34,190,0,0,0,0,0,14,522,2279,1108,1171,4.365900383141763,94.6199829205807,508,1,0,1,12,0,517,1,1,0,0,2,1,455,59,6,2,470,520,332,304,128,196,10,20,2182,1056,1126,36,20,16,20,8,12,21,15,6,0,0,0,7,1,6,0,0,0,9,6,3,4,2,2,62,33,29,469,264,205,277,166,111,171,105,66,178,110,68,70,50,20,18,15,3,2,2,0,0,0,0,8,0,8,3,2,1,1982,971,1011,1227,730,497,70,31,39,684,210,474,1,0,1,61.907164480322905,75.18022657054583,49.15924826904055,0,6,1,0,0,513,1,1,21,483,18,0
DOLPA,KAIGAUN,177,0,0,0,0,0,0,0,176,0,0,0,1,0,0,0,177,0,0,0,0,0,39,134,75,29,0,2,0,1,115,0,0,0,0,0,4,177,879,425,454,4.966101694915254,93.6123348017621,0,0,0,143,34,0,177,0,0,0,0,0,0,172,5,0,0,154,183,119,125,29,46,6,12,806,379,427,27,16,11,13,11,2,12,10,2,1,1,0,6,2,4,3,0,3,1,1,0,10,5,5,29,17,12,199,98,101,72,46,26,75,53,22,44,32,12,17,11,6,6,6,0,3,2,1,0,0,0,4,0,4,2,1,1,737,357,380,416,246,170,17,8,9,304,103,201,0,0,0,56.44504748982361,68.90756302521008,44.73684210526316,1,8,3,0,0,165,0,0,13,99,65,0
DOLPA,KALIKA,235,0,0,0,1,0,0,0,213,0,0,0,22,1,0,0,234,0,0,0,0,2,86,148,107,12,1,1,0,0,99,0,0,0,0,0,2,236,1321,684,637,5.5974576271186445,107.37833594976452,0,1,0,50,185,0,234,0,0,0,0,0,2,231,5,0,0,278,297,214,189,60,105,4,3,1201,614,587,44,26,18,25,13,12,22,15,7,2,0,2,22,15,7,4,1,3,1,0,1,0,0,0,44,20,24,415,233,182,128,80,48,63,51,12,75,59,16,16,11,5,10,10,0,1,1,0,0,0,0,37,8,29,0,0,0,1115,563,552,749,456,293,96,28,68,270,79,191,0,0,0,67.17488789237667,80.99467140319716,53.07971014492754,86,5,6,0,19,118,0,2,121,99,16,0
DOLPA,LAWAN,349,0,0,0,0,0,0,1,215,0,1,66,49,18,0,1,346,0,0,0,0,4,100,248,31,7,0,0,0,0,240,0,0,0,0,0,2,350,1600,735,865,4.571428571428571,84.97109826589595,0,0,0,349,1,0,344,0,0,0,0,0,6,336,12,1,1,303,398,194,209,109,189,0,0,1565,719,846,12,8,4,0,0,0,4,2,2,4,0,4,13,5,8,1,0,1,0,0,0,1,1,0,136,75,61,467,252,215,56,45,11,8,6,2,24,20,4,4,3,1,2,2,0,0,0,0,0,0,0,2,2,0,1,1,0,1419,645,774,697,404,293,69,28,41,653,213,440,0,0,0,49.11909795630726,62.63565891472869,37.85529715762274,1,1,0,0,0,344,0,4,338,2,9,1
DOLPA,LHNA,203,1,0,0,1,0,0,0,185,0,0,0,2,18,0,0,204,0,0,1,0,0,77,128,59,2,0,0,0,0,116,0,0,0,0,0,0,205,1199,603,596,5.848780487804878,101.1744966442953,2,0,0,96,107,0,198,0,5,1,1,0,0,199,5,0,1,279,290,213,186,66,103,0,1,1114,558,556,34,22,12,15,7,8,7,4,3,0,0,0,5,3,2,1,1,0,0,0,0,23,8,15,106,60,46,238,121,117,98,65,33,46,38,8,34,28,6,17,14,3,9,8,1,1,1,0,0,0,0,16,12,4,0,0,0,1020,514,506,449,282,167,18,10,8,553,222,331,0,0,0,44.01960784313725,54.86381322957199,33.00395256916996,4,3,35,0,0,160,3,0,22,182,1,0
DOLPA,LIKHU,414,0,0,0,0,0,1,0,56,0,0,1,357,1,0,0,413,0,0,0,0,2,141,273,144,2,0,1,0,0,170,0,0,0,57,0,1,415,2206,1087,1119,5.31566265060241,97.14030384271672,0,1,0,194,220,0,412,1,0,0,0,0,2,408,6,1,0,459,539,359,323,100,216,0,0,2119,1049,1070,6,4,2,13,5,8,36,14,22,1,1,0,7,3,4,1,1,0,1,1,0,22,9,13,114,56,58,611,327,284,168,118,50,89,69,20,94,70,24,76,60,16,5,5,0,9,9,0,0,0,0,18,6,12,0,0,0,1881,931,950,1127,689,438,58,29,29,696,213,483,0,0,0,59.91493886230729,74.00644468313641,46.10526315789474,0,4,7,0,2,400,0,2,67,210,138,0
DOLPA,MAJHFAL,517,0,0,0,2,0,0,0,405,0,0,0,114,0,0,0,519,0,0,0,0,0,205,314,173,1,0,0,0,0,203,0,0,0,0,0,0,519,2576,1274,1302,4.963391136801541,97.84946236559139,0,1,0,206,312,0,515,0,1,0,0,2,1,512,5,2,0,584,619,459,391,89,206,36,22,2486,1236,1250,14,8,6,15,5,10,30,15,15,2,1,1,13,4,9,0,0,0,2,1,1,14,4,10,101,52,49,695,394,301,232,167,65,108,81,27,63,50,13,38,34,4,10,9,1,3,3,0,1,1,0,88,52,36,21,10,11,2191,1094,1097,1354,848,506,46,17,29,791,229,562,0,0,0,61.79826563213145,77.51371115173674,46.12579762989973,4,2,9,0,0,504,0,0,69,230,220,0
