DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
DOTI,BANJA KAKANI,792,1,0,0,1,0,0,4,562,0,0,46,108,78,0,4,791,0,0,0,0,7,451,326,158,75,1,25,0,6,231,1,1,0,1,0,21,798,4162,1740,2422,5.215538847117794,71.84145334434352,445,148,6,8,187,4,786,1,3,0,0,0,8,796,1,0,1,851,1118,612,636,226,471,13,11,4042,1688,2354,44,19,25,26,8,18,22,10,12,2,1,1,15,6,9,4,3,1,2,2,0,5,3,2,126,61,65,1156,593,563,299,173,126,119,83,36,67,44,23,63,46,17,10,8,2,3,3,0,6,4,2,149,20,129,1,1,0,3532,1427,2105,1875,974,901,90,42,48,1457,375,1082,110,36,74,53.08607021517554,68.25508058864752,42.802850356294535,42,7,735,0,0,0,0,14,509,103,182,4
DOTI,BANLEK,1027,1,5,1,2,0,1,0,780,1,0,9,144,103,0,0,1022,5,1,5,2,2,548,486,363,55,12,2,0,12,223,2,1,7,1,3,3,1037,4895,2020,2875,4.720347155255545,70.26086956521739,411,13,22,24,567,0,1001,20,12,0,0,2,2,1011,16,0,10,929,1259,757,775,171,483,1,1,4747,1942,2805,43,27,16,36,13,23,37,18,19,1,0,1,25,15,10,3,3,0,1,0,1,2,2,0,326,186,140,1218,615,603,380,200,180,209,129,80,92,60,32,70,47,23,14,12,2,0,0,0,7,3,4,19,6,13,1,1,0,4123,1632,2491,2073,1128,945,237,109,128,1813,395,1418,0,0,0,50.27892311423721,69.11764705882352,37.936571657968685,23,33,900,78,0,0,0,3,262,552,223,0
DOTI,BARCHHEN,939,0,4,2,1,0,0,4,592,0,7,66,154,128,0,3,778,5,0,162,0,5,229,697,625,5,0,0,0,47,320,2,5,0,1,0,24,950,5743,2826,2917,6.045263157894737,96.8803565306822,1,41,0,576,328,4,757,23,104,59,0,0,7,903,34,1,12,1334,1439,1049,994,271,418,14,27,5466,2672,2794,108,64,44,65,29,36,51,26,25,6,6,0,23,14,9,7,4,3,4,4,0,13,7,6,252,134,118,1797,985,812,641,367,274,306,178,128,125,89,36,95,70,25,25,22,3,7,6,1,1,1,0,186,78,108,6,4,2,4962,2449,2513,3316,1864,1452,326,182,144,1317,402,915,3,1,2,66.82789197904071,76.11269906084117,57.779546358933544,464,109,344,21,7,0,0,5,729,149,68,4
DOTI,BASUDEVI,699,0,0,1,0,0,1,5,459,0,103,13,68,11,47,5,698,0,0,0,0,8,411,295,229,5,0,0,0,1,203,0,0,0,0,0,0,706,3344,1410,1934,4.736543909348442,72.90589451913134,0,2,1,116,582,5,695,3,0,0,0,0,8,700,6,0,0,645,848,563,520,78,317,4,11,3151,1325,1826,90,43,47,48,24,24,27,6,21,2,1,1,9,4,5,7,3,4,2,1,1,8,3,5,175,100,75,864,448,416,228,131,97,111,76,35,50,31,19,27,21,6,9,9,0,1,1,0,2,0,2,96,28,68,6,1,5,2760,1101,1659,1508,819,689,49,11,38,1203,271,932,0,0,0,54.637681159420296,74.38692098092643,41.53104279686558,7,2,682,1,0,0,3,11,635,12,54,5
DOTI,BHUMIRAJMADAU,902,0,2,0,0,0,2,5,439,0,36,75,338,18,0,5,903,0,0,2,0,6,295,569,476,67,3,1,0,12,366,0,0,0,0,0,47,911,4857,2245,2612,5.3315038419319425,85.94946401225116,456,152,4,14,280,5,881,22,0,1,0,0,7,903,5,0,3,1020,1185,744,757,246,356,30,72,4767,2198,2569,34,14,20,27,14,13,8,5,3,0,0,0,5,3,2,4,4,0,5,3,2,7,4,3,210,125,85,1206,679,527,537,327,210,226,146,80,103,61,42,66,50,16,16,15,1,4,3,1,0,0,0,19,13,6,2,1,1,4244,1931,2313,2269,1352,917,177,64,113,1798,515,1283,0,0,0,53.46371347785108,70.01553599171415,39.64548205793342,108,25,769,1,0,0,0,8,745,64,97,5
DOTI,CHAWARA CHAUTARA,517,3,0,1,3,0,1,1,334,0,2,66,120,3,0,1,521,1,0,0,2,2,113,377,307,9,4,1,1,15,256,0,0,2,0,0,36,526,2896,1341,1555,5.505703422053232,86.2379421221865,2,49,1,217,256,1,520,1,2,0,0,1,2,499,3,8,16,615,727,494,486,120,237,1,4,2865,1327,1538,8,5,3,6,3,3,5,3,2,0,0,0,5,1,4,0,0,0,2,0,2,5,2,3,200,89,111,842,447,395,294,188,106,127,88,39,81,58,23,40,31,9,12,10,2,2,1,1,6,2,4,62,17,45,5,2,3,2508,1144,1364,1635,915,720,54,18,36,819,211,608,0,0,0,65.19138755980862,79.98251748251748,52.785923753665685,129,3,392,0,0,0,0,2,313,42,170,1
DOTI,CHHAPALI,612,0,0,0,1,0,0,10,459,1,2,3,110,37,2,9,612,0,0,0,0,11,348,256,241,0,1,0,0,1,105,0,0,1,0,0,19,623,3244,1422,1822,5.207062600321027,78.04610318331504,0,1,1,107,505,9,607,3,2,0,0,0,11,612,4,0,7,636,878,448,405,185,458,3,15,3081,1354,1727,60,23,37,42,11,31,34,17,17,1,0,1,13,8,5,6,3,3,1,1,0,6,5,1,257,123,134,679,387,292,138,97,41,56,40,16,30,27,3,18,12,6,12,12,0,1,1,0,1,0,1,123,52,71,0,0,0,2696,1140,1556,1050,624,426,170,81,89,1472,434,1038,4,1,3,38.946587537091986,54.736842105263165,27.37789203084833,5,4,599,0,0,0,2,13,213,253,147,10
DOTI,CHHATIWAN,710,0,26,2,2,0,0,2,527,1,10,11,120,35,36,2,557,10,1,169,1,4,170,572,402,76,53,8,1,42,386,1,23,25,0,6,0,742,4001,1992,2009,5.392183288409703,99.15380786460926,287,16,1,113,323,2,503,56,170,3,0,6,4,652,75,5,10,900,932,706,659,189,259,5,14,3824,1897,1927,70,41,29,35,15,20,30,12,18,6,5,1,21,14,7,5,5,0,0,0,0,10,3,7,199,99,100,1217,683,534,593,360,233,276,174,102,149,96,53,93,59,34,21,19,2,14,12,2,2,0,2,65,20,45,4,1,3,3529,1748,1781,2473,1444,1029,29,10,19,1027,294,733,0,0,0,70.07650892604137,82.6086956521739,57.776530039303765,232,398,73,20,1,2,12,4,254,399,87,2
DOTI,DAHAKALIKASTHAN,436,1,1,1,1,0,0,7,439,0,0,0,1,1,0,6,436,1,0,0,0,10,171,167,113,0,0,1,0,1,112,0,0,1,0,0,109,447,2374,1017,1357,5.31096196868009,74.94473102431834,1,234,4,23,178,7,433,4,0,0,0,0,10,442,2,0,3,476,639,333,306,129,322,14,11,2292,973,1319,38,20,18,17,7,10,13,8,5,1,1,0,8,6,2,2,1,1,0,0,0,3,1,2,61,28,33,575,334,241,112,68,44,84,50,34,32,24,8,29,22,7,11,10,1,0,0,0,1,0,1,13,5,8,0,0,0,1980,817,1163,848,509,339,36,19,17,1093,288,805,3,1,2,42.82828282828282,62.30110159118727,29.148753224419604,12,0,424,1,0,0,0,10,201,29,211,6
DOTI,DAUD,1166,0,0,1,1,0,0,5,800,0,3,27,300,38,0,5,1163,2,0,0,0,8,657,510,383,27,11,2,0,6,283,1,0,0,0,0,6,1173,6117,2709,3408,5.2148337595907925,79.48943661971832,643,67,3,32,423,5,1160,5,0,0,0,0,8,1168,3,0,2,1192,1568,846,812,281,663,65,93,5972,2625,3347,47,31,16,24,13,11,38,19,19,5,3,2,11,7,4,3,3,0,3,1,2,14,7,7,299,152,147,1381,753,628,353,222,131,158,102,56,108,73,35,77,62,15,21,21,0,4,4,0,12,0,12,68,42,26,4,3,1,5028,2141,2887,2202,1290,912,392,151,241,2429,698,1731,5,2,3,43.794749403341285,60.25221858944418,31.589885694492555,9,7,1142,0,0,0,0,15,698,360,111,4
