DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
GORKHA,AANPPIPAL,994,4,25,0,98,0,0,2,748,0,10,24,338,1,0,2,1094,23,0,5,0,1,173,946,734,534,61,3,0,6,730,0,1,0,0,6,4,1123,4029,1716,2313,3.5877114870881566,74.18936446173801,1013,106,1,1,0,2,1075,35,3,6,0,0,4,1094,21,2,6,665,802,595,597,65,196,5,9,3931,1665,2266,35,17,18,8,4,4,13,6,7,2,1,1,13,6,7,14,10,4,6,5,1,7,2,5,73,37,36,1114,548,566,646,281,365,199,106,93,197,105,92,86,49,37,42,31,11,12,9,3,5,1,4,238,121,117,4,0,4,3728,1557,2171,2577,1269,1308,96,48,48,1054,239,815,1,1,0,69.1255364806867,81.5028901734104,60.248733302625524,170,731,219,0,0,0,1,2,303,360,459,1
GORKHA,AARU ARBANG,979,5,6,0,4,0,0,4,900,0,5,73,9,7,0,4,983,1,4,6,0,4,251,739,624,61,3,2,0,1,468,0,1,7,0,0,8,998,4496,1963,2533,4.50501002004008,77.49703908409002,309,481,0,185,19,4,969,11,8,3,0,2,5,980,11,2,5,860,1096,729,750,120,321,11,25,4404,1919,2485,19,11,8,22,11,11,16,7,9,1,0,1,16,8,8,2,0,2,4,3,1,12,4,8,146,88,58,1246,603,643,621,305,316,185,99,86,118,64,54,42,24,18,6,4,2,0,0,0,2,1,1,156,62,94,3,0,3,4139,1796,2343,2447,1199,1248,99,38,61,1593,559,1034,0,0,0,59.12056052186519,66.75946547884188,53.26504481434059,142,192,647,6,0,1,6,4,559,246,189,4
GORKHA,AARU CHANAUTE,555,6,416,1,81,1,3,6,961,0,12,7,82,0,0,7,622,76,262,85,0,24,107,935,578,522,338,47,13,105,810,6,58,32,4,95,27,1069,4327,1979,2348,4.047708138447147,84.28449744463373,990,70,0,2,0,7,620,338,35,32,0,20,24,735,326,7,1,856,930,707,699,117,198,32,33,4145,1898,2247,82,31,51,14,8,6,35,19,16,0,0,0,20,10,10,6,1,5,6,3,3,19,9,10,191,101,90,1088,573,515,705,338,367,251,142,109,301,167,134,130,69,61,32,26,6,14,13,1,0,0,0,307,112,195,10,6,4,3964,1790,2174,3014,1538,1476,79,25,54,871,227,644,0,0,0,76.0343087790111,85.92178770949721,67.89328426862924,25,642,94,282,1,0,0,25,128,650,284,7
GORKHA,AARUPOKHARI,1035,10,11,0,23,0,0,0,448,0,7,161,463,0,0,0,1065,1,0,10,0,3,213,864,737,87,3,2,0,6,631,0,2,0,0,0,2,1079,4564,2005,2559,4.229842446709917,78.35091832747166,331,642,2,101,3,0,1061,3,4,7,0,1,3,1054,14,2,9,771,991,659,747,94,222,18,22,4465,1953,2512,37,20,17,9,5,4,16,8,8,1,1,0,8,5,3,14,4,10,7,4,3,7,5,2,89,50,39,1144,567,577,669,277,392,243,112,131,252,121,131,77,41,36,27,18,9,6,3,3,3,1,2,131,73,58,7,3,4,4162,1808,2354,2611,1249,1362,63,24,39,1487,535,952,1,0,1,62.73426237385872,69.08185840707965,57.8589634664401,114,811,148,2,0,0,0,4,474,142,463,0
GORKHA,ASRANG,742,0,58,0,26,1,0,4,146,0,101,90,466,24,0,4,807,8,9,1,0,6,97,713,568,325,1,7,0,6,650,1,7,2,0,7,21,831,3406,1443,1963,4.098676293622142,73.50993377483444,799,27,1,0,0,4,807,17,0,1,0,0,6,814,15,0,2,637,791,559,603,60,154,18,34,3310,1397,1913,35,23,12,17,5,12,14,5,9,4,2,2,9,2,7,5,2,3,4,3,1,8,4,4,50,25,25,964,442,522,511,228,283,161,76,85,149,75,74,80,44,36,16,12,4,5,5,0,0,0,0,199,84,115,3,1,2,3152,1309,1843,2084,960,1124,198,95,103,869,254,615,1,0,1,66.11675126903553,73.33842627960276,60.9875203472599,40,429,342,14,0,0,0,6,131,592,104,4
GORKHA,BAGUWA,468,1,17,0,7,0,0,1,276,0,9,15,193,0,0,1,487,4,0,2,0,1,25,443,380,219,1,1,0,5,306,0,5,2,0,3,26,494,1965,862,1103,3.977732793522267,78.15049864007253,397,96,0,0,0,1,484,4,3,1,0,1,1,474,12,1,7,343,393,294,293,44,91,5,9,1939,844,1095,12,8,4,5,4,1,1,0,1,0,0,0,3,2,1,3,3,0,2,1,1,0,0,0,7,5,2,441,205,236,321,160,161,110,56,54,131,66,65,64,31,33,15,10,5,7,4,3,0,0,0,159,79,80,1,0,1,1833,802,1031,1243,611,632,80,38,42,510,153,357,0,0,0,67.81232951445718,76.18453865336659,61.299709020368574,31,392,68,2,0,0,0,1,14,115,364,1
GORKHA,BAKRANG,759,1,18,0,13,1,0,1,512,0,11,9,260,0,0,1,766,8,0,18,0,1,133,658,550,406,0,6,0,3,546,0,1,1,0,1,2,793,3019,1303,1716,3.807061790668348,75.93240093240094,757,32,0,0,3,1,769,16,3,4,0,0,1,775,13,1,4,446,641,378,475,62,156,6,10,2965,1271,1694,20,14,6,6,4,2,6,2,4,0,0,0,12,7,5,2,0,2,2,0,2,6,5,1,20,10,10,798,365,433,519,244,275,163,81,82,131,76,55,59,30,29,24,19,5,5,4,1,2,2,0,335,136,199,0,0,0,2790,1177,1613,2042,962,1080,17,8,9,730,206,524,1,1,0,73.18996415770609,81.73322005097707,66.95598264104153,83,480,225,3,0,0,0,2,96,415,281,1
GORKHA,MIRKOT,1324,0,33,1,30,0,0,0,798,2,48,352,172,16,0,0,1301,18,17,50,1,1,190,1187,938,667,4,4,1,5,1012,0,9,2,3,10,11,1388,5261,2407,2854,3.7903458213256482,84.33777154870357,1234,154,0,0,0,0,1282,49,40,15,0,0,2,1314,30,0,44,983,1088,807,750,160,318,16,20,5139,2334,2805,42,30,12,11,5,6,25,12,13,2,1,1,20,12,8,5,3,2,9,5,4,8,5,3,56,33,23,1417,710,707,834,416,418,253,139,114,224,125,99,55,35,20,20,17,3,0,0,0,2,2,0,330,170,160,6,2,4,4847,2195,2652,3138,1622,1516,130,54,76,1578,519,1059,1,0,1,64.74107695481742,73.89521640091115,57.16440422322775,211,869,279,22,0,0,4,3,317,524,547,0
GORKHA,BHUMLICHOK,679,1,4,0,1,0,0,0,665,1,0,8,11,0,0,0,672,13,0,0,0,0,113,572,523,81,14,3,0,2,321,0,3,0,0,1,0,685,3545,1653,1892,5.175182481751825,87.36786469344608,600,78,0,7,0,0,668,16,1,0,0,0,0,676,9,0,0,770,892,505,543,252,333,13,16,3486,1617,1869,18,14,4,12,6,6,19,11,8,4,3,1,6,2,4,0,0,0,0,0,0,0,0,0,75,31,44,1149,585,564,364,168,196,133,73,60,95,50,45,40,24,16,11,10,1,4,2,2,3,2,1,27,16,11,3,3,0,3219,1494,1725,1898,960,938,19,6,13,1300,528,772,2,0,2,58.962410686548616,64.2570281124498,54.3768115942029,174,466,42,0,1,0,2,0,225,309,151,0
GORKHA,BIHI,201,0,0,0,0,0,0,7,171,0,0,0,14,16,0,7,200,1,0,0,0,7,120,88,87,1,0,0,0,2,0,0,0,0,2,0,0,208,612,288,324,2.9423076923076925,88.88888888888889,0,5,0,164,32,7,200,0,1,0,0,0,7,192,10,6,0,102,120,35,29,65,90,2,1,596,279,317,7,4,3,3,1,2,1,0,1,1,0,1,3,3,0,0,0,0,0,0,0,1,1,0,3,1,2,68,44,24,2,1,1,2,2,0,3,2,1,4,3,1,0,0,0,0,0,0,0,0,0,105,65,40,0,0,0,550,255,295,181,115,66,49,23,26,320,117,203,0,0,0,32.90909090909091,45.09803921568628,22.372881355932204,1,10,0,0,189,0,0,8,176,17,8,7
