DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
GULMI,AAGLUNG,685,1,10,0,0,0,0,5,601,0,0,31,63,1,0,5,648,6,18,23,0,6,279,415,399,12,0,0,0,9,121,0,3,0,0,0,7,701,3634,1668,1966,5.184022824536377,84.84231943031536,23,330,1,211,131,5,640,26,23,6,0,0,6,675,20,0,6,837,909,670,621,161,282,6,6,3519,1599,1920,41,24,17,6,1,5,32,20,12,1,1,0,12,9,3,9,6,3,4,3,1,10,5,5,125,82,43,1202,646,556,407,224,183,133,70,63,93,50,43,32,21,11,10,8,2,1,1,0,0,0,0,91,36,55,13,6,7,3178,1450,1728,2031,1092,939,33,18,15,1114,340,774,0,0,0,63.90811831340466,75.3103448275862,54.34027777777778,198,17,456,23,1,0,0,6,312,277,107,5
GULMI,AMAR ARBATHOK,471,0,4,0,0,0,0,1,463,0,0,11,0,1,0,1,451,3,0,22,0,0,10,448,352,89,214,2,1,11,411,2,22,0,1,10,18,476,1943,818,1125,4.081932773109243,72.71111111111111,453,21,1,0,0,1,435,23,3,15,0,0,0,460,15,0,1,371,419,310,298,49,112,12,9,1891,784,1107,21,13,8,5,4,1,4,1,3,2,2,0,12,9,3,5,3,2,3,2,1,0,0,0,37,20,17,539,269,270,334,144,190,176,67,109,148,69,79,42,27,15,11,9,2,1,1,0,0,0,0,73,37,36,0,0,0,1771,726,1045,1330,626,704,20,9,11,420,90,330,1,1,0,75.09881422924902,86.22589531680441,67.36842105263158,58,408,6,3,1,0,0,0,86,177,213,0
GULMI,AMARPUR,825,7,2,2,3,0,0,1,666,2,0,165,2,4,0,1,802,4,0,33,0,1,227,612,550,60,1,3,0,1,391,0,4,0,0,0,1,840,3598,1578,2020,4.283333333333333,78.11881188118812,10,370,0,372,87,1,806,5,7,20,1,0,1,818,18,1,3,702,893,485,565,216,324,1,4,3484,1517,1967,34,23,11,25,8,17,14,7,7,9,6,3,11,5,6,8,4,4,5,2,3,8,6,2,127,76,51,923,440,483,405,175,230,203,79,124,165,85,80,34,22,12,13,12,1,8,6,2,0,0,0,43,25,18,0,0,0,3189,1390,1799,1808,856,952,94,60,34,1286,474,812,1,0,1,56.69488867983694,61.58273381294964,52.918287937743195,179,124,533,2,1,0,0,1,199,501,139,1
GULMI,ANPCHAUR,883,1,31,0,0,0,0,0,834,0,2,4,37,20,18,0,810,66,6,31,0,2,80,823,749,341,301,14,3,12,701,2,14,6,1,20,12,915,3900,1639,2261,4.262295081967213,72.49004865103936,769,144,2,0,0,0,796,85,0,32,0,0,2,797,99,5,14,680,843,601,650,72,184,7,9,3830,1606,2224,24,10,14,2,2,0,8,4,4,1,1,0,14,6,8,12,7,5,2,1,1,7,2,5,78,40,38,1107,541,566,553,221,332,319,136,183,305,131,174,97,49,48,38,26,12,21,20,1,0,0,0,216,94,122,3,1,2,3492,1429,2063,2704,1244,1460,17,7,10,771,178,593,0,0,0,77.43413516609394,87.05388383484954,70.77072224915172,287,370,226,30,0,0,1,1,129,400,386,0
GULMI,ARBANI,557,0,7,0,19,0,0,0,445,0,2,10,34,9,83,0,561,7,2,13,0,0,100,483,329,171,74,4,0,18,391,0,0,0,0,0,0,583,2783,1208,1575,4.773584905660377,76.6984126984127,527,56,0,0,0,0,537,35,3,8,0,0,0,559,23,0,1,516,617,444,480,72,134,0,3,2671,1144,1527,46,27,19,20,10,10,13,9,4,1,1,0,7,5,2,6,5,1,4,1,3,15,6,9,44,22,22,810,384,426,429,181,248,211,104,107,206,84,122,69,31,38,15,7,8,2,2,0,0,0,0,79,50,29,12,4,8,2523,1079,1444,1844,851,993,62,36,26,617,192,425,0,0,0,73.0875941339675,78.8693234476367,68.76731301939058,348,226,5,4,0,0,0,0,80,273,230,0
GULMI,ARJAI,579,0,5,0,0,0,0,2,568,0,0,11,3,2,0,2,560,2,4,17,0,3,53,524,494,59,0,1,0,6,424,0,1,2,0,0,9,586,2657,1134,1523,4.534129692832765,74.45830597504924,36,234,1,309,4,2,553,13,13,3,0,1,3,564,16,0,6,496,620,421,451,71,155,4,14,2573,1084,1489,34,17,17,17,10,7,8,6,2,1,1,0,6,3,3,8,5,3,1,1,0,9,7,2,81,48,33,700,343,357,381,160,221,195,86,109,209,101,108,54,28,26,17,13,4,3,3,0,0,0,0,112,48,64,3,0,3,2408,1009,1399,1722,811,911,51,23,28,634,175,459,1,0,1,71.51162790697676,80.37661050545094,65.11794138670479,64,36,479,4,0,0,0,3,65,444,75,2
GULMI,ARKHALE,1423,2,8,0,0,0,0,6,1318,0,9,76,27,2,1,6,1368,7,7,48,4,5,97,1305,1078,447,319,27,14,26,1094,0,51,5,3,2,37,1439,6076,2564,3512,4.222376650451703,73.00683371298405,1312,111,1,7,2,6,1377,23,6,25,0,2,6,1399,21,0,19,1062,1323,892,964,161,330,9,29,5902,2468,3434,62,40,22,25,16,9,25,10,15,3,2,1,19,9,10,14,2,12,10,5,5,16,12,4,237,133,104,1322,629,693,871,383,488,586,239,347,550,271,279,175,84,91,31,24,7,5,4,1,0,0,0,334,182,152,8,3,5,5557,2291,3266,4007,1890,2117,121,52,69,1426,347,1079,3,2,1,72.10725211445023,82.49672632038411,64.81935088793631,51,945,424,12,2,0,0,5,132,768,533,6
GULMI,ARKHAWANG,303,0,0,0,0,0,0,7,207,0,1,1,94,0,0,7,301,1,0,0,0,8,24,275,272,19,0,1,1,5,197,0,0,0,0,0,11,310,1511,677,834,4.874193548387097,81.17505995203837,3,184,1,115,0,7,299,2,1,0,0,0,8,292,17,0,1,303,371,268,305,26,51,9,15,1469,648,821,10,8,2,7,5,2,10,6,4,1,0,1,4,2,2,2,2,0,1,1,0,7,5,2,60,38,22,407,199,208,234,95,139,169,87,82,64,33,31,43,20,23,12,10,2,5,4,1,0,0,0,10,10,0,26,10,16,1367,598,769,1016,498,518,16,7,9,334,93,241,1,0,1,74.32333577176298,83.27759197324414,67.36020806241872,70,15,216,1,0,0,0,8,107,106,90,7
GULMI,ARLANGKOT,453,1,1,0,0,0,0,0,437,0,1,7,4,6,0,0,452,0,1,2,0,0,36,407,366,18,76,1,1,0,366,0,1,0,0,0,12,455,2110,947,1163,4.637362637362638,81.42734307824591,369,80,0,0,6,0,454,0,0,1,0,0,0,400,37,2,16,379,482,321,358,51,103,7,21,2053,916,1137,15,8,7,10,7,3,10,4,6,2,2,0,16,7,9,0,0,0,0,0,0,4,3,1,30,19,11,563,249,314,300,138,162,143,64,79,154,76,78,79,44,35,12,9,3,5,5,0,0,0,0,180,91,89,12,10,2,1901,832,1069,1463,701,762,59,16,43,379,115,264,0,0,0,76.95949500263019,84.2548076923077,71.28157156220767,274,70,110,1,0,0,0,0,29,213,213,0
GULMI,ASLEWA,705,1,54,0,7,0,0,2,745,0,0,5,13,2,2,2,622,20,24,100,0,3,118,643,492,269,280,14,7,41,582,0,12,1,0,5,8,769,2978,1213,1765,3.8725617685305593,68.72521246458923,727,40,0,0,0,2,625,46,1,94,0,0,3,637,71,57,4,482,643,403,462,74,173,5,8,2883,1182,1701,24,7,17,19,6,13,16,6,10,1,0,1,14,3,11,10,4,6,4,3,1,7,2,5,109,60,49,742,339,403,432,166,266,283,113,170,256,105,151,80,46,34,22,16,6,8,8,0,0,0,0,159,77,82,2,0,2,2705,1063,1642,2077,923,1154,24,14,10,602,125,477,2,1,1,76.7837338262477,86.82972718720602,70.28014616321559,239,474,5,46,2,0,0,3,62,468,238,1
