DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
HUMLA,BARAI,212,0,0,0,0,0,0,1,1,0,0,1,197,13,0,1,212,0,0,0,0,1,129,82,73,0,0,0,0,0,40,0,0,0,0,0,2,213,1235,608,627,5.7981220657277,96.96969696969697,0,0,0,17,195,1,212,0,0,0,0,0,1,209,2,0,2,251,288,189,158,61,130,1,0,1153,564,589,16,9,7,11,4,7,32,18,14,0,0,0,5,3,2,0,0,0,3,0,3,15,10,5,142,68,74,199,129,70,54,38,16,39,33,6,40,40,0,17,15,2,1,1,0,0,0,0,1,1,0,10,4,6,0,0,0,1036,510,526,378,269,109,7,4,3,651,237,414,0,0,0,36.486486486486484,52.74509803921569,20.722433460076044,36,0,0,0,1,55,120,1,164,8,40,1
HUMLA,BARGAUN,169,0,0,0,0,0,0,0,160,0,0,0,9,0,0,0,169,0,0,0,0,0,30,139,123,23,2,1,0,0,114,0,0,0,82,0,0,169,738,396,342,4.366863905325443,115.78947368421053,158,0,0,0,11,0,169,0,0,0,0,0,0,154,0,2,13,104,124,79,92,25,32,0,0,711,383,328,11,4,7,4,2,2,5,4,1,0,0,0,1,0,1,0,0,0,0,0,0,6,3,3,11,6,5,134,79,55,81,53,28,39,23,16,13,9,4,20,15,5,6,6,0,2,2,0,0,0,0,24,19,5,0,0,0,681,362,319,317,206,111,20,12,8,343,144,199,1,0,1,46.54919236417034,56.9060773480663,34.79623824451411,2,2,5,0,0,160,0,0,81,85,3,0
HUMLA,CHHIPRA,214,0,0,0,0,0,0,0,178,0,0,0,33,3,0,0,214,0,0,0,0,0,95,118,106,0,0,0,0,1,74,0,0,0,2,0,1,214,1045,485,560,4.883177570093458,86.60714285714286,0,0,0,121,93,0,214,0,0,0,0,0,0,207,1,2,4,171,247,130,145,41,101,0,1,995,461,534,8,2,6,6,2,4,19,10,9,0,0,0,5,4,1,3,1,2,3,1,2,6,4,2,71,26,45,204,112,92,72,50,22,33,28,5,47,37,10,21,19,2,5,5,0,1,1,0,0,0,0,10,8,2,0,0,0,870,407,463,412,264,148,25,12,13,428,127,301,5,4,1,47.356321839080465,64.86486486486487,31.96544276457883,1,2,1,0,0,210,0,0,106,71,37,0
HUMLA,DANDAFAYA,368,0,0,0,0,0,0,0,198,0,0,1,168,1,0,0,368,0,0,0,0,0,146,221,195,9,0,0,0,5,183,0,0,0,23,0,1,368,2098,1054,1044,5.701086956521739,100.95785440613028,152,2,0,210,4,0,367,0,1,0,0,0,0,351,4,7,6,461,508,331,280,127,223,3,5,2050,1027,1023,18,7,11,1,0,1,14,13,1,0,0,0,6,3,3,1,0,1,0,0,0,8,4,4,80,36,44,488,279,209,189,131,58,81,57,24,71,56,15,39,34,5,6,6,0,0,0,0,0,0,0,18,11,7,0,0,0,1791,895,896,914,585,329,55,25,30,822,285,537,0,0,0,51.032942490228926,65.36312849162012,36.71875,0,10,6,0,1,351,0,0,265,87,16,0
HUMLA,DARMA,386,0,0,0,0,0,0,0,75,0,0,0,311,0,0,0,386,0,0,0,0,0,197,189,143,1,0,0,0,0,142,0,0,0,0,0,0,386,2116,1083,1033,5.481865284974093,104.84027105517907,0,0,0,7,379,0,383,0,2,0,0,1,0,370,7,2,7,467,481,398,318,66,162,3,1,2020,1029,991,37,21,16,15,8,7,25,13,12,0,0,0,13,8,5,1,0,1,2,1,1,3,3,0,192,106,86,480,266,214,121,90,31,89,72,17,69,57,12,25,21,4,3,3,0,0,0,0,0,0,0,60,44,16,0,0,0,1756,904,852,959,618,341,25,13,12,772,273,499,0,0,0,54.61275626423691,68.36283185840708,40.02347417840376,1,7,3,0,0,375,0,0,193,6,187,0
HUMLA,GOTHI,191,0,0,0,0,0,0,0,191,0,0,0,0,0,0,0,191,0,0,0,0,0,121,70,47,0,0,0,0,0,52,0,0,0,10,0,0,191,1111,537,574,5.816753926701571,93.55400696864112,0,0,0,76,115,0,190,0,0,1,0,0,0,191,0,0,0,214,247,156,156,56,88,2,3,1070,513,557,20,13,7,1,0,1,6,4,2,2,0,2,9,6,3,1,0,1,0,0,0,2,1,1,5,2,3,272,132,140,91,70,21,53,35,18,52,36,16,32,24,8,2,2,0,2,2,0,1,0,1,0,0,0,0,0,0,932,448,484,510,303,207,11,6,5,408,138,270,3,1,2,54.72103004291845,67.63392857142857,42.768595041322314,13,0,3,0,19,156,0,0,127,16,48,0
HUMLA,HEPKA,204,0,0,0,0,0,0,0,203,0,0,0,0,0,1,0,203,1,0,0,0,0,16,187,82,0,0,0,0,1,56,0,0,0,176,0,1,204,1057,523,534,5.181372549019608,97.94007490636703,36,0,0,161,7,0,203,1,0,0,0,0,0,198,5,1,0,196,203,118,117,78,85,0,1,1030,517,513,10,3,7,4,2,2,3,0,3,0,0,0,5,1,4,2,0,2,0,0,0,3,0,3,44,24,20,220,129,91,85,52,33,18,13,5,22,21,1,4,3,1,2,2,0,0,0,0,0,0,0,16,3,13,1,0,1,950,470,480,393,239,154,42,22,20,515,209,306,0,0,0,41.368421052631575,50.851063829787236,32.083333333333336,0,2,2,0,0,200,0,0,151,1,52,0
HUMLA,JAIR,384,0,0,0,0,0,0,0,374,0,3,1,0,6,0,0,384,0,0,0,0,0,252,132,94,2,0,0,0,0,101,0,0,0,0,0,0,384,2150,1032,1118,5.598958333333333,92.3076923076923,0,0,0,55,329,0,384,0,0,0,0,0,0,379,0,3,2,372,483,271,238,100,245,1,0,2088,1002,1086,35,18,17,5,1,4,17,10,7,1,0,1,2,0,2,0,0,0,0,0,0,2,1,1,77,40,37,372,196,176,131,98,33,71,62,9,91,75,16,24,22,2,8,8,0,1,1,0,1,1,0,34,25,9,0,0,0,1741,843,898,796,519,277,47,30,17,898,294,604,0,0,0,45.720850086157384,61.56583629893239,30.846325167037865,0,3,0,0,0,381,0,0,81,243,60,0
HUMLA,KALIKA,531,0,0,0,1,0,1,0,437,0,0,0,91,5,0,0,532,1,0,0,0,0,290,242,152,1,0,0,0,0,180,0,0,0,14,0,1,533,3158,1574,1584,5.924953095684803,99.36868686868688,0,0,0,57,476,0,527,0,1,0,0,5,0,519,3,0,11,711,717,520,357,191,360,0,0,2978,1473,1505,81,44,37,16,7,9,58,31,27,1,1,0,14,11,3,1,1,0,3,3,0,6,3,3,284,120,164,557,380,177,215,175,40,76,60,16,72,60,12,31,27,4,5,5,0,0,0,0,0,0,0,20,9,11,0,0,0,2584,1298,1286,987,724,263,112,54,58,1485,520,965,0,0,0,38.196594427244584,55.77812018489985,20.45101088646967,3,11,5,0,1,513,0,0,213,256,64,0
HUMLA,KHAGALGAUN,219,0,0,0,0,0,0,0,216,0,0,0,2,1,0,0,219,0,0,0,0,0,16,203,183,9,0,0,0,0,136,0,0,0,171,0,0,219,1023,521,502,4.671232876712328,103.78486055776892,63,0,0,142,14,0,219,0,0,0,0,0,0,211,2,1,5,127,142,70,58,57,84,0,0,967,500,467,17,5,12,4,0,4,26,11,15,0,0,0,4,2,2,1,0,1,0,0,0,4,3,1,31,16,15,225,160,65,42,36,6,19,15,4,10,9,1,11,11,0,0,0,0,0,0,0,0,0,0,8,5,3,0,0,0,912,458,454,337,245,92,60,39,21,515,174,341,0,0,0,36.95175438596491,53.493449781659386,20.26431718061674,0,5,0,0,0,214,0,0,147,69,3,0
