DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
ILLAM,AMCHOK,982,0,2,1,4,0,0,2,501,2,5,166,314,0,1,2,932,2,1,15,40,1,117,847,734,239,10,8,0,7,535,3,15,3,1,0,27,991,4730,2184,2546,4.772956609485369,85.78161822466615,708,253,6,21,1,2,921,4,2,61,0,2,1,952,21,1,17,907,1032,723,770,165,239,19,23,4594,2108,2486,54,33,21,25,15,10,16,6,10,2,1,1,14,8,6,9,6,3,2,0,2,14,7,7,54,30,24,1079,576,503,709,323,386,705,351,354,418,194,224,95,63,32,25,22,3,10,9,1,0,0,0,70,43,27,20,12,8,4333,1988,2345,3107,1582,1525,135,51,84,1089,355,734,2,0,2,71.70551580890839,79.5774647887324,65.0319829424307,285,698,5,0,1,0,0,2,56,160,773,2
ILLAM,BAJHO,1892,23,24,6,3,0,2,27,1016,4,24,492,396,16,3,26,323,22,3,1589,12,28,494,1476,1150,168,3,5,0,42,1074,3,28,106,2,2,7,1977,10012,4932,5080,5.0642387455741025,97.08661417322834,54,1100,7,479,310,27,332,25,833,488,2,268,29,1272,161,28,516,2230,2217,1584,1587,624,608,22,22,9701,4743,4958,96,61,35,76,45,31,43,32,11,8,6,2,39,23,16,14,8,6,4,1,3,31,13,18,149,80,69,3042,1700,1342,1738,891,847,950,489,461,496,218,278,162,105,57,69,48,21,11,7,4,4,0,4,368,184,184,112,79,33,9150,4502,4648,7023,3760,3263,136,70,66,1982,668,1314,9,4,5,76.75409836065575,83.51843625055531,70.20223752151463,320,1571,8,9,8,0,29,32,466,291,1194,26
ILLAM,BARBOTE,1269,8,112,2,18,1,3,1,1193,3,7,7,198,3,2,1,1058,107,74,34,137,4,106,1304,983,838,139,67,33,96,1145,22,63,6,2,16,4,1414,6424,3227,3197,4.543140028288543,100.93837973099782,1310,90,6,2,5,1,982,190,29,181,4,24,4,1161,235,3,15,1232,1147,939,869,286,270,7,8,6307,3169,3138,41,19,22,23,13,10,8,2,6,3,3,0,12,6,6,17,8,9,4,1,3,9,6,3,70,42,28,1603,887,716,1079,547,532,1002,533,469,334,178,156,458,255,203,137,99,38,40,32,8,0,0,0,51,28,23,18,13,5,6008,3005,3003,4726,2582,2144,302,151,151,980,272,708,0,0,0,78.66178428761651,85.9234608985025,71.3952713952714,117,1201,9,74,0,0,8,5,18,576,820,0
ILLAM,CHAMAITA,1207,4,8,2,0,0,1,8,688,0,5,24,496,9,1,7,1103,29,9,51,33,5,189,1040,792,337,46,13,2,17,858,7,28,16,4,0,1,1230,5891,2830,3061,4.789430894308943,92.45344658608298,925,261,6,18,12,8,883,31,105,184,0,21,6,1068,125,0,37,1173,1258,884,939,286,315,3,4,5754,2755,2999,67,39,28,13,6,7,23,11,12,1,1,0,9,5,4,10,4,6,5,3,2,9,6,3,144,72,72,1647,901,746,1110,551,559,570,281,289,482,233,249,159,72,87,48,38,10,6,2,4,0,0,0,273,133,140,7,3,4,5440,2602,2838,4387,2262,2125,65,30,35,988,310,678,0,0,0,80.64338235294117,86.93312836279785,74.87667371388301,119,1029,8,6,1,0,61,6,59,371,793,7
ILLAM,CHISAPANI,1157,20,16,2,2,0,1,6,961,8,13,112,76,1,27,6,233,24,15,894,31,7,138,1053,829,380,14,15,0,45,759,2,24,12,3,4,13,1204,5427,2625,2802,4.5074750830564785,93.6830835117773,859,322,13,4,0,6,209,50,583,334,0,21,7,1148,27,7,22,1145,1206,820,839,317,354,8,13,5285,2552,2733,42,24,18,27,15,12,27,14,13,2,0,2,14,7,7,7,4,3,3,1,2,20,8,12,98,56,42,1773,924,849,871,426,445,427,218,209,237,113,124,71,35,36,19,16,3,2,2,0,0,0,0,120,72,48,6,4,2,4994,2394,2600,3553,1825,1728,207,110,97,1232,458,774,2,1,1,71.1453744493392,76.23224728487887,66.46153846153847,149,1031,8,4,1,0,2,9,117,273,808,6
ILLAM,CHULACHULI,3302,49,116,12,410,1,1,14,708,2393,123,483,98,13,73,14,91,135,49,3460,152,18,466,3389,2192,1032,79,45,19,62,2488,5,165,2491,4,22,50,3905,17324,8024,9300,4.4363636363636365,86.27956989247312,1518,1224,15,1018,117,13,30,140,1358,2336,2,21,18,3804,39,3,59,3413,3791,2435,2531,945,1201,33,59,16906,7797,9109,150,84,66,42,33,9,46,24,22,7,5,2,74,33,41,33,16,17,8,1,7,58,31,27,220,97,123,4577,2404,2173,3104,1466,1638,1749,816,933,1037,458,579,386,195,191,100,71,29,16,11,5,3,3,0,666,364,302,47,20,27,15951,7307,8644,11809,5862,5947,336,149,187,3805,1296,2509,1,0,1,74.03297598896621,80.2244423155878,68.79916705229061,826,2993,13,5,40,0,5,23,1206,583,2102,14
ILLAM,DANABARI,3025,17,32,7,38,0,0,18,1138,395,120,1123,62,193,88,18,66,84,56,2866,47,18,602,2531,1802,1002,135,33,8,150,1638,22,134,356,9,43,4,3137,14302,6874,7428,4.559132929550526,92.54173397953689,1911,900,16,154,138,18,49,115,2007,927,7,13,19,2997,119,5,16,3027,3356,2161,2304,803,1002,63,50,13995,6701,7294,120,65,55,33,17,16,48,31,17,9,5,4,32,20,12,25,12,13,10,4,6,30,19,11,240,132,108,4329,2297,2032,2611,1258,1353,1150,572,578,654,328,326,297,178,119,97,66,31,17,13,4,0,0,0,197,103,94,84,59,25,13121,6283,6838,9485,4905,4580,536,296,240,3093,1076,2017,7,6,1,72.2886975078119,78.06780200541142,66.97864872769816,519,2507,25,27,35,0,3,21,819,539,1761,18
ILLAM,DHUSENI,899,0,0,1,1,0,0,7,682,1,2,42,174,0,0,7,815,1,4,40,40,8,156,748,583,206,76,10,0,13,617,2,13,0,1,0,4,908,4272,2027,2245,4.704845814977974,90.28953229398664,734,163,2,0,2,7,806,4,13,73,0,4,8,876,12,0,20,790,862,595,621,194,237,1,4,4062,1921,2141,58,31,27,41,21,20,45,24,21,0,0,0,14,5,9,20,9,11,14,9,5,18,7,11,28,18,10,1101,561,540,685,341,344,458,242,216,347,179,168,145,89,56,24,19,5,4,3,1,0,0,0,115,53,62,58,39,19,3958,1859,2099,2954,1537,1417,69,35,34,935,287,648,0,0,0,74.63365336028296,82.67885960193652,67.50833730347784,228,667,2,3,0,0,0,8,19,280,602,7
ILLAM,EBHANG,1045,1,2,1,0,0,0,12,762,1,1,72,213,0,0,12,884,3,1,150,11,12,142,903,735,173,5,11,0,20,643,4,8,1,0,0,16,1061,5098,2422,2676,4.804901036757776,90.50822122571002,404,338,9,112,186,12,864,13,35,133,1,3,12,999,6,0,56,1150,1235,882,905,265,325,3,5,4991,2358,2633,52,32,20,10,6,4,14,9,5,0,0,0,14,10,4,7,3,4,1,0,1,9,4,5,64,30,34,1473,793,680,957,468,489,584,296,288,92,42,50,127,67,60,22,15,7,3,2,1,0,0,0,139,72,67,3,1,2,4704,2230,2474,3427,1771,1656,77,36,41,1195,421,774,5,2,3,72.85289115646259,79.4170403587444,66.93613581244946,376,662,6,4,1,0,0,12,93,116,840,12
ILLAM,EKTAPPA,1015,10,5,0,1,0,0,5,824,1,9,52,140,2,3,5,970,14,1,21,23,7,141,893,762,104,2,7,3,19,723,0,21,2,0,0,2,1036,4851,2278,2573,4.6824324324324325,88.53478429848425,179,554,0,192,106,5,933,23,7,65,0,0,8,1008,17,0,11,884,942,723,748,161,193,0,1,4714,2198,2516,56,30,26,16,8,8,19,14,5,2,1,1,16,9,7,16,9,7,1,1,0,11,8,3,33,19,14,1304,694,610,872,444,428,492,248,244,413,190,223,200,109,91,49,35,14,12,12,0,0,0,0,13,7,6,3,2,1,4474,2092,2382,3366,1744,1622,82,51,31,1025,296,729,1,1,0,75.23468931604828,83.36520076481835,68.09403862300589,315,711,2,0,0,0,1,7,16,196,819,5
