DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
JAJARKOT,ARCHHANI,655,0,0,0,0,0,0,2,380,0,25,9,217,23,1,2,641,3,0,9,0,4,274,363,343,6,3,2,0,5,120,0,0,0,0,0,20,657,3675,1903,1772,5.593607305936073,107.39277652370203,2,3,1,212,437,2,638,6,5,3,0,0,5,651,4,0,2,881,881,724,647,148,224,9,10,3490,1807,1683,80,46,34,43,19,24,30,15,15,0,0,0,14,5,9,7,4,3,3,2,1,8,5,3,153,74,79,1049,611,438,367,191,176,250,153,97,78,59,19,81,59,22,3,3,0,2,2,0,7,6,1,18,7,11,13,10,3,3083,1596,1487,1865,1099,766,134,55,79,1070,434,636,14,8,6,60.49302627311061,68.85964912280701,51.513113651647615,17,10,621,2,0,2,0,5,439,83,133,2
JAJARKOT,BHAGAWATI TOL,618,1,0,0,1,0,0,1,319,0,0,22,205,74,0,1,620,0,0,0,0,1,334,268,206,1,1,0,0,0,130,0,0,0,0,0,19,621,3479,1774,1705,5.602254428341385,104.04692082111437,0,0,1,129,490,1,618,0,2,0,0,0,1,611,3,0,7,850,847,644,572,173,250,33,25,3363,1708,1655,41,26,15,31,17,14,19,9,10,1,0,1,10,6,4,5,3,2,5,2,3,4,3,1,217,129,88,1074,617,457,280,183,97,105,79,26,51,35,16,31,25,6,5,5,0,0,0,0,1,1,0,84,60,24,35,18,17,2978,1521,1457,1866,1146,720,59,24,35,1050,349,701,3,2,1,62.659503022162525,75.34516765285996,49.416609471516814,275,5,340,0,0,0,0,1,330,104,186,1
JAJARKOT,BHOOR,1130,0,0,0,0,0,0,1,773,0,1,27,220,109,0,1,1123,0,0,4,0,4,574,548,477,1,0,0,0,2,265,0,0,0,0,0,9,1131,6133,2984,3149,5.42263483642794,94.7602413464592,2,7,0,384,737,1,1111,3,1,3,0,0,13,1108,13,0,10,1409,1580,1101,1103,302,468,6,9,5801,2817,2984,140,72,68,82,37,45,60,33,27,5,3,2,16,6,10,10,6,4,5,4,1,14,6,8,320,168,152,1499,767,732,575,326,249,276,165,111,145,92,53,74,56,18,17,13,4,1,1,0,0,0,0,234,126,108,1,0,1,5294,2570,2724,2766,1528,1238,305,152,153,2221,889,1332,2,1,1,52.247827729505104,59.45525291828794,45.44787077826725,44,12,825,0,1,169,72,8,817,120,193,1
JAJARKOT,DAHA,850,0,0,2,5,0,0,6,298,0,6,91,390,54,19,5,852,0,0,1,0,10,449,405,328,6,0,0,0,1,213,0,0,0,0,0,9,863,4995,2511,2484,5.787949015063731,101.08695652173914,9,1,2,313,532,6,848,3,1,1,0,0,10,848,6,0,9,1211,1258,859,791,287,379,65,88,4815,2410,2405,84,47,37,40,21,19,14,10,4,2,1,1,23,13,10,2,2,0,2,1,1,13,6,7,285,151,134,1179,618,561,400,245,155,157,105,52,82,51,31,28,20,8,3,3,0,1,1,0,3,0,3,100,54,46,6,4,2,4179,2097,2082,2066,1152,914,178,94,84,1934,851,1083,1,0,1,49.4376645130414,54.93562231759657,43.900096061479346,123,4,725,0,0,0,0,11,646,160,51,6
JAJARKOT,DANDAGAUN,1222,0,2,7,15,2,1,4,795,6,5,57,226,140,21,3,1247,1,0,1,1,3,512,729,621,26,3,0,0,2,342,1,0,2,0,0,12,1253,6839,3381,3458,5.4581005586592175,97.77327935222672,15,8,7,439,780,4,1225,4,19,0,0,1,4,1226,23,0,4,1544,1693,1103,1108,435,576,6,9,6601,3262,3339,82,50,32,41,18,23,62,30,32,2,0,2,22,9,13,7,4,3,2,1,1,20,7,13,306,151,155,1946,1070,876,614,365,249,293,178,115,100,72,28,102,76,26,15,13,2,3,3,0,10,7,3,241,87,154,3,2,1,5811,2870,2941,3409,1916,1493,193,79,114,2209,875,1334,0,0,0,58.66460161762175,66.75958188153311,50.76504590275417,486,15,740,1,0,2,5,4,596,303,350,4
JAJARKOT,DASERA,1419,0,0,1,2,0,2,8,1006,2,30,111,267,7,1,8,1407,6,1,4,0,14,617,757,647,18,0,2,0,22,329,0,0,0,0,0,58,1432,8178,4048,4130,5.710893854748603,98.01452784503631,2,2,3,913,504,8,1377,30,7,4,0,0,14,1378,53,0,1,1817,2051,1442,1486,332,510,43,55,7712,3792,3920,236,118,118,81,44,37,94,57,37,3,2,1,19,13,6,9,5,4,8,6,2,16,11,5,370,168,202,1981,1056,925,877,491,386,437,249,188,329,234,95,237,158,79,34,31,3,9,9,0,3,0,3,207,92,115,25,11,14,6912,3406,3506,4178,2346,1832,278,135,143,2449,922,1527,7,3,4,60.44560185185185,68.87844979448033,52.2532800912721,8,11,1380,2,4,9,2,16,238,482,704,8
JAJARKOT,DHIME,1300,0,0,1,0,0,0,10,715,2,1,16,523,44,0,10,1293,0,0,5,1,12,503,705,660,12,1,0,0,22,237,0,0,1,0,0,103,1311,7551,3796,3755,5.759725400457666,101.0918774966711,5,2,1,402,891,10,1290,3,2,3,0,0,13,1274,20,0,17,1698,1793,1374,1287,312,485,12,21,7357,3686,3671,65,41,24,45,23,22,29,12,17,10,5,5,23,13,10,4,3,1,2,2,0,16,11,5,219,119,100,1945,1067,878,756,420,336,407,251,156,250,163,87,158,117,41,18,17,1,6,5,1,5,4,1,77,43,34,22,8,14,6371,3182,3189,3581,2062,1519,469,251,218,2320,869,1451,1,0,1,56.207816669282685,64.80201131363921,47.63248667293822,694,12,543,1,0,49,1,11,956,43,302,10
JAJARKOT,GARKHAKOT,980,0,0,2,1,0,0,6,265,5,12,19,606,75,1,6,959,1,0,1,0,28,469,504,489,5,1,1,0,2,100,0,0,1,0,0,16,989,5630,2780,2850,5.692618806875632,97.54385964912281,0,2,0,372,609,6,953,6,2,0,0,0,28,984,3,2,0,1312,1467,1009,1011,288,417,15,39,5495,2701,2794,68,39,29,22,14,8,15,9,6,6,2,4,14,8,6,4,3,1,0,0,0,6,4,2,269,125,144,1265,634,631,466,269,197,366,237,129,120,86,34,109,85,24,11,9,2,6,6,0,4,2,2,123,87,36,15,4,11,4751,2356,2395,2557,1451,1106,279,133,146,1907,769,1138,8,3,5,53.82024836876447,61.587436332767396,46.17954070981211,26,14,915,0,0,0,0,34,742,103,138,6
JAJARKOT,JAGATIPUR,1426,0,0,11,1,1,0,2,482,1,0,393,325,233,5,2,1435,1,0,3,0,2,670,748,597,13,0,1,0,6,337,0,0,1,0,0,23,1441,7279,3457,3822,5.051353226925746,90.45002616431188,13,54,2,541,829,2,1392,34,10,3,0,0,2,1422,13,0,6,1619,1912,1212,1233,398,674,9,5,7094,3357,3737,38,21,17,64,30,34,37,24,13,3,2,1,22,13,9,14,6,8,0,0,0,7,4,3,391,203,188,1799,955,844,667,355,312,292,177,115,187,106,81,92,57,35,20,17,3,1,1,0,3,2,1,265,124,141,7,4,3,6252,2901,3351,3426,1837,1589,128,56,72,2698,1008,1690,0,0,0,54.798464491362765,63.32299207169941,47.41868099074903,13,9,1001,3,1,411,1,2,1123,26,290,2
JAJARKOT,JHAPRA,981,1,0,1,0,0,0,3,569,0,0,28,372,13,1,3,975,1,0,8,0,2,452,524,437,3,0,1,0,2,264,0,0,1,0,0,10,986,5802,2935,2867,5.8843813387423936,102.3718172305546,1,16,6,700,260,3,970,6,5,1,0,0,4,981,4,0,1,1400,1430,1038,1047,355,375,7,8,5517,2773,2744,171,95,76,29,14,15,29,21,8,9,4,5,29,20,9,8,3,5,3,2,1,7,3,4,173,74,99,1405,751,654,680,374,306,325,202,123,207,136,71,95,63,32,20,17,3,2,1,1,1,1,0,36,10,26,3,1,2,4990,2527,2463,2832,1579,1253,267,129,138,1890,819,1071,1,0,1,56.75350701402806,62.48516026909379,50.87291920422249,249,3,705,0,5,22,0,2,383,234,366,3
