DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
JHAPA,ANARMANI,3263,125,6543,54,183,10,10,47,4190,5887,46,23,13,1,28,47,380,3413,4234,1512,619,77,380,9808,4698,6622,4853,1807,679,1709,8711,285,2284,4962,94,2358,47,10235,42712,20892,21820,4.173131411822179,95.74702108157653,9667,471,35,12,4,46,192,7543,377,1962,21,62,78,5792,4215,118,110,7537,7670,5586,5395,1902,2221,49,54,42277,20651,21626,185,111,74,59,34,25,54,28,26,3,2,1,57,26,31,37,20,17,7,2,5,33,18,15,1157,639,518,9147,4784,4363,6183,3055,3128,5013,2396,2617,4936,2409,2527,3134,1683,1451,1603,1061,542,428,327,101,6,3,3,1080,539,541,43,28,15,39203,19089,20114,32357,16714,15643,555,266,289,6288,2107,4181,3,2,1,82.53705073591307,87.55827963748756,77.77170130257532,240,3912,26,5922,20,0,30,85,1000,7375,1813,47
JHAPA,ARJUNDHARA,2868,31,768,39,837,4,11,2,547,3644,67,250,6,14,30,2,77,857,1161,2075,384,6,272,4288,2418,3085,640,313,96,374,3649,35,634,3108,64,392,0,4560,20103,9466,10637,4.408552631578948,88.99125693334587,4032,492,24,6,4,2,60,1719,473,2192,2,108,6,4110,384,10,56,3439,3841,2583,2682,846,1156,10,3,19655,9230,10425,142,79,63,47,22,25,85,50,35,3,1,2,80,43,37,29,11,18,10,8,2,52,22,30,318,179,139,4741,2511,2230,3249,1570,1679,2333,1068,1265,1613,812,801,773,428,345,336,234,102,77,64,13,10,7,3,682,335,347,15,10,5,18414,8572,9842,13935,7095,6840,342,175,167,4137,1302,2835,0,0,0,75.67611599869664,82.76948203453102,69.4980694980695,367,3583,20,531,17,0,35,7,847,2151,1561,1
JHAPA,BAHUNDANGI,4643,33,236,6,531,2,2,26,3054,1078,318,833,47,44,76,29,370,1071,876,2897,228,37,483,4886,3183,3173,568,129,21,102,3968,43,528,2815,34,83,110,5479,23822,11105,12717,4.347873699580215,87.32405441534952,4271,1130,29,18,2,29,167,1303,796,3075,8,92,38,5250,119,8,102,4000,4576,3049,3068,868,1401,83,107,23314,10849,12465,159,85,74,51,18,33,91,50,41,6,2,4,96,50,46,44,23,21,15,7,8,46,21,25,340,177,163,5930,3088,2842,4464,2149,2315,2832,1263,1569,1911,920,991,638,361,277,215,162,53,55,39,16,2,2,0,745,399,346,96,51,45,22073,10229,11844,17116,8545,8571,261,123,138,4680,1553,3127,16,8,8,77.54269922529787,83.5370026395542,72.36575481256332,206,4974,21,182,18,0,35,43,745,2466,2239,29
JHAPA,BAIGUNDHURA,955,11,74,120,83,0,7,1,19,1202,2,4,0,0,23,1,6,130,93,743,276,3,111,1140,635,742,52,18,10,38,978,6,102,944,15,46,0,1251,5640,2643,2997,4.508393285371703,88.18818818818819,1064,166,16,4,0,1,19,174,131,912,7,5,3,1161,25,1,64,951,1053,740,735,209,314,2,4,5516,2577,2939,22,14,8,24,17,7,17,8,9,3,2,1,20,7,13,10,4,6,7,5,2,21,9,12,140,77,63,1204,618,586,852,423,429,656,323,333,395,192,203,181,107,74,82,56,26,16,12,4,0,0,0,295,151,144,2,1,1,5115,2384,2731,3772,1930,1842,62,41,21,1281,413,868,0,0,0,73.74389051808407,80.95637583892618,67.44782131087513,401,832,3,10,1,0,1,3,385,307,558,1
JHAPA,BALUBADI,1133,6,21,4,79,0,0,3,14,1052,5,172,0,0,0,3,4,58,78,991,112,3,120,1123,622,565,27,6,1,2,602,3,56,1040,4,1,3,1246,5535,2632,2903,4.442215088282504,90.66482948673786,925,305,1,12,0,3,4,109,63,1034,3,30,3,1216,4,1,25,1027,1150,782,711,244,438,1,1,5460,2584,2876,32,26,6,7,3,4,11,4,7,0,0,0,17,11,6,6,2,4,0,0,0,2,2,0,111,56,55,1475,791,684,817,443,374,403,200,203,276,144,132,123,77,46,24,22,2,3,3,0,0,0,0,192,122,70,0,0,0,5032,2366,2666,3372,1832,1540,90,46,44,1570,488,1082,0,0,0,67.01112877583466,77.43026204564666,57.764441110277566,220,1011,4,7,0,0,0,4,811,200,232,3
JHAPA,BANIYANI,1131,16,131,53,108,0,3,2,18,1310,28,29,1,0,56,2,6,138,229,1030,39,2,127,1315,588,828,77,28,14,14,951,59,98,1160,12,42,2,1444,6458,3043,3415,4.472299168975069,89.10688140556368,1142,284,4,8,4,2,4,338,33,1027,0,40,2,1377,51,2,14,1145,1337,840,852,274,426,31,59,6297,2945,3352,67,42,25,25,16,9,26,16,10,0,0,0,14,7,7,15,10,5,5,3,2,9,4,5,195,111,84,1554,823,731,1006,507,499,556,286,270,352,184,168,203,132,71,68,51,17,5,4,1,0,0,0,212,123,89,6,4,2,5820,2702,3118,4151,2221,1930,53,18,35,1616,463,1153,0,0,0,71.32302405498282,82.19837157660992,61.8986529826812,108,1192,3,106,1,0,31,3,709,370,363,2
JHAPA,BHADRAPUR MUNICIPALITY,1722,89,2253,25,62,1,39,57,2649,1389,45,100,1,0,9,55,210,2304,542,873,256,63,214,3991,2148,3206,1797,708,339,1071,3208,126,907,3044,60,901,43,4248,18164,8880,9284,4.275894538606403,95.6484274019819,3790,368,25,8,1,56,147,2840,208,851,7,128,67,3123,889,173,63,2986,3173,2210,2145,729,975,47,53,17915,8735,9180,110,69,41,49,25,24,29,15,14,2,2,0,27,14,13,17,9,8,8,5,3,7,6,1,397,218,179,3749,1968,1781,2727,1356,1371,2041,1026,1015,2034,986,1048,1309,731,578,868,576,292,234,186,48,0,0,0,264,113,151,33,16,17,16716,8111,8605,13592,7141,6451,160,60,100,2958,909,2049,6,1,5,81.31131849724814,88.04093206756257,74.96804183614178,193,2158,30,1776,10,0,8,73,732,2940,519,57
JHAPA,BUDHABARE,2920,24,1123,7,1047,1,13,135,3669,939,201,207,26,17,78,133,83,1185,1313,2308,236,145,370,4891,3319,3867,765,381,237,493,4216,63,748,3136,85,398,9,5270,22936,10938,11998,4.352182163187856,91.16519419903317,4718,372,28,9,8,135,24,2236,598,2128,2,137,145,4574,611,6,79,3814,3892,2919,2805,870,1059,25,28,22448,10674,11774,172,103,69,56,33,23,97,53,44,5,3,2,70,31,39,32,11,21,14,8,6,42,22,20,450,234,216,4802,2523,2279,3710,1761,1949,2605,1250,1355,2393,1165,1228,1348,746,602,532,359,173,144,120,24,1,0,1,1050,541,509,114,52,62,21386,10147,11239,17058,8703,8355,411,217,194,3912,1224,2688,5,3,2,79.76246142336107,85.76919286488616,74.3393540350565,98,4258,15,719,16,0,14,150,441,2960,1734,135
JHAPA,CHAKCHAKI,1394,9,89,391,228,0,75,10,21,2123,4,2,1,5,31,9,152,508,127,782,617,10,217,1979,1090,1227,51,57,3,29,1504,10,175,1751,21,15,0,2196,10202,4716,5486,4.645719489981785,85.96427269413051,1785,365,13,15,8,10,94,593,33,1457,3,4,12,2150,29,3,14,1783,2199,1316,1369,409,752,58,78,9890,4545,5345,137,76,61,39,21,18,29,15,14,1,0,1,41,27,14,28,12,16,2,2,0,35,18,17,171,85,86,2435,1242,1193,1418,723,695,1094,502,592,663,335,328,304,189,115,78,56,22,19,14,5,2,0,2,403,205,198,24,10,14,9283,4232,5051,6550,3330,3220,205,88,117,2526,814,1712,2,0,2,70.55908650220833,78.68620037807183,63.74975252425262,375,1687,12,105,4,0,1,12,948,592,646,10
JHAPA,CHANDRAGADHI,2229,40,1649,12,550,1,24,9,1950,2429,37,50,5,8,23,12,348,1714,1005,993,440,14,203,4289,2435,3471,1273,511,151,992,3257,60,774,3432,41,668,22,4514,18949,9013,9936,4.197828976517501,90.71054750402577,4009,449,21,13,9,13,196,2656,184,1409,3,51,15,3806,569,64,75,2977,3236,2248,2293,670,873,59,70,18571,8798,9773,153,91,62,56,27,29,66,40,26,4,3,1,37,19,18,25,17,8,8,2,6,29,16,13,429,222,207,3892,1948,1944,2672,1357,1315,2225,1066,1159,2165,1117,1048,1161,666,495,537,378,159,136,102,34,1,0,1,440,223,217,55,23,32,17486,8285,9201,13674,7077,6597,382,157,225,3424,1049,2375,6,2,4,78.19970261923824,85.41943270971636,71.69872839908706,192,2715,14,1544,22,0,2,25,1048,2673,780,13
