DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
JUMLA,BADKI,772,0,1,0,0,0,0,4,659,0,0,1,83,1,29,4,771,0,0,2,0,4,490,287,179,5,0,0,0,0,204,0,0,0,0,0,0,777,4740,2332,2408,6.100386100386101,96.843853820598,103,3,0,429,238,4,770,0,2,0,0,1,4,764,5,0,8,1004,1171,774,682,226,483,4,6,4551,2234,2317,71,37,34,31,16,15,55,28,27,4,2,2,13,9,4,6,2,4,2,2,0,7,2,5,353,178,175,1019,584,435,378,276,102,158,124,34,136,107,29,74,59,15,10,10,0,1,1,0,3,3,0,80,47,33,1,1,0,3977,1967,2010,1929,1244,685,52,22,30,1994,699,1295,2,2,0,48.503897410108124,63.243518047788505,34.07960199004975,1,13,6,1,2,750,0,4,138,428,207,4
JUMLA,BIRAT,635,0,1,0,1,0,0,7,400,0,1,19,190,2,25,7,617,0,0,19,0,8,242,385,184,7,1,2,0,7,343,1,1,0,1,0,17,644,3541,1764,1777,5.498447204968944,99.26842993809791,14,0,0,342,281,7,614,1,19,0,1,1,8,613,25,4,2,767,847,533,439,233,407,1,1,3411,1685,1726,30,19,11,27,14,13,40,26,14,4,2,2,19,13,6,5,2,3,1,1,0,4,2,2,163,78,85,722,442,280,327,238,89,140,106,34,137,104,33,61,52,9,17,17,0,1,1,0,1,0,1,51,22,29,0,0,0,3046,1529,1517,1514,1011,503,56,31,25,1476,487,989,0,0,0,49.704530531845045,66.12164813603663,33.15754779169413,2,36,3,0,4,590,0,9,366,89,182,7
JUMLA,BUMRAMADICHAUR,214,0,0,0,0,0,0,0,213,0,0,0,0,1,0,0,214,0,0,0,0,0,32,182,82,9,6,3,0,1,167,0,0,0,0,0,0,214,1177,606,571,5.5,106.12959719789843,189,1,0,8,16,0,212,0,0,0,0,2,0,212,1,1,0,271,287,167,150,100,132,4,5,1145,591,554,11,4,7,6,5,1,3,2,1,0,0,0,9,2,7,1,0,1,0,0,0,2,2,0,46,27,19,320,183,137,101,68,33,22,14,8,42,31,11,17,14,3,8,8,0,0,0,0,0,0,0,0,0,0,2,1,1,1048,537,511,548,339,209,46,25,21,454,173,281,0,0,0,52.29007633587786,63.128491620111724,40.90019569471624,2,3,3,1,1,204,0,0,27,21,166,0
JUMLA,CHANDAN NATH,1722,4,92,0,1,0,5,15,1784,0,1,1,33,5,0,15,1806,13,2,2,0,16,208,1597,802,949,563,117,48,167,1372,8,30,14,3,13,34,1839,8491,4192,4299,4.617183251767265,97.51104908118167,1670,18,0,32,104,15,1770,28,6,0,1,18,16,1445,324,50,20,1646,1858,1298,1246,335,593,13,19,8251,4057,4194,66,34,32,36,18,18,78,49,29,2,1,1,22,15,7,12,6,6,5,3,2,19,9,10,247,151,96,1877,1025,852,995,578,417,723,451,272,680,374,306,367,246,121,181,142,39,65,59,6,9,9,0,75,41,34,10,8,2,7607,3746,3861,5136,3028,2108,165,91,74,2303,625,1678,3,2,1,67.51676087813856,80.8328884143086,54.5972545972546,20,822,64,5,5,906,0,17,431,687,706,15
JUMLA,CHHUMCHAUR,407,0,1,0,1,1,0,3,253,0,0,0,158,0,0,2,411,0,0,0,0,2,251,160,60,9,0,0,0,3,131,0,1,2,0,0,2,413,2615,1314,1301,6.331719128329298,100.99923136049193,2,0,0,327,81,3,410,0,1,0,0,0,2,412,1,0,0,632,654,395,283,224,351,13,20,2517,1258,1259,42,26,16,12,9,3,33,13,20,5,4,1,4,3,1,2,1,1,0,0,0,0,0,0,60,27,33,636,396,240,190,145,45,91,78,13,22,19,3,6,5,1,6,5,1,0,0,0,0,0,0,12,8,4,2,1,1,2180,1100,1080,990,668,322,33,14,19,1157,418,739,0,0,0,45.412844036697244,60.72727272727273,29.814814814814817,0,5,2,0,1,403,0,2,137,46,227,3
JUMLA,DEPALGAUN,497,0,0,0,1,0,0,0,480,0,0,2,15,1,0,0,496,0,0,0,0,2,129,368,329,34,3,0,0,0,190,0,0,0,0,0,1,498,2398,1167,1231,4.815261044176707,94.80097481722177,3,0,0,301,194,0,490,0,0,0,0,5,3,487,5,1,5,470,574,364,382,103,188,3,4,2327,1127,1200,27,17,10,8,3,5,20,11,9,1,1,0,4,2,2,2,1,1,0,0,0,9,5,4,169,86,83,485,253,232,243,151,92,119,85,34,129,95,34,72,56,16,8,8,0,3,3,0,0,0,0,113,51,62,0,0,0,2083,1015,1068,1294,765,529,15,9,6,774,241,533,0,0,0,62.12193951032165,75.36945812807882,49.53183520599251,6,44,4,0,0,441,0,3,211,17,270,0
JUMLA,DHAPA,673,0,0,0,0,0,0,2,656,0,0,1,14,2,0,2,671,0,0,0,0,4,179,489,181,1,0,1,0,0,455,0,0,1,0,0,7,675,3746,1877,1869,5.54962962962963,100.42803638309256,6,1,0,454,213,1,670,0,0,0,0,1,4,669,2,0,4,799,893,652,585,145,307,2,1,3619,1799,1820,29,19,10,28,16,12,29,16,13,5,4,1,12,9,3,5,0,5,2,2,0,17,12,5,214,104,110,918,529,389,369,257,112,164,113,51,182,132,50,69,59,10,18,17,1,3,3,0,0,0,0,27,17,10,0,0,0,3253,1630,1623,1778,1138,640,141,64,77,1333,428,905,1,0,1,54.6572394712573,69.8159509202454,39.43314849044978,0,4,3,0,2,660,0,6,353,296,24,2
JUMLA,DILLICHAUR,871,0,0,0,0,0,0,6,321,0,0,0,548,2,0,6,870,0,0,0,0,7,286,585,470,50,0,2,0,11,303,0,0,1,0,1,6,877,4711,2338,2373,5.3717217787913345,98.52507374631269,325,0,0,481,65,6,868,0,0,0,0,2,7,859,15,0,3,1086,1180,733,596,344,580,9,4,4618,2283,2335,31,20,11,11,6,5,27,18,9,1,1,0,12,5,7,6,3,3,1,0,1,4,2,2,107,51,56,1103,637,466,384,276,108,165,130,35,92,71,21,41,32,9,16,14,2,1,1,0,3,3,0,57,40,17,8,5,3,4046,2009,2037,1923,1230,693,83,44,39,2040,735,1305,0,0,0,47.52842313395947,61.224489795918366,34.02061855670103,2,35,8,0,0,825,0,7,167,310,394,6
JUMLA,GARJYANGKOT,772,0,0,0,0,0,1,2,556,0,6,18,183,11,0,1,767,0,0,0,0,8,151,585,555,64,0,1,1,4,248,0,1,0,0,0,39,775,4146,2039,2107,5.349677419354839,96.77266255339345,16,4,0,462,291,2,758,3,0,1,0,5,8,771,2,0,2,868,1044,699,679,157,339,12,26,4065,1998,2067,24,12,12,10,5,5,13,10,3,1,0,1,18,8,10,4,2,2,7,4,3,4,0,4,203,105,98,1041,571,470,399,235,164,234,186,48,153,121,32,73,68,5,19,19,0,0,0,0,3,3,0,13,5,8,21,7,14,3649,1784,1865,2002,1245,757,211,90,121,1429,446,983,7,3,4,54.86434639627296,69.78699551569507,40.58981233243968,7,48,13,0,0,697,0,10,383,206,184,2
JUMLA,GHODE MAHADEV,370,0,0,0,0,0,0,1,227,0,0,0,0,143,0,1,370,0,0,0,0,1,179,179,135,0,0,0,0,0,115,0,0,1,0,0,13,371,2424,1247,1177,6.533692722371968,105.94732370433304,188,2,0,144,36,1,369,1,0,0,0,0,1,359,4,4,4,579,594,436,286,142,283,1,25,2371,1216,1155,20,13,7,9,5,4,16,7,9,0,0,0,3,2,1,2,1,1,0,0,0,3,3,0,143,71,72,570,365,205,180,144,36,86,69,17,48,43,5,13,13,0,5,5,0,2,2,0,0,0,0,41,24,17,1,1,0,2008,1035,973,944,663,281,74,38,36,990,334,656,0,0,0,47.01195219123506,64.05797101449275,28.879753340184994,0,5,5,0,7,352,0,2,10,360,0,1
