DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
KAILALI,BALIYA,7994,7,323,1,179,8,5,56,2347,5845,6,5,7,33,272,58,1230,1782,432,5034,19,76,1045,7287,3250,2584,723,161,59,284,5781,186,503,5022,103,267,241,8573,41461,19491,21970,4.836230024495509,88.71643149749659,7645,331,1,9,527,60,818,2636,3510,1273,25,233,78,7993,433,16,131,9116,10202,7186,7103,1706,2798,224,301,40330,18917,21413,438,229,209,244,121,123,170,81,89,12,5,7,105,60,45,67,34,33,16,7,9,79,37,42,2243,1178,1065,10537,5455,5082,5675,2943,2732,3077,1692,1385,1947,1182,765,1072,678,394,239,175,64,107,93,14,17,12,5,777,347,430,80,43,37,36745,17053,19692,25012,13413,11599,922,407,515,10793,3227,7566,18,6,12,68.06912505102734,78.65478214976837,58.90209222019094,1295,1252,4329,1412,94,0,101,90,4207,3048,1258,60
KAILALI,BASAUTI,846,7,0,5,183,0,0,11,4,1033,3,0,1,0,0,11,43,49,1,945,0,14,60,976,514,182,0,1,0,8,754,1,46,883,10,0,16,1052,6347,3057,3290,6.033269961977187,92.9179331306991,2,417,1,607,14,11,52,46,115,694,3,128,14,1048,2,1,1,1276,1495,788,864,469,603,19,28,6175,2971,3204,39,22,17,42,20,22,13,4,9,6,3,3,47,26,21,9,5,4,4,2,2,12,4,8,275,146,129,1053,583,470,967,491,476,789,464,325,165,93,72,90,59,31,16,16,0,2,2,0,1,0,1,108,72,36,11,8,3,5858,2789,3069,3320,1848,1472,126,69,57,2411,872,1539,1,0,1,56.67463298053943,66.26030835424883,47.96350602802216,52,95,863,23,2,0,2,15,718,286,37,11
KAILALI,BELADEVIPUR,1808,2,3,1,91,0,0,7,31,1832,2,4,1,7,28,7,58,169,1,1676,0,8,193,1691,680,730,26,38,3,44,1257,13,115,1417,476,12,28,1912,11400,5428,5972,5.96234309623431,90.89082384460816,1614,257,3,12,19,7,62,168,1439,230,0,5,8,1899,3,0,10,2545,2913,1666,1718,853,1142,26,53,11034,5229,5805,122,70,52,78,38,40,57,29,28,8,3,5,45,30,15,14,9,5,7,4,3,35,16,19,466,260,206,3075,1633,1442,1623,928,695,794,476,318,328,196,132,223,156,67,65,49,16,17,14,3,7,6,1,363,112,251,1,0,1,10222,4850,5372,6794,3747,3047,212,94,118,3214,1008,2206,2,1,1,66.46448835844258,77.25773195876289,56.72002978406553,99,114,1600,80,8,0,2,9,1345,185,375,7
KAILALI,BHAJANI,2285,16,41,0,146,0,3,16,51,2435,2,0,1,2,1,15,358,249,13,1853,4,30,264,2210,1286,772,252,53,23,163,1681,108,163,1888,289,40,33,2507,14917,7507,7410,5.950139609094535,101.30904183535763,2127,342,7,8,7,16,328,303,95,1384,11,356,30,2461,37,0,9,3422,3493,2273,2093,1096,1334,53,66,14671,7384,7287,93,56,37,44,20,24,43,22,21,3,2,1,18,8,10,19,7,12,3,0,3,23,8,15,603,329,274,3791,2147,1644,1966,1132,834,1021,632,389,451,286,165,331,220,111,87,63,24,29,27,2,11,7,4,200,93,107,16,8,8,13598,6842,6756,8193,4769,3424,411,186,225,4990,1885,3105,4,2,2,60.25150757464333,69.70184156679333,50.68087625814092,450,738,1157,119,6,0,6,31,1385,551,556,15
KAILALI,BONIYA,1956,4,20,5,465,0,0,7,17,2428,2,0,3,0,1,6,162,345,8,1925,7,10,184,2263,1162,875,141,21,6,26,1628,19,107,2010,271,31,10,2457,13899,6560,7339,5.656898656898657,89.3854748603352,2320,110,2,14,4,7,173,341,175,1566,7,185,10,2374,6,4,73,2782,3276,2062,2161,681,1066,39,49,13661,6427,7234,67,39,28,47,28,19,37,17,20,6,3,3,35,17,18,14,7,7,11,7,4,21,15,6,658,362,296,3353,1814,1539,1742,944,798,808,457,351,724,427,297,251,161,90,56,42,14,15,14,1,7,4,3,501,189,312,22,10,12,12673,5953,6720,7798,4251,3547,197,93,104,4677,1608,3069,1,1,0,61.5323916988874,71.40937342516378,52.78273809523809,144,652,1587,56,4,0,3,11,1642,733,75,7
KAILALI,CHUHA,3480,1,25,4,121,2,1,13,287,3269,2,1,23,3,49,13,367,633,57,2562,12,16,426,3139,1630,1075,103,44,13,87,2227,47,117,2319,242,29,82,3647,19891,9247,10644,5.454071839868385,86.87523487410748,3277,131,2,13,211,13,415,773,1813,323,6,301,16,3597,32,3,15,4432,5159,3300,3403,1067,1661,65,95,19484,9039,10445,132,68,64,103,43,60,56,29,27,11,4,7,45,29,16,23,14,9,16,7,9,21,14,7,1043,549,494,4873,2584,2289,2449,1249,1200,1366,775,591,602,383,219,376,258,118,61,53,8,25,20,5,4,2,2,348,138,210,28,8,20,17781,8171,9610,10542,5706,4836,561,237,324,6654,2223,4431,24,5,19,59.28800404926607,69.83233386366418,50.32258064516129,325,676,2159,368,21,0,78,20,2423,636,576,12
KAILALI,CHAUMALA,5182,8,16,3,46,1,5,32,137,4979,10,34,6,63,32,32,200,710,36,4308,1,38,845,4379,1966,1841,223,61,14,48,3515,174,206,2794,138,72,69,5293,27586,12729,14857,5.211789155488381,85.67678535370533,4607,352,6,19,277,32,266,776,4041,146,2,22,40,5102,139,4,48,6020,6877,4661,4622,1331,2233,28,22,26891,12355,14536,255,144,111,111,57,54,104,63,41,14,4,10,67,44,23,91,36,55,23,13,10,30,13,17,1491,812,679,7284,3716,3568,3316,1760,1556,1720,998,722,1061,584,477,422,277,145,115,92,23,15,11,4,13,5,8,681,303,378,29,17,12,24438,11121,13317,15212,8085,7127,761,341,420,8464,2694,5770,1,1,0,62.24731974793355,72.70029673590504,53.51805962303822,301,882,3537,332,169,0,5,67,3222,1083,957,31
KAILALI,DHANSINGHAPUR,1450,3,2,0,48,0,0,37,11,1481,2,2,0,0,8,36,264,64,0,1172,1,39,247,1252,712,509,79,16,5,3,870,23,78,996,1,4,41,1540,8750,4142,4608,5.681818181818182,89.88715277777779,1228,265,1,2,7,37,224,108,173,834,2,160,39,1537,0,0,3,1975,2280,1420,1493,489,696,66,91,8643,4080,4563,49,35,14,18,8,10,12,7,5,0,0,0,11,5,6,10,4,6,3,1,2,4,2,2,263,140,123,2456,1327,1129,1280,680,600,695,402,293,193,120,73,164,111,53,27,20,7,7,6,1,2,0,2,289,100,189,15,6,9,7962,3721,4241,5180,2807,2373,238,114,124,2542,799,1743,2,1,1,65.05903039437328,75.43671056167696,55.95378448479133,444,606,414,30,3,0,0,43,1008,222,273,37
KAILALI,DARAKH,2866,31,133,18,85,1,2,17,47,2987,10,2,4,0,86,17,214,702,67,2147,1,22,152,2950,1556,682,211,74,15,62,2313,96,197,2320,293,53,51,3153,17623,8693,8930,5.589280050745322,97.34602463605823,1413,1024,18,563,118,17,419,686,1172,480,8,366,22,2959,169,4,21,3944,4276,2884,2911,1029,1309,31,56,17490,8614,8876,48,30,18,35,22,13,16,11,5,4,2,2,18,8,10,3,2,1,0,0,0,9,4,5,419,226,193,4837,2603,2234,2558,1382,1176,1432,807,625,720,447,273,514,327,187,136,94,42,71,62,9,18,8,10,861,351,510,21,10,11,16037,7852,8185,11486,6263,5223,114,53,61,4437,1536,2901,0,0,0,71.62187441541435,79.76311767702497,63.811850946854,213,653,1937,277,41,0,7,25,1942,802,392,17
KAILALI,DHANGADHI MUNICIPALITY,12719,158,6859,81,900,6,213,94,5543,15252,33,8,50,1,47,96,3835,11088,949,4935,85,138,1031,19761,10244,11766,8635,2890,1204,4534,16873,644,3650,15006,251,3363,238,21030,101970,51439,50531,4.848787446504993,101.79691674417684,18948,1872,38,30,45,97,3248,12508,2973,1736,70,350,145,15978,4652,256,144,20609,20169,16198,14347,4155,5466,256,356,100799,50831,49968,476,258,218,215,97,118,144,72,72,11,6,5,121,71,50,97,46,51,32,19,13,75,39,36,4406,2433,1973,21837,11831,10006,13891,7394,6497,8659,4831,3828,9758,5570,4188,7862,4787,3075,3344,2344,1000,1221,982,239,39,21,18,3381,1111,2270,172,81,91,93478,46973,46505,73714,40919,32795,1669,722,947,18071,5323,12748,24,9,15,78.85705727550868,87.11174504502587,70.51929900010751,614,3450,6433,10133,159,0,84,157,4781,13378,2773,98
