DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
KALIKOT,BADALKOT,588,0,0,0,0,0,0,1,497,0,1,3,8,79,0,1,586,0,0,0,0,3,163,416,391,1,0,0,0,0,156,0,0,0,0,0,10,589,3254,1652,1602,5.524617996604414,103.12109862671662,1,13,1,214,359,1,582,3,0,0,0,0,4,583,4,0,2,725,787,581,569,113,187,31,31,3048,1525,1523,97,58,39,37,26,11,28,15,13,5,4,1,16,12,4,7,3,4,4,1,3,12,8,4,127,56,71,873,475,398,296,185,111,133,90,43,91,67,24,64,53,11,8,7,1,1,1,0,1,0,1,16,10,6,3,3,0,2753,1388,1365,1406,833,573,214,107,107,1132,448,684,1,0,1,51.07155830003632,60.01440922190202,41.97802197802198,528,38,15,0,0,2,1,5,20,26,542,1
KALIKOT,CHHAPRE,598,0,0,0,0,0,0,3,268,0,3,8,287,31,1,3,598,0,0,0,0,3,314,275,233,0,0,0,0,3,120,0,0,1,0,0,12,601,3661,1856,1805,6.091514143094842,102.82548476454294,0,1,0,285,312,3,594,4,0,0,0,0,3,591,8,0,2,824,863,625,569,193,291,6,3,3481,1764,1717,75,38,37,30,12,18,48,26,22,3,1,2,7,4,3,2,2,0,1,1,0,14,8,6,150,71,79,851,473,378,339,221,118,144,94,50,84,65,19,57,47,10,10,8,2,1,1,0,0,0,0,114,80,34,3,2,1,3027,1525,1502,1641,1002,639,85,48,37,1301,475,826,0,0,0,54.21209117938554,65.70491803278688,42.543275632490015,491,27,71,0,4,2,3,3,330,23,245,3
KALIKOT,CHILKHAYA,744,0,0,0,1,0,0,4,329,0,37,80,263,36,0,4,741,1,0,2,1,4,348,392,320,4,0,2,0,6,194,0,0,0,0,0,9,749,4654,2305,2349,6.213618157543391,98.12686249467859,62,0,0,284,399,4,730,7,2,3,0,2,5,736,11,1,1,1059,1121,774,695,227,328,58,98,4390,2161,2229,114,59,55,55,27,28,57,33,24,4,2,2,15,10,5,7,5,2,2,2,0,10,6,4,116,56,60,1249,690,559,455,301,154,162,118,44,91,72,19,83,67,16,12,12,0,3,3,0,3,3,0,41,18,23,3,2,1,3855,1919,1936,2117,1294,823,228,115,113,1508,508,1000,2,2,0,54.915693904020756,67.43095362167796,42.510330578512395,236,76,44,4,382,0,3,4,486,74,185,4
KALIKOT,DAHAFATGAUN,833,1,4,0,6,0,0,5,600,0,1,1,160,75,7,5,839,3,0,0,0,7,389,434,366,14,3,3,0,9,209,1,0,1,0,0,26,849,5084,2502,2582,5.988221436984688,96.90162664601084,51,11,2,287,493,5,827,9,6,0,0,0,7,818,15,1,15,1153,1310,862,896,246,375,45,39,5033,2476,2557,14,5,9,8,4,4,18,12,6,1,0,1,3,1,2,3,3,0,1,1,0,3,0,3,158,79,79,1283,649,634,467,276,191,277,191,86,74,51,23,104,78,26,12,9,3,2,2,0,7,4,3,102,66,36,23,11,12,4245,2069,2176,2451,1387,1064,126,70,56,1668,612,1056,0,0,0,57.73851590106007,67.03721604639922,48.89705882352941,530,119,183,2,0,8,0,7,212,272,360,5
KALIKOT,DHOLAGOHE,1104,1,0,0,1,0,0,6,833,0,2,42,229,0,0,6,1106,1,0,0,0,5,466,641,510,1,2,0,0,0,399,0,1,0,0,0,5,1112,7111,3583,3528,6.39478417266187,101.55895691609977,4,4,2,479,617,6,1104,1,0,0,0,2,5,1098,5,0,9,1620,1770,1251,1146,353,611,16,13,6857,3437,3420,94,61,33,37,18,19,47,24,23,3,3,0,29,17,12,9,2,7,13,7,6,22,14,8,336,156,180,1791,944,847,556,401,155,171,139,32,155,137,18,79,71,8,6,5,1,2,2,0,2,1,1,99,84,15,9,4,5,5890,2964,2926,2992,1847,1145,147,84,63,2750,1032,1718,1,1,0,50.79796264855687,62.314439946018894,39.13192071086808,297,7,9,2,4,788,0,5,733,91,282,6
KALIKOT,GELA,704,0,0,0,1,0,0,1,132,0,0,11,540,9,13,1,705,0,0,0,0,1,279,420,347,2,1,0,0,3,211,0,0,0,0,0,7,706,3911,1945,1966,5.539660056657223,98.93184130213632,2,0,0,197,506,1,704,0,1,0,0,0,1,694,10,0,2,846,902,741,692,79,121,26,89,3728,1851,1877,80,41,39,39,20,19,33,16,17,3,2,1,11,6,5,10,4,6,2,1,1,5,4,1,273,148,125,1015,545,470,355,231,124,124,91,33,210,158,52,46,35,11,19,18,1,3,3,0,4,3,1,121,58,63,2,1,1,3280,1624,1656,1995,1191,804,170,88,82,1115,345,770,0,0,0,60.82317073170732,73.33743842364532,48.55072463768116,23,3,678,0,0,1,0,1,3,17,685,1
KALIKOT,JUBITHA,404,0,0,0,0,0,0,3,124,0,0,10,264,1,5,3,399,2,0,4,0,2,161,237,215,2,0,0,0,0,76,0,0,0,0,0,9,407,2339,1142,1197,5.746928746928747,95.40517961570593,1,0,0,293,110,3,396,5,4,0,0,0,2,399,7,1,0,490,568,432,427,53,133,5,8,2306,1123,1183,10,7,3,10,3,7,5,2,3,2,1,1,2,2,0,3,3,0,0,0,0,1,1,0,86,49,37,622,308,314,338,211,127,141,98,43,122,93,29,67,44,23,9,9,0,2,2,0,0,0,0,7,4,3,3,1,2,1992,982,1010,1349,791,558,76,34,42,567,157,410,0,0,0,67.72088353413655,80.5498981670061,55.24752475247525,102,36,1,1,261,0,4,2,63,169,173,2
KALIKOT,KHEEN,605,0,0,0,1,0,0,1,399,0,0,5,148,54,0,1,599,0,0,0,7,1,346,258,154,2,0,0,0,0,184,0,0,0,3,0,3,607,3624,1851,1773,5.970345963756178,104.39932318104907,1,0,0,136,469,1,596,2,1,0,0,7,1,597,5,0,5,856,922,636,484,200,422,20,16,3386,1718,1668,122,73,49,33,14,19,38,20,18,3,1,2,23,16,7,9,5,4,1,0,1,9,4,5,257,133,124,655,345,310,259,193,66,103,88,15,57,51,6,28,27,1,7,7,0,0,0,0,0,0,0,56,48,8,21,15,6,2992,1520,1472,1182,779,403,260,137,123,1547,604,943,3,0,3,39.50534759358289,51.24999999999999,27.377717391304344,10,6,0,1,13,572,1,4,588,1,17,1
KALIKOT,KOTBADA,676,2,0,0,1,0,0,7,401,0,20,11,188,59,1,6,679,1,0,0,0,6,150,476,442,16,3,0,1,3,151,0,2,3,0,2,60,686,3866,1867,1999,5.635568513119534,93.39669834917459,1,4,0,506,168,7,675,3,0,0,0,2,6,641,40,0,5,859,956,604,613,208,273,47,70,3676,1753,1923,116,78,38,29,14,15,27,12,15,0,0,0,10,6,4,0,0,0,1,1,0,7,3,4,123,60,63,963,502,461,331,209,122,105,68,37,122,78,44,56,39,17,16,15,1,3,3,0,0,0,0,39,17,22,6,3,3,3261,1569,1692,1710,970,740,140,70,70,1406,527,879,5,2,3,52.43790248390064,61.822817080943274,43.73522458628842,227,77,325,1,1,2,46,7,65,540,74,7
KALIKOT,KUMALGAUN,616,1,0,0,0,0,0,4,424,0,0,0,70,123,0,4,616,1,0,0,0,4,137,472,454,30,0,0,0,1,186,1,0,0,0,0,12,621,3708,1881,1827,5.971014492753623,102.95566502463053,1,48,0,454,114,4,615,1,1,0,0,0,4,616,5,0,0,844,900,684,637,122,219,38,44,3617,1834,1783,39,24,15,15,9,6,20,7,13,1,0,1,6,3,3,4,1,3,1,0,1,5,3,2,103,50,53,898,483,415,432,254,178,155,112,43,133,94,39,111,88,23,9,8,1,1,1,0,3,2,1,179,68,111,28,16,12,3194,1609,1585,1988,1142,846,150,76,74,1056,391,665,0,0,0,62.24170319348779,70.97576134244873,53.37539432176656,25,5,586,0,0,0,0,5,9,34,574,4
