DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
KANCHANPUR,BAISI BICHAWA,2290,9,32,0,66,0,0,8,21,2339,2,3,0,0,32,8,802,222,1,1365,7,8,176,2194,881,816,187,27,4,58,1600,87,137,1941,145,23,35,2405,14301,6842,7459,5.946361746361746,91.72811368816195,1587,754,2,51,3,8,794,259,748,588,4,4,8,2321,42,29,13,3193,3653,2350,2348,815,1275,28,30,13849,6598,7251,157,98,59,122,57,65,58,30,28,9,4,5,34,18,16,20,11,9,9,5,4,43,21,22,639,337,302,4514,2383,2131,1931,1082,849,734,425,309,455,255,200,157,102,55,48,38,10,4,4,0,7,3,4,109,35,74,35,22,13,12743,6010,6733,8244,4485,3759,396,190,206,4100,1334,2766,3,1,2,64.6943419916817,74.62562396006656,55.8294965097282,112,692,1451,105,27,0,4,14,1454,425,518,8
KANCHANPUR,BELDANDI,2644,53,12,31,262,0,0,20,22,2957,2,0,1,0,21,19,392,633,5,1959,5,28,211,2683,1928,591,58,24,5,21,1720,10,176,2233,7,8,128,3022,17570,8236,9334,5.814030443414957,88.23655453181915,945,1828,10,203,16,20,386,666,441,1378,68,54,29,2997,15,0,10,4015,4581,3067,2979,889,1528,59,74,17297,8084,9213,113,62,51,38,21,17,42,24,18,3,1,2,31,19,12,17,9,8,9,3,6,20,13,7,552,312,240,5068,2635,2433,2627,1427,1200,1338,755,583,434,240,194,350,241,109,118,92,26,43,34,9,4,1,3,199,100,99,37,17,20,15759,7292,8467,10595,5775,4820,163,70,93,4995,1445,3550,6,2,4,67.23142331366203,79.1963795940757,56.92689264202196,627,567,1347,420,10,0,17,34,1453,781,768,20
KANCHANPUR,CHANDANI,3115,32,25,9,458,1,1,19,488,3063,5,5,1,3,76,19,160,2139,17,1306,5,33,753,2876,1591,1252,251,29,6,115,1424,49,427,2231,9,68,31,3660,19550,9134,10416,5.341530054644808,87.69201228878649,2155,1362,26,14,84,19,96,1993,542,885,0,99,45,3556,53,6,45,4222,4751,3239,3192,907,1433,76,126,19201,8969,10232,138,63,75,68,32,36,51,21,30,6,3,3,47,25,22,12,7,5,1,0,1,26,14,12,568,316,252,5632,2861,2771,3156,1707,1449,1441,859,582,490,282,208,456,271,185,126,94,32,49,40,9,20,12,8,330,153,177,34,15,19,17347,8009,9338,12098,6510,5588,254,124,130,4990,1373,3617,5,2,3,69.74116561941545,81.28355599950055,59.84150781751981,1157,632,459,1323,15,0,35,39,1058,777,1806,19
KANCHANPUR,DAIJEE,4704,34,47,5,282,0,3,16,637,4348,7,26,10,11,36,16,702,1104,11,3244,6,24,534,4474,2515,1960,163,99,25,223,3194,40,273,3460,27,58,83,5091,27481,12985,14496,5.397957179336084,89.5764348785872,3973,982,10,46,64,16,633,1184,2398,403,8,440,25,5010,32,2,47,6004,6564,4731,4590,1193,1834,80,140,26898,12669,14229,193,108,85,131,62,69,83,49,34,23,11,12,75,42,33,18,7,11,11,7,4,49,30,19,775,436,339,7918,4128,3790,3642,1938,1704,1918,1063,855,1326,813,513,671,453,218,207,144,63,58,49,9,14,7,7,270,126,144,49,20,29,24553,11509,13044,16175,8836,7339,703,359,344,7672,2313,5359,3,1,2,65.87789679468904,76.77469806238597,56.26341613002147,222,153,3756,823,74,0,36,27,3401,1051,623,16
KANCHANPUR,DEKHATBHULI,3241,17,1,1,9,2,0,14,180,3067,9,0,0,0,15,14,242,104,8,2892,5,34,442,2767,1182,753,83,12,1,10,1766,152,141,2410,250,15,76,3285,18578,9056,9522,5.655403348554033,95.10607015332914,2684,557,1,22,7,14,251,115,1960,922,0,3,34,3271,9,2,3,4366,4748,3013,2832,1317,1850,36,66,18176,8834,9342,168,101,67,93,45,48,45,26,19,9,3,6,42,24,18,14,7,7,2,2,0,29,14,15,747,394,353,5329,2943,2386,2373,1358,1015,1073,648,425,328,208,120,172,125,47,59,53,6,10,7,3,6,5,1,449,195,254,12,6,6,16549,8049,8500,10198,5765,4433,351,167,184,5998,2116,3882,2,1,1,61.62305879509336,71.62380419927942,52.15294117647059,278,93,2780,57,40,0,1,36,2150,510,611,14
KANCHANPUR,DODHARA,3195,35,46,3,424,0,1,28,29,3581,6,1,0,9,78,28,594,1460,25,1608,5,40,611,3037,1791,1146,346,24,7,57,1778,21,378,2363,37,75,84,3732,19703,8996,10707,5.279474812433012,84.01980013075558,1613,2002,13,70,5,29,380,1222,452,1034,8,593,43,3681,25,3,23,4303,5087,3217,3191,1007,1762,79,134,19183,8737,10446,160,84,76,101,39,62,94,54,40,9,0,9,62,30,32,20,12,8,11,7,4,63,33,30,463,249,214,6563,3313,3250,3226,1627,1599,1299,721,578,432,218,214,317,188,129,106,75,31,35,28,7,15,10,5,244,103,141,34,18,16,17549,7899,9650,12578,6466,6112,376,171,205,4590,1261,3329,5,1,4,71.67359963530686,81.8584630965945,63.33678756476684,2092,780,115,671,14,0,13,47,926,939,1838,29
KANCHANPUR,JHALARI,4371,22,124,5,250,0,2,8,104,4506,29,1,3,21,111,7,268,1121,52,3323,4,14,534,4202,2101,1835,265,102,31,188,3284,62,324,3100,36,157,46,4782,24347,11407,12940,5.0913843580092015,88.15301391035548,3829,816,10,32,87,8,304,1155,2853,242,10,203,15,4602,142,7,31,5151,5819,4132,4014,957,1741,62,64,23664,11061,12603,270,140,130,132,58,74,117,51,66,10,7,3,52,35,17,52,25,27,10,7,3,40,23,17,691,391,300,6679,3481,3198,3585,1850,1735,1811,1038,773,1077,603,474,787,477,310,286,191,95,64,54,10,13,6,7,435,187,248,98,52,46,21841,10110,11731,15097,8101,6996,498,218,280,6240,1787,4453,6,4,2,69.12229293530517,80.12858555885262,59.636859602761916,129,127,3577,875,34,0,13,27,2674,1385,715,8
KANCHANPUR,KALIKA,2329,13,151,8,207,0,20,32,13,2676,3,3,0,1,32,32,879,480,4,1346,5,46,155,2568,1263,1122,152,21,6,31,1880,35,306,2436,255,108,37,2760,15401,7262,8139,5.580072463768116,89.22472048163165,1787,930,2,6,3,32,837,577,491,411,178,219,47,2654,86,1,19,3328,3810,2580,2545,696,1209,52,56,15007,7041,7966,184,101,83,82,43,39,43,29,14,4,3,1,33,17,16,20,12,8,10,6,4,18,10,8,444,257,187,4402,2322,2080,2468,1273,1195,1020,539,481,800,426,374,310,185,125,67,49,18,13,11,2,7,3,4,235,104,131,41,21,20,13775,6406,7369,9732,5146,4586,152,66,86,3889,1194,2695,2,0,2,70.6497277676951,80.33093974399,62.23368163929977,141,425,1882,241,11,0,13,47,1021,773,936,30
KANCHANPUR,KRISHNAPUR,6426,24,41,7,198,0,1,26,319,6076,14,7,7,192,83,25,250,1034,42,5329,10,58,837,5771,2641,2634,79,82,13,223,4369,248,322,4479,42,70,115,6723,36706,17552,19154,5.459764985869404,91.63621175733529,5709,938,17,11,23,25,318,1047,4395,635,23,243,62,6606,91,4,22,8189,8821,6357,6134,1733,2536,99,151,35956,17147,18809,266,150,116,168,86,82,104,51,53,13,9,4,91,53,38,34,19,15,9,5,4,65,32,33,1220,696,524,9787,5156,4631,5352,2950,2402,2755,1562,1193,1222,753,469,1080,651,429,453,349,104,76,65,11,33,17,16,458,154,304,257,91,166,32833,15549,17284,22263,12207,10056,1004,474,530,9558,2866,6692,8,2,6,67.80677976426158,78.50665637661585,58.180976625781064,351,164,5276,719,128,0,2,83,3317,1733,1650,23
KANCHANPUR,LAXMIPUR,1919,2,32,65,133,0,19,5,10,2155,1,0,1,0,3,5,265,371,0,1532,1,6,73,2073,1008,837,228,30,9,17,1646,6,170,1933,265,30,29,2175,13727,6461,7266,6.311264367816092,88.92100192678227,1974,183,4,1,8,5,258,418,284,1169,18,22,6,2141,14,2,18,2943,3400,2334,2453,594,929,15,18,13400,6291,7109,105,58,47,73,38,35,63,30,33,15,9,6,19,8,11,21,12,9,4,1,3,27,14,13,592,329,263,3712,1982,1730,2304,1245,1059,1136,588,548,665,364,301,378,223,155,86,55,31,20,19,1,0,0,0,921,261,660,10,5,5,12551,5866,6685,9694,5001,4693,119,55,64,2737,809,1928,1,1,0,77.23687355589196,85.25400613706104,70.20194465220642,32,207,1649,223,54,0,3,7,219,1540,411,5
