DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
KAPILBASTU,ABHIRAO,282,5,20,442,0,0,6,37,3,748,3,1,1,0,0,36,670,19,4,2,61,36,73,680,161,197,21,6,5,2,327,48,145,656,2,4,39,792,6908,3560,3348,8.722222222222221,106.3321385902031,566,186,0,3,0,37,612,80,2,2,0,60,36,792,0,0,0,1717,1587,776,704,919,866,22,17,6863,3535,3328,21,13,8,10,5,5,3,3,0,1,0,1,4,3,1,1,0,1,2,0,2,3,1,2,137,67,70,1545,852,693,542,312,230,277,203,74,34,23,11,120,79,41,113,69,44,14,12,2,14,6,8,40,17,23,24,14,10,6027,3123,2904,2642,1543,1099,627,319,308,2750,1255,1495,8,6,2,43.83607101377136,49.407620877361516,37.84435261707989,78,2,54,613,1,0,7,37,620,128,8,36
KAPILBASTU,AJIGARA,264,11,6,377,0,0,0,19,15,620,4,18,0,0,1,19,450,128,0,76,4,19,93,572,125,128,10,4,1,1,316,32,72,525,8,2,12,677,5182,2631,2551,7.654357459379616,103.1360250882007,371,286,0,0,1,19,337,229,5,79,3,5,19,676,1,0,0,1188,1190,727,550,370,462,91,178,5137,2608,2529,13,7,6,5,4,1,3,2,1,0,0,0,6,3,3,5,1,4,3,1,2,10,5,5,28,12,16,1338,783,555,503,319,184,245,165,80,33,26,7,100,70,30,41,35,6,11,11,0,4,4,0,24,16,8,5,2,3,4452,2254,2198,2090,1317,773,376,186,190,1984,750,1234,2,1,1,46.94519317160827,58.42945874001775,35.16833484986351,117,2,15,514,7,0,3,19,558,71,29,19
KAPILBASTU,BAHADURGANJ,1425,85,103,85,1,1,0,32,471,1100,8,106,13,0,3,31,727,678,3,285,2,37,519,1167,235,450,68,22,10,32,440,71,157,881,7,52,46,1732,12882,6680,6202,7.437644341801386,107.70719122863592,1012,674,5,9,0,32,585,779,111,215,2,1,39,1670,52,1,9,3134,3029,1443,1192,1632,1797,59,40,12796,6624,6172,26,16,10,8,6,2,14,11,3,0,0,0,9,3,6,16,13,3,3,3,0,10,4,6,291,165,126,2193,1223,970,905,589,316,623,454,169,192,133,59,365,260,105,186,141,45,53,39,14,1,1,0,74,46,28,6,4,2,11486,5987,5499,4638,2917,1721,871,459,412,5956,2606,3350,21,5,16,40.379592547449064,48.72223150158677,31.296599381705764,403,18,46,1176,52,0,0,37,1394,292,14,32
KAPILBASTU,BALARAMWAPUR,197,11,0,490,24,0,0,1,2,716,2,2,0,0,0,1,559,16,0,143,3,2,86,629,197,99,0,1,0,2,224,31,52,588,0,0,8,723,4771,2466,2305,6.598893499308437,106.98481561822126,265,453,0,3,1,1,512,60,6,115,2,26,2,723,0,0,0,1083,1012,645,580,417,425,21,7,4727,2438,2289,18,10,8,6,4,2,4,3,1,0,0,0,7,6,1,4,3,1,0,0,0,5,2,3,221,123,98,1078,609,469,449,297,152,158,121,37,81,63,18,54,43,11,21,19,2,3,3,0,4,2,2,6,6,0,1,1,0,4173,2173,2000,1788,1132,656,339,192,147,2039,849,1190,7,0,7,42.846872753414814,52.093879429360335,32.800000000000004,170,3,55,420,64,0,9,2,647,72,3,1
KAPILBASTU,BALUHAWA,49,12,16,676,1,0,0,6,0,742,1,1,2,0,8,6,584,57,1,36,75,7,54,701,173,147,1,4,0,2,194,21,87,663,3,4,5,760,5356,2708,2648,7.0473684210526315,102.26586102719033,461,292,0,1,0,6,525,89,5,39,22,73,7,759,1,0,0,1279,1223,667,498,508,581,104,144,5319,2686,2633,18,11,7,5,5,0,2,1,1,0,0,0,6,1,5,2,1,1,2,2,0,2,1,1,35,18,17,1361,810,551,453,324,129,185,134,51,75,55,20,117,92,25,33,25,8,8,8,0,3,3,0,33,23,10,7,5,2,4776,2428,2348,2225,1457,768,162,87,75,2378,881,1497,11,3,8,46.58710217755444,60.00823723228995,32.70868824531516,143,2,30,572,0,0,5,8,724,27,3,6
KAPILBASTU,BANGANGA,2082,12,510,1,259,0,0,8,616,2201,3,6,0,0,38,8,313,887,687,937,29,19,82,2770,1477,1098,960,157,21,235,2388,52,393,2324,9,434,20,2872,13080,6005,7075,4.554317548746518,84.87632508833923,2537,310,4,1,11,9,492,1641,261,442,4,13,19,2576,272,4,20,2277,2470,1856,1822,383,572,38,76,12841,5872,6969,84,54,30,33,13,20,25,14,11,1,1,0,42,23,19,20,12,8,13,4,9,21,12,9,465,272,193,3048,1599,1449,1936,899,1037,1043,476,567,1626,774,852,613,305,308,187,116,71,87,66,21,3,1,2,337,136,201,119,45,74,12057,5456,6601,9382,4643,4739,171,82,89,2502,729,1773,2,2,0,77.81371817201625,85.09897360703812,71.79215270413573,157,721,525,1441,8,0,1,19,379,2104,380,9
KAPILBASTU,BARAIPUR,473,2,4,7,0,0,0,2,3,475,1,1,0,0,6,2,331,42,0,113,0,2,19,457,201,59,2,0,0,2,142,24,29,445,1,0,12,488,3371,1748,1623,6.907786885245901,107.70178681454097,160,325,0,1,0,2,322,44,10,109,0,1,2,486,2,0,0,736,730,344,271,374,441,18,18,3353,1738,1615,6,4,2,4,2,2,1,0,1,1,0,1,2,2,0,2,1,1,2,1,1,0,0,0,164,90,74,328,185,143,344,249,95,57,43,14,95,73,22,67,47,20,20,16,4,3,3,0,4,2,2,3,1,2,8,4,4,3015,1553,1462,993,661,332,103,50,53,1919,842,1077,0,0,0,32.93532338308457,42.56278171281391,22.70861833105335,164,4,2,313,1,0,1,3,469,15,2,2
KAPILBASTU,BARKULPUR,1512,9,154,3,80,0,6,1,64,1674,4,0,1,0,21,1,475,289,396,577,25,3,102,1639,892,778,317,48,7,10,1061,11,113,1255,4,79,24,1765,9330,4437,4893,5.286118980169972,90.68056407112202,1548,174,3,4,35,1,488,683,257,189,22,123,3,1622,130,1,12,1918,2135,1412,1424,473,641,33,70,9128,4317,4811,78,49,29,46,25,21,27,14,13,3,0,3,18,9,9,16,12,4,5,4,1,9,7,2,215,116,99,2547,1363,1184,1271,692,579,590,322,268,635,360,275,262,146,116,59,46,13,24,18,6,9,4,5,43,16,27,6,0,6,8399,3969,4430,5435,2969,2466,245,116,129,2719,884,1835,0,0,0,64.71008453387309,74.80473670949861,55.66591422121896,508,89,218,932,13,0,2,3,935,698,131,1
KAPILBASTU,BASANTAPUR,75,9,4,359,2,0,0,9,75,372,2,1,0,0,0,8,146,230,0,51,13,18,68,385,47,144,1,3,2,0,282,4,45,365,1,1,5,458,3248,1639,1609,7.091703056768559,101.86451211932877,265,181,0,3,0,9,221,154,9,43,8,4,19,458,0,0,0,747,766,385,296,348,458,14,12,3229,1625,1604,5,4,1,4,3,1,2,1,1,0,0,0,2,2,0,6,4,2,0,0,0,0,0,0,20,15,5,781,452,329,322,221,101,131,103,28,91,62,29,42,32,10,23,22,1,3,3,0,0,0,0,0,0,0,1,0,1,2862,1443,1419,1414,910,504,56,17,39,1392,516,876,0,0,0,49.406009783368276,63.06306306306306,35.517970401691336,86,4,9,333,2,0,0,24,408,39,2,9
KAPILBASTU,BASKHORE,4,24,10,1291,0,0,6,27,10,1304,4,13,2,0,3,26,989,90,2,140,98,43,108,1212,234,206,9,4,2,4,829,44,109,1149,3,3,42,1362,9818,4921,4897,7.208516886930984,100.49009597712886,557,653,121,3,1,27,914,140,30,69,16,148,45,1355,2,1,4,2442,2351,1335,1027,1060,1265,47,59,9641,4832,4809,61,37,24,61,23,38,20,12,8,2,0,2,10,8,2,10,2,8,4,2,2,9,5,4,146,88,58,2581,1485,1096,767,586,181,325,260,65,100,65,35,75,51,24,28,25,3,0,0,0,19,6,13,44,19,25,21,13,8,8521,4275,4246,3858,2473,1385,542,259,283,4112,1538,2574,9,5,4,45.27637601220514,57.84795321637427,32.618935468676405,303,7,96,908,1,0,5,42,1037,54,244,27
KAPILBASTU,BAIDAULI,33,15,25,667,1,0,2,10,0,707,2,5,0,0,29,10,447,244,1,52,1,8,65,681,136,137,20,8,5,3,346,40,94,644,1,11,7,753,5533,2790,2743,7.347941567065073,101.71345242435291,452,274,0,1,16,10,386,246,5,42,66,0,8,748,0,1,4,1286,1244,679,546,527,638,80,60,5491,2764,2727,21,13,8,7,3,4,1,1,0,0,0,0,4,2,2,6,4,2,3,3,0,0,0,0,28,16,12,1226,702,524,511,327,184,289,197,92,86,64,22,103,69,34,34,28,6,21,16,5,4,2,2,1,0,1,4,1,3,4866,2473,2393,2210,1370,840,191,91,100,2465,1012,1453,0,0,0,45.417180435676116,55.39830165790538,35.10238194734643,114,8,61,560,1,0,0,9,664,59,20,10
KAPILBASTU,BHAGWANPUR,460,20,0,289,0,0,0,16,1,676,9,84,0,0,1,14,344,70,0,226,1,144,241,523,38,37,3,0,0,0,51,11,20,501,1,0,21,785,5889,3126,2763,7.501910828025478,113.13789359391966,170,593,6,0,0,16,330,113,63,66,39,18,156,783,0,0,2,1449,1278,490,384,475,463,484,431,5852,3103,2749,14,7,7,13,9,4,2,1,1,0,0,0,6,4,2,2,2,0,0,0,0,0,0,0,10,5,5,1015,590,425,347,252,95,188,147,41,67,47,20,97,83,14,25,22,3,8,8,0,1,0,1,36,20,16,17,4,13,5170,2775,2395,1802,1174,628,121,57,64,3220,1530,1690,27,14,13,34.85493230174081,42.306306306306304,26.221294363256785,340,2,33,231,15,0,0,164,757,11,1,16
