DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
KASKI,ARBA VIJAYA,565,4,258,2,130,1,0,3,932,2,1,4,18,2,1,3,586,191,179,1,1,5,87,863,615,630,293,87,22,52,771,6,117,73,1,24,13,963,3923,1782,2141,4.073727933541018,83.23213451658104,922,28,4,0,6,3,572,381,2,1,1,1,5,801,123,1,38,614,699,480,499,102,168,32,32,3823,1714,2109,35,26,9,20,12,8,15,8,7,3,3,0,9,5,4,9,8,1,0,0,0,9,6,3,52,29,23,767,367,400,648,299,349,474,254,220,275,161,114,235,125,110,86,58,28,23,21,2,8,8,0,89,37,52,14,8,6,3571,1600,1971,2656,1358,1298,45,18,27,868,224,644,2,0,2,74.37692523102773,84.875,65.85489599188229,10,639,14,291,0,0,4,5,12,865,83,3
KASKI,ARMALA,1047,2,192,1,94,0,0,0,1308,0,0,12,9,7,0,0,1010,160,164,2,0,0,78,1253,975,915,169,90,50,61,1128,2,86,36,3,86,5,1336,5328,2376,2952,3.9880239520958085,80.48780487804879,1290,34,1,0,11,0,916,411,2,6,1,0,0,1194,100,1,41,925,978,792,701,125,266,8,11,5108,2267,2841,67,35,32,32,19,13,45,20,25,14,4,10,18,13,5,9,7,2,2,2,0,33,9,24,122,65,57,1460,745,715,915,423,492,450,223,227,479,231,248,227,105,122,41,27,14,9,8,1,0,0,0,130,46,84,4,2,2,4898,2141,2757,3781,1845,1936,172,77,95,945,219,726,0,0,0,77.19477337688852,86.17468472676319,70.22125498730503,19,1042,40,229,1,0,5,0,16,1174,146,0
KASKI,BHACHOK,337,0,3,0,38,0,0,0,370,0,0,8,0,0,0,0,373,1,1,2,0,1,26,340,255,119,4,1,1,8,292,0,0,0,0,1,12,378,1511,697,814,3.997354497354497,85.62653562653563,279,15,0,84,0,0,371,3,0,3,0,0,1,369,4,0,5,252,290,194,169,52,111,6,10,1466,675,791,13,7,6,9,5,4,4,1,3,2,1,1,3,1,2,1,0,1,6,4,2,7,3,4,29,16,13,330,182,148,190,93,97,87,45,42,115,73,42,37,26,11,15,10,5,2,2,0,0,0,0,63,21,42,2,1,1,1386,628,758,823,444,379,141,70,71,422,114,308,0,0,0,59.37950937950938,70.70063694267516,50,40,260,75,2,0,0,0,1,1,377,0,0
KASKI,BHADAURE TAMAGI,817,1,53,1,3,0,0,0,807,0,2,57,8,1,0,0,736,126,5,8,0,0,58,789,563,492,47,19,5,8,708,12,22,14,3,29,28,875,3257,1468,1789,3.7222857142857144,82.0570150922303,701,115,0,44,15,0,726,136,13,0,0,0,0,776,44,2,53,567,646,433,400,105,209,29,37,3116,1379,1737,71,45,26,18,12,6,14,7,7,1,1,0,17,12,5,6,4,2,4,3,1,10,5,5,74,42,32,740,361,379,475,199,276,328,170,158,202,123,79,76,44,32,42,28,14,8,8,0,0,0,0,256,133,123,8,5,3,2966,1318,1648,2183,1098,1085,47,16,31,734,204,530,2,0,2,73.60080917060013,83.30804248861912,65.8373786407767,54,344,391,83,0,0,0,3,35,732,108,0
KASKI,BHARAT POKHARI,1425,10,300,1,721,1,4,6,2034,2,25,201,165,34,1,6,1996,338,95,27,2,10,180,2227,1559,1429,478,141,43,30,1964,7,155,118,3,93,61,2468,9806,4353,5453,3.973257698541329,79.82761782505044,2277,168,5,1,10,7,1612,815,13,15,0,1,12,2306,128,2,32,1784,1960,1377,1365,371,552,36,43,9630,4254,5376,50,37,13,25,12,13,31,13,18,0,0,0,20,10,10,21,14,7,15,7,8,14,6,8,204,123,81,2443,1195,1248,1767,801,966,1115,555,560,681,347,334,416,242,174,122,91,31,29,24,5,6,1,5,213,89,124,27,13,14,9070,3976,5094,6973,3453,3520,244,102,142,1846,419,1427,7,2,5,76.87982359426681,86.84607645875252,69.1009030231645,133,2000,96,215,2,0,1,21,20,1964,478,6
KASKI,CHAPAKOT,657,0,12,0,5,0,0,6,615,0,0,27,18,13,1,6,620,41,8,5,0,6,42,620,417,423,19,13,6,2,561,2,9,9,1,2,18,680,2637,1151,1486,3.8779411764705882,77.45625841184388,644,27,0,0,3,6,610,51,1,6,0,6,6,626,22,0,32,476,550,383,381,92,164,1,5,2559,1108,1451,23,12,11,17,12,5,14,8,6,3,2,1,10,7,3,5,2,3,0,0,0,6,0,6,16,11,5,599,296,303,529,237,292,262,130,132,220,115,105,61,36,25,17,14,3,3,3,0,1,0,1,124,48,76,5,1,4,2430,1046,1384,1836,891,945,25,12,13,569,143,426,0,0,0,75.55555555555556,85.18164435946463,68.28034682080924,35,473,155,11,0,0,0,6,40,487,147,6
KASKI,DANGSING,749,1,56,0,2,0,0,2,798,0,0,2,4,4,0,2,761,26,4,17,0,2,89,717,542,234,128,9,1,16,620,0,3,2,0,69,4,810,3058,1356,1702,3.775308641975309,79.67097532314924,771,35,0,1,1,2,703,45,45,8,0,6,3,635,118,6,51,561,663,449,437,100,199,12,27,2985,1315,1670,21,13,8,12,6,6,15,5,10,0,0,0,11,8,3,8,4,4,0,0,0,6,5,1,68,38,30,904,450,454,464,205,259,268,146,122,152,70,82,57,34,23,12,6,6,2,2,0,2,2,0,68,24,44,1,1,0,2774,1214,1560,1939,945,994,127,51,76,708,218,490,0,0,0,69.89906272530642,77.84184514003294,63.717948717948715,71,338,391,6,1,0,1,2,16,700,92,2
KASKI,DEURALI,583,0,50,0,15,0,0,0,586,0,0,61,1,0,0,0,618,23,6,1,0,0,64,582,459,269,124,19,6,10,524,0,8,5,0,22,2,648,2373,1017,1356,3.662037037037037,75,625,22,1,0,0,0,583,64,0,1,0,0,0,590,23,2,33,393,465,328,347,63,115,2,3,2287,975,1312,29,15,14,19,9,10,15,7,8,3,2,1,7,3,4,7,1,6,4,3,1,2,2,0,70,30,40,619,286,333,390,179,211,232,110,122,184,104,80,74,46,28,21,14,7,3,3,0,0,0,0,1,0,1,2,1,1,2197,924,1273,1549,753,796,88,36,52,560,135,425,0,0,0,70.50523441055986,81.4935064935065,62.529457973291436,107,518,8,15,0,0,0,0,14,570,64,0
KASKI,DHAMPUS,586,0,31,0,2,0,0,1,614,1,1,3,0,0,0,1,587,11,12,9,0,1,72,544,391,344,59,21,4,19,497,2,21,7,1,7,4,620,2537,1127,1410,4.091935483870968,79.9290780141844,570,47,2,0,0,1,569,27,9,3,0,11,1,532,42,0,46,461,554,373,370,86,176,2,8,2453,1092,1361,35,14,21,9,3,6,23,12,11,0,0,0,6,2,4,2,0,2,3,2,1,6,2,4,98,57,41,673,339,334,411,182,229,202,102,100,152,95,57,62,27,35,16,7,9,6,6,0,1,0,1,45,6,39,2,1,1,2283,1000,1283,1657,817,840,21,8,13,605,175,430,0,0,0,72.57993867717914,81.69999999999999,65.47155105222136,21,331,252,15,0,0,0,1,6,580,33,1
KASKI,DHIKUR POKHARI,1671,0,178,0,26,1,0,4,1814,1,4,14,36,6,1,4,1580,202,83,6,2,7,131,1714,1281,1289,161,107,60,32,1464,6,60,15,1,48,35,1880,7318,3288,4030,3.8925531914893616,81.58808933002481,1790,82,3,0,1,4,1479,358,6,5,0,25,7,1712,113,33,22,1273,1411,1062,1071,187,310,24,30,7137,3191,3946,60,36,24,45,21,24,32,15,17,3,0,3,12,6,6,17,13,4,3,1,2,9,5,4,174,95,79,1463,686,777,1195,532,663,798,408,390,606,329,277,320,180,140,152,115,37,37,34,3,0,0,0,214,121,93,3,2,1,6731,2964,3767,4898,2463,2435,88,46,42,1743,454,1289,2,1,1,72.7677908186005,83.09716599190283,64.64029731882134,20,1077,628,148,0,0,0,7,39,1640,197,4
