DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
KATHMANDU,AALAPOT,416,6,247,0,1,1,0,0,619,4,1,5,41,1,0,0,471,161,36,1,1,1,22,646,404,535,293,118,41,128,557,10,185,38,5,68,3,671,3159,1561,1598,4.707898658718331,97.6846057571965,659,10,2,0,0,0,444,204,1,2,16,1,3,641,29,0,1,442,488,348,353,90,123,4,12,3085,1521,1564,23,12,11,22,15,7,15,5,10,1,1,0,7,6,1,3,0,3,1,0,1,2,1,1,265,138,127,517,255,262,408,216,192,341,187,154,328,209,119,276,149,127,131,96,35,33,24,9,1,1,0,154,65,89,4,2,2,2975,1463,1512,2444,1330,1114,25,14,11,506,119,387,0,0,0,82.15126050420169,90.9090909090909,73.67724867724867,23,331,101,211,2,0,0,3,65,233,373,0
KATHMANDU,BAAD BHANJYANG,506,17,282,0,4,1,1,6,758,8,39,2,4,0,0,6,528,221,51,7,3,7,36,770,543,596,286,105,49,156,682,45,151,27,8,56,11,817,3779,1873,1906,4.625458996328029,98.26862539349422,772,35,2,1,1,6,481,313,6,2,0,7,8,678,125,7,7,640,672,447,439,178,222,15,11,3759,1866,1893,4,1,3,3,2,1,3,1,2,1,0,1,3,1,2,3,2,1,0,0,0,3,0,3,103,58,45,721,360,361,494,289,205,345,202,143,308,192,116,264,143,121,54,32,22,18,15,3,4,2,2,226,121,105,27,18,9,3497,1733,1764,2538,1420,1118,17,8,9,942,305,637,0,0,0,72.57649413783243,81.9388343912291,63.378684807256235,17,509,20,255,1,0,3,12,135,548,128,6
KATHMANDU,BAJRAYOGINI (SANKHU),593,19,312,0,0,0,0,4,429,2,25,250,58,143,17,4,766,59,93,3,0,7,87,820,365,714,215,74,22,118,654,19,128,15,1,75,21,928,4333,2086,2247,4.669181034482759,92.83489096573209,889,23,4,7,1,4,751,160,3,2,5,0,7,839,76,2,11,763,752,598,512,153,183,12,57,4297,2069,2228,16,9,7,5,1,4,7,5,2,0,0,0,5,2,3,1,0,1,0,0,0,2,0,2,97,59,38,929,510,419,582,313,269,403,212,191,374,206,168,253,151,102,81,47,34,11,7,4,1,1,0,209,110,99,16,9,7,4034,1937,2097,2914,1598,1316,67,32,35,1050,307,743,3,0,3,72.23599405057016,82.49870934434693,62.75631855030996,34,669,70,143,3,0,1,8,292,399,233,4
KATHMANDU,BALAMBU,401,59,1250,4,0,1,13,6,1268,8,85,15,236,11,106,5,506,619,582,2,0,25,32,1676,776,1529,1064,439,179,444,1509,49,468,87,2,335,26,1734,7323,3625,3698,4.22318339100346,98.02595997836669,1714,11,2,1,0,6,424,1258,3,5,15,3,26,1132,598,1,3,1097,1114,773,776,291,315,33,23,7258,3592,3666,21,12,9,7,4,3,14,6,8,1,0,1,9,5,4,7,3,4,1,1,0,5,2,3,168,93,75,1440,736,704,1024,534,490,815,462,353,701,396,305,671,348,323,279,171,108,99,71,28,1,1,0,145,59,86,17,8,9,6767,3322,3445,5330,2861,2469,144,72,72,1292,389,903,1,0,1,78.76459287719817,86.12281757977122,71.66908563134979,15,342,123,1220,1,0,2,31,19,1614,95,6
KATHMANDU,BALUWA,811,16,354,1,8,0,2,12,786,6,104,41,247,8,0,12,753,266,138,16,2,29,54,1131,613,890,332,162,32,147,978,19,322,59,0,54,19,1204,5467,2702,2765,4.540697674418604,97.72151898734177,1173,15,3,1,1,11,615,410,4,19,125,2,29,1023,157,3,21,859,948,606,648,223,253,30,47,5409,2679,2730,21,4,17,9,6,3,12,5,7,0,0,0,10,4,6,3,2,1,0,0,0,3,2,1,56,24,32,1169,634,535,726,402,324,529,293,236,495,316,179,397,231,166,136,82,54,60,46,14,0,0,0,75,41,34,26,14,12,5071,2501,2570,3625,2065,1560,220,108,112,1208,323,885,18,5,13,71.48491421810293,82.56697321071572,60.70038910505836,29,545,186,397,10,0,2,35,114,632,446,12
KATHMANDU,BHADRABAS,249,1,252,1,0,0,0,0,386,5,44,50,17,1,0,0,296,102,101,2,1,1,17,483,345,450,237,171,87,182,443,21,179,30,2,98,3,503,2388,1195,1193,4.747514910536779,100.16764459346186,497,4,2,0,0,0,144,213,0,6,138,1,1,467,36,0,0,312,299,259,227,53,70,0,2,2353,1178,1175,11,7,4,4,1,3,8,3,5,1,0,1,2,2,0,3,2,1,6,2,4,0,0,0,169,87,82,300,171,129,291,142,149,232,132,100,326,205,121,272,154,118,123,80,43,35,27,8,0,0,0,111,43,68,0,0,0,2234,1102,1132,1858,1041,817,24,5,19,352,56,296,0,0,0,83.16920322291853,94.46460980036298,72.1731448763251,20,242,21,214,5,0,0,1,30,206,267,0
KATHMANDU,BHIMDHUNGA,490,2,123,0,2,0,0,2,596,0,9,4,8,0,0,2,517,58,37,4,1,2,17,593,398,506,111,74,20,53,542,3,136,30,2,45,9,619,2915,1484,1431,4.709208400646204,103.7037037037037,608,9,0,0,0,2,487,123,2,4,0,1,2,573,42,0,4,493,486,388,322,98,146,7,18,2870,1456,1414,15,8,7,10,6,4,5,3,2,0,0,0,4,2,2,5,3,2,0,0,0,6,6,0,40,24,16,635,375,260,455,255,200,286,153,133,253,153,100,193,117,76,74,48,26,11,10,1,0,0,0,135,60,75,1,0,1,2721,1377,1344,2052,1176,876,53,29,24,614,171,443,2,1,1,75.41345093715546,85.40305010893246,65.17857142857143,9,474,15,118,0,0,0,3,28,283,306,2
KATHMANDU,BUDANILKANTHA,545,94,3063,1,1,1,3,17,3112,15,317,72,101,6,87,15,740,1856,1074,5,10,40,58,3631,2421,3102,1901,1004,538,888,3282,266,1005,246,7,904,36,3725,15421,7604,7817,4.13986577181208,97.27516950236664,3646,31,20,2,9,17,672,2959,6,18,17,11,42,1951,1638,77,59,2456,2455,1870,1728,568,703,18,24,15273,7518,7755,54,31,23,11,6,5,32,19,13,4,4,0,14,8,6,13,8,5,2,1,1,18,9,9,285,162,123,3195,1695,1500,2044,1063,981,1373,722,651,1844,1003,841,1373,744,629,718,390,328,384,255,129,0,0,0,338,176,162,34,13,21,14353,7056,7297,11506,6174,5332,339,159,180,2507,722,1785,1,1,0,80.16442555563297,87.5,73.0711251199123,32,829,119,2690,4,0,7,44,55,2826,827,17
KATHMANDU,CHALNAKHEL,625,19,350,1,1,0,0,9,585,2,6,263,139,0,1,9,704,258,14,14,2,13,48,942,589,853,396,124,45,78,825,28,196,42,0,114,15,1005,4365,2093,2272,4.343283582089552,92.12147887323944,956,24,5,2,9,9,587,376,9,17,2,0,14,839,153,4,9,675,770,492,518,168,231,15,21,4267,2047,2220,47,21,26,9,3,6,12,8,4,1,0,1,8,4,4,9,3,6,1,1,0,11,6,5,113,50,63,864,470,394,594,319,275,435,221,214,375,226,149,265,141,124,65,36,29,22,15,7,0,0,0,327,168,159,43,25,18,4038,1915,2123,3080,1658,1422,88,38,50,862,219,643,8,0,8,76.27538385339277,86.57963446475195,66.98068770607631,38,456,150,345,0,0,0,16,63,731,202,9
KATHMANDU,CHAPALI BHADRAKALI,357,142,2045,3,7,1,5,14,1987,22,283,152,34,1,80,15,645,788,1091,18,0,32,74,2481,1425,1834,1236,752,492,660,2308,149,763,195,11,699,19,2574,10827,5337,5490,4.206293706293707,97.21311475409836,2521,22,14,0,2,15,526,1982,13,14,3,2,34,1372,1105,28,69,1787,1770,1358,1292,408,458,21,20,10746,5301,5445,20,11,9,12,7,5,13,5,8,3,1,2,19,7,12,9,2,7,1,1,0,4,2,2,651,329,322,2212,1146,1066,1507,805,702,947,498,449,1245,690,555,958,502,456,549,314,235,264,188,76,0,0,0,141,57,84,16,9,7,10067,4963,5104,8467,4528,3939,149,60,89,1451,375,1076,0,0,0,84.1064865401808,91.23514003626838,77.17476489028213,17,606,80,1831,2,0,2,36,34,1263,1263,14
