DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
KAVRE,ANEKOT,1138,4,28,13,298,0,0,12,966,1,97,379,33,0,5,12,1439,30,8,2,0,14,154,1331,866,712,15,49,3,31,1182,7,84,13,10,8,8,1493,7100,3396,3704,4.755525787006028,91.68466522678186,1384,54,4,32,7,12,1346,69,18,2,43,1,14,1474,12,0,7,1429,1539,1069,1081,291,349,69,109,7038,3365,3673,9,4,5,14,7,7,9,5,4,1,0,1,15,8,7,9,4,5,1,0,1,4,3,1,301,150,151,1999,1114,885,935,542,393,544,284,260,325,191,134,224,121,103,42,29,13,24,19,5,3,2,1,136,20,116,39,13,26,6534,3111,3423,4490,2443,2047,171,64,107,1872,603,1269,1,1,0,68.71747780838689,78.52780456444873,59.801343850423606,54,990,380,39,6,10,0,14,647,662,172,12
KAVRE,BALDTHALI,635,1,9,0,10,1,0,4,638,0,0,11,2,5,0,4,645,6,4,0,0,5,66,588,345,466,5,28,3,35,402,1,7,3,0,1,6,660,2695,1205,1490,4.083333333333333,80.87248322147651,643,12,0,0,1,4,615,10,2,0,20,7,6,630,8,17,5,478,518,379,370,85,123,14,25,2648,1176,1472,22,14,8,1,0,1,7,5,2,1,1,0,7,5,2,5,2,3,1,1,0,3,1,2,137,66,71,624,339,285,407,222,185,245,121,124,155,91,64,88,37,51,36,18,18,3,2,1,0,0,0,9,3,6,55,24,31,2534,1121,1413,1731,909,822,41,20,21,761,192,569,1,0,1,68.31097079715865,81.08831400535237,58.174097664543524,57,459,128,9,0,1,0,6,229,315,112,4
KAVRE,BALTING,494,3,1,0,0,0,0,6,489,0,2,4,3,0,0,6,498,0,0,0,0,6,89,375,262,42,0,0,0,5,296,0,5,0,2,0,40,504,2590,1224,1366,5.138888888888889,89.60468521229869,94,256,0,144,4,6,496,0,0,0,0,0,8,483,10,1,10,569,632,401,431,155,185,13,16,2562,1214,1348,15,6,9,2,0,2,2,0,2,0,0,0,2,1,1,3,1,2,1,0,1,3,2,1,131,75,56,851,442,409,266,154,112,142,75,67,77,42,35,25,17,8,15,11,4,1,0,1,2,1,1,45,10,35,11,6,5,2329,1098,1231,1468,782,686,143,76,67,712,237,475,6,3,3,63.031343924431084,71.22040072859745,55.727051177904144,235,245,16,0,0,0,0,8,246,85,167,6
KAVRE,BALUWAPATI DEUPUR,1170,2,85,2,19,1,1,12,812,2,33,134,271,7,21,12,1197,51,18,14,0,12,184,1075,648,417,30,34,15,36,998,17,69,2,2,40,33,1292,6023,2943,3080,4.661764705882353,95.55194805194806,1219,50,5,1,5,12,1188,73,8,7,0,3,13,1239,46,2,5,1214,1341,978,1067,220,261,16,13,5955,2904,3051,30,16,14,18,8,10,3,3,0,2,1,1,1,1,0,8,6,2,0,0,0,6,4,2,89,42,47,1789,936,853,796,409,387,487,284,203,257,168,89,125,88,37,28,22,6,4,2,2,4,2,2,111,51,60,50,26,24,5620,2733,2887,3701,2012,1689,162,80,82,1757,641,1116,0,0,0,65.8540925266904,73.61873399195024,58.50363699341877,107,965,150,46,6,1,5,12,506,421,353,12
KAVRE,BANAKHU CHOR,695,1,1,1,1,0,2,8,634,0,1,56,0,10,1,7,621,2,0,79,0,7,198,506,415,50,0,1,0,16,274,0,0,0,0,0,5,709,4554,2256,2298,6.423131170662906,98.17232375979113,287,191,0,123,100,8,665,2,4,31,0,0,7,699,8,1,1,1147,1178,772,672,329,443,46,63,4473,2211,2262,38,25,13,5,3,2,5,2,3,2,1,1,17,10,7,2,1,1,3,1,2,9,2,7,177,110,67,1213,652,561,361,226,135,162,98,64,64,43,21,19,11,8,8,8,0,1,1,0,1,0,1,1,1,0,3,1,2,3978,1953,2025,1873,1073,800,377,175,202,1724,703,1021,4,2,2,47.08396178984414,54.94111623143881,39.50617283950617,379,97,223,0,2,0,0,8,321,376,4,8
KAVRE,BANEPA MUNICIPALITY,666,140,4668,1,5,0,7,53,4160,59,491,101,465,9,202,53,1490,1330,2538,34,7,141,83,5351,2824,4617,3199,1683,596,1352,4798,308,1136,438,34,890,106,5540,24764,12325,12439,4.470036101083032,99.08352761476003,5416,31,26,4,9,54,1353,3880,102,28,15,17,145,3283,2191,45,21,3656,3609,2817,2672,713,808,126,129,24530,12199,12331,80,44,36,31,16,15,40,22,18,8,5,3,31,17,14,17,9,8,9,4,5,18,9,9,689,347,342,4304,2282,2022,3218,1729,1489,2442,1271,1171,3259,1803,1456,2795,1486,1309,1266,739,527,394,279,115,11,3,8,1121,540,581,164,88,76,23153,11447,11706,19567,10513,9054,394,179,215,3172,749,2423,20,6,14,84.51172634215868,91.84065694068315,77.34495130702203,28,1364,190,3781,18,1,4,154,81,5096,309,54
KAVRE,BEKHSIMLE GHARTIGAUN,255,0,0,0,0,0,0,1,255,0,0,0,0,0,0,1,255,0,0,0,0,1,32,224,212,32,1,2,1,1,74,0,1,1,0,1,0,256,1161,543,618,4.53515625,87.86407766990291,246,8,0,1,0,1,255,0,0,0,0,0,1,255,1,0,0,228,258,169,182,59,76,0,0,1160,543,617,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,9,357,187,170,100,61,39,42,19,23,37,20,17,11,5,6,3,2,1,0,0,0,1,0,1,2,1,1,0,0,0,1055,494,561,567,300,267,5,5,0,483,189,294,0,0,0,53.74407582938389,60.72874493927125,47.593582887700535,36,213,5,1,0,0,0,1,154,62,40,0
KAVRE,BHIMKHORI,990,5,51,0,16,0,0,4,1011,0,1,21,11,14,4,4,1038,13,1,7,4,3,183,851,758,121,10,10,0,67,415,1,5,3,0,0,32,1066,5524,2544,2980,5.181988742964353,85.36912751677852,695,153,1,140,73,4,1031,19,3,8,0,0,5,1021,33,1,11,1176,1432,915,1077,246,336,15,19,5429,2500,2929,29,16,13,18,6,12,14,5,9,2,1,1,14,7,7,7,4,3,4,2,2,7,3,4,98,51,47,1679,881,798,670,355,315,352,172,180,197,124,73,89,51,38,22,15,7,1,1,0,5,3,2,298,165,133,10,4,6,4988,2287,2701,3342,1778,1564,81,38,43,1565,471,1094,0,0,0,67.0008019246191,77.74376912986445,57.904479822288046,238,743,74,8,0,0,0,3,467,435,160,4
KAVRE,BHUMLUTAR,457,3,61,0,0,0,0,8,517,0,0,0,0,4,0,8,470,37,0,14,0,8,99,381,235,276,2,9,4,45,286,2,17,3,0,46,49,529,1885,864,1021,3.563327032136106,84.62291870714985,498,21,1,0,1,8,468,37,13,3,0,0,8,486,22,2,19,304,361,226,243,62,88,16,30,1840,841,999,17,8,9,6,4,2,10,7,3,0,0,0,7,2,5,2,1,1,1,1,0,2,0,2,7,3,4,385,221,164,248,130,118,161,76,85,132,74,58,82,49,33,21,13,8,12,9,3,0,0,0,66,26,40,10,4,6,1775,812,963,1121,605,516,39,7,32,601,196,405,14,4,10,63.15492957746479,74.50738916256158,53.58255451713395,40,357,112,11,0,0,1,8,167,299,55,8
KAVRE,BIRTADEURALI,518,5,0,0,2,0,0,5,491,0,0,9,1,24,0,5,524,0,0,0,0,6,122,405,357,20,0,0,0,0,222,0,1,0,0,0,3,530,2272,1007,1265,4.286792452830189,79.60474308300395,36,326,0,115,48,5,522,1,1,0,0,0,6,526,1,0,3,418,515,286,325,79,118,53,72,2228,984,1244,19,10,9,3,1,2,7,6,1,0,0,0,6,4,2,5,1,4,2,1,1,2,0,2,3,1,2,519,271,248,243,116,127,132,61,71,106,53,53,59,30,29,14,13,1,6,5,1,0,0,0,5,2,3,41,21,20,2090,920,1170,1126,572,554,64,28,36,897,318,579,3,2,1,53.8755980861244,62.17391304347826,47.350427350427346,201,261,60,0,0,0,0,8,107,391,27,5
