DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
KHOTANG,AINSELUKHARKA,641,6,0,0,0,0,0,5,617,1,4,17,8,0,0,5,632,0,2,12,0,6,106,545,520,35,4,1,0,12,131,0,0,1,0,0,1,652,2995,1407,1588,4.593558282208589,88.60201511335013,36,461,3,143,4,5,627,3,2,14,0,0,6,619,29,1,3,558,640,435,439,93,152,30,49,2955,1382,1573,13,10,3,5,2,3,7,5,2,0,0,0,5,3,2,1,0,1,1,0,1,8,5,3,45,21,24,657,343,314,356,179,177,286,161,125,233,109,124,46,28,18,7,6,1,7,7,0,1,0,1,208,103,105,5,2,3,2697,1241,1456,1797,932,865,88,38,50,810,270,540,2,1,1,66.62958843159066,75.10072522159548,59.40934065934066,474,89,77,1,1,0,4,6,150,154,343,5
KHOTANG,ARKHAULE,645,13,1,1,0,0,0,2,558,0,4,74,8,16,0,2,645,0,0,14,1,2,157,463,404,133,1,15,1,34,179,4,1,2,0,1,42,662,3344,1572,1772,5.051359516616314,88.71331828442437,395,208,3,35,19,2,642,0,2,16,0,0,2,639,20,1,2,707,795,574,545,129,234,4,16,3319,1559,1760,8,4,4,3,1,2,1,0,1,0,0,0,8,6,2,1,0,1,1,0,1,3,2,1,27,19,8,861,467,394,441,221,220,259,114,145,133,66,67,75,44,31,16,9,7,5,4,1,2,2,0,153,90,63,17,10,7,2987,1384,1603,1939,1023,916,131,51,80,903,307,596,14,3,11,64.91463006360897,73.91618497109826,57.14285714285714,548,100,11,1,0,0,0,2,338,114,208,2
KHOTANG,BADAHARE,297,5,0,2,2,0,0,12,99,6,43,29,130,2,0,9,309,0,0,0,0,9,74,235,224,3,2,1,1,1,136,0,1,1,0,0,9,318,1477,674,803,4.644654088050315,83.93524283935243,5,63,7,167,64,12,309,0,0,0,0,0,9,315,3,0,0,248,340,216,275,32,63,0,2,1447,655,792,8,7,1,10,5,5,5,3,2,1,0,1,2,2,0,0,0,0,3,2,1,1,0,1,28,14,14,298,148,150,159,76,83,119,52,67,159,92,67,23,14,9,22,15,7,0,0,0,1,1,0,61,35,26,3,0,3,1329,595,734,873,447,426,90,39,51,366,109,257,0,0,0,65.68848758465012,75.12605042016807,58.03814713896458,305,3,1,0,0,0,0,9,55,27,224,12
KHOTANG,BADAKA DIYALE,505,2,0,0,0,0,0,1,399,0,9,30,66,2,1,1,497,0,0,1,0,10,247,249,228,27,0,4,0,14,124,0,0,0,0,0,12,508,2464,1151,1313,4.850393700787402,87.66184310738765,124,115,0,231,37,1,494,0,1,3,0,0,10,490,11,0,7,517,569,429,414,84,151,4,4,2414,1125,1289,28,18,10,8,3,5,4,1,3,0,0,0,6,2,4,1,1,0,1,0,1,2,1,1,24,15,9,800,420,380,324,162,162,174,107,67,133,73,60,48,28,20,15,9,6,3,3,0,0,0,0,4,2,2,3,2,1,2237,1037,1200,1500,806,694,57,26,31,678,204,474,2,1,1,67.05409029950827,77.72420443587271,57.833333333333336,477,16,2,0,1,0,0,12,261,9,237,1
KHOTANG,BAHUNIDANDA,500,1,2,8,10,0,0,3,401,1,4,68,1,46,0,3,468,1,0,52,0,3,173,346,296,31,0,7,0,5,127,2,2,0,0,1,5,524,2838,1432,1406,5.416030534351145,101.84921763869133,80,164,7,210,60,3,462,1,1,57,0,0,3,499,24,0,1,596,640,465,456,129,180,2,4,2706,1367,1339,17,12,5,43,20,23,26,12,14,18,6,12,13,7,6,5,3,2,3,2,1,7,3,4,1,0,1,809,446,363,326,175,151,129,75,54,143,84,59,22,15,7,9,9,0,2,2,0,0,0,0,7,4,3,9,2,7,2501,1239,1262,1400,784,616,219,128,91,882,327,555,0,0,0,55.977608956417434,63.2768361581921,48.811410459587954,484,18,8,5,1,2,3,3,322,49,150,3
KHOTANG,BAKACHOL,620,0,0,1,1,0,0,1,524,0,0,23,57,18,0,1,614,0,0,6,2,1,178,440,424,8,0,2,0,36,140,0,0,0,0,0,5,623,2909,1372,1537,4.669341894060995,89.26480156148341,33,386,2,111,90,1,600,0,2,18,0,2,1,591,11,3,18,576,658,449,493,112,143,15,22,2822,1320,1502,44,25,19,15,9,6,8,5,3,0,0,0,4,2,2,4,1,3,0,0,0,12,10,2,15,9,6,783,430,353,372,168,204,216,115,101,188,100,88,57,32,25,12,9,3,2,1,1,4,3,1,93,62,31,4,3,1,2635,1238,1397,1704,910,794,179,73,106,751,255,496,1,0,1,64.66793168880456,73.50565428109854,56.83607730851825,523,49,27,0,10,0,13,1,181,101,340,1
KHOTANG,BAKSILA,724,6,0,2,0,0,0,5,503,0,1,62,166,0,0,5,728,1,0,1,4,3,322,395,355,20,8,1,0,37,218,0,0,0,0,0,20,737,3261,1569,1692,4.424694708276798,92.73049645390071,1,423,2,263,43,5,708,3,0,23,0,0,3,704,16,1,16,672,693,496,456,168,222,8,15,3163,1511,1652,22,11,11,10,8,2,20,12,8,0,0,0,18,12,6,14,6,8,4,3,1,10,6,4,20,13,7,746,394,352,399,220,179,304,171,133,180,109,71,78,36,42,28,23,5,3,3,0,1,1,0,121,67,54,13,6,7,2978,1434,1544,1807,993,814,131,69,62,1035,371,664,5,1,4,60.67830758898589,69.24686192468619,52.72020725388601,615,108,2,0,0,0,7,5,233,26,473,5
KHOTANG,BAMRANG,640,1,5,1,1,0,0,0,581,1,1,19,42,4,0,0,635,0,0,10,3,0,97,542,392,188,13,21,1,20,487,0,2,1,0,7,9,648,2876,1290,1586,4.438271604938271,81.33669609079445,568,77,0,0,3,0,624,1,0,23,0,0,0,592,34,0,22,516,627,423,465,84,154,9,8,2806,1252,1554,40,24,16,3,1,2,6,3,3,0,0,0,12,6,6,5,3,2,1,0,1,3,1,2,56,26,30,745,366,379,392,190,202,245,135,110,351,180,171,70,43,27,10,7,3,8,8,0,1,0,1,116,57,59,1,0,1,2614,1167,1447,1967,997,970,46,19,27,600,151,449,1,0,1,75.24866105585309,85.43273350471294,67.03524533517623,327,275,21,1,0,0,24,0,165,137,346,0
KHOTANG,BARAHAPOKHARI,713,0,1,0,0,0,0,2,606,0,7,71,27,3,0,2,633,0,1,81,0,1,236,472,432,26,0,0,2,24,162,0,0,0,0,0,8,716,3830,1879,1951,5.349162011173185,96.30958482829318,91,207,1,150,265,2,636,1,3,75,0,0,1,704,6,1,5,883,920,657,653,224,265,2,2,3697,1796,1901,40,29,11,13,7,6,37,19,18,2,1,1,28,19,9,3,2,1,3,2,1,7,4,3,184,96,88,1158,639,519,391,225,166,152,100,52,141,82,59,63,36,27,4,4,0,3,3,0,2,1,1,184,89,95,3,0,3,3400,1645,1755,2114,1181,933,182,97,85,1104,367,737,0,0,0,62.17647058823529,71.79331306990882,53.162393162393165,632,41,36,5,0,1,0,1,584,21,109,2
KHOTANG,BASPANI,352,1,0,1,0,0,0,1,307,0,0,14,33,0,0,1,341,1,0,6,6,1,199,156,130,3,0,0,0,5,83,0,1,0,0,0,0,355,1569,746,823,4.419718309859155,90.64398541919806,0,176,0,131,47,1,336,1,1,15,0,1,1,337,1,0,17,337,326,256,224,74,85,7,17,1496,699,797,14,10,4,5,2,3,17,13,4,0,0,0,8,6,2,5,5,0,12,7,5,12,4,8,17,8,9,379,206,173,213,108,105,84,49,35,104,55,49,31,14,17,3,3,0,0,0,0,0,0,0,41,23,18,9,4,5,1423,668,755,828,442,386,157,82,75,434,140,294,4,4,0,58.186929023190444,66.1676646706587,51.12582781456953,321,31,0,0,0,0,2,1,95,6,253,1
