DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
LALITPUR,ASHRANG,252,0,0,0,25,0,0,0,275,0,0,0,0,1,1,0,268,1,0,4,0,4,27,246,223,57,32,2,1,18,166,0,0,0,0,3,4,277,1411,689,722,5.093862815884476,95.42936288088643,234,17,2,15,9,0,268,1,0,4,0,0,4,251,12,0,14,287,302,204,220,82,75,1,7,1394,678,716,6,4,2,2,2,0,5,2,3,0,0,0,2,2,0,2,1,1,0,0,0,0,0,0,14,9,5,385,215,170,185,102,83,95,52,43,84,49,35,33,16,17,12,10,2,1,1,0,0,0,0,108,67,41,2,2,0,1270,620,650,914,520,394,6,3,3,345,96,249,5,1,4,71.96850393700788,83.87096774193549,60.61538461538461,77,192,3,0,0,0,0,5,122,67,88,0
LALITPUR,BADIKHEL,506,7,259,0,12,0,2,5,678,1,3,0,103,0,1,5,595,96,74,10,9,7,45,739,529,630,171,160,45,77,620,20,210,61,6,92,7,791,3576,1789,1787,4.52085967130215,100.11191941801903,753,31,2,0,0,5,509,167,1,8,90,8,8,705,64,7,15,575,611,382,367,179,230,14,14,3523,1768,1755,8,5,3,9,3,6,16,5,11,2,0,2,9,2,7,5,3,2,1,0,1,3,3,0,80,35,45,729,414,315,487,270,217,263,152,111,375,216,159,279,173,106,120,81,39,33,29,4,1,1,0,55,13,42,5,1,4,3320,1655,1665,2414,1380,1034,52,22,30,853,252,601,1,1,0,72.71084337349397,83.38368580060424,62.102102102102094,12,315,102,353,2,0,0,7,21,466,299,5
LALITPUR,BHARDEV,406,3,17,0,1,0,0,3,413,0,0,4,4,5,1,3,416,5,1,0,0,8,70,336,253,216,19,3,0,4,254,2,26,1,0,1,24,430,2210,1034,1176,5.1395348837209305,87.92517006802721,364,61,0,2,0,3,415,6,1,0,0,0,8,418,8,0,4,458,538,298,299,153,222,7,17,2197,1024,1173,7,5,2,1,1,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,2,1,1,73,32,41,497,279,218,261,131,130,99,54,45,83,58,25,28,22,6,1,1,0,0,0,0,2,2,0,53,38,15,5,1,4,2011,936,1075,1027,579,448,130,59,71,852,296,556,2,2,0,51.06911984087519,61.858974358974365,41.674418604651166,25,345,45,5,1,0,1,8,221,118,88,3
LALITPUR,BHATTEDANDA,397,1,7,0,21,0,0,3,398,0,0,5,1,2,20,3,419,1,0,1,0,8,43,381,293,243,32,6,1,47,286,2,7,0,0,0,5,429,2057,1020,1037,4.794871794871795,98.36065573770492,337,81,1,2,5,3,419,1,0,1,0,0,8,398,22,1,8,396,405,309,286,85,115,2,4,2013,995,1018,15,10,5,5,2,3,5,2,3,0,0,0,2,1,1,9,6,3,1,0,1,7,4,3,25,11,14,685,379,306,287,170,117,114,67,47,114,61,53,59,33,26,14,10,4,3,3,0,1,0,1,62,35,27,2,1,1,1878,925,953,1352,762,590,57,19,38,467,143,324,2,1,1,71.99148029818956,82.37837837837839,61.90975865687304,19,401,1,0,0,0,0,8,105,121,201,2
LALITPUR,BISANKHUNARAYAN,794,1,246,0,0,0,1,5,892,0,3,1,144,0,2,5,872,139,25,5,3,3,80,958,549,867,156,137,27,125,824,15,193,15,1,65,9,1047,4484,2117,2367,4.282712511938873,89.43810730882974,1014,20,3,2,3,5,756,191,0,5,87,4,4,1007,15,0,25,688,745,517,511,141,191,30,43,4402,2076,2326,21,10,11,23,11,12,14,5,9,1,0,1,4,4,0,9,5,4,2,1,1,8,5,3,95,56,39,925,500,425,705,397,308,486,260,226,410,222,188,294,170,124,96,61,35,18,16,2,1,1,0,241,115,126,20,10,10,4222,1994,2228,3268,1800,1468,40,15,25,910,176,734,4,3,1,77.40407389862625,90.27081243731193,65.8886894075404,11,754,85,193,1,0,0,3,90,723,230,4
LALITPUR,BUKHEL,304,1,2,0,26,0,0,1,327,1,0,2,2,1,0,1,332,0,0,1,0,1,15,316,275,156,24,4,3,2,281,0,13,4,0,0,3,334,1697,813,884,5.080838323353293,91.9683257918552,279,38,0,4,12,1,326,7,0,0,0,0,1,292,30,0,12,321,351,247,265,71,84,3,2,1670,804,866,11,4,7,3,1,2,4,1,3,0,0,0,4,2,2,4,1,3,0,0,0,1,0,1,12,7,5,510,281,229,268,125,143,149,80,69,98,58,40,97,52,45,21,15,6,2,2,0,1,1,0,38,24,14,2,1,1,1558,740,818,1191,642,549,27,10,17,340,88,252,0,0,0,76.44415917843389,86.75675675675676,67.11491442542787,10,323,0,0,0,0,0,1,87,150,96,1
LALITPUR,BUNGAMATI,709,19,570,0,3,0,0,3,901,1,19,54,326,0,1,2,966,258,68,0,4,8,22,1255,839,1150,707,294,87,350,1152,25,475,135,4,197,27,1304,5966,2981,2985,4.575153374233129,99.86599664991624,1279,17,1,1,3,3,756,433,0,2,100,5,8,1164,128,6,6,815,773,558,522,183,175,74,76,5870,2934,2936,26,13,13,15,8,7,21,6,15,4,2,2,10,5,5,8,5,3,3,3,0,9,5,4,115,61,54,1170,724,446,758,448,310,504,283,221,507,296,211,535,316,219,166,112,54,52,31,21,6,2,4,295,140,155,2,2,0,5637,2810,2827,4092,2405,1687,75,36,39,1468,367,1101,2,2,0,72.59180415114422,85.58718861209964,59.67456667845773,44,583,184,482,0,0,2,9,25,1264,12,3
LALITPUR,CHANDANPUR,206,0,10,0,4,0,0,2,220,0,0,0,0,0,0,2,220,0,0,1,0,1,21,195,160,94,13,4,1,28,151,0,15,1,0,0,6,222,1071,531,540,4.824324324324325,98.33333333333333,193,26,0,0,1,2,220,0,0,1,0,0,1,205,13,0,4,224,225,175,172,47,52,2,1,1042,512,530,13,8,5,4,1,3,3,3,0,0,0,0,3,2,1,1,1,0,0,0,0,5,4,1,43,21,22,341,194,147,159,79,80,59,39,20,48,25,23,53,31,22,14,10,4,1,1,0,0,0,0,1,0,1,1,1,0,994,489,505,690,384,306,44,22,22,260,83,177,0,0,0,69.41649899396378,78.52760736196319,60.59405940594059,17,203,1,0,0,0,0,1,62,125,33,2
LALITPUR,CHAPAGAUN,1181,105,2318,0,2,3,1,100,3456,4,21,19,98,12,4,96,2067,873,600,8,1,161,58,3505,1914,2920,1467,755,251,846,3161,92,908,251,3,458,147,3710,16420,8010,8410,4.425876010781671,95.24375743162902,3561,34,13,0,2,100,1696,1789,11,8,41,2,163,2626,1004,31,49,2431,2580,1716,1703,617,766,98,111,16238,7922,8316,52,22,30,36,23,13,19,6,13,4,1,3,20,10,10,20,10,10,16,7,9,15,9,6,414,213,201,2960,1586,1374,2047,1119,928,1343,720,623,1565,852,713,1542,867,675,639,430,209,186,133,53,13,4,9,858,451,407,111,63,48,15241,7428,7813,11660,6430,5230,262,118,144,3306,877,2429,13,3,10,76.50416639328128,86.56435110393107,66.93971585818508,28,826,590,2099,2,0,2,163,124,2783,703,100
LALITPUR,CHHAMPI,813,9,243,0,0,0,0,6,708,1,245,57,32,23,0,5,809,225,20,2,4,11,37,996,550,878,235,109,24,84,782,11,208,30,4,71,38,1071,4753,2328,2425,4.437908496732026,96,1028,31,2,0,4,6,789,264,0,3,0,3,12,975,84,2,10,781,884,558,578,219,304,4,2,4700,2300,2400,9,5,4,4,2,2,7,5,2,2,1,1,13,7,6,10,4,6,3,3,0,5,1,4,106,55,51,1111,616,495,668,373,295,366,190,176,362,211,151,274,152,122,106,71,35,29,19,10,4,1,3,144,73,71,2,1,1,4383,2128,2255,3158,1756,1402,14,5,9,1210,367,843,1,0,1,72.05110654802647,82.5187969924812,62.172949002217294,54,659,70,276,0,0,1,11,287,608,171,5
