DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
LAMJUNG,ARCHALBOT,376,0,24,0,20,4,0,0,363,2,18,22,15,4,0,0,392,8,5,17,0,2,67,356,191,134,108,8,5,4,279,0,0,0,1,9,1,424,1605,703,902,3.785377358490566,77.93791574279379,394,29,0,0,1,0,369,27,9,15,0,2,2,403,19,1,1,239,301,197,222,34,67,8,12,1558,676,882,26,15,11,4,2,2,11,6,5,2,1,1,3,2,1,1,1,0,0,0,0,0,0,0,38,16,22,359,170,189,225,94,131,130,77,53,100,47,53,50,24,26,21,14,7,2,2,0,0,0,0,150,59,91,2,2,0,1454,619,835,1057,497,560,16,6,10,381,116,265,0,0,0,72.69601100412655,80.2907915993538,67.06586826347305,21,345,44,11,1,0,0,2,105,256,63,0
LAMJUNG,BAHUNDANDA,457,1,15,0,3,2,1,1,479,0,0,0,0,0,0,1,463,2,0,13,0,2,103,371,220,36,182,7,13,1,332,0,0,0,0,12,6,480,2095,1010,1085,4.364583333333333,93.08755760368663,383,72,0,24,0,1,443,5,9,19,0,2,2,436,39,0,5,370,409,274,303,95,103,1,3,1975,944,1031,15,9,6,9,1,8,45,26,19,0,0,0,33,18,15,4,2,2,4,2,2,10,8,2,21,12,9,593,298,295,278,154,124,172,95,77,93,63,30,48,27,21,16,16,0,3,3,0,0,0,0,67,34,33,1,0,1,1977,951,1026,1258,680,578,68,39,29,651,232,419,0,0,0,63.63176530096105,71.5036803364879,56.33528265107213,42,405,31,0,0,0,0,2,68,109,302,1
LAMJUNG,BANJHAKHET,596,2,40,0,79,0,0,1,716,0,0,1,0,0,0,1,677,11,6,23,0,1,119,598,470,94,159,9,3,4,492,0,4,0,0,20,1,718,2844,1309,1535,3.9610027855153205,85.27687296416939,607,105,0,2,3,1,654,27,14,19,0,3,1,674,34,1,9,507,573,387,371,110,187,10,15,2738,1255,1483,46,23,23,7,4,3,10,5,5,0,0,0,26,11,15,5,3,2,2,0,2,10,8,2,66,38,28,790,404,386,420,221,199,176,99,77,125,72,53,48,28,20,5,3,2,2,2,0,0,0,0,74,25,49,4,3,1,2641,1212,1429,1689,885,804,60,22,38,889,304,585,3,1,2,63.95304808784551,73.01980198019803,56.2631210636809,74,559,77,7,0,0,0,1,28,466,223,1
LAMJUNG,BAGLUNGPANI,588,0,15,0,1,0,0,5,592,0,1,11,0,0,0,5,599,2,0,1,0,7,56,525,398,186,153,7,6,9,450,0,0,2,0,0,28,609,2458,1058,1400,4.036124794745485,75.57142857142857,562,35,1,0,6,5,576,13,2,11,0,0,7,553,41,3,12,440,576,369,390,67,181,4,5,2369,1004,1365,21,14,7,18,13,5,18,7,11,0,0,0,17,12,5,2,1,1,0,0,0,13,7,6,88,44,44,647,311,336,400,197,203,123,60,63,115,73,42,33,16,17,13,10,3,1,1,0,0,0,0,114,38,76,2,1,1,2255,963,1292,1515,740,775,34,13,21,700,208,492,6,2,4,67.1840354767184,76.84319833852544,59.98452012383901,44,344,38,0,177,0,0,6,16,484,105,4
LAMJUNG,BANGRE,396,1,6,0,1,2,0,2,398,0,4,4,0,0,0,2,393,1,0,12,0,2,42,365,321,64,19,4,0,5,307,0,0,0,0,0,1,408,1659,732,927,4.0661764705882355,78.96440129449837,207,83,1,115,0,2,382,12,6,6,0,0,2,403,0,0,5,322,365,271,251,47,109,4,5,1600,700,900,26,14,12,5,1,4,11,7,4,0,0,0,8,5,3,3,2,1,1,1,0,5,2,3,57,37,20,465,256,209,299,133,166,96,45,51,90,46,44,34,19,15,3,3,0,0,0,0,0,0,0,64,29,35,0,0,0,1526,663,863,1098,562,536,19,8,11,407,92,315,2,1,1,71.95281782437746,84.76621417797888,62.10892236384704,171,230,3,1,0,0,0,3,9,69,328,2
LAMJUNG,BANSAR,526,4,32,0,8,0,0,2,568,0,0,0,2,0,0,2,526,43,0,1,0,2,74,420,351,22,0,0,0,0,284,0,0,0,1,0,78,572,2477,1183,1294,4.330419580419581,91.42194744976815,94,342,3,131,0,2,523,45,2,0,0,0,2,547,16,8,1,487,514,378,323,107,184,2,7,2384,1127,1257,23,17,6,15,6,9,20,8,12,2,1,1,15,9,6,1,0,1,4,3,1,13,12,1,5,2,3,727,403,324,338,175,163,121,74,47,47,34,13,25,18,7,9,6,3,1,1,0,2,1,1,117,68,49,11,4,7,2268,1083,1185,1393,781,612,141,61,80,731,241,490,3,0,3,61.419753086419746,72.11449676823638,51.64556962025316,75,482,10,3,0,0,0,2,249,221,100,2
LAMJUNG,BESISHAHAR,537,28,3560,3,130,1,9,23,4100,4,7,5,100,4,49,22,844,1539,1798,65,5,40,129,4104,2360,463,2843,559,262,502,3739,48,311,142,10,850,58,4291,15442,6988,8454,3.598694942903752,82.65909628578187,4223,32,10,0,2,24,650,3531,32,29,2,7,40,1888,2317,63,23,2899,3012,2498,2308,359,644,42,60,15293,6905,8388,65,42,23,13,6,7,18,11,7,0,0,0,23,13,10,10,7,3,10,3,7,10,1,9,615,321,294,3741,1876,1865,2473,1162,1311,1437,657,780,1488,703,785,1148,529,619,342,226,116,137,115,22,9,6,3,263,93,170,9,3,6,13939,6206,7733,11584,5654,5930,294,115,179,2057,435,1622,4,2,2,83.10495731401105,91.105381888495,76.68433984223458,25,1170,8,3041,0,0,3,44,69,3896,302,24
LAMJUNG,BHALAYAKHARKA,443,0,28,1,76,0,0,1,389,0,13,24,121,1,0,1,525,7,0,16,0,1,77,468,410,216,60,6,1,21,394,2,1,2,3,7,4,549,2190,971,1219,3.989071038251366,79.65545529122231,505,41,1,1,0,1,509,19,12,8,0,0,1,518,29,0,2,341,415,288,287,49,120,4,8,2112,931,1181,12,9,3,9,5,4,24,11,13,1,1,0,19,11,8,3,2,1,0,0,0,10,1,9,33,16,17,578,310,268,301,141,160,148,68,80,153,68,85,66,39,27,39,29,10,8,3,5,0,0,0,124,49,75,0,0,0,2030,883,1147,1433,715,718,88,20,68,509,148,361,0,0,0,70.5911330049261,80.97395243488108,62.59808195292066,94,360,90,4,0,0,0,1,93,361,94,1
LAMJUNG,BHARTE,530,0,18,0,36,0,0,0,377,0,0,58,148,1,0,0,561,3,0,19,0,1,45,538,430,178,28,6,0,15,474,1,0,0,0,9,1,584,2239,963,1276,3.833904109589041,75.47021943573668,559,25,0,0,0,0,555,6,20,2,0,0,1,548,30,1,5,349,436,301,329,46,100,2,7,2157,918,1239,23,19,4,12,2,10,19,13,6,4,0,4,9,5,4,2,0,2,6,2,4,7,4,3,39,21,18,450,200,250,372,173,199,200,102,98,177,86,91,65,35,30,20,19,1,5,4,1,1,0,1,47,32,15,4,1,3,2080,878,1202,1337,652,685,151,63,88,592,163,429,0,0,0,64.27884615384616,74.25968109339408,56.9883527454243,25,284,269,4,1,0,0,1,129,227,228,0
LAMJUNG,BHOJE,474,0,0,0,0,0,0,2,456,1,0,0,6,11,0,2,461,1,0,12,0,2,53,410,367,56,1,1,0,2,296,0,2,0,0,0,13,476,1992,923,1069,4.184873949579832,86.3423760523854,179,10,0,285,0,2,457,2,4,11,0,0,2,471,4,0,1,368,425,287,268,78,150,3,7,1958,904,1054,1,1,0,5,3,2,7,3,4,6,4,2,13,6,7,1,1,0,0,0,0,1,1,0,45,22,23,544,288,256,276,138,138,86,41,45,81,47,34,30,20,10,5,3,2,2,1,1,1,0,1,103,53,50,1,1,0,1803,840,963,1168,612,556,29,12,17,606,216,390,0,0,0,64.78092068774265,72.85714285714285,57.73624091381101,56,366,50,0,0,0,0,4,269,111,94,2
