DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
MAHOTTARI,ANAKAR,342,11,44,517,6,0,67,2,4,980,2,0,0,0,1,2,3,195,132,631,26,2,154,815,379,416,35,7,1,19,630,4,58,591,11,1,20,989,5671,2793,2878,5.734074823053589,97.04656011118833,551,431,2,3,0,2,3,239,10,703,0,32,2,981,6,2,0,1283,1281,812,618,420,564,51,99,5597,2745,2852,38,27,11,12,8,4,3,2,1,1,1,0,6,5,1,7,3,4,2,1,1,5,1,4,34,12,22,1375,771,604,388,234,154,282,203,79,158,110,48,170,117,53,49,31,18,17,14,3,0,0,0,1,0,1,7,5,2,5022,2462,2560,2412,1461,951,68,37,31,2533,960,1573,9,4,5,48.028673835125446,59.34199837530463,37.1484375,155,9,692,129,0,0,1,3,774,136,77,2
MAHOTTARI,AURAHI,1510,11,13,99,2,0,1,2,9,1625,1,1,0,0,0,2,28,257,95,1240,12,6,461,1165,469,577,91,11,2,21,805,15,128,766,14,6,12,1638,8575,4225,4350,5.235042735042735,97.12643678160919,992,638,3,3,0,2,184,310,7,1131,0,0,6,1611,24,1,2,1853,1878,1183,918,508,729,162,231,8443,4143,4300,53,28,25,13,9,4,19,12,7,2,2,0,20,14,6,12,8,4,2,2,0,11,7,4,16,10,6,1913,1084,829,719,456,263,269,183,86,321,237,84,164,113,51,47,35,12,7,6,1,5,5,0,69,49,20,12,6,6,7543,3721,3822,3526,2171,1355,89,38,51,3924,1509,2415,4,3,1,46.74532679305316,58.344531040043,35.45264259549974,255,16,1226,131,2,0,2,6,1308,159,169,2
MAHOTTARI,BAGADA,395,28,3,729,3,0,2,6,255,551,0,6,339,0,9,6,16,186,11,948,1,4,271,893,495,339,4,7,2,39,725,10,91,531,20,3,2,1166,6419,3239,3180,5.505145797598628,101.85534591194968,856,222,1,81,0,6,26,195,146,795,0,0,4,1159,1,1,5,1520,1360,674,470,835,881,11,9,6252,3160,3092,57,25,32,27,10,17,20,11,9,6,3,3,28,14,14,18,10,8,3,1,2,8,5,3,83,46,37,860,506,354,419,280,139,178,125,53,166,112,54,94,77,17,18,17,1,5,5,0,2,2,0,9,8,1,5,1,4,5648,2869,2779,1785,1151,634,85,46,39,3769,1668,2101,9,4,5,31.60410764872521,40.118508191007315,22.813961856783017,209,18,804,107,24,0,0,4,971,92,97,6
MAHOTTARI,BADIYA BANCHAURI,583,3,11,570,3,0,6,2,4,1134,3,8,0,0,27,2,15,299,32,802,28,2,264,913,246,496,9,14,3,3,551,2,80,705,7,4,1,1178,6767,3388,3379,5.744482173174872,100.26635099141758,687,438,2,49,0,2,11,324,1,838,1,1,2,1172,4,0,2,1463,1397,850,632,590,756,23,9,6689,3339,3350,26,16,10,16,11,5,6,2,4,1,0,1,17,13,4,6,5,1,1,1,0,5,1,4,30,17,13,1275,732,543,603,376,227,272,192,80,245,170,75,167,130,37,42,40,2,8,6,2,1,1,0,39,22,17,13,9,4,6001,2990,3011,2684,1688,996,68,33,35,3221,1259,1962,28,10,18,44.725879020163305,56.45484949832776,33.07871139156426,139,1,831,202,1,0,1,3,852,164,160,2
MAHOTTARI,BAIRGIYA LAXMINIYA,423,1,1,113,0,0,41,5,4,574,0,1,0,0,0,5,3,76,1,499,0,5,175,406,202,76,17,3,0,0,341,6,29,326,6,1,3,584,3640,1684,1956,6.232876712328767,86.09406952965234,467,112,0,0,0,5,5,75,0,498,0,0,6,580,2,0,2,809,958,411,416,349,451,49,91,3602,1662,1940,11,7,4,9,7,2,5,1,4,3,0,3,3,2,1,6,4,2,1,1,0,0,0,0,2,1,1,788,418,370,123,76,47,50,30,20,94,76,18,47,34,13,10,10,0,4,4,0,112,51,61,11,5,6,6,4,2,3095,1417,1678,1244,708,536,75,37,38,1772,670,1102,4,2,2,40.19386106623586,49.96471418489767,31.942789034564957,125,3,404,46,0,0,0,6,489,63,27,5
MAHOTTARI,BALAWA,889,14,14,517,10,0,51,1,10,1480,1,4,0,0,0,1,64,344,74,1011,0,3,185,1308,697,718,167,13,2,11,860,12,131,1035,5,3,3,1496,8093,3925,4168,5.40975935828877,94.16986564299424,1131,356,2,6,0,1,49,409,6,1026,3,0,3,1486,9,1,0,1803,1787,1104,845,681,907,18,35,8049,3897,4152,15,10,5,9,6,3,4,2,2,2,0,2,7,4,3,5,4,1,2,2,0,0,0,0,9,7,2,1670,924,746,603,348,255,386,282,104,205,158,47,151,109,42,27,24,3,7,6,1,9,2,7,19,13,6,5,3,2,7232,3490,3742,3032,1838,1194,88,51,37,4104,1599,2505,8,2,6,41.92477876106195,52.664756446991404,31.90807055050775,143,10,1048,272,16,0,1,6,1204,216,75,1
MAHOTTARI,BANAULI DONAULI,568,7,50,258,0,0,61,0,4,883,2,1,0,0,54,0,36,384,60,320,143,1,164,769,347,382,116,10,1,9,526,12,97,539,2,6,11,944,4577,2232,2345,4.848516949152542,95.18123667377398,732,206,1,5,0,0,42,439,37,425,0,0,1,938,1,0,5,940,882,700,558,229,297,11,27,4495,2183,2312,26,17,9,19,12,7,7,4,3,3,2,1,8,6,2,4,3,1,4,1,3,11,4,7,38,28,10,1041,545,496,506,226,280,395,261,134,282,184,98,251,169,82,72,61,11,28,22,6,3,2,1,0,0,0,5,2,3,4161,2014,2147,2588,1480,1108,64,35,29,1507,499,1008,2,0,2,62.196587358807975,73.48560079443894,51.60689333954355,107,10,541,284,0,0,0,2,556,325,63,0
MAHOTTARI,BANOUTA,580,11,3,633,0,0,71,9,5,1254,2,2,0,0,35,9,108,295,10,747,137,10,297,979,370,432,12,10,0,14,745,10,61,740,17,1,31,1307,6413,3112,3301,4.906656465187452,94.27446228415631,619,675,2,2,0,9,93,318,0,883,2,1,10,1303,2,1,1,1403,1487,900,653,496,829,7,5,6337,3064,3273,33,21,12,11,5,6,5,3,2,0,0,0,13,8,5,11,8,3,1,1,0,2,2,0,161,90,71,1284,756,528,453,281,172,156,105,51,272,217,55,82,57,25,18,17,1,5,5,0,4,3,1,58,45,13,4,2,2,5652,2711,2941,2337,1492,845,88,44,44,3224,1174,2050,3,1,2,41.34819532908705,55.03504241977131,28.731723903434208,155,3,989,145,2,0,1,12,1113,93,92,9
MAHOTTARI,BARDIBAS,1856,38,754,7,37,1,4,13,2538,8,6,2,7,59,77,13,26,681,573,1345,54,31,242,2446,1233,661,1247,182,37,249,2074,39,442,1075,47,223,22,2710,12584,6272,6312,4.643542435424354,99.36628643852978,2363,307,13,10,4,13,13,1345,51,1245,1,23,32,2265,433,4,8,2321,2351,1764,1676,539,662,18,13,12353,6149,6204,62,41,21,42,17,25,34,16,18,2,2,0,57,29,28,12,7,5,8,3,5,14,8,6,345,168,177,2581,1419,1162,1751,914,837,883,484,399,1598,912,686,748,428,320,226,163,63,77,65,12,9,7,2,535,291,244,16,11,5,11523,5742,5781,8749,4850,3899,232,121,111,2541,771,1770,1,0,1,75.9264080534583,84.46534308603275,67.44507870610622,50,49,1756,812,1,0,7,35,456,1481,760,13
MAHOTTARI,BASABITTI,384,16,4,603,2,0,20,7,21,988,0,3,0,1,17,6,8,190,17,810,1,10,297,739,410,290,17,10,2,1,643,9,50,489,6,2,0,1036,6410,3157,3253,6.187258687258687,97.04887795880725,624,400,0,5,0,7,6,191,15,812,1,1,10,1032,4,0,0,1526,1577,654,462,833,1079,39,36,6347,3122,3225,20,12,8,6,3,3,8,2,6,1,1,0,16,10,6,10,6,4,2,1,1,0,0,0,42,22,20,1114,665,449,359,246,113,100,71,29,114,83,31,81,59,22,36,30,6,10,9,1,10,6,4,7,6,1,23,13,10,5625,2768,2857,1879,1205,674,134,53,81,3611,1509,2102,1,1,0,33.404444444444444,43.533236994219656,23.59117955897795,332,6,564,110,12,0,1,11,860,103,66,7
