DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
MAKAWANPUR,AGARA,1496,7,59,0,2,1,1,6,1474,0,2,48,19,7,16,6,1556,4,4,2,0,6,298,1241,990,153,15,6,0,14,932,4,33,4,2,1,33,1572,7836,3850,3986,4.984732824427481,96.588058203713,553,623,0,388,2,6,1522,41,1,1,0,0,7,1531,36,2,3,1800,1949,1268,1300,469,546,63,103,7705,3763,3942,63,43,20,9,9,0,11,8,3,0,0,0,23,15,8,9,5,4,11,5,6,5,2,3,358,180,178,2462,1387,1075,869,435,434,308,162,146,173,113,60,43,36,7,18,12,6,8,8,0,1,0,1,204,133,71,31,17,14,7104,3456,3648,4256,2377,1879,164,83,81,2682,996,1686,2,0,2,59.909909909909906,68.77893518518519,51.50767543859649,103,1174,282,6,0,0,1,6,938,420,208,6
MAKAWANPUR,AMBHANJYANG,1366,0,23,4,3,0,0,7,1267,13,2,86,11,15,2,7,1109,35,1,246,1,11,131,1261,1046,551,81,27,4,92,1053,4,38,104,0,10,11,1403,6906,3330,3576,4.9223093371347115,93.12080536912751,1280,113,1,1,1,7,1200,84,95,10,0,2,12,1255,57,9,82,1431,1578,1006,1146,417,422,8,10,6729,3231,3498,64,45,19,20,14,6,32,15,17,2,0,2,29,11,18,8,3,5,6,3,3,16,8,8,111,65,46,2228,1210,1018,1056,544,512,412,185,227,378,208,170,141,80,61,37,27,10,14,13,1,4,2,2,184,96,88,2,2,0,6357,3054,3303,4479,2380,2099,167,98,69,1710,575,1135,1,1,0,70.4577630957999,77.9305828421742,63.54828943384801,263,1067,41,15,2,0,2,13,233,753,410,7
MAKAWANPUR,BAJRABARAHI,1434,7,160,2,19,6,0,2,1526,0,3,48,49,2,0,2,1513,85,20,9,2,1,109,1470,1089,701,461,45,13,56,1184,6,51,12,1,1,51,1630,7675,3622,4053,4.708588957055214,89.36590180113497,1486,127,5,9,1,2,1497,115,5,7,3,1,2,1530,83,8,9,1479,1799,1042,1164,401,594,36,41,7593,3578,4015,22,10,12,18,11,7,13,7,6,2,2,0,19,11,8,2,1,1,1,0,1,5,2,3,305,164,141,2089,1122,967,1053,545,508,415,175,240,349,208,141,132,84,48,28,22,6,9,7,2,3,2,1,528,258,270,35,18,17,7057,3301,3756,4896,2580,2316,116,56,60,2040,663,1377,5,2,3,69.37792263001276,78.15813389881853,61.66134185303515,44,1172,264,143,1,0,4,2,508,853,267,2
MAKAWANPUR,BASAMADI,2737,22,610,11,159,2,4,12,2484,220,82,463,260,31,5,12,1862,793,88,744,54,16,385,3115,2161,1713,1189,223,60,142,2747,21,197,322,14,310,57,3557,17130,8358,8772,4.815856058476244,95.28043775649795,2978,493,14,51,9,12,1303,1444,715,41,2,36,16,3143,327,12,75,3654,3841,2407,2481,1227,1338,20,22,16866,8205,8661,77,48,29,51,29,22,34,22,12,4,3,1,53,29,24,17,5,12,14,7,7,14,10,4,587,310,277,5049,2736,2313,2290,1176,1114,1017,527,490,801,461,340,443,251,192,107,61,46,28,18,10,11,11,0,591,323,268,6,3,3,15538,7547,7991,10617,5710,4907,412,202,210,4504,1632,2872,5,3,2,68.32925730467242,75.65920233205247,61.40658240520585,499,1886,448,685,17,0,4,18,1322,1286,938,11
MAKAWANPUR,BETINI,612,3,0,1,1,0,0,0,454,0,7,138,16,2,0,0,289,0,0,328,0,0,165,434,320,47,0,0,0,22,261,0,1,0,0,0,18,617,3351,1667,1684,5.431118314424635,98.99049881235155,308,188,0,112,9,0,540,0,68,8,0,1,0,611,4,0,2,745,820,541,569,193,240,11,11,3248,1617,1631,34,19,15,27,12,15,25,13,12,0,0,0,8,2,6,3,1,2,2,0,2,4,3,1,126,65,61,1091,618,473,374,205,169,148,93,55,66,42,24,26,20,6,8,7,1,1,1,0,1,1,0,196,66,130,1,1,0,3015,1496,1519,1900,1049,851,64,29,35,1050,418,632,1,0,1,63.018242122719734,70.12032085561498,56.023699802501646,279,320,12,0,2,0,3,1,537,1,79,0
MAKAWANPUR,BHAISE,1243,3,69,0,14,53,0,6,1253,0,16,57,24,27,5,6,1123,79,1,176,2,7,173,1154,809,528,175,30,6,39,930,2,43,72,3,60,61,1388,6717,3228,3489,4.839337175792507,92.51934651762683,1290,85,1,1,5,6,969,179,189,24,0,20,7,1270,47,56,15,1479,1583,987,1028,481,534,11,21,6568,3147,3421,55,35,20,26,14,12,33,11,22,0,0,0,16,10,6,4,3,1,7,4,3,8,4,4,279,164,115,2244,1289,955,924,462,462,272,130,142,197,100,97,93,59,34,24,18,6,2,1,1,1,1,0,170,82,88,2,2,0,6133,2948,3185,4129,2265,1864,79,39,40,1920,644,1276,5,0,5,67.32431110386435,76.83175033921302,58.5243328100471,458,821,65,27,8,0,2,7,612,413,357,6
MAKAWANPUR,BHARTA PUNDYADEVI,686,4,0,1,0,0,0,2,549,1,2,130,8,1,0,2,186,1,0,499,4,3,223,467,435,7,0,1,0,5,142,1,1,1,0,0,3,693,4169,2143,2026,6.015873015873016,105.77492596248766,51,334,0,248,58,2,439,6,212,9,1,23,3,687,0,4,2,1036,1002,520,452,510,539,6,11,4103,2113,1990,14,5,9,17,6,11,14,8,6,4,2,2,10,6,4,0,0,0,0,0,0,7,3,4,224,124,100,884,509,375,221,130,91,28,18,10,32,27,5,14,12,2,4,4,0,0,0,0,6,4,2,61,28,33,4,1,3,3538,1816,1722,1348,781,567,204,111,93,1983,922,1061,3,2,1,38.10062182023742,43.00660792951542,32.926829268292686,552,118,14,0,4,0,1,4,671,8,12,2
MAKAWANPUR,BHIMFEDI,1026,1,96,0,8,28,0,2,1144,0,1,1,2,11,1,1,1099,43,1,16,0,2,77,1064,687,635,235,43,8,47,950,3,43,14,0,86,20,1161,5440,2503,2937,4.685615848406546,85.22301668369084,1116,40,1,0,2,2,978,161,16,4,0,0,2,990,84,79,8,1062,1222,759,866,294,350,9,6,5362,2457,2905,23,17,6,15,11,4,7,3,4,1,1,0,17,5,12,12,7,5,0,0,0,3,2,1,108,49,59,1623,880,743,881,459,422,403,199,204,311,167,144,126,51,75,45,28,17,11,8,3,0,0,0,126,43,83,2,2,0,5007,2293,2714,3584,1857,1727,126,60,66,1294,374,920,3,2,1,71.57978829638506,80.98560837331007,63.63301400147384,120,981,8,44,0,0,4,4,20,963,176,2
MAKAWANPUR,BUDHICHAUR,367,0,0,0,1,1,0,1,355,1,3,4,0,3,4,0,354,1,0,15,0,0,60,301,234,105,0,1,0,6,229,0,0,0,0,0,9,370,2085,1041,1044,5.635135135135135,99.71264367816092,351,16,1,1,0,1,354,1,13,2,0,0,0,359,8,0,3,525,522,378,368,145,152,2,2,2029,999,1030,28,22,6,4,3,1,10,7,3,3,1,2,7,5,2,2,2,0,0,0,0,2,2,0,122,63,59,878,496,382,179,93,86,38,22,16,34,23,11,18,10,8,3,3,0,2,2,0,2,2,0,31,17,14,0,0,0,1844,914,930,1262,709,553,25,10,15,557,195,362,0,0,0,68.43817787418655,77.57111597374178,59.46236559139785,174,195,0,0,1,0,0,0,61,247,61,1
MAKAWANPUR,CHITLANG,1094,2,53,0,22,0,0,1,1036,0,1,20,109,5,0,1,1127,41,3,0,0,1,127,1011,780,452,254,8,0,56,815,9,31,15,1,11,34,1172,5029,2237,2792,4.290955631399317,80.121776504298,1146,21,1,0,3,1,1108,63,0,0,0,0,1,1104,25,27,16,833,1110,623,700,209,402,1,8,4887,2159,2728,44,29,15,29,12,17,24,10,14,1,1,0,10,7,3,16,8,8,9,6,3,9,5,4,55,30,25,1355,712,643,700,389,311,367,169,198,192,107,85,80,62,18,27,22,5,7,4,3,1,0,1,273,112,161,3,0,3,4647,2047,2600,3019,1591,1428,96,53,43,1531,403,1128,1,0,1,64.96664514740694,77.72349780166097,54.92307692307692,94,915,110,49,1,0,2,1,359,615,197,1
