DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
MANANG,BHRAKA,83,0,0,0,0,0,0,0,59,0,0,0,22,2,0,0,80,2,0,1,0,0,15,68,54,33,20,2,1,4,49,0,0,0,31,1,0,83,306,149,157,3.6867469879518073,94.90445859872611,75,8,0,0,0,0,77,4,2,0,0,0,0,49,2,3,29,45,56,28,40,17,16,0,0,301,146,155,1,1,0,0,0,0,3,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9,4,5,67,39,28,31,16,15,10,1,9,11,9,2,10,6,4,0,0,0,0,0,0,0,0,0,25,15,10,0,0,0,285,141,144,163,90,73,4,1,3,118,50,68,0,0,0,57.19298245614035,63.829787234042556,50.69444444444444,0,13,1,0,0,69,0,0,64,17,2,0
MANANG,CHAME,274,0,5,0,0,0,0,0,277,0,0,0,1,1,0,0,245,2,1,31,0,0,24,255,102,77,125,23,12,74,228,0,2,3,70,0,0,279,1129,597,532,4.046594982078853,112.21804511278195,271,6,0,1,1,0,176,13,90,0,0,0,0,124,138,15,2,163,173,116,117,45,55,2,1,1102,580,522,7,5,2,3,3,0,8,3,5,0,0,0,5,4,1,1,0,1,0,0,0,3,2,1,7,5,2,220,127,93,130,65,65,90,42,48,99,63,36,143,79,64,28,26,2,7,7,0,0,0,0,53,36,17,1,0,1,1040,555,485,778,450,328,4,1,3,258,104,154,0,0,0,74.8076923076923,81.08108108108108,67.62886597938144,2,146,28,1,80,21,1,0,57,172,50,0
MANANG,DHARAPANI,220,0,12,0,0,0,0,0,232,0,0,0,0,0,0,0,196,28,0,8,0,0,14,218,121,126,88,3,1,4,187,0,0,4,62,2,0,232,1012,515,497,4.362068965517241,103.62173038229376,223,1,0,3,5,0,160,60,10,2,0,0,0,170,58,3,1,136,143,114,112,22,31,0,0,986,498,488,1,1,0,1,1,0,8,5,3,0,0,0,8,6,2,0,0,0,0,0,0,8,4,4,16,6,10,173,99,74,171,102,69,65,42,23,79,48,31,136,68,68,14,13,1,4,4,0,0,0,0,41,27,14,0,0,0,934,481,453,697,408,289,0,0,0,237,73,164,0,0,0,74.62526766595289,84.82328482328482,63.796909492273734,1,129,2,7,38,55,0,0,44,109,79,0
MANANG,FU,36,0,0,0,0,0,0,0,34,0,0,0,1,1,0,0,36,0,0,0,0,0,2,34,28,0,0,0,0,0,0,0,0,0,33,0,0,36,176,88,88,4.888888888888889,100,0,1,0,35,0,0,36,0,0,0,0,0,0,34,1,1,0,34,41,23,31,10,9,1,1,170,86,84,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,4,1,3,75,38,37,16,12,4,7,6,1,6,4,2,1,1,0,0,0,0,0,0,0,1,0,1,12,5,7,0,0,0,168,82,86,119,66,53,0,0,0,49,16,33,0,0,0,70.83333333333334,80.48780487804879,61.627906976744185,0,0,1,0,0,35,0,0,31,4,1,0
MANANG,GHYARU,33,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,32,0,1,0,0,0,15,18,15,3,0,0,0,1,13,0,0,1,11,0,0,33,71,32,39,2.1515151515151514,82.05128205128204,32,1,0,0,0,0,32,1,0,0,0,0,0,24,0,1,8,4,6,3,5,1,1,0,0,64,29,35,1,0,1,0,0,0,0,0,0,0,0,0,3,2,1,2,1,1,0,0,0,1,0,1,7,2,5,7,4,3,5,4,1,0,0,0,3,1,2,3,3,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,67,30,37,29,16,13,0,0,0,38,14,24,0,0,0,43.28358208955223,53.333333333333336,35.13513513513514,0,1,1,0,0,31,0,0,21,6,6,0
MANANG,KHANGSAR,58,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,57,0,0,0,0,1,11,47,14,19,16,0,0,1,45,0,0,0,31,5,0,58,257,138,119,4.431034482758621,115.96638655462186,57,0,0,0,1,0,57,0,0,0,0,0,1,38,5,1,14,53,32,27,19,26,13,0,0,243,129,114,3,3,0,0,0,0,5,1,4,0,0,0,1,1,0,1,0,1,0,0,0,4,4,0,12,8,4,39,26,13,39,19,20,8,4,4,13,6,7,8,5,3,1,1,0,1,1,0,0,0,0,40,32,8,0,0,0,248,134,114,159,102,57,13,8,5,76,24,52,0,0,0,64.11290322580645,76.11940298507463,50,0,3,0,0,0,54,0,1,8,50,0,0
MANANG,MANANG,128,1,1,0,0,0,0,1,130,0,0,0,0,0,0,1,124,2,0,4,0,1,6,119,79,69,56,5,4,10,106,0,0,6,57,5,6,131,630,373,257,4.809160305343512,145.136186770428,127,3,0,0,0,1,124,2,4,0,0,0,1,81,37,1,12,134,77,45,58,89,17,0,2,621,369,252,4,2,2,2,1,1,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,3,1,141,95,46,81,48,33,25,15,10,39,27,12,61,32,29,6,5,1,2,2,0,0,0,0,64,48,16,2,1,1,606,358,248,422,273,149,4,1,3,180,84,96,0,0,0,69.63696369636963,76.25698324022346,60.08064516129033,0,13,1,0,4,112,0,1,46,66,18,1
MANANG,NAR,86,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,84,2,0,0,0,0,0,86,84,4,0,0,0,0,2,0,0,1,67,0,0,86,362,170,192,4.209302325581396,88.54166666666666,1,1,0,84,0,0,82,4,0,0,0,0,0,81,3,2,0,58,66,29,32,29,34,0,0,338,161,177,4,4,0,4,1,3,8,2,6,1,0,1,0,0,0,4,2,2,2,0,2,1,0,1,23,13,10,105,55,50,21,13,8,7,4,3,4,2,2,3,1,2,0,0,0,0,0,0,0,0,0,117,55,62,0,0,0,344,159,185,279,143,136,0,0,0,65,16,49,0,0,0,81.1046511627907,89.937106918239,73.51351351351352,0,2,2,0,0,82,0,0,77,7,2,0
MANANG,NGAWAL,73,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,73,0,0,0,0,0,18,55,47,13,7,0,0,1,39,0,0,1,29,0,0,73,274,151,123,3.7534246575342465,122.76422764227641,73,0,0,0,0,0,73,0,0,0,0,0,0,24,5,0,44,55,40,35,28,20,12,0,0,269,149,120,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,1,2,0,0,0,0,0,0,8,5,3,49,32,17,50,35,15,17,11,6,15,9,6,12,7,5,0,0,0,0,0,0,0,0,0,35,19,16,0,0,0,266,146,120,186,118,68,0,0,0,80,28,52,0,0,0,69.92481203007519,80.82191780821918,56.666666666666664,0,1,0,0,1,71,0,0,39,34,0,0
MANANG,PISANG,105,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,94,0,0,10,0,1,30,75,70,30,28,2,0,3,42,0,0,7,10,0,0,105,307,159,148,2.9238095238095236,107.43243243243244,105,0,0,0,0,0,91,0,13,0,0,0,1,68,15,4,18,39,34,22,19,17,15,0,0,300,154,146,2,2,0,1,0,1,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,1,1,0,86,46,40,36,25,11,15,9,6,7,5,2,11,7,4,0,0,0,1,1,0,1,1,0,60,26,34,0,0,0,286,150,136,218,121,97,1,1,0,67,28,39,0,0,0,76.22377622377621,80.66666666666666,71.32352941176471,0,28,0,0,75,1,0,1,36,38,31,0
