DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
MORANG,AMAHIBARIYATI,225,21,4,1171,1,0,0,10,8,1400,3,9,1,1,0,10,5,83,55,897,384,8,227,1198,368,462,119,11,1,11,768,27,111,1116,28,5,7,1432,6329,3085,3244,4.419692737430168,95.09864364981505,678,725,2,17,0,10,10,106,9,1284,0,15,8,1429,1,1,1,1337,1364,893,846,415,482,29,36,6221,3016,3205,50,36,14,21,12,9,5,4,1,0,0,0,10,4,6,4,4,0,3,2,1,15,7,8,133,83,50,1705,927,778,704,417,287,375,251,124,272,151,121,43,30,13,17,17,0,0,0,0,0,0,0,4,1,3,18,9,9,5686,2758,2928,3132,1815,1317,108,54,54,2445,888,1557,1,1,0,55.08265916285614,65.8085569253082,44.97950819672131,226,1155,16,19,0,0,1,15,1268,121,33,10
MORANG,AMARDAHA,1137,30,168,1397,283,0,86,15,4,3027,3,6,1,0,62,13,20,162,72,2060,790,12,406,2706,1091,1656,36,26,7,84,1875,73,217,2335,11,44,4,3116,14003,6617,7386,4.4939024390243905,89.58841050636339,2062,1023,4,11,1,15,31,251,289,2505,3,21,16,2996,38,3,79,2595,2885,1868,1817,703,1045,24,23,13692,6429,7263,143,85,58,47,28,19,35,19,16,5,2,3,38,27,11,18,15,3,7,4,3,18,8,10,478,254,224,3161,1657,1504,1760,932,828,1170,610,560,1017,526,491,166,99,67,63,54,9,19,17,2,0,0,0,288,161,127,14,10,4,12678,5933,6745,7900,4204,3696,389,200,189,4388,1529,2859,1,0,1,62.3126676131882,70.85791336591943,54.796145292809484,1096,1918,18,39,10,0,3,32,1799,1024,278,15
MORANG,AMGACHHI,38,11,5,824,10,0,289,2,3,1170,2,2,0,0,0,2,43,36,58,353,688,1,205,965,147,524,45,6,1,19,522,20,75,868,1,2,9,1179,5203,2455,2748,4.413061916878711,89.3377001455604,677,485,1,14,0,2,14,81,14,1057,2,9,2,1172,4,0,3,956,1152,709,762,217,320,30,70,5105,2394,2711,41,26,15,19,13,6,16,9,7,2,0,2,4,2,2,10,7,3,0,0,0,6,4,2,64,31,33,1444,766,678,774,400,374,406,234,172,355,219,136,56,43,13,14,13,1,0,0,0,0,0,0,9,2,7,9,4,5,4708,2192,2516,3057,1679,1378,58,24,34,1593,489,1104,0,0,0,64.9320305862362,76.59671532846716,54.769475357710654,189,952,6,16,2,0,8,6,849,284,44,2
MORANG,BABIYA BIRTA,746,38,95,2147,226,1,2,7,11,3219,2,8,2,0,13,7,345,269,85,2018,534,11,561,2673,1189,1368,175,20,9,61,1747,6,189,2298,19,18,28,3262,14626,7010,7616,4.483752299202943,92.04306722689076,1840,1396,3,14,2,7,156,306,201,2576,3,9,11,3159,26,3,74,2721,3012,1809,1795,891,1191,21,26,14409,6889,7520,106,57,49,27,12,15,14,12,2,0,0,0,36,20,16,10,7,3,11,8,3,13,5,8,213,106,107,3176,1718,1458,1807,970,837,1115,594,521,946,525,421,270,163,107,86,66,20,8,6,2,1,1,0,256,159,97,32,19,13,13351,6335,7016,7758,4242,3516,356,186,170,5230,1905,3325,7,2,5,58.1080068908696,66.96132596685082,50.11402508551881,1847,1331,6,40,21,0,2,15,2039,737,479,7
MORANG,BAHUNI,2122,36,183,212,246,3,1,7,42,2695,9,0,2,1,54,7,59,193,345,1977,225,11,300,2503,1041,1606,176,48,3,58,1714,23,224,2095,7,31,7,2810,12180,5649,6531,4.334519572953736,86.49517684887459,2278,492,12,17,4,7,20,293,280,2186,3,17,11,2641,44,61,64,2136,2398,1676,1601,445,767,15,30,11943,5524,6419,84,53,31,43,20,23,32,17,15,3,1,2,33,10,23,15,8,7,4,3,1,23,13,10,275,156,119,2882,1526,1356,1719,886,833,1279,666,613,990,528,462,238,134,104,84,64,20,11,9,2,0,0,0,447,252,195,2,0,2,11191,5157,6034,7916,4214,3702,142,69,73,3133,874,2259,0,0,0,70.73541238495218,81.71417490789219,61.35233675836924,1416,1336,5,39,3,0,1,10,1305,996,502,7
MORANG,BAIJANATHPUR,326,15,132,616,15,1,106,9,33,1175,1,1,2,0,0,8,43,228,72,598,265,14,143,1041,248,501,137,15,3,7,712,3,90,910,19,11,36,1220,5640,2824,2816,4.622950819672131,100.28409090909092,718,483,1,8,1,9,16,232,108,844,0,5,15,1191,24,2,3,1149,1164,670,653,474,508,5,3,5580,2788,2792,23,15,8,11,6,5,8,3,5,0,0,0,6,6,0,3,3,0,2,1,1,7,2,5,95,52,43,1344,758,586,565,339,226,491,296,195,202,117,85,98,65,33,16,12,4,2,1,1,2,0,2,178,90,88,1,1,0,5036,2507,2529,2912,1684,1228,142,77,65,1982,746,1236,0,0,0,57.82366957903098,67.17191862784205,48.55674179517596,536,591,9,59,7,0,2,16,926,170,115,9
MORANG,BANIGAMA,1035,43,163,685,153,1,36,5,44,2049,5,16,1,0,1,5,61,437,165,1232,223,3,102,2009,691,1234,173,46,5,41,1341,15,251,1799,20,23,10,2121,8733,4122,4611,4.117397454031117,89.39492517891998,1579,495,12,30,0,5,53,490,31,1531,1,12,3,2067,37,2,15,1534,1680,1074,1108,450,553,10,19,8598,4047,4551,32,20,12,31,17,14,18,9,9,2,2,0,26,16,10,5,2,3,4,2,2,17,7,10,109,59,50,2077,1123,954,1189,652,537,1113,590,523,578,275,303,212,139,73,61,51,10,9,8,1,0,0,0,137,76,61,3,1,2,8079,3808,4271,5459,2958,2501,102,51,51,2517,799,1718,1,0,1,67.57024384205967,77.67857142857143,58.557714820885046,816,1222,18,52,5,0,5,3,1210,527,379,5
MORANG,BARADANGA,100,31,15,2018,30,0,30,6,10,2103,1,11,2,0,97,6,153,90,142,776,1059,10,396,1818,361,655,23,21,2,29,1023,3,141,1681,6,3,16,2230,11305,5741,5564,5.069506726457399,103.18116462976276,836,1357,5,25,1,6,43,150,23,1986,11,7,10,2206,19,0,5,2625,2520,1394,1182,1182,1293,49,45,11176,5672,5504,51,31,20,24,13,11,15,10,5,1,1,0,25,9,16,7,2,5,0,0,0,6,3,3,247,126,121,2781,1607,1174,983,604,379,526,365,161,255,148,107,77,63,14,27,22,5,0,0,0,51,36,15,139,106,33,58,36,22,9963,5071,4892,4959,3017,1942,282,155,127,4699,1887,2812,23,12,11,49.77416440831075,59.49516860579768,39.69746524938675,580,1606,0,22,4,0,1,17,1922,195,107,6
MORANG,BAYARBAN,3650,33,400,168,356,1,11,17,25,4481,18,72,9,11,3,17,27,179,384,3592,434,20,443,4173,2056,2467,390,103,42,85,3531,26,286,3389,12,229,20,4636,20486,9341,11145,4.418895599654875,83.81336922386721,3567,1015,12,21,4,17,31,504,1024,3035,2,20,20,4288,166,8,174,3508,3924,2786,2750,681,1113,41,61,20019,9091,10928,159,94,65,73,39,34,80,43,37,7,4,3,44,25,19,34,14,20,25,10,15,45,21,24,574,300,274,4662,2372,2290,2973,1394,1579,2109,1031,1078,1803,915,888,670,365,305,184,123,61,50,40,10,0,0,0,725,376,349,50,26,24,18790,8471,10319,13675,6879,6796,331,163,168,4780,1427,3353,4,2,2,72.7780734433209,81.20646912997285,65.85909487353425,1370,3047,26,151,12,0,4,26,1063,2172,1384,17
MORANG,BELBARI,3951,20,1378,43,286,8,6,32,137,5480,17,10,23,3,22,32,49,1521,694,3091,334,35,353,5307,2783,3693,740,411,133,438,4517,167,566,3950,35,617,64,5724,24076,11038,13038,4.206149545772187,84.66022396073018,5218,438,19,10,6,33,44,2062,800,2746,2,33,37,4836,734,43,111,4173,4589,3265,3256,848,1246,60,87,23585,10777,12808,141,82,59,91,43,48,121,67,54,2,1,1,56,31,25,25,11,14,8,3,5,47,23,24,417,214,203,5278,2682,2596,3710,1864,1846,2702,1306,1396,2106,1016,1090,823,420,403,329,196,133,146,99,47,0,0,0,1520,706,814,48,25,23,22225,10099,12126,16918,8433,8485,336,156,180,4964,1508,3456,7,2,5,76.1214848143982,83.50331716011486,69.97361042388258,962,3588,49,1062,17,0,4,42,898,2379,2414,33
