DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
MUGU,BHIYEE,222,0,0,0,0,0,0,1,221,0,0,0,1,0,0,1,222,0,0,0,0,1,112,107,38,0,0,1,0,0,88,0,0,0,0,0,4,223,1406,672,734,6.304932735426009,91.55313351498637,0,0,0,221,1,1,221,0,0,0,0,1,1,223,0,0,0,256,326,193,184,54,139,9,3,1382,660,722,6,2,4,7,3,4,11,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,9,17,311,169,142,102,70,32,35,30,5,56,52,4,11,10,1,1,1,0,0,0,0,0,0,0,4,2,2,11,9,2,1123,538,585,501,330,171,106,47,59,516,161,355,0,0,0,44.61264470169189,61.33828996282528,29.230769230769234,8,1,2,0,0,211,0,1,25,197,0,1
MUGU,DHAINAKOT,423,0,0,0,0,0,0,4,289,0,0,1,102,31,0,4,421,0,0,0,0,6,224,177,80,1,0,3,0,0,141,0,0,0,0,0,26,427,2398,1207,1191,5.615925058548009,101.34340890008396,206,0,0,17,200,4,420,0,0,0,0,1,6,419,4,4,0,500,561,403,329,80,162,17,70,2247,1118,1129,60,36,24,31,17,14,29,15,14,0,0,0,17,15,2,3,0,3,3,1,2,8,5,3,113,66,47,454,262,192,240,147,93,113,92,21,85,71,14,59,49,10,17,17,0,1,0,1,0,0,0,56,40,16,5,3,2,2003,1014,989,1039,691,348,82,39,43,880,284,596,2,0,2,51.872191712431345,68.14595660749507,35.18705763397371,2,4,3,0,0,412,0,6,301,96,26,4
MUGU,DOLPHU,91,0,0,0,0,0,0,0,90,0,0,0,1,0,0,0,91,0,0,0,0,0,54,36,13,10,0,0,0,1,32,0,0,0,0,0,1,91,385,179,206,4.230769230769231,86.89320388349515,0,0,0,66,25,0,91,0,0,0,0,0,0,91,0,0,0,90,101,39,31,48,68,3,2,381,177,204,1,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,53,35,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,164,178,92,56,36,3,2,1,247,106,141,0,0,0,26.900584795321635,34.146341463414636,20.224719101123593,0,0,0,0,0,91,0,0,91,0,0,0
MUGU,GUMTHA,430,0,0,0,0,0,0,3,368,0,13,1,8,40,0,3,427,0,0,0,0,6,161,262,119,5,0,1,0,0,213,0,3,0,0,0,10,433,2598,1306,1292,6,101.08359133126935,9,0,0,412,9,3,426,1,0,0,0,0,6,428,4,0,1,540,588,413,379,101,156,26,53,2442,1214,1228,58,35,23,27,9,18,41,27,14,3,2,1,9,7,2,7,6,1,4,2,2,7,4,3,31,15,16,709,401,308,240,159,81,93,69,24,89,74,15,58,47,11,10,9,1,4,4,0,0,0,0,11,4,7,1,1,0,2170,1091,1079,1189,759,430,120,65,55,857,265,592,4,2,2,54.79262672811059,69.56920256645279,39.85171455050973,137,14,200,3,73,2,0,4,259,52,119,3
MUGU,HYANGLU,335,0,0,0,0,0,0,3,299,0,0,0,0,36,0,3,335,0,0,0,0,3,144,185,109,9,1,0,0,0,139,0,0,0,1,0,9,338,2067,1038,1029,6.115384615384615,100.87463556851313,0,0,0,335,0,3,335,0,0,0,0,0,3,338,0,0,0,424,495,316,285,103,200,5,10,1979,990,989,34,21,13,26,12,14,14,8,6,6,4,2,4,0,4,1,1,0,1,1,0,2,1,1,23,11,12,430,220,210,236,162,74,100,76,24,67,58,9,43,37,6,9,8,1,1,1,0,2,1,1,36,30,6,1,1,0,1750,868,882,920,593,327,105,53,52,723,221,502,2,1,1,52.57142857142857,68.31797235023042,37.07482993197279,106,4,1,0,9,215,0,3,270,52,13,3
MUGU,JIMA,494,0,1,0,0,0,0,0,413,0,0,1,80,1,0,0,492,3,0,0,0,0,240,248,141,5,0,0,0,0,191,0,0,0,0,1,7,495,2841,1394,1447,5.739393939393939,96.33724948168624,2,2,1,487,3,0,491,4,0,0,0,0,0,488,0,7,0,601,714,505,442,84,230,12,42,2783,1361,1422,12,6,6,20,10,10,12,8,4,2,2,0,5,1,4,1,1,0,1,1,0,5,4,1,94,38,56,698,370,328,242,175,67,116,97,19,126,114,12,26,21,5,3,3,0,0,0,0,0,0,0,39,27,12,3,2,1,2396,1185,1211,1260,810,450,25,14,11,1109,361,748,2,0,2,52.587646076794655,68.35443037974683,37.15937241948802,2,5,10,0,12,466,0,0,274,206,15,0
MUGU,KARKIBADA,657,0,0,0,0,0,0,5,420,0,0,7,228,3,0,4,618,5,0,26,0,13,236,418,342,21,10,3,0,5,252,0,0,0,0,1,8,662,3654,1834,1820,5.519637462235649,100.76923076923077,50,0,1,500,106,5,614,7,27,0,0,1,13,650,10,0,2,790,835,534,406,206,346,50,83,3537,1773,1764,32,17,15,21,7,14,39,24,15,3,1,2,13,8,5,4,2,2,2,1,1,3,1,2,66,37,29,708,432,276,326,207,119,257,203,54,102,82,20,111,94,17,26,25,1,5,5,0,6,5,1,27,11,16,37,16,21,3061,1533,1528,1615,1090,525,166,66,100,1278,377,901,2,0,2,52.76053577262333,71.102413568167,34.3586387434555,22,23,10,0,4,566,0,37,179,3,475,5
MUGU,KIMRI,114,0,0,0,0,0,0,0,112,0,0,1,0,0,1,0,114,0,0,0,0,0,45,69,42,0,1,0,0,2,60,0,0,0,0,0,0,114,579,259,320,5.078947368421052,80.9375,0,0,0,84,30,0,114,0,0,0,0,0,0,103,1,0,10,101,152,67,93,32,56,2,3,561,249,312,4,3,1,7,4,3,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,5,2,3,13,4,9,166,100,66,66,26,40,14,9,5,6,6,0,6,6,0,2,2,0,0,0,0,0,0,0,12,6,6,0,0,0,513,233,280,263,149,114,27,14,13,223,70,153,0,0,0,51.267056530214425,63.94849785407726,40.714285714285715,0,3,0,0,0,111,0,0,101,0,13,0
MUGU,KOT DANDA,301,0,0,0,0,0,0,0,261,0,0,0,36,4,0,0,301,0,0,0,0,0,110,189,170,8,0,0,0,0,85,0,1,1,0,0,2,301,1812,891,921,6.019933554817276,96.74267100977198,61,52,0,62,126,0,301,0,0,0,0,0,0,299,2,0,0,360,431,264,276,92,151,4,4,1763,858,905,13,11,2,14,10,4,12,7,5,1,0,1,2,2,0,2,1,1,0,0,0,5,2,3,40,26,14,384,195,189,187,112,75,87,65,22,92,70,22,72,53,19,8,8,0,5,5,0,1,1,0,1,1,0,5,4,1,1599,779,820,835,515,320,64,31,33,699,232,467,1,1,0,52.220137585991246,66.11039794608472,39.02439024390244,260,10,0,0,30,1,0,0,132,90,79,0
MUGU,MANGRI,452,0,0,0,0,0,0,3,273,0,0,1,142,36,0,3,388,0,0,0,62,5,284,163,124,8,1,1,0,0,81,0,0,1,1,0,8,455,2439,1216,1223,5.36043956043956,99.42763695829926,37,1,0,278,136,3,381,0,0,0,0,63,11,442,5,1,7,504,549,287,229,199,297,18,23,2347,1167,1180,26,13,13,10,4,6,32,21,11,0,0,0,12,6,6,2,1,1,1,1,0,9,3,6,90,48,42,558,343,215,132,97,35,40,26,14,25,21,4,9,9,0,0,0,0,2,2,0,2,2,0,11,9,2,1,1,0,2069,1033,1036,793,520,273,23,11,12,1251,502,749,2,0,2,38.32769453842436,50.33881897386253,26.351351351351347,0,4,5,0,1,437,3,5,99,167,186,3
