DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
MUSTANG,CHARANG,0,4,3,124,0,0,0,1,130,0,0,0,0,1,0,1,130,0,0,0,0,2,16,116,59,10,4,0,0,5,0,1,0,0,93,0,0,132,452,217,235,3.4242424242424243,92.34042553191489,76,4,0,49,2,1,129,0,0,0,1,0,2,121,7,1,3,41,45,8,18,33,26,0,1,441,210,231,4,2,2,0,0,0,3,1,2,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,3,0,3,80,43,37,25,18,7,7,5,2,10,9,1,5,3,2,3,3,0,0,0,0,1,0,1,1,1,0,1,0,1,420,201,219,133,82,51,18,8,10,269,111,158,0,0,0,31.666666666666664,40.79601990049751,23.28767123287671,0,0,0,0,0,130,0,2,67,11,53,1
MUSTANG,CHHONHUP,0,2,0,198,0,0,2,0,173,0,1,3,0,25,0,0,201,0,0,0,0,1,34,168,77,6,4,0,0,20,144,2,1,0,27,0,0,202,801,365,436,3.9653465346534653,83.71559633027523,0,1,0,200,1,0,103,0,0,0,98,0,1,191,4,7,0,97,133,42,46,54,87,1,0,784,356,428,4,3,1,4,1,3,4,2,2,0,0,0,0,0,0,1,1,0,2,1,1,2,1,1,4,2,2,180,97,83,45,28,17,13,11,2,27,22,5,5,3,2,0,0,0,0,0,0,0,0,0,57,31,26,0,0,0,738,339,399,328,192,136,15,8,7,395,139,256,0,0,0,44.44444444444444,56.63716814159292,34.08521303258145,0,1,0,1,0,199,0,1,114,6,82,0
MUSTANG,CHHOSER,19,0,0,139,0,0,0,0,55,0,0,1,1,101,0,0,156,0,0,0,2,0,36,122,64,4,1,1,0,0,105,0,3,0,80,0,0,158,529,227,302,3.348101265822785,75.16556291390728,1,2,0,151,4,0,39,0,0,0,118,1,0,149,5,2,2,40,86,19,28,21,57,0,1,491,208,283,8,4,4,17,9,8,2,1,1,0,0,0,2,1,1,7,3,4,0,0,0,2,1,1,19,9,10,125,57,68,41,20,21,17,10,7,11,11,0,5,5,0,5,5,0,0,0,0,4,4,0,13,10,3,0,0,0,489,211,278,220,122,98,3,0,3,266,89,177,0,0,0,44.989775051124745,57.81990521327014,35.25179856115108,0,1,0,0,0,155,1,1,124,2,32,0
MUSTANG,CHHUSANG,160,2,6,0,0,0,0,0,166,0,0,0,0,0,2,0,164,2,0,1,0,1,21,147,115,21,20,2,0,6,113,2,3,1,5,2,0,168,512,247,265,3.0476190476190474,93.20754716981132,159,5,0,2,2,0,160,3,0,1,0,3,1,116,30,3,19,35,52,8,5,27,45,0,2,482,233,249,1,0,1,4,1,3,14,6,8,0,0,0,1,0,1,6,4,2,1,0,1,3,3,0,0,0,0,141,74,67,39,27,12,23,17,6,23,11,12,11,7,4,0,0,0,0,0,0,6,5,1,13,6,7,2,1,1,485,239,246,256,146,110,17,5,12,212,88,124,0,0,0,52.78350515463918,61.08786610878661,44.71544715447154,3,2,0,0,0,161,1,1,43,21,104,0
MUSTANG,GHAMI,35,0,0,131,0,0,1,2,112,0,0,0,26,29,0,2,167,0,0,0,0,2,35,132,76,10,0,1,0,10,0,1,1,0,111,0,2,169,611,285,326,3.6153846153846154,87.42331288343557,0,10,0,154,3,2,45,0,0,0,122,0,2,154,12,1,2,58,76,24,38,33,36,1,2,557,266,291,12,10,2,8,1,7,20,6,14,1,0,1,8,1,7,3,0,3,0,0,0,2,1,1,13,5,8,138,81,57,41,29,12,11,8,3,12,9,3,1,1,0,0,0,0,0,0,0,0,0,0,51,15,36,1,1,0,559,261,298,261,147,114,11,6,5,287,108,179,0,0,0,46.69051878354204,56.32183908045977,38.25503355704698,1,0,0,0,0,166,0,2,67,12,88,2
MUSTANG,JHONG,80,0,3,0,0,1,0,1,84,0,0,0,0,0,0,1,83,0,0,0,0,2,6,79,32,6,22,4,0,0,78,0,8,0,14,4,0,85,253,112,141,2.976470588235294,79.43262411347519,84,0,0,0,0,1,83,0,0,0,0,0,2,65,19,1,0,13,31,4,10,8,19,1,2,248,107,141,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,66,32,34,23,7,16,2,1,1,16,11,5,14,9,5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,237,106,131,123,61,62,0,0,0,114,45,69,0,0,0,51.89873417721519,57.54716981132076,47.32824427480916,0,1,1,0,0,81,0,2,39,34,11,1
MUSTANG,JOMSOM,207,24,186,0,0,9,0,4,423,0,0,0,4,0,0,3,391,35,1,0,0,3,24,406,106,133,265,32,16,72,397,15,32,1,2,51,0,430,1370,702,668,3.186046511627907,105.08982035928143,424,2,0,0,0,4,377,49,0,0,0,1,3,201,156,69,4,191,186,128,129,61,57,2,0,1345,695,650,11,3,8,2,1,1,2,1,1,2,0,2,5,1,4,0,0,0,0,0,0,3,1,2,31,22,9,324,177,147,149,78,71,78,50,28,92,52,40,104,57,47,37,32,5,16,14,2,8,8,0,133,70,63,1,0,1,1277,653,624,967,558,409,34,16,18,276,79,197,0,0,0,75.72435395458105,85.45176110260337,65.5448717948718,1,31,1,0,1,392,0,4,60,344,22,4
MUSTANG,KAGBENI,117,8,149,0,0,0,0,0,268,0,0,0,3,3,0,0,262,11,1,0,0,0,35,236,84,84,77,15,11,17,217,10,29,0,34,29,3,274,937,461,476,3.4197080291970803,96.84873949579831,254,6,0,14,0,0,253,18,1,0,0,1,1,169,69,11,25,93,108,36,28,55,78,2,2,918,457,461,3,0,3,1,1,0,3,0,3,1,1,0,4,2,2,1,0,1,2,0,2,4,0,4,4,1,3,272,145,127,81,46,35,34,23,11,44,28,16,18,13,5,11,9,2,2,2,0,18,16,2,3,2,1,2,1,1,860,422,438,480,281,199,20,9,11,359,132,227,1,0,1,55.81395348837209,66.58767772511848,45.4337899543379,8,9,0,8,0,249,0,0,159,90,25,0
MUSTANG,KOBANG,190,0,8,0,0,0,0,0,147,0,0,1,42,8,0,0,186,3,1,8,0,0,30,168,93,18,79,1,1,4,152,10,16,1,1,8,0,198,727,378,349,3.6717171717171717,108.30945558739256,180,14,0,0,4,0,181,8,9,0,0,0,0,115,53,12,18,110,113,71,64,36,48,3,1,679,357,322,7,1,6,5,2,3,16,12,4,0,0,0,16,4,12,3,1,2,0,0,0,1,1,0,11,3,8,172,102,70,125,65,60,43,22,21,55,34,21,20,12,8,13,11,2,2,2,0,3,2,1,39,24,15,1,1,0,669,355,314,475,275,200,57,27,30,135,52,83,2,1,1,71.00149476831092,77.46478873239437,63.69426751592356,10,28,5,1,1,153,0,0,80,105,13,0
MUSTANG,KUNJO,168,1,2,0,0,0,0,3,171,0,0,0,0,0,0,3,154,7,0,5,5,3,35,135,77,63,40,1,0,1,115,0,3,0,0,0,4,174,711,374,337,4.086206896551724,110.97922848664687,156,9,0,0,6,3,154,7,7,0,0,3,3,135,10,8,21,143,131,101,80,40,48,2,3,649,337,312,5,2,3,3,2,1,10,8,2,0,0,0,23,15,8,2,0,2,2,1,1,17,9,8,18,9,9,288,159,129,79,49,30,27,14,13,34,28,6,10,8,2,4,3,1,0,0,0,0,0,0,1,0,1,1,0,1,640,341,299,456,266,190,6,2,4,178,73,105,0,0,0,71.25,78.00586510263929,63.54515050167224,1,39,5,1,13,111,1,3,64,107,0,3
