DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
MYAGDI,ARMAN,889,0,8,0,51,0,0,0,830,0,4,1,95,10,8,0,937,2,0,9,0,0,165,776,677,95,16,7,2,26,617,0,3,9,2,3,7,948,4189,1783,2406,4.418776371308017,74.10640066500416,423,192,2,299,32,0,928,3,10,7,0,0,0,867,12,0,69,762,959,653,706,102,244,7,9,4017,1697,2320,30,18,12,16,8,8,55,29,26,4,2,2,35,18,17,4,1,3,16,4,12,12,6,6,163,97,66,1311,651,660,547,243,304,249,127,122,185,98,87,58,26,32,30,16,14,9,2,7,0,0,0,227,38,189,2,0,2,3735,1567,2168,2700,1249,1451,34,15,19,1001,303,698,0,0,0,72.28915662650603,79.70644543714104,66.9280442804428,167,29,751,1,0,0,0,0,13,416,519,0
MYAGDI,ARTHUNGE,685,38,2440,0,11,0,1,7,2981,3,24,13,140,1,14,6,1237,518,1373,30,1,23,161,3016,1537,1076,2052,555,382,508,2870,62,328,187,33,717,5,3182,11738,5573,6165,3.688874921433061,90.39740470397405,3094,65,6,6,4,7,1199,1910,14,13,1,3,42,1255,1795,101,31,2270,2178,1910,1663,343,486,17,29,11433,5403,6030,121,70,51,35,20,15,51,28,23,2,2,0,44,24,20,12,5,7,15,5,10,25,16,9,472,252,220,2835,1431,1404,1777,850,927,1042,528,514,1488,773,715,890,431,459,320,226,94,122,104,18,3,2,1,391,94,297,7,2,5,10660,5007,5653,9280,4659,4621,161,44,117,1216,302,914,3,2,1,87.05440900562851,93.04973037747153,81.74420661595613,25,722,734,1668,3,0,4,26,173,2859,143,7
MYAGDI,BABIYACHAUR,727,2,86,0,4,0,0,0,780,0,0,19,8,7,4,1,751,17,33,13,0,5,117,689,607,55,100,9,2,13,561,1,11,7,0,15,13,819,3402,1508,1894,4.153846153846154,79.61985216473073,351,121,1,257,88,1,744,51,16,2,1,0,5,681,107,4,27,604,734,471,508,106,171,27,55,3252,1421,1831,38,24,14,11,6,5,30,14,16,2,1,1,25,14,11,1,0,1,3,1,2,40,27,13,94,46,48,932,466,466,443,234,209,245,112,133,206,102,104,96,45,51,37,28,9,13,8,5,0,0,0,136,44,92,19,7,12,3037,1332,1705,2184,1072,1112,133,57,76,720,203,517,0,0,0,71.9130721106355,80.48048048048048,65.2199413489736,98,118,568,30,0,0,0,5,36,406,376,1
MYAGDI,BEGKHOLA,386,0,14,1,0,0,0,1,318,0,8,48,14,12,1,1,372,26,0,3,0,1,66,331,238,95,108,5,0,1,193,1,2,0,0,32,5,402,1522,678,844,3.7860696517412937,80.33175355450237,344,53,2,0,2,1,361,37,3,0,0,0,1,351,28,1,22,251,325,173,192,65,117,13,16,1435,632,803,11,7,4,6,2,4,35,22,13,0,0,0,28,10,18,3,1,2,1,1,0,3,3,0,19,10,9,480,242,238,229,103,126,80,42,38,71,41,30,27,10,17,4,3,1,1,0,1,0,0,0,135,35,100,1,1,0,1389,605,784,1042,484,558,8,4,4,339,117,222,0,0,0,75.01799856011519,80,71.1734693877551,21,110,266,4,0,0,0,1,73,202,126,1
MYAGDI,BARANJA,1120,1,6,0,11,0,0,0,1026,0,54,10,37,3,8,0,1130,3,0,5,0,0,187,913,712,201,51,6,2,2,772,0,4,0,0,3,38,1138,4977,2185,2792,4.373462214411248,78.2593123209169,662,184,0,249,43,0,1125,3,8,2,0,0,0,1078,15,0,45,976,1137,795,798,174,331,7,8,4679,2031,2648,65,36,29,36,14,22,82,40,42,3,0,3,57,29,28,9,5,4,10,5,5,36,25,11,198,105,93,1448,742,706,739,360,379,293,138,155,259,126,133,51,27,24,8,7,1,3,1,2,0,0,0,277,76,201,2,2,0,4472,1939,2533,3179,1535,1644,117,46,71,1173,358,815,3,0,3,71.08676207513417,79.16451779267663,64.90327674694039,133,17,987,0,1,0,0,0,23,725,390,0
MYAGDI,BHAKIMLI,737,0,0,0,0,0,0,2,697,0,0,0,38,2,0,2,733,3,0,0,0,3,92,638,548,134,213,8,9,1,532,0,0,0,0,0,9,739,3234,1357,1877,4.37618403247632,72.29621736814065,680,51,1,2,3,2,730,6,0,0,0,0,3,713,10,0,16,551,738,451,503,87,217,13,18,3072,1285,1787,53,28,25,25,10,15,42,17,25,5,2,3,20,9,11,5,3,2,3,0,3,9,3,6,107,55,52,865,410,455,458,211,247,220,118,102,183,93,90,47,22,25,8,7,1,4,1,3,1,0,1,199,58,141,6,4,2,2888,1182,1706,2033,946,1087,52,20,32,800,215,585,3,1,2,70.39473684210526,80.03384094754654,63.71629542790153,158,126,451,0,0,0,0,4,16,369,352,2
MYAGDI,BIM,413,0,4,0,0,0,0,2,412,0,0,1,3,1,0,2,414,1,0,3,0,1,91,326,263,21,12,2,0,1,238,0,0,0,0,0,2,419,1856,842,1014,4.429594272076372,83.03747534516765,221,103,0,88,5,2,411,5,2,0,0,0,1,380,7,4,28,370,418,307,300,63,115,0,3,1789,809,980,17,8,9,4,2,2,22,11,11,0,0,0,13,7,6,3,1,2,0,0,0,8,4,4,98,51,47,588,295,293,239,110,129,97,56,41,87,42,45,17,11,6,7,4,3,7,6,1,0,0,0,99,32,67,0,0,0,1636,723,913,1204,591,613,15,8,7,417,124,293,0,0,0,73.59413202933986,81.74273858921161,67.14129244249726,23,6,388,0,0,0,0,2,130,156,131,2
MYAGDI,CHIMKHOLA,355,1,2,0,1,0,1,0,343,0,0,15,1,1,0,0,357,0,1,1,0,1,70,285,249,90,22,4,0,0,100,0,0,0,0,1,5,360,1317,581,736,3.658333333333333,78.94021739130434,335,24,1,0,0,0,356,1,1,1,0,0,1,342,2,0,16,224,268,154,167,39,67,31,34,1229,537,692,27,15,12,20,9,11,18,10,8,1,1,0,8,4,4,12,4,8,2,1,1,0,0,0,31,18,13,329,169,160,188,102,86,117,66,51,52,22,30,12,9,3,2,1,1,1,1,0,0,0,0,36,9,27,10,5,5,1193,526,667,749,384,365,29,11,18,415,131,284,0,0,0,62.78290025146689,73.00380228136882,54.72263868065967,5,21,333,0,0,0,0,1,140,180,40,0
MYAGDI,DAGNAM,288,0,0,0,0,0,0,1,257,0,0,0,29,2,0,1,286,0,0,2,0,1,54,228,212,22,0,0,0,2,74,0,0,0,0,0,7,289,1089,473,616,3.7681660899653977,76.78571428571429,96,95,0,97,0,1,284,2,2,0,0,0,1,260,9,3,17,177,231,138,156,35,73,4,2,1016,437,579,30,15,15,6,2,4,13,8,5,4,1,3,5,2,3,9,5,4,0,0,0,6,3,3,43,21,22,297,141,156,168,83,85,64,32,32,31,17,14,7,5,2,3,1,2,1,1,0,0,0,0,43,20,23,0,0,0,991,431,560,630,304,326,49,19,30,311,108,203,1,0,1,63.57214934409687,70.53364269141531,58.214285714285715,6,8,274,0,0,0,0,1,86,181,21,1
MYAGDI,DANA,448,0,31,0,4,1,0,0,440,0,0,6,11,26,1,0,465,6,2,8,3,0,117,364,261,167,119,7,0,2,242,0,2,0,0,13,3,484,1873,885,988,3.8698347107438016,89.5748987854251,406,65,0,0,13,0,451,21,3,6,1,2,0,361,103,1,19,332,374,218,230,109,141,5,3,1679,791,888,40,18,22,29,17,12,94,42,52,3,2,1,13,8,5,3,1,2,6,4,2,6,2,4,38,16,22,542,277,265,260,136,124,92,49,43,82,43,39,32,16,16,8,7,1,4,4,0,0,0,0,124,47,77,0,0,0,1686,790,896,1162,585,577,16,8,8,506,196,310,2,1,1,68.92052194543298,74.0506329113924,64.39732142857143,82,150,245,5,0,0,2,0,45,233,206,0
