DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
NAWALPARASI,AGRYOULI,2030,10,406,2,289,5,4,4,352,1171,550,668,4,0,0,5,383,1201,193,967,1,5,83,2658,1508,1665,370,233,67,75,2390,27,328,2344,26,168,9,2750,12923,5995,6928,4.699272727272727,86.53290993071595,2556,177,3,0,9,5,427,1504,162,640,11,1,5,2538,186,13,13,2409,2716,1938,1835,442,853,29,28,12721,5883,6838,65,42,23,18,10,8,28,14,14,4,2,2,27,19,8,19,8,11,9,3,6,32,14,18,414,227,187,3080,1606,1474,2173,1097,1076,1244,598,646,1005,529,476,504,274,230,108,68,40,33,24,9,15,7,8,447,158,289,19,9,10,11927,5476,6451,8740,4432,4308,250,122,128,2936,921,2015,1,1,0,73.27911461390123,80.93498904309715,66.7803441326926,223,1933,171,408,7,0,3,5,662,1685,398,5
NAWALPARASI,AMARAPURI,1152,9,461,1,332,5,3,16,1676,28,149,93,12,1,5,15,593,616,308,441,4,17,82,1865,1247,1234,526,246,80,167,1738,8,259,1371,14,329,32,1979,8762,4039,4723,4.427488630621526,85.51767944103325,1867,76,3,1,16,16,412,1349,76,53,3,69,17,1674,259,21,25,1538,1580,1250,1205,261,345,27,30,8570,3940,4630,52,27,25,30,14,16,30,14,16,0,0,0,24,14,10,25,14,11,13,7,6,18,9,9,294,166,128,1875,1008,867,1364,606,758,911,404,507,888,457,431,516,238,278,125,75,50,39,28,11,3,3,0,449,211,238,4,2,2,8059,3654,4405,6391,3157,3234,199,101,98,1462,394,1068,7,2,5,79.30264300781734,86.39846743295018,73.41657207718501,70,1396,51,429,2,0,10,21,45,1600,318,16
NAWALPARASI,AMRAUT,549,0,23,301,43,0,1,4,228,680,5,4,0,0,0,4,356,309,8,240,1,7,42,871,257,456,2,7,0,2,704,0,48,822,7,10,8,921,4953,2374,2579,5.37785016286645,92.05118262892594,770,147,0,0,0,4,356,324,4,228,0,2,7,914,2,1,4,1051,1171,735,711,311,445,5,15,4870,2327,2543,30,18,12,13,7,6,8,4,4,0,0,0,27,16,11,2,1,1,0,0,0,3,1,2,231,132,99,1316,720,596,775,434,341,395,247,148,167,114,53,69,46,23,20,17,3,3,3,0,3,3,0,41,12,29,3,1,2,4566,2165,2401,2977,1706,1271,64,30,34,1523,428,1095,2,1,1,65.19929916776171,78.79907621247114,52.9362765514369,122,100,299,383,8,0,2,7,815,94,8,4
NAWALPARASI,BADAHARA DUBAULIYA,367,11,18,825,8,1,2,19,7,1219,0,3,1,0,2,19,409,341,5,356,119,21,73,1156,323,416,19,6,0,9,784,7,100,1090,26,1,22,1251,7447,3665,3782,5.952837729816147,96.90639873083025,850,375,1,6,0,19,334,407,20,343,5,120,22,1223,0,0,28,1705,1736,980,845,710,871,15,20,7355,3616,3739,29,12,17,18,14,4,9,5,4,3,2,1,12,4,8,10,7,3,3,1,2,8,4,4,89,37,52,1880,1098,782,766,475,291,349,242,107,116,89,27,124,83,41,40,35,5,4,4,0,6,3,3,30,15,15,2,1,1,6683,3284,3399,3263,2016,1247,145,74,71,3272,1193,2079,3,1,2,48.82537782433039,61.38855054811205,36.68726095910562,90,45,742,345,4,0,4,21,1107,113,12,19
NAWALPARASI,BAIDAULI,871,5,2,22,1,0,0,5,473,395,0,1,0,0,33,4,87,239,6,561,1,12,56,831,59,241,7,3,2,8,268,1,119,800,23,5,19,906,6004,3077,2927,6.626931567328918,105.12470105910488,636,258,0,1,6,5,65,237,4,447,4,137,12,895,2,4,5,1401,1290,839,746,526,479,36,65,5922,3021,2901,42,29,13,13,9,4,8,6,2,4,2,2,9,5,4,3,2,1,1,1,0,2,2,0,133,69,64,1635,959,676,684,462,222,365,263,102,20,17,3,107,71,36,40,25,15,9,8,1,1,0,1,59,39,20,24,18,6,5375,2761,2614,2947,1865,1082,236,115,121,2188,778,1410,4,3,1,54.82790697674419,67.54798985874683,41.392501912777355,233,70,377,189,4,0,18,15,770,78,53,5
NAWALPARASI,BANJARIYA,1031,4,10,129,45,1,0,4,10,1167,2,38,3,0,0,4,315,322,62,458,60,7,32,1173,330,639,51,11,0,0,982,10,108,1096,6,7,19,1224,7419,3676,3743,6.061274509803922,98.20999198503874,1013,205,0,2,0,4,283,381,24,399,27,103,7,1209,14,0,1,1626,1760,1061,1092,556,649,9,19,7336,3628,3708,38,22,16,11,6,5,4,1,3,2,1,1,12,6,6,8,5,3,2,1,1,6,6,0,369,194,175,2052,1134,918,1125,674,451,574,358,216,219,152,67,107,78,29,24,18,6,1,1,0,0,0,0,34,14,20,16,8,8,6733,3321,3412,4481,2615,1866,85,37,48,2162,667,1495,5,2,3,66.5527996435467,78.74134296898525,54.689331770222736,323,230,312,348,3,0,0,8,966,224,30,4
NAWALPARASI,BENIMANIPUR,1621,10,60,4,264,0,2,10,442,978,137,350,29,12,13,10,510,141,81,1221,8,10,141,1801,1282,196,35,3,12,10,1594,2,77,779,11,4,29,1971,9324,4118,5206,4.730593607305936,79.10103726469458,124,624,5,1137,71,10,962,393,511,34,7,54,10,1893,40,0,38,1790,2273,1393,1512,357,711,40,50,9043,3958,5085,96,64,32,48,27,21,53,24,29,7,3,4,35,21,14,12,5,7,8,6,2,22,10,12,381,206,175,2863,1394,1469,1416,647,769,564,249,315,368,197,171,140,75,65,25,17,8,9,9,0,0,0,0,439,214,225,6,2,4,8398,3646,4752,5975,2882,3093,203,94,109,2218,670,1548,2,0,2,71.1478923553227,79.04552934722983,65.08838383838383,240,865,722,109,2,0,22,11,404,1098,459,10
NAWALPARASI,BHARATIPUR,661,0,4,0,3,0,0,2,466,0,2,165,27,8,0,2,513,1,0,154,0,2,180,476,371,13,0,0,0,1,324,1,9,2,0,0,14,670,3189,1407,1782,4.759701492537314,78.95622895622895,23,12,0,316,317,2,530,3,33,101,1,0,2,660,8,0,2,626,833,508,543,115,289,3,1,3053,1328,1725,31,22,9,7,3,4,39,17,22,1,0,1,34,22,12,6,4,2,6,3,3,12,8,4,92,50,42,925,448,477,309,139,170,129,61,68,95,53,42,30,20,10,16,12,4,1,1,0,0,0,0,11,8,3,6,6,0,2828,1223,1605,1470,727,743,158,70,88,1199,426,773,1,0,1,51.98019801980198,59.443990188062145,46.292834890965736,336,313,16,1,2,0,0,2,471,141,56,2
NAWALPARASI,BHUJAHAWA,766,13,10,294,0,1,0,4,14,1064,2,2,1,0,1,4,168,294,4,590,25,7,94,973,121,358,4,11,0,14,543,24,98,929,1,12,21,1088,6470,3294,3176,5.946691176470588,103.71536523929473,726,351,3,3,1,4,154,298,6,588,2,22,18,1085,2,1,0,1484,1427,907,758,544,604,33,65,6350,3232,3118,34,17,17,17,6,11,19,9,10,7,4,3,18,10,8,15,10,5,2,0,2,8,6,2,269,142,127,1702,1012,690,618,400,218,247,167,80,161,121,40,143,107,36,46,33,13,14,14,0,7,2,5,9,2,7,1,1,0,5809,2944,2865,3129,1955,1174,157,84,73,2521,905,1616,2,0,2,53.864692718195904,66.40625,40.97731239092496,220,72,517,267,3,0,1,8,917,116,51,4
NAWALPARASI,BULINGTAR,683,0,19,0,52,0,0,2,544,0,0,31,177,2,0,2,430,5,5,313,1,2,152,597,461,112,1,3,0,20,446,3,36,29,0,3,7,756,3608,1624,1984,4.772486772486772,81.85483870967742,727,2,0,3,22,2,432,21,1,298,1,1,2,729,19,5,3,683,856,539,586,116,238,28,32,3442,1537,1905,41,29,12,31,12,19,31,14,17,8,4,4,22,8,14,3,1,2,3,2,1,27,17,10,134,62,72,1016,530,486,497,245,252,209,120,89,149,83,66,57,35,22,18,15,3,9,9,0,0,0,0,95,46,49,1,1,0,3199,1431,1768,2041,1079,962,81,34,47,1077,318,759,0,0,0,63.801187871209756,75.40181691125088,54.41176470588235,199,358,174,22,0,0,1,2,463,223,68,2
