DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
NUWAKOT,BAGESWORI,1005,4,55,0,3,0,0,6,841,0,31,35,158,2,0,6,1057,8,3,0,0,5,217,851,629,349,61,21,1,8,739,2,33,4,2,11,5,1073,4986,2382,2604,4.646784715750233,91.47465437788019,982,63,0,0,22,6,1044,24,0,0,0,0,5,1037,33,0,3,965,1047,719,749,186,232,60,66,4849,2305,2544,61,40,21,30,16,14,18,7,11,0,0,0,9,4,5,6,1,5,5,4,1,8,5,3,125,70,55,1107,578,529,578,309,269,302,162,140,222,128,94,133,78,55,57,32,25,10,9,1,0,0,0,330,177,153,151,106,45,4638,2203,2435,2938,1611,1327,157,67,90,1539,523,1016,4,2,2,63.34626994394136,73.12755333635951,54.496919917864474,5,914,140,9,0,0,0,5,305,428,334,6
NUWAKOT,BALKUMARI,489,2,0,0,0,0,0,5,463,0,0,0,28,0,1,4,491,0,0,0,0,5,59,431,404,67,11,0,0,8,154,1,4,0,0,1,6,496,2486,1230,1256,5.012096774193548,97.92993630573248,471,19,1,0,0,5,491,0,0,0,0,0,5,491,0,0,5,546,593,307,296,218,261,21,36,2459,1208,1251,5,5,0,4,3,1,6,5,1,0,0,0,5,4,1,3,2,1,0,0,0,4,3,1,14,5,9,697,399,298,198,117,81,104,49,55,42,27,15,49,30,19,3,3,0,3,3,0,0,0,0,15,8,7,8,5,3,2277,1130,1147,1064,620,444,210,98,112,998,411,587,5,1,4,46.728151075977166,54.86725663716814,38.70967741935484,131,353,7,0,0,0,0,5,358,74,59,5
NUWAKOT,BARSUNCHET,118,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,118,0,0,0,0,0,37,75,62,35,0,0,0,2,43,0,0,0,0,0,6,118,426,181,245,3.610169491525424,73.87755102040816,111,7,0,0,0,0,117,0,0,0,0,0,1,111,3,2,2,81,92,58,62,23,30,0,0,421,180,241,2,1,1,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,2,96,52,44,77,32,45,32,21,11,1,1,0,7,2,5,3,3,0,1,1,0,1,1,0,3,2,1,0,0,0,386,164,222,221,115,106,8,2,6,155,46,109,2,1,1,57.2538860103627,70.1219512195122,47.74774774774775,19,89,9,1,0,0,0,0,95,7,16,0
NUWAKOT,BELKOT,1497,17,20,0,6,2,1,6,1325,1,9,113,92,3,0,6,1517,15,1,10,0,6,153,1320,1050,457,95,31,12,26,1107,7,58,10,2,17,76,1549,7660,3723,3937,4.945125887669464,94.56438912877826,1309,187,4,43,0,6,1511,21,3,8,0,0,6,1516,11,0,22,1512,1724,1124,1216,358,436,30,72,7487,3635,3852,81,37,44,40,20,20,13,6,7,1,1,0,16,10,6,8,5,3,4,2,2,10,7,3,234,125,109,1832,970,862,943,485,458,631,342,289,343,197,146,141,92,49,47,37,10,13,10,3,3,2,1,232,153,79,13,8,5,7018,3374,3644,4337,2374,1963,227,121,106,2439,875,1564,15,4,11,61.798233114847534,70.36158861885004,53.869374313940725,7,1037,491,5,2,0,0,7,683,499,361,6
NUWAKOT,BETINI,865,0,0,0,0,0,0,8,849,0,0,0,5,11,0,8,864,0,0,0,0,9,277,586,516,24,1,0,0,2,324,0,3,0,0,0,10,873,4372,2178,2194,5.008018327605956,99.27073837739289,695,67,4,4,95,8,861,3,0,0,0,0,9,855,13,1,4,1025,1043,564,453,420,537,41,53,4255,2109,2146,46,27,19,38,19,19,19,14,5,1,1,0,1,1,0,4,0,4,4,4,0,4,3,1,65,37,28,1099,653,446,191,125,66,64,41,23,23,16,7,22,16,6,6,3,3,0,0,0,1,1,0,176,129,47,21,12,9,3837,1899,1938,1613,995,618,130,82,48,2081,819,1262,13,3,10,42.038050560333595,52.39599789362822,31.88854489164087,112,746,5,0,0,0,1,9,513,69,283,8
NUWAKOT,BHADRUTAR,689,3,5,0,4,0,0,4,567,0,1,64,50,0,19,4,694,1,0,5,0,5,122,573,440,194,1,2,1,2,424,1,7,3,0,0,10,705,3238,1569,1669,4.5929078014184395,94.00838825644098,596,105,0,0,0,4,687,6,4,3,0,0,5,677,4,1,23,608,669,422,454,184,212,2,3,3204,1550,1654,12,7,5,7,3,4,7,5,2,0,0,0,6,3,3,1,1,0,1,0,1,0,0,0,53,27,26,629,327,302,467,249,218,287,156,131,207,118,89,84,39,45,20,14,6,3,3,0,0,0,0,103,58,45,7,5,2,3034,1471,1563,1826,978,848,174,96,78,1034,397,637,0,0,0,60.18457481872116,66.48538409245411,54.25463851567498,119,349,233,0,0,0,0,4,219,229,253,4
NUWAKOT,BHALCHE,729,1,13,0,0,1,0,10,593,0,0,7,141,1,1,11,738,3,3,0,0,10,321,423,226,154,0,3,0,2,294,0,2,2,0,0,10,754,3488,1625,1863,4.625994694960212,87.22490606548577,560,106,0,16,61,11,733,8,2,0,0,0,11,750,4,0,0,709,870,483,519,210,307,16,44,3424,1598,1826,32,16,16,13,4,9,5,4,1,0,0,0,3,0,3,5,2,3,1,0,1,5,1,4,89,42,47,710,338,372,378,197,181,86,48,38,12,9,3,12,7,5,3,1,2,0,0,0,9,6,3,269,157,112,10,6,4,3151,1446,1705,1508,779,729,120,47,73,1523,620,903,0,0,0,47.857822913360835,53.87275242047026,42.75659824046921,26,649,9,6,50,0,0,14,587,104,52,11
NUWAKOT,BIDUR MUNICIPALITY,2956,158,2680,4,351,44,19,58,5630,9,62,60,328,23,101,57,3932,1405,807,15,8,103,406,5687,2561,2951,2737,761,210,946,4898,123,1110,335,19,674,177,6270,26750,12712,14038,4.2663476874003186,90.5542100014247,6001,158,23,5,23,60,3427,2483,24,12,214,5,105,4501,1384,326,59,4610,5022,3584,3545,834,1245,192,232,26423,12534,13889,140,74,66,56,33,23,34,18,16,7,3,4,30,18,12,26,13,13,16,8,8,18,11,7,795,427,368,5606,2933,2673,3322,1741,1581,2309,1215,1094,2336,1259,1077,1677,866,811,673,407,266,184,145,39,13,10,3,1778,878,900,141,69,72,24758,11632,13126,18702,9887,8815,595,246,349,5444,1495,3949,17,4,13,75.53921964617497,84.99828060522697,67.15678805424349,60,4383,54,1634,6,3,6,124,777,4644,790,59
NUWAKOT,BUDHASING,639,0,4,0,19,0,0,15,659,0,0,0,3,0,0,15,658,3,0,0,0,16,81,589,492,190,38,2,3,9,439,1,3,1,0,4,7,677,2945,1344,1601,4.350073855243722,83.94753279200499,597,60,0,5,0,15,656,4,0,0,0,1,16,670,6,0,1,534,684,366,443,102,160,66,81,2907,1321,1586,21,16,5,2,2,0,1,0,1,0,0,0,2,0,2,4,2,2,2,0,2,6,3,3,202,102,100,656,343,313,360,161,199,176,76,100,114,56,58,49,31,18,15,10,5,0,0,0,0,0,0,27,15,12,10,4,6,2737,1227,1510,1594,790,804,130,71,59,968,348,620,45,18,27,58.238947753014244,64.38467807660962,53.24503311258278,20,357,284,0,0,0,0,16,99,358,205,15
NUWAKOT,BUNGTANG,577,4,16,0,1,0,0,1,553,0,5,14,23,3,0,1,582,9,0,1,0,7,98,488,327,242,41,4,1,22,335,0,6,1,1,3,13,599,2117,921,1196,3.5342237061769617,77.0066889632107,479,118,0,1,0,1,538,16,36,1,0,0,8,588,9,0,2,318,428,236,286,79,140,3,2,2062,890,1172,13,11,2,17,9,8,14,6,8,1,0,1,4,2,2,0,0,0,0,0,0,6,3,3,23,11,12,343,182,161,275,128,147,156,65,91,78,43,35,48,14,34,9,5,4,0,0,0,0,0,0,147,68,79,1,0,1,1936,833,1103,1059,501,558,30,14,16,847,318,529,0,0,0,54.7004132231405,60.14405762304922,50.58930190389845,3,564,6,2,8,0,0,16,255,170,173,1
