DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
OKHALDHUNGA,ANDHERI NARAYANSTHAN,593,2,1,0,0,0,0,11,582,0,0,2,8,3,1,11,597,0,0,1,0,9,131,460,394,35,2,0,0,4,339,0,3,0,0,0,16,607,2390,1053,1337,3.937397034596376,78.7584143605086,366,174,6,40,10,11,597,0,0,1,0,0,9,593,3,0,11,392,494,263,335,127,159,2,0,2358,1037,1321,10,4,6,5,2,3,7,3,4,0,0,0,4,4,0,4,2,2,0,0,0,2,1,1,18,10,8,521,257,264,315,143,172,227,115,112,169,91,78,88,41,47,10,8,2,1,1,0,0,0,0,156,89,67,3,2,1,2186,962,1224,1480,741,739,87,33,54,619,188,431,0,0,0,67.7035681610247,77.02702702702703,60.37581699346405,482,115,1,0,0,0,0,9,72,104,420,11
OKHALDHUNGA,BAKSA,540,3,1,1,0,0,0,1,536,0,1,2,1,1,4,1,535,0,1,8,0,2,142,404,399,8,0,0,0,1,95,0,0,0,0,0,0,546,2177,954,1223,3.9871794871794872,78.00490596892887,3,380,2,159,1,1,534,0,0,10,0,0,2,543,2,0,1,398,476,312,340,81,129,5,7,2107,927,1180,24,11,13,10,2,8,14,7,7,1,0,1,11,3,8,6,1,5,0,0,0,4,3,1,52,30,22,498,240,258,319,173,146,173,87,86,143,72,71,27,8,19,12,9,3,0,0,0,0,0,0,0,0,0,2,0,2,1979,860,1119,1184,602,582,105,47,58,690,211,479,0,0,0,59.828196058615454,70,52.01072386058981,466,69,8,1,0,0,0,2,173,32,340,1
OKHALDHUNGA,BALAKHU,830,1,0,1,0,0,0,3,732,0,20,55,4,16,5,3,827,2,0,5,0,1,314,516,467,32,0,0,0,0,339,0,0,0,0,0,5,835,3987,1894,2093,4.774850299401198,90.4921165790731,101,304,0,213,214,3,827,2,1,4,0,0,1,818,3,0,14,843,939,653,628,180,300,10,11,3868,1820,2048,51,37,14,13,9,4,11,6,5,0,0,0,23,12,11,3,1,2,3,1,2,15,8,7,74,38,36,1149,600,549,468,261,207,254,148,106,105,64,41,111,56,55,23,18,5,1,1,0,0,0,0,40,3,37,10,5,5,3583,1686,1897,2145,1144,1001,67,39,28,1370,503,867,1,0,1,59.86603404967904,67.85290628707,52.767527675276746,739,70,22,3,0,0,0,1,536,90,206,3
OKHALDHUNGA,BARNALU,685,3,5,0,0,0,0,1,657,1,4,18,2,11,0,1,659,3,0,30,1,1,179,468,366,40,28,1,0,23,255,0,2,0,0,0,47,694,2846,1283,1563,4.100864553314121,82.08573256557902,278,384,2,29,0,1,655,4,9,25,0,0,1,672,18,1,3,543,643,387,393,116,161,40,89,2745,1236,1509,34,14,20,23,15,8,12,6,6,0,0,0,14,8,6,8,1,7,1,0,1,9,3,6,145,80,65,827,441,386,305,150,155,161,89,72,122,56,66,63,35,28,10,9,1,0,0,0,0,0,0,28,12,16,10,6,4,2565,1144,1421,1641,864,777,68,32,36,856,248,608,0,0,0,63.976608187134495,75.52447552447552,54.679802955665025,266,268,38,0,1,1,119,1,91,206,396,1
OKHALDHUNGA,BARUNESHWOR,794,10,1,1,2,0,0,1,706,0,4,62,35,1,0,1,789,2,2,2,10,4,129,672,650,47,0,1,0,13,333,0,2,0,0,0,8,809,3388,1576,1812,4.187886279357231,86.9757174392936,478,295,1,31,3,1,784,8,3,8,0,2,4,769,22,1,17,581,642,435,482,140,155,6,5,3342,1550,1792,12,5,7,10,5,5,6,6,0,0,0,0,8,6,2,5,2,3,1,1,0,4,1,3,98,39,59,725,371,354,441,228,213,279,157,122,195,99,96,185,90,95,69,54,15,22,17,5,6,3,3,147,84,63,15,6,9,3096,1426,1670,2101,1113,988,108,48,60,887,265,622,0,0,0,67.86175710594316,78.05049088359046,59.16167664670658,209,21,560,1,0,0,10,8,127,158,523,1
OKHALDHUNGA,BETINI,455,0,1,0,0,0,0,3,379,0,2,19,29,27,0,3,456,0,0,0,0,3,66,393,333,1,0,0,0,1,323,0,0,0,0,0,0,459,2106,931,1175,4.588235294117647,79.23404255319149,437,7,0,2,10,3,455,1,0,0,0,0,3,453,6,0,0,421,552,329,394,86,150,6,8,1937,854,1083,54,19,35,42,19,23,23,13,10,23,9,14,3,2,1,1,1,0,1,1,0,22,13,9,13,6,7,552,269,283,313,160,153,168,85,83,60,33,27,71,41,30,14,11,3,4,4,0,2,1,1,37,10,27,11,6,5,1920,831,1089,1227,620,607,55,18,37,637,193,444,1,0,1,63.90625,74.60890493381469,55.73921028466483,337,62,56,0,1,0,0,3,115,56,285,3
OKHALDHUNGA,BHADAURE,562,0,0,0,0,0,0,1,394,0,0,20,148,0,0,1,561,0,0,0,1,1,151,409,388,5,1,0,0,7,266,0,0,2,0,0,3,563,2999,1359,1640,5.326820603907637,82.86585365853658,9,116,0,133,304,1,561,0,0,1,0,0,1,552,5,0,6,611,737,499,514,106,210,6,13,2932,1322,1610,22,14,8,12,9,3,12,3,9,1,1,0,12,7,5,3,1,2,3,2,1,2,0,2,80,39,41,828,456,372,411,209,202,208,107,101,118,66,52,50,24,26,5,5,0,5,3,2,0,0,0,138,40,98,4,4,0,2666,1190,1476,1759,912,847,82,36,46,825,242,583,0,0,0,65.97899474868717,76.63865546218489,57.38482384823848,545,16,1,0,0,0,0,1,341,5,216,1
OKHALDHUNGA,BHUSSINGA,320,1,0,1,0,0,0,0,282,0,2,19,19,0,0,0,303,0,0,19,0,0,34,286,278,28,2,1,0,0,132,0,1,1,0,0,2,322,1582,790,792,4.913043478260869,99.74747474747475,310,6,5,1,0,0,298,2,17,5,0,0,0,317,0,0,5,363,365,275,291,88,74,0,0,1575,787,788,2,1,1,2,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,1,1,1,0,864,432,432,79,44,35,36,17,19,12,10,2,15,3,12,2,2,0,1,1,0,1,0,1,11,8,3,0,0,0,1430,713,717,1021,517,504,7,5,2,402,191,211,0,0,0,71.3986013986014,72.51051893408135,70.29288702928869,24,5,171,0,121,0,1,0,69,29,224,0
OKHALDHUNGA,BIGUTAR,530,3,0,0,0,0,0,0,504,0,0,4,0,25,0,0,487,2,0,43,0,1,137,396,373,41,1,4,0,56,253,0,2,0,2,0,0,533,2157,999,1158,4.046904315196998,86.26943005181347,462,54,2,9,6,0,449,7,47,28,0,1,1,515,14,1,3,463,466,352,308,106,148,5,10,2103,975,1128,26,14,12,9,2,7,4,3,1,0,0,0,3,0,3,5,2,3,0,0,0,7,3,4,15,10,5,528,305,223,252,126,126,167,79,88,96,45,51,42,18,24,6,5,1,2,2,0,1,1,0,103,55,48,1,0,1,1969,896,1073,1188,632,556,35,18,17,746,246,500,0,0,0,60.33519553072626,70.53571428571429,51.817334575955265,44,59,351,0,37,0,41,1,53,45,435,0
OKHALDHUNGA,BILANDU,481,1,0,1,0,0,0,1,356,0,2,83,37,5,0,1,480,1,0,0,2,1,120,341,325,17,1,0,0,2,122,0,0,0,1,0,23,484,2311,1080,1231,4.774793388429752,87.73354995938261,1,259,1,222,0,1,480,1,0,1,0,1,1,467,10,1,6,460,537,348,370,112,167,0,0,2283,1064,1219,10,4,6,4,3,1,3,2,1,0,0,0,4,3,1,1,1,0,4,1,3,2,2,0,54,23,31,593,323,270,252,125,127,87,49,38,99,52,47,41,17,24,3,2,1,5,5,0,2,2,0,196,86,110,1,0,1,2072,957,1115,1298,667,631,6,2,4,768,288,480,0,0,0,62.64478764478765,69.6969696969697,56.59192825112107,108,43,327,0,1,0,4,1,99,34,350,1
OKHALDHUNGA,CHYANAM,617,0,1,0,0,0,0,1,542,0,2,18,50,6,0,1,615,1,0,1,0,2,96,519,445,5,5,1,6,7,404,4,0,2,0,0,4,619,2763,1250,1513,4.463651050080776,82.61731658955716,605,8,1,4,0,1,613,2,2,0,0,0,2,612,6,1,0,553,614,451,447,99,160,3,7,2717,1227,1490,21,11,10,9,5,4,3,0,3,0,0,0,7,2,5,3,3,0,1,1,0,2,1,1,97,46,51,712,374,338,343,187,156,186,90,96,122,69,53,77,29,48,12,10,2,6,6,0,1,1,0,70,33,37,4,2,2,2516,1131,1385,1540,803,737,8,3,5,968,325,643,0,0,0,61.208267090620026,70.99911582670202,53.2129963898917,440,56,119,2,0,0,0,2,302,130,186,1
OKHALDHUNGA,DIYALE,503,3,0,3,0,0,2,3,466,1,1,42,1,0,0,3,508,0,0,3,0,3,104,400,384,11,0,1,0,0,238,0,0,0,0,0,10,514,2236,1027,1209,4.3501945525291825,84.94623655913979,62,162,8,165,114,3,508,0,0,3,0,0,3,507,6,1,0,417,509,327,367,85,135,5,7,2211,1011,1200,4,3,1,0,0,0,5,0,5,1,0,1,8,7,1,2,2,0,2,1,1,3,3,0,55,33,22,622,312,310,261,119,142,144,72,72,111,64,47,37,12,25,11,9,2,2,2,0,3,1,2,237,123,114,7,3,4,2025,922,1103,1466,737,729,17,8,9,542,177,365,0,0,0,72.39506172839506,79.93492407809111,66.09247506799638,487,24,0,0,0,0,0,3,95,20,396,3
OKHALDHUNGA,FEDIGUTH,755,10,0,2,0,0,0,2,597,0,2,136,20,12,0,2,763,0,1,2,0,3,140,627,605,9,0,1,0,3,135,0,1,0,0,0,2,769,3637,1702,1935,4.729518855656697,87.95865633074935,282,382,4,94,5,2,764,0,0,2,0,0,3,757,6,0,6,775,913,607,633,168,279,0,1,3537,1643,1894,49,30,19,22,13,9,9,4,5,1,0,1,9,6,3,6,4,2,1,0,1,3,2,1,85,43,42,1077,585,492,424,214,210,190,101,89,110,60,50,39,25,14,5,4,1,1,1,0,4,2,2,50,17,33,1,0,1,3262,1495,1767,1920,1015,905,77,37,40,1265,443,822,0,0,0,58.859595340282034,67.89297658862876,51.21675155631012,568,54,143,0,0,0,0,4,323,90,354,2
OKHALDHUNGA,FULBARI,769,1,1,1,0,0,0,4,529,1,0,148,72,22,0,4,765,0,0,5,3,3,206,548,541,20,1,1,0,1,181,0,0,0,0,0,22,776,3544,1619,1925,4.56701030927835,84.1038961038961,308,277,0,183,4,4,764,1,2,6,0,0,3,737,27,2,10,635,777,487,522,144,249,4,6,3482,1585,1897,36,21,15,5,3,2,2,2,0,0,0,0,10,4,6,4,1,3,0,0,0,5,3,2,38,23,15,926,495,431,386,199,187,261,131,130,181,100,81,98,43,55,18,13,5,7,6,1,0,0,0,54,36,18,2,1,1,3204,1432,1772,1905,1006,899,56,32,24,1243,394,849,0,0,0,59.456928838951306,70.25139664804469,50.73363431151241,469,164,139,1,0,0,0,3,339,103,330,4
OKHALDHUNGA,GAMNANGTAR,594,0,1,0,1,0,0,3,524,0,3,56,13,0,0,3,584,0,8,2,1,4,137,453,428,16,0,0,0,26,222,0,0,0,0,0,9,599,2943,1392,1551,4.913188647746244,89.74854932301741,391,124,1,57,23,3,589,2,1,2,0,1,4,579,19,0,1,598,621,516,483,71,130,11,8,2888,1360,1528,24,17,7,9,4,5,5,2,3,0,0,0,8,5,3,3,0,3,1,1,0,5,3,2,49,30,19,746,420,326,439,240,199,185,112,73,140,76,64,98,46,52,25,15,10,13,11,2,1,0,1,38,26,12,8,4,4,2660,1258,1402,1702,957,745,65,33,32,893,268,625,0,0,0,63.984962406015036,76.0731319554849,53.13837375178316,122,29,439,0,0,0,5,4,91,299,206,3
OKHALDHUNGA,HARKAPUR,591,8,1,9,0,0,0,5,533,1,2,37,12,25,0,4,607,0,0,1,0,6,116,494,434,23,4,1,0,4,317,0,1,1,0,0,4,614,2578,1178,1400,4.198697068403908,84.14285714285714,319,243,10,32,5,5,601,2,5,0,0,0,6,603,3,0,8,462,553,348,364,114,186,0,3,2503,1130,1373,33,23,10,14,7,7,15,13,2,2,2,0,5,3,2,3,0,3,1,0,1,2,0,2,9,4,5,658,334,324,284,147,137,169,80,89,103,56,47,79,38,41,14,9,5,2,1,1,4,2,2,67,29,38,2,1,1,2314,1043,1271,1350,681,669,62,31,31,902,331,571,0,0,0,58.34053586862575,65.29242569511025,52.63571990558616,152,12,443,0,1,0,0,6,157,55,397,5
OKHALDHUNGA,JANTARKHANI,385,0,0,2,0,0,0,1,320,0,0,32,22,13,0,1,351,0,0,35,0,2,74,313,292,30,6,2,1,51,132,0,2,0,1,0,1,388,1762,755,1007,4.541237113402062,74.97517378351539,275,54,1,32,25,1,348,3,34,1,0,0,2,370,7,0,11,356,478,285,310,71,167,0,1,1723,738,985,24,10,14,2,0,2,3,1,2,0,0,0,3,1,2,2,1,1,1,1,0,4,3,1,59,29,30,637,334,303,173,91,82,91,37,54,47,30,17,27,14,13,1,0,1,1,1,0,1,1,0,84,20,64,0,0,0,1588,678,910,1054,523,531,44,20,24,490,135,355,0,0,0,66.3727959697733,77.13864306784662,58.35164835164836,7,46,84,0,233,0,16,2,151,38,198,1
OKHALDHUNGA,JYAMIRE,536,3,0,0,1,0,0,5,402,0,4,97,37,0,0,5,539,0,0,0,0,6,110,435,391,19,1,0,0,4,311,0,0,0,0,3,0,545,2126,915,1211,3.9009174311926604,75.55739058629231,459,76,0,5,0,5,537,0,1,0,0,0,7,537,5,0,3,351,432,296,320,50,103,5,9,2088,893,1195,20,12,8,7,5,2,1,0,1,4,1,3,3,2,1,1,0,1,1,1,0,1,1,0,62,29,33,472,232,240,286,163,123,155,86,69,149,76,73,83,25,58,20,14,6,0,0,0,0,0,0,128,53,75,12,3,9,1981,845,1136,1343,671,672,19,7,12,619,167,452,0,0,0,67.79404341241798,79.40828402366864,59.154929577464785,432,92,16,0,0,0,0,5,88,104,348,5
OKHALDHUNGA,KALIKADEVI,415,1,0,0,0,0,0,1,337,0,0,74,5,0,0,1,414,1,1,0,0,1,96,318,308,14,0,0,0,10,95,0,0,0,0,0,3,417,2036,919,1117,4.882494004796163,82.27394807520143,117,165,0,108,26,1,415,1,0,0,0,0,1,402,5,3,7,440,534,382,379,58,154,0,1,1979,894,1085,33,15,18,4,1,3,3,2,1,5,1,4,3,1,2,3,2,1,3,1,2,3,2,1,66,32,34,598,301,297,210,116,94,72,45,27,56,32,24,31,12,19,6,6,0,0,0,0,0,0,0,54,35,19,0,0,0,1816,797,1019,1003,532,471,64,35,29,749,230,519,0,0,0,55.231277533039645,66.75031367628608,46.22178606476938,321,82,12,1,0,0,0,1,191,14,211,1
OKHALDHUNGA,KHIGIKATI,349,0,0,0,0,0,0,3,329,0,6,6,7,1,0,3,347,0,0,2,0,3,54,284,233,45,1,3,0,0,201,0,1,0,0,0,14,352,1628,740,888,4.625,83.33333333333334,328,8,6,4,3,3,340,2,6,1,0,0,3,338,3,0,11,355,437,273,325,76,106,6,6,1603,726,877,7,5,2,5,2,3,2,0,2,1,1,0,5,2,3,3,2,1,1,1,0,1,1,0,29,15,14,478,222,256,274,143,131,115,68,47,71,42,29,24,16,8,0,0,0,0,0,0,0,0,0,24,19,5,9,5,4,1495,676,819,1000,519,481,32,16,16,463,141,322,0,0,0,66.88963210702342,76.77514792899409,58.730158730158735,11,3,284,1,48,0,2,3,75,124,150,3
OKHALDHUNGA,KATUNJE,919,0,1,3,0,0,0,3,723,1,10,131,22,35,1,3,918,0,0,3,0,5,194,731,615,52,0,3,0,15,572,0,1,0,1,0,1,926,4229,2002,2227,4.56695464362851,89.89672204759766,679,193,0,45,6,3,906,1,1,3,10,0,5,902,16,1,7,916,1008,667,675,242,323,7,10,4142,1953,2189,44,25,19,12,6,6,9,5,4,0,0,0,9,3,6,3,2,1,2,2,0,8,6,2,52,30,22,1073,555,518,543,292,251,302,154,148,126,78,48,111,59,52,22,12,10,2,2,0,2,1,1,273,166,107,4,2,2,3847,1807,2040,2383,1282,1101,153,76,77,1308,448,860,3,1,2,61.94437223810761,70.94631986718318,53.970588235294116,480,36,402,1,1,0,0,6,186,13,724,3
OKHALDHUNGA,KETUKE,651,1,23,0,0,0,0,0,643,0,3,6,22,1,0,0,606,39,3,27,0,0,220,450,399,43,1,3,0,1,257,0,9,0,0,0,5,675,2884,1313,1571,4.272592592592592,83.57733927434755,347,218,1,108,1,0,580,54,0,28,0,13,0,618,56,1,0,527,626,416,409,106,187,5,30,2823,1283,1540,29,13,16,11,6,5,6,3,3,1,0,1,3,2,1,2,1,1,2,2,0,7,3,4,31,10,21,743,407,336,380,182,198,195,105,90,153,76,77,36,15,21,11,9,2,1,1,0,1,1,0,114,70,44,3,2,1,2618,1171,1447,1636,867,769,49,25,24,933,279,654,0,0,0,62.490450725744836,74.0392826643894,53.14443676572218,389,251,16,8,0,0,11,0,174,244,257,0
