DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
PALPA,ARCHALE,451,0,0,1,0,0,1,0,375,0,0,0,76,2,0,0,441,0,1,11,0,0,129,319,252,26,0,0,0,0,282,0,6,0,0,0,5,453,2545,1150,1395,5.618101545253863,82.43727598566308,62,65,0,174,152,0,448,1,2,1,0,1,0,440,12,0,1,536,681,465,505,67,168,4,8,2470,1102,1368,41,28,13,9,4,5,8,6,2,1,1,0,7,5,2,5,1,4,2,2,0,2,1,1,116,63,53,784,393,391,343,168,175,115,63,52,63,54,9,20,11,9,10,7,3,1,1,0,0,0,0,237,79,158,1,1,0,2249,1007,1242,1537,758,779,122,62,60,584,186,398,6,1,5,68.34148510449089,75.2730883813307,62.72141706924316,189,263,0,1,0,0,0,0,324,116,13,0
PALPA,ARGALI,682,5,56,1,75,0,0,0,814,0,1,1,1,2,0,0,695,39,28,57,0,0,71,746,546,23,454,18,34,0,624,0,20,16,0,13,2,819,3393,1429,1964,4.142857142857143,72.75967413441956,768,49,2,0,0,0,678,71,4,33,33,0,0,704,102,0,13,554,616,486,495,64,116,4,5,3315,1388,1927,26,14,12,16,10,6,13,5,8,0,0,0,12,6,6,5,4,1,3,0,3,3,2,1,33,18,15,763,365,398,581,272,309,370,152,218,358,156,202,141,67,74,35,23,12,12,9,3,0,0,0,220,87,133,2,1,1,3082,1276,1806,2479,1131,1348,111,49,62,489,96,393,3,0,3,80.43478260869566,88.63636363636364,74.64008859357698,75,672,3,67,1,0,1,0,132,567,120,0
PALPA,BAHADURPUR,297,0,1,0,0,0,0,2,296,1,0,1,0,0,0,2,259,28,0,11,0,2,24,273,263,14,5,1,0,3,211,0,0,0,0,0,3,300,1690,761,929,5.633333333333334,81.91603875134554,25,94,2,140,37,2,253,31,0,14,0,0,2,285,13,1,1,340,384,280,260,57,117,3,7,1649,732,917,12,9,3,6,2,4,10,7,3,0,0,0,6,5,1,3,3,0,2,1,1,2,2,0,42,18,24,496,254,242,211,102,109,74,48,26,61,30,31,18,15,3,6,6,0,0,0,0,0,0,0,18,5,13,7,3,4,1497,668,829,926,476,450,98,52,46,472,140,332,1,0,1,61.857047428189716,71.25748502994011,54.28226779252111,146,146,4,1,0,0,0,3,62,168,68,2
PALPA,BALDENGADHI,422,2,0,1,0,0,0,0,203,0,0,110,22,90,0,0,363,2,0,59,1,0,90,330,278,12,0,1,0,0,218,0,3,9,0,0,5,425,2043,961,1082,4.807058823529411,88.8170055452865,0,223,0,107,95,0,372,3,34,15,0,1,0,423,1,0,1,405,474,312,327,89,141,4,6,1995,932,1063,24,17,7,4,3,1,3,2,1,0,0,0,5,3,2,3,2,1,0,0,0,9,2,7,97,48,49,751,422,329,237,119,118,111,51,60,79,37,42,23,11,12,5,3,2,0,0,0,0,0,0,130,37,93,8,3,5,1804,827,977,1365,698,667,24,9,15,415,120,295,0,0,0,75.66518847006651,84.40145102781138,68.27021494370523,185,240,0,0,0,0,0,0,244,63,118,0
PALPA,BANDIPOKHARA,616,0,3,0,0,0,0,3,323,0,1,11,250,29,5,3,598,5,5,10,0,4,58,563,463,308,23,2,14,12,478,2,23,2,0,4,1,622,2463,1043,1420,3.959807073954984,73.45070422535211,528,90,1,0,0,3,585,22,0,9,0,2,4,609,10,0,3,381,529,292,376,78,126,11,27,2411,1018,1393,19,10,9,8,1,7,9,5,4,1,1,0,7,3,4,3,1,2,3,2,1,2,2,0,64,26,38,601,277,324,374,173,201,245,109,136,157,80,77,53,30,23,14,9,5,6,4,2,0,0,0,187,99,88,0,0,0,2273,937,1336,1662,790,872,78,34,44,532,113,419,1,0,1,73.11922569291684,84.31163287086446,65.26946107784431,51,560,0,6,0,0,0,5,110,463,46,3
PALPA,BARANGDI,554,0,7,0,4,0,0,1,541,0,0,6,10,8,0,1,538,17,5,4,0,2,30,530,441,366,132,16,8,1,507,0,14,4,0,4,6,566,2351,1049,1302,4.1537102473498235,80.56835637480799,527,34,1,2,1,1,539,21,1,2,1,0,2,551,9,0,6,420,432,380,339,38,91,2,2,2271,998,1273,39,26,13,14,11,3,9,3,6,0,0,0,13,8,5,4,2,2,1,1,0,0,0,0,69,48,21,504,253,251,406,178,228,299,131,168,238,116,122,94,62,32,29,20,9,5,3,2,0,0,0,107,65,42,1,1,0,2184,963,1221,1708,848,860,71,36,35,405,79,326,0,0,0,78.2051282051282,88.05815160955348,70.43407043407043,31,522,0,10,0,0,0,3,37,436,92,1
PALPA,BHAIRABSTHAN,551,0,19,0,2,0,0,0,495,0,0,3,44,18,12,0,551,10,8,2,1,0,39,532,497,261,68,6,11,2,478,2,9,0,2,5,1,572,2211,956,1255,3.8653846153846154,76.17529880478088,525,47,0,0,0,0,550,19,1,1,0,1,0,539,23,1,9,361,476,322,330,36,141,3,5,2148,924,1224,24,13,11,5,4,1,10,2,8,0,0,0,11,5,6,7,4,3,5,3,2,1,1,0,36,19,17,602,295,307,317,134,183,202,71,131,159,83,76,50,26,24,16,13,3,12,9,3,0,0,0,204,85,119,3,2,1,2051,868,1183,1599,737,862,7,2,5,445,129,316,0,0,0,77.96196977084348,84.90783410138249,72.86559594251902,65,492,0,14,0,0,0,1,19,477,76,0
PALPA,BHUWANPOKHARI,1223,7,2,1,0,0,0,3,687,3,0,261,146,95,41,3,1167,5,1,60,0,3,168,1026,911,199,17,3,6,1,796,0,9,0,2,0,42,1236,5408,2279,3129,4.375404530744337,72.83477149248961,686,503,0,38,6,3,1155,13,1,64,0,0,3,1224,10,0,2,1002,1340,862,958,128,347,12,35,5246,2202,3044,63,34,29,23,6,17,31,18,13,2,1,1,23,10,13,9,5,4,7,1,6,4,2,2,116,54,62,1825,858,967,750,347,403,372,160,212,272,135,137,66,40,26,21,14,7,9,7,2,0,0,0,249,98,151,4,1,3,4824,1991,2833,3571,1661,1910,115,44,71,1135,286,849,3,0,3,74.02570480928689,83.42541436464089,67.41969643487468,390,829,7,5,1,0,0,4,620,510,103,3
PALPA,BIRKOT,712,0,31,0,19,0,0,0,334,0,1,48,378,0,1,0,742,8,6,4,0,2,121,640,389,245,43,2,6,1,595,1,25,6,1,9,1,762,3640,1538,2102,4.776902887139108,73.16841103710752,651,83,0,2,26,0,749,8,0,3,0,0,2,738,10,0,14,698,952,582,629,98,289,18,34,3499,1451,2048,44,27,17,23,16,7,36,24,12,5,1,4,21,11,10,6,4,2,3,2,1,3,2,1,29,20,9,1090,529,561,613,270,343,323,137,186,156,77,79,64,39,25,8,6,2,1,1,0,0,0,0,159,61,98,0,0,0,3259,1335,1924,2430,1130,1300,47,24,23,780,180,600,2,1,1,74.56274930960417,84.6441947565543,67.56756756756756,150,601,0,9,0,0,0,2,261,289,212,0
PALPA,BODHAPOKHARATHOK,613,2,8,2,39,0,0,0,585,0,0,2,75,2,0,0,629,3,15,16,0,1,16,609,537,281,89,6,9,1,562,3,12,0,0,8,39,664,2568,1073,1495,3.8674698795180724,71.77257525083613,524,129,0,11,0,0,550,95,1,16,0,1,1,640,11,1,12,412,508,338,363,71,137,3,8,2518,1045,1473,18,14,4,8,5,3,8,4,4,0,0,0,5,2,3,4,1,3,6,2,4,1,0,1,37,12,25,704,338,366,422,189,233,288,133,155,168,87,81,58,36,22,16,10,6,3,2,1,1,1,0,218,68,150,3,1,2,2356,960,1396,1917,877,1040,15,7,8,423,76,347,1,0,1,81.36672325976231,91.35416666666667,74.49856733524355,65,586,0,11,0,0,0,2,79,529,56,0
PALPA,BOUDHAGUMBA,519,3,7,0,1,0,0,1,526,0,2,1,1,0,0,1,434,15,5,77,0,0,25,503,463,199,58,1,11,0,482,2,11,1,0,7,3,531,2155,858,1297,4.058380414312618,66.1526599845798,391,119,0,20,0,1,365,131,0,35,0,0,0,499,15,2,15,312,411,279,303,32,107,1,1,2099,828,1271,28,14,14,4,3,1,5,3,2,0,0,0,2,1,1,6,4,2,6,1,5,5,4,1,55,28,27,458,202,256,352,142,210,275,115,160,174,76,98,57,25,32,18,13,5,3,3,0,0,0,0,222,104,118,1,0,1,1968,765,1203,1609,706,903,31,9,22,327,50,277,1,0,1,81.75813008130082,92.2875816993464,75.06234413965088,133,390,0,8,0,0,0,0,18,394,118,1
PALPA,CHAPPANI,507,2,2,1,3,0,0,2,326,0,8,139,27,15,0,2,485,10,9,9,2,2,28,482,377,316,117,13,1,3,424,1,19,2,0,2,7,517,2075,852,1223,4.013539651837524,69.664758789861,494,18,0,0,3,2,455,49,0,11,0,0,2,498,6,1,12,337,403,290,272,34,118,13,13,2048,838,1210,3,1,2,9,4,5,2,2,0,0,0,0,5,4,1,1,0,1,3,0,3,4,3,1,58,32,26,522,263,259,362,150,212,242,105,137,171,78,93,58,25,33,26,14,12,3,2,1,0,0,0,140,58,82,2,0,2,1911,774,1137,1558,710,848,22,7,15,331,57,274,0,0,0,81.52799581371009,91.7312661498708,74.58223394898856,12,491,1,8,0,0,0,5,58,372,85,2
PALPA,CHHAHARA,1131,5,41,0,2,0,1,0,975,0,113,57,28,7,0,0,1139,23,14,4,0,0,112,1029,733,357,35,18,5,30,902,4,36,1,0,3,39,1180,4798,2051,2747,4.066101694915254,74.66326902074991,907,174,2,61,36,0,1089,87,1,3,0,0,0,1106,55,4,15,866,1060,768,782,89,253,9,25,4596,1942,2654,95,56,39,24,15,9,33,15,18,4,2,2,10,2,8,21,8,13,5,3,2,10,8,2,85,42,43,1486,738,748,699,301,398,333,143,190,330,162,168,119,72,47,44,26,18,9,8,1,0,0,0,177,75,102,3,1,2,4355,1819,2536,3247,1551,1696,107,41,66,992,223,769,9,4,5,74.55797933409873,85.26663001649258,66.8769716088328,277,859,0,44,0,0,0,0,206,643,331,0
PALPA,CHIDIPANI,947,1,28,0,24,1,1,0,701,1,82,51,44,123,0,0,959,22,4,17,0,0,92,901,815,478,18,10,7,9,823,1,18,13,0,1,9,1002,4171,1799,2372,4.1626746506986025,75.84317032040472,869,129,2,1,1,0,879,101,0,21,1,0,0,968,14,3,17,745,888,625,622,114,260,6,6,4122,1771,2351,9,8,1,4,1,3,12,7,5,0,0,0,6,3,3,8,3,5,4,1,3,6,5,1,69,41,28,1253,591,662,722,321,401,312,149,163,251,140,111,90,55,35,30,19,11,5,4,1,1,0,1,238,100,138,15,8,7,3798,1605,2193,2969,1417,1552,18,11,7,810,176,634,1,1,0,78.1727224855187,88.2866043613707,70.77063383492931,96,880,3,22,0,0,0,1,223,463,316,0
PALPA,CHIRTUNGDHARA,816,0,62,1,117,2,2,0,904,12,5,5,55,19,0,0,897,45,46,12,0,0,83,917,685,549,238,42,9,11,830,7,69,28,0,42,0,1000,4266,1815,2451,4.266,74.0514075887393,919,78,1,0,2,0,793,152,0,12,43,0,0,963,18,0,19,725,863,597,584,123,273,5,6,4152,1759,2393,46,25,21,11,4,7,15,6,9,0,0,0,9,3,6,12,6,6,8,5,3,13,7,6,77,44,33,1127,606,521,697,312,385,521,219,302,340,148,192,127,55,72,40,23,17,6,3,3,0,0,0,314,125,189,2,2,0,3947,1660,2287,3243,1533,1710,18,6,12,686,121,565,0,0,0,82.16366860907019,92.34939759036145,74.77044162658505,45,892,0,62,1,0,0,0,43,856,101,0
