DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
PANCHTHAR,AANGNA,654,4,0,12,1,0,0,2,147,1,0,52,470,1,0,2,648,0,0,23,0,2,121,552,508,35,0,0,0,0,332,0,5,0,0,0,0,673,3244,1521,1723,4.820208023774145,88.27626233313988,13,191,23,368,77,1,634,2,1,34,0,0,2,664,7,0,2,685,755,562,575,115,177,8,3,3207,1500,1707,12,8,4,6,4,2,2,1,1,0,0,0,8,4,4,3,1,2,3,2,1,3,1,2,43,23,20,897,472,425,562,248,314,248,127,121,201,114,87,26,15,11,17,13,4,2,2,0,0,0,0,101,57,44,14,8,6,2933,1354,1579,2079,1066,1013,32,13,19,822,275,547,0,0,0,70.88305489260142,78.72968980797637,64.15452818239392,579,84,2,5,0,0,0,3,270,84,317,2
PANCHTHAR,AANGSARANG,1121,20,6,5,1,0,1,5,786,2,6,141,214,1,4,5,1055,9,1,83,4,7,175,971,779,125,6,3,0,5,668,0,12,0,0,0,13,1159,5701,2635,3066,4.918895599654875,85.94259621656882,474,486,28,121,45,5,1044,12,10,83,2,1,7,1112,31,3,13,1081,1266,872,973,197,285,12,8,5509,2530,2979,82,51,31,26,12,14,33,20,13,2,2,0,15,6,9,6,2,4,4,2,2,24,10,14,166,89,77,1395,684,711,903,411,492,483,251,232,512,290,222,120,65,55,30,26,4,4,4,0,0,0,0,103,47,56,10,8,2,5218,2383,2835,3568,1797,1771,247,123,124,1403,463,940,0,0,0,68.37868915293215,75.40914813260596,62.46913580246913,821,317,8,1,4,0,0,8,70,164,920,5
PANCHTHAR,AARUBOTE,763,9,4,6,4,0,2,2,146,0,11,184,428,19,1,1,722,11,0,45,9,3,188,584,451,89,4,5,0,2,374,1,8,1,0,0,18,790,3672,1688,1984,4.648101265822785,85.08064516129032,35,393,12,299,50,1,687,11,11,78,0,0,3,739,38,0,13,755,859,625,695,125,155,5,9,3560,1634,1926,43,23,20,23,7,16,19,10,9,1,0,1,8,5,3,3,3,0,3,1,2,12,5,7,89,50,39,1011,519,492,546,235,311,278,148,130,207,95,112,60,32,28,16,11,5,2,2,0,0,0,0,87,46,41,14,5,9,3316,1505,1811,2198,1086,1112,209,100,109,905,319,586,4,0,4,66.28468033775633,72.15946843853821,61.40254003313087,445,338,2,0,1,0,1,3,117,96,575,2
PANCHTHAR,AMARPUR,1255,15,45,10,5,0,2,2,861,4,20,131,315,1,0,2,1108,5,2,214,3,2,223,1110,1012,95,33,12,0,65,690,3,10,4,0,0,1,1334,6343,2926,3417,4.754872563718141,85.63067017851917,13,497,8,749,65,2,1083,13,19,215,1,1,2,1119,168,9,38,1269,1443,944,1028,297,383,28,32,6156,2827,3329,79,44,35,20,10,10,26,11,15,3,3,0,19,10,9,9,5,4,8,2,6,23,14,9,98,45,53,1854,969,885,996,455,541,540,275,265,404,172,232,104,57,47,37,28,9,8,8,0,0,0,0,64,41,23,9,5,4,5697,2595,3102,4025,2017,2008,96,52,44,1576,526,1050,0,0,0,70.65121994031946,77.72639691714836,64.73243068987749,944,357,19,7,5,0,0,2,166,588,578,2
PANCHTHAR,BHARAPA,1413,9,5,3,6,0,0,6,1260,0,10,10,131,20,5,6,1348,9,2,69,4,10,269,1173,897,78,6,1,0,10,978,1,7,2,1,0,0,1442,6893,3183,3710,4.780166435506241,85.79514824797843,163,700,15,500,58,6,1275,13,50,93,1,0,10,1334,100,1,7,1349,1582,1022,1130,323,444,4,8,6674,3061,3613,88,54,34,44,21,23,24,12,12,2,1,1,24,13,11,9,8,1,3,2,1,25,11,14,119,55,64,1780,923,857,1050,510,540,623,301,322,529,242,287,115,72,43,38,28,10,10,7,3,0,0,0,336,197,139,3,1,2,6233,2852,3381,4536,2307,2229,135,57,78,1562,488,1074,0,0,0,72.77394513075566,80.890603085554,65.92724046140195,1050,371,4,4,1,0,2,10,256,248,932,6
PANCHTHAR,CHILINGDIN,762,8,11,0,18,0,0,0,705,1,25,48,19,0,1,0,708,23,7,51,9,1,172,627,461,168,23,9,2,9,504,2,8,1,0,0,0,799,3650,1706,1944,4.5682102628285355,87.75720164609054,684,104,9,2,0,0,682,31,40,45,0,0,1,762,35,1,1,759,790,595,620,159,161,5,9,3591,1677,1914,33,16,17,8,5,3,1,0,1,1,0,1,8,3,5,5,3,2,0,0,0,3,2,1,79,40,39,817,425,392,586,301,285,348,173,175,291,129,162,73,37,36,20,14,6,1,1,0,0,0,0,160,91,69,0,0,0,3337,1551,1786,2285,1164,1121,161,84,77,891,303,588,0,0,0,68.4746778543602,75.04835589941973,62.76595744680851,361,390,22,14,6,0,1,5,42,171,586,0
PANCHTHAR,CHOKMAGU,795,3,0,2,6,0,0,1,503,0,26,123,149,5,0,1,707,2,0,97,0,1,102,601,498,61,1,3,1,1,480,0,5,0,0,0,104,807,3825,1757,2068,4.739776951672862,84.9613152804642,162,485,0,124,35,1,706,4,6,90,0,0,1,781,23,1,2,773,849,639,672,134,176,0,1,3732,1700,2032,26,19,7,19,10,9,19,12,7,5,3,2,7,3,4,8,4,4,4,4,0,5,2,3,95,45,50,996,555,441,622,309,313,327,137,190,270,124,146,75,30,45,17,13,4,5,3,2,0,0,0,151,75,76,0,0,0,3470,1588,1882,2537,1282,1255,28,16,12,905,290,615,0,0,0,73.11239193083573,80.73047858942066,66.68437832093518,531,260,4,7,0,0,4,1,39,74,693,1
PANCHTHAR,CHYANGTHAPU,482,4,2,4,0,0,0,2,433,1,1,9,40,7,1,2,440,4,2,43,2,3,123,370,291,62,22,6,2,6,256,0,1,1,0,0,1,494,2272,1073,1199,4.59919028340081,89.49124270225187,180,210,7,94,1,2,345,10,64,69,0,3,3,406,70,1,17,439,516,346,363,90,151,3,2,2185,1030,1155,40,23,17,19,5,14,7,3,4,1,0,1,7,3,4,4,2,2,1,1,0,8,6,2,20,12,8,708,364,344,369,189,180,199,96,103,133,72,61,46,26,20,8,8,0,3,3,0,0,0,0,71,36,35,3,2,1,2065,975,1090,1534,793,741,100,48,52,431,134,297,0,0,0,74.28571428571429,81.33333333333333,67.98165137614679,93,221,5,0,11,0,161,3,50,47,395,2
PANCHTHAR,DURDIMBA,679,1,1,2,1,0,0,1,567,2,1,80,27,6,1,1,434,4,0,244,2,1,143,542,448,33,2,2,1,7,445,1,2,0,0,0,0,685,2990,1410,1580,4.364963503649635,89.24050632911393,38,307,2,281,56,1,507,7,11,157,0,2,1,657,22,0,6,658,655,528,474,129,179,1,2,2884,1355,1529,34,20,14,14,9,5,14,7,7,2,1,1,16,6,10,4,0,4,7,2,5,15,10,5,68,37,31,892,483,409,452,211,241,296,167,129,75,33,42,30,13,17,15,12,3,0,0,0,0,0,0,66,45,21,3,3,0,2727,1284,1443,1881,995,886,73,34,39,772,254,518,1,1,0,68.97689768976898,77.49221183800623,61.3998613998614,456,216,4,2,0,0,4,3,113,86,485,1
PANCHTHAR,EKTEEN,1166,10,1,1,2,0,0,10,1115,1,1,22,38,3,0,10,1167,0,1,11,0,11,143,1046,935,51,3,1,0,6,650,2,3,1,1,0,1,1190,5271,2461,2810,4.429411764705883,87.58007117437722,22,690,7,406,55,10,1108,3,36,31,0,1,11,1114,53,5,18,1034,1197,783,873,247,319,4,5,5144,2390,2754,65,35,30,14,6,8,17,13,4,3,3,0,9,6,3,6,2,4,4,3,1,9,3,6,21,16,5,1452,755,697,882,421,461,496,255,241,352,155,197,130,68,62,37,30,7,8,8,0,0,0,0,171,103,68,1,0,1,4814,2230,2584,3516,1791,1725,100,38,62,1198,401,797,0,0,0,73.03697548815954,80.31390134529148,66.75696594427245,672,494,11,0,0,0,2,11,61,209,910,10
