DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
PARBAT,ARTHAR DADAKHARKA,695,6,0,0,2,0,0,0,654,0,8,28,10,3,0,0,699,0,0,3,0,1,103,592,481,41,38,0,0,2,446,0,0,2,0,1,8,703,2618,1121,1497,3.724039829302987,74.88309953239813,237,359,1,106,0,0,697,0,0,3,0,1,2,681,2,0,20,461,498,364,370,83,117,14,11,2561,1090,1471,27,10,17,7,6,1,6,3,3,0,0,0,5,3,2,4,4,0,1,0,1,7,5,2,32,15,17,736,368,368,391,188,203,201,105,96,225,100,125,38,13,25,8,5,3,3,3,0,0,0,0,69,45,24,3,2,1,2440,1035,1405,1676,832,844,53,18,35,706,184,522,5,1,4,68.68852459016394,80.38647342995169,60.0711743772242,142,188,371,0,0,0,0,2,63,521,119,0
PARBAT,BACHCHHA,438,3,3,0,0,0,0,0,442,0,0,0,2,0,0,0,436,0,0,8,0,0,61,379,320,143,16,3,0,8,333,0,0,2,0,3,4,444,1854,816,1038,4.175675675675675,78.61271676300578,308,135,0,1,0,0,434,2,0,8,0,0,0,418,12,0,14,312,363,274,264,32,95,6,4,1813,793,1020,11,6,5,5,3,2,7,4,3,1,0,1,5,3,2,7,5,2,1,1,0,4,1,3,26,16,10,508,252,256,276,133,143,188,91,97,182,93,89,44,22,22,21,17,4,6,6,0,0,0,0,75,21,54,2,2,0,1694,746,948,1311,642,669,6,1,5,377,103,274,0,0,0,77.39079102715466,86.05898123324397,70.56962025316456,112,296,36,0,0,0,0,0,89,214,141,0
PARBAT,BAHAKI THANTI,376,0,4,1,1,0,0,1,374,4,1,0,1,2,0,1,374,2,3,3,0,1,40,341,276,112,101,8,2,33,314,0,0,2,0,0,2,383,1718,719,999,4.485639686684073,71.97197197197197,357,22,1,1,1,1,342,35,0,5,0,0,1,359,13,0,11,260,315,237,245,17,63,6,7,1693,704,989,1,0,1,3,2,1,3,2,1,1,1,0,10,4,6,7,6,1,0,0,0,0,0,0,34,14,20,332,159,173,224,101,123,151,64,87,246,116,130,66,25,41,15,9,6,9,9,0,0,0,0,36,21,15,7,5,2,1535,644,891,1099,515,584,18,7,11,418,122,296,0,0,0,71.59609120521174,79.96894409937887,65.54433221099887,97,279,2,4,0,0,0,1,37,199,146,1
PARBAT,BAJUNG,1003,1,68,0,0,0,0,4,865,0,1,10,179,17,0,4,964,16,78,9,2,7,122,943,575,598,260,14,7,11,797,5,7,2,3,13,11,1076,4228,1806,2422,3.929368029739777,74.56647398843931,1014,51,2,0,5,4,958,96,5,7,0,2,8,993,52,1,30,728,865,628,626,85,222,15,17,4112,1748,2364,35,12,23,8,5,3,29,13,16,1,1,0,22,14,8,13,8,5,2,2,0,6,3,3,108,59,49,982,454,528,677,274,403,503,273,230,310,149,161,106,54,52,28,23,5,11,9,2,0,0,0,56,37,19,8,5,3,3782,1586,2196,2708,1296,1412,82,36,46,991,254,737,1,0,1,71.602326811211,81.71500630517023,64.29872495446266,28,636,332,74,0,0,0,6,56,631,385,4
PARBAT,BALAKOT,267,4,0,0,0,0,0,1,259,0,0,5,2,0,5,1,270,0,0,1,0,1,40,223,171,1,0,0,0,0,202,0,1,0,0,0,9,272,1313,611,702,4.827205882352941,87.03703703703704,2,251,0,18,0,1,269,0,0,2,0,0,1,263,2,0,7,256,259,203,190,49,65,4,4,1279,592,687,16,8,8,9,6,3,3,2,1,0,0,0,2,2,0,4,1,3,0,0,0,0,0,0,22,13,9,356,190,166,250,130,120,116,63,53,111,55,56,12,8,4,1,1,0,1,1,0,0,0,0,6,4,2,8,6,2,1197,552,645,856,456,400,43,14,29,296,82,214,2,0,2,71.51211361737677,82.6086956521739,62.01550387596899,114,103,54,0,0,0,0,1,32,155,84,1
PARBAT,BANOU,347,0,1,0,0,0,0,1,168,0,1,18,161,0,0,1,348,0,0,0,0,1,31,292,190,25,97,2,0,0,210,0,0,1,0,1,26,349,1458,656,802,4.177650429799427,81.79551122194513,301,35,1,6,5,1,348,0,0,0,0,0,1,336,1,3,9,265,329,200,216,64,108,1,5,1396,622,774,16,9,7,15,6,9,13,6,7,1,1,0,11,8,3,2,2,0,3,2,1,1,0,1,35,15,20,450,237,213,240,100,140,131,70,61,64,34,30,27,16,11,9,7,2,0,0,0,0,0,0,26,2,24,2,1,1,1292,562,730,974,475,499,23,13,10,292,74,218,3,0,3,75.38699690402477,84.51957295373666,68.35616438356165,147,87,113,0,0,0,0,2,5,299,44,1
PARBAT,BASKHARKA,250,0,3,0,0,0,0,1,30,0,0,0,223,0,0,1,251,0,0,2,0,1,34,219,188,127,74,4,3,7,173,0,0,0,0,0,1,254,916,416,500,3.606299212598425,83.2,233,20,0,0,0,1,248,1,3,1,0,0,1,245,1,0,8,154,181,121,124,30,53,3,4,870,393,477,16,7,9,4,2,2,8,5,3,2,1,1,9,4,5,3,1,2,2,2,0,2,1,1,20,7,13,220,126,94,139,70,69,70,31,39,81,42,39,11,7,4,3,2,1,2,2,0,0,0,0,3,1,2,1,0,1,820,360,460,533,280,253,14,9,5,270,71,199,3,0,3,65,77.77777777777779,55.00000000000001,2,22,229,0,0,0,0,1,42,182,29,1
PARBAT,BEULIBAS,552,1,8,0,5,0,0,0,370,1,17,87,54,18,19,0,535,6,0,7,18,0,61,499,391,108,54,6,0,23,450,0,3,3,0,1,6,566,2757,1186,1571,4.871024734982332,75.493316359007,412,117,1,31,5,0,529,8,0,29,0,0,0,548,12,1,5,489,564,394,404,91,156,4,4,2618,1114,1504,47,26,21,28,10,18,12,6,6,5,1,4,18,16,2,18,9,9,3,2,1,8,2,6,54,33,21,655,343,312,399,181,218,246,96,150,289,122,167,130,52,78,16,9,7,10,8,2,0,0,0,110,47,63,2,2,0,2473,1042,1431,1835,848,987,122,42,80,516,152,364,0,0,0,74.2013748483623,81.38195777351248,68.9727463312369,133,425,4,3,0,0,1,0,55,394,117,0
PARBAT,BHANGARA,439,1,1,0,0,0,0,0,311,0,3,25,75,8,19,0,440,0,0,0,1,0,49,392,341,21,1,1,0,0,322,0,0,0,0,0,0,441,1863,812,1051,4.224489795918367,77.25975261655566,48,200,2,188,3,0,439,1,0,0,0,1,0,419,3,0,19,342,392,289,266,39,96,14,30,1789,772,1017,32,18,14,13,6,7,11,5,6,2,1,1,7,5,2,6,3,3,3,2,1,0,0,0,34,17,17,451,241,210,282,133,149,166,72,94,154,82,72,42,20,22,15,11,4,3,3,0,0,0,0,27,20,7,5,2,3,1697,736,961,1135,574,561,68,37,31,494,125,369,0,0,0,66.88273423688862,77.98913043478261,58.376690946930275,141,200,100,0,0,0,0,0,60,281,100,0
PARBAT,BHOKSING,194,0,0,0,0,0,0,0,189,0,0,0,2,3,0,0,194,0,0,0,0,0,19,174,136,30,0,0,0,6,157,0,0,0,0,0,1,194,891,407,484,4.592783505154639,84.0909090909091,171,23,0,0,0,0,193,0,1,0,0,0,0,185,3,0,6,152,193,120,126,32,67,0,0,870,395,475,11,7,4,3,2,1,1,0,1,1,1,0,0,0,0,3,1,2,1,0,1,1,1,0,19,9,10,252,122,130,195,104,91,72,35,37,69,40,29,15,10,5,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,800,363,437,613,320,293,3,1,2,183,41,142,1,1,0,76.625,88.1542699724518,67.04805491990847,91,41,62,0,0,0,0,0,23,144,27,0
