DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
PARSA,ALAU,969,4,36,174,2,1,1,26,313,776,0,0,85,1,12,26,59,409,38,679,1,27,156,1030,292,445,86,31,5,7,722,8,183,943,3,6,27,1213,8566,4433,4133,7.061830173124485,107.25864989112026,1043,130,1,6,7,26,43,457,4,680,1,0,28,1209,3,0,1,2065,2040,1110,877,943,1159,12,4,8503,4389,4114,15,12,3,10,8,2,11,5,6,1,1,0,11,8,3,10,7,3,0,0,0,5,3,2,209,112,97,1940,1184,756,771,505,266,432,320,112,138,94,44,200,150,50,94,78,16,17,12,5,1,1,0,60,40,20,3,3,0,7551,3944,3607,3822,2474,1348,114,55,59,3609,1412,2197,6,3,3,50.61581247516885,62.72819472616633,37.37177710008317,519,21,257,373,7,0,3,33,951,169,67,26
PARSA,AMARPATTI,493,4,0,198,0,0,0,10,9,684,0,1,0,0,1,10,12,253,2,424,4,10,16,668,341,204,100,11,0,9,201,4,52,648,0,8,21,705,4971,2580,2391,7.051063829787234,107.90464240903388,601,85,2,7,0,10,12,252,12,417,0,1,11,701,2,0,2,1101,1070,567,478,442,463,92,129,4945,2562,2383,7,4,3,4,1,3,1,1,0,0,0,0,0,0,0,6,5,1,0,0,0,8,7,1,1,1,0,1112,646,466,518,346,172,195,149,46,222,166,56,80,63,17,38,32,6,10,8,2,3,2,1,25,18,7,5,4,1,4364,2268,2096,2196,1430,766,92,49,43,2075,789,1286,1,0,1,50.32080659945004,63.051146384479715,36.54580152671756,193,1,301,194,6,0,0,10,545,91,60,9
PARSA,AURAHA,500,8,3,294,1,0,0,3,31,774,0,1,0,0,0,3,5,112,6,677,1,8,97,691,147,229,20,3,0,2,471,0,96,634,8,0,21,809,5392,2778,2614,6.665018541409147,106.27390971690896,407,397,0,2,0,3,22,119,2,655,1,1,9,805,0,0,4,1133,1099,580,482,420,441,133,176,5362,2763,2599,11,7,4,3,3,0,6,0,6,1,1,0,4,2,2,4,2,2,0,0,0,1,0,1,127,73,54,1209,732,477,371,262,109,262,216,46,80,53,27,74,60,14,20,18,2,1,1,0,8,6,2,2,2,0,15,6,9,4669,2411,2258,2149,1414,735,148,73,75,2372,924,1448,0,0,0,46.026986506746624,58.64786395686438,32.55093002657219,233,2,479,82,3,0,1,9,743,44,19,3
PARSA,BAGAHI,945,6,0,3,0,0,0,10,103,849,1,1,0,0,1,9,7,144,4,800,0,9,126,831,218,378,40,1,0,0,576,11,83,791,3,3,7,964,6570,3392,3178,6.8153526970954355,106.73379483952172,818,127,0,9,0,10,9,144,33,766,2,0,10,918,0,0,46,1534,1507,808,634,684,847,42,26,6538,3374,3164,13,10,3,4,2,2,0,0,0,1,1,0,7,3,4,2,0,2,1,0,1,4,2,2,6,4,2,1539,877,662,546,372,174,266,211,55,138,105,33,96,69,27,23,21,2,1,1,0,1,1,0,1,0,1,4,3,1,5647,2906,2741,2597,1651,946,110,62,48,2940,1193,1747,0,0,0,45.989020718965826,56.81348933241569,34.51295147756293,108,10,714,92,30,0,0,10,834,30,90,10
PARSA,BAGBANA,1194,53,3,0,9,0,1,6,51,797,2,3,1,0,407,5,1,76,55,1128,0,6,111,1113,579,643,43,5,1,9,761,6,91,856,17,10,42,1266,6964,3481,3483,5.500789889415482,99.94257823715188,1025,231,1,2,1,6,4,149,104,861,5,137,6,1232,17,9,8,1452,1575,938,898,487,651,27,26,6861,3417,3444,24,16,8,32,15,17,23,14,9,2,1,1,9,9,0,8,4,4,0,0,0,5,5,0,42,25,17,1869,1080,789,796,478,318,375,219,156,231,144,87,188,102,86,58,41,17,12,8,4,4,4,0,69,30,39,40,30,10,6340,3153,3187,3602,2126,1476,138,60,78,2587,960,1627,13,7,6,56.81388012618297,67.4278464954012,46.31314716033887,152,48,971,64,4,0,21,6,1063,100,97,6
PARSA,BAGESHWARI TITRONA,967,7,0,22,0,0,0,1,151,842,2,0,0,0,1,1,5,107,4,880,0,1,91,874,177,281,2,6,1,2,578,42,141,813,3,1,32,997,6668,3467,3201,6.688064192577733,108.30990315526398,818,171,1,6,0,1,7,108,17,863,0,1,1,995,2,0,0,1462,1408,728,563,722,830,12,15,6623,3442,3181,11,6,5,15,9,6,5,2,3,2,2,0,8,4,4,2,1,1,0,0,0,2,1,1,80,52,28,1375,813,562,448,308,140,199,155,44,135,93,42,86,70,16,29,25,4,1,1,0,4,1,3,47,40,7,12,4,8,5699,2975,2724,2348,1521,827,241,146,95,3110,1308,1802,0,0,0,41.20021056325671,51.12605042016807,30.359765051395005,236,4,671,47,35,0,0,4,949,21,26,1
PARSA,BAHAURI PIDARI,839,2,2,2,0,1,0,12,19,826,1,0,0,0,0,12,3,174,2,661,0,18,26,814,376,450,6,5,1,5,539,18,158,768,3,1,18,858,5919,3142,2777,6.898601398601398,113.14368023046453,817,26,0,3,0,12,6,175,10,648,1,0,18,857,0,1,0,1406,1283,728,521,618,704,60,58,5845,3091,2754,16,9,7,33,22,11,9,9,0,0,0,0,8,6,2,4,3,1,1,0,1,3,2,1,50,31,19,1003,614,389,635,436,199,386,300,86,108,92,16,121,96,25,47,39,8,0,0,0,1,1,0,1,1,0,16,7,9,5273,2805,2468,2280,1564,716,213,106,107,2714,1110,1604,66,25,41,43.23914280295847,55.757575757575765,29.01134521880065,137,6,562,129,2,0,0,22,752,54,40,12
PARSA,BAHUARBAMATHA,953,10,2,35,0,0,0,12,8,932,3,0,0,2,56,11,7,287,2,677,21,18,22,961,181,413,17,10,0,6,501,10,143,918,0,3,29,1012,6984,3634,3350,6.901185770750988,108.4776119402985,889,105,0,6,0,12,8,288,1,681,7,9,18,1009,2,0,1,1539,1412,879,705,606,679,54,28,6951,3609,3342,11,10,1,9,6,3,5,3,2,0,0,0,2,2,0,3,2,1,1,1,0,2,1,1,61,30,31,1667,960,707,822,551,271,382,305,77,254,204,50,215,188,27,51,47,4,11,11,0,5,3,2,3,1,2,6,5,1,6128,3213,2915,3335,2242,1093,163,77,86,2627,893,1734,3,1,2,54.42232375979113,69.7790227201992,37.495711835334475,209,6,550,227,0,0,1,19,757,92,151,12
PARSA,BASADILWA,839,2,0,50,0,0,0,12,3,887,0,1,0,0,0,12,1,95,7,793,0,7,48,828,144,264,38,4,0,5,508,6,108,791,41,2,27,903,6410,3291,3119,7.098560354374308,105.51458800897724,809,77,0,4,0,13,4,103,5,783,1,0,7,895,2,0,6,1543,1424,803,703,726,705,14,16,6365,3259,3106,21,14,7,10,10,0,1,1,0,1,1,0,7,2,5,3,2,1,1,1,0,1,1,0,315,169,146,1381,828,553,355,271,84,206,157,49,54,41,13,26,22,4,3,2,1,1,1,0,1,1,0,0,0,0,1,0,1,5424,2790,2634,2223,1428,795,112,57,55,3089,1305,1784,0,0,0,40.98451327433628,51.182795698924735,30.182232346241456,108,7,694,70,2,0,14,8,837,16,40,10
PARSA,BASANTPUR,879,6,1,255,1,0,0,15,160,970,8,0,0,5,0,14,66,236,3,838,0,14,69,1057,257,319,11,4,5,3,631,11,136,999,23,3,31,1157,7933,4094,3839,6.856525496974935,106.6423547798906,822,316,0,4,0,15,64,224,24,827,4,0,14,1154,1,1,1,1859,1672,917,676,849,881,93,115,7851,4050,3801,52,21,31,14,10,4,6,5,1,1,1,0,4,3,1,1,1,0,0,0,0,4,3,1,64,38,26,1548,925,623,696,520,176,393,335,58,73,62,11,71,57,14,22,21,1,1,1,0,2,2,0,22,10,12,21,15,6,6966,3637,3329,2818,1939,879,233,126,107,3901,1568,2333,14,4,10,40.453631926500144,53.31317019521584,26.404325623310303,495,4,498,138,4,0,0,18,1031,78,33,15
