DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
PYUTHAN,ARKHA,891,0,0,0,1,0,0,8,836,0,0,48,8,1,0,7,885,2,0,4,0,9,287,602,564,8,0,2,0,2,274,0,0,1,0,0,11,900,5651,2581,3070,6.278888888888889,84.07166123778501,118,51,1,113,609,8,878,6,5,2,0,0,9,896,2,1,1,1268,1484,913,781,353,698,2,5,5638,2574,3064,1,1,0,1,0,1,5,3,2,0,0,0,0,0,0,4,1,3,0,0,0,2,2,0,322,186,136,1582,912,670,300,193,107,96,74,22,50,39,11,13,10,3,6,5,1,2,2,0,4,4,0,298,97,201,0,0,0,4823,2179,2644,2520,1435,1085,40,20,20,2263,724,1539,0,0,0,52.249637155297535,65.8558972005507,41.036308623298034,503,17,370,0,0,0,0,10,102,257,533,8
PYUTHAN,BADIKOT,1110,12,6,5,2,0,0,5,1060,0,1,15,55,3,1,5,1128,4,2,0,0,6,229,863,763,100,24,4,0,2,497,0,3,1,0,3,48,1140,5362,2288,3074,4.703508771929824,74.43070917371503,541,425,6,163,0,5,1118,12,4,0,0,0,6,1131,8,1,0,1092,1392,942,1024,146,361,4,7,5277,2240,3037,42,29,13,7,4,3,9,4,5,1,1,0,7,2,5,11,3,8,7,5,2,1,0,1,173,98,75,1668,813,855,714,339,375,264,119,145,208,98,110,73,36,37,18,12,6,2,2,0,6,3,3,164,80,84,13,4,9,4648,1930,2718,3220,1556,1664,47,23,24,1381,351,1030,0,0,0,69.27710843373494,80.62176165803109,61.2214863870493,299,97,734,5,0,0,0,5,435,552,148,5
PYUTHAN,BANGESAL,1242,0,48,0,24,1,2,3,485,155,25,369,95,188,0,3,785,38,38,453,3,3,153,1113,946,132,138,19,11,22,906,5,33,74,2,35,54,1320,6607,2959,3648,5.00530303030303,81.11293859649122,607,138,2,41,529,3,678,206,424,7,1,0,4,1239,58,2,21,1363,1677,1101,1088,260,570,2,19,6427,2869,3558,75,45,30,19,7,12,35,16,19,1,1,0,17,9,8,19,7,12,2,0,2,12,5,7,328,180,148,2122,1087,1035,756,373,383,229,129,100,216,121,95,132,73,59,23,19,4,5,5,0,6,2,4,367,78,289,0,0,0,5770,2515,3255,3990,1956,2034,53,24,29,1727,535,1192,0,0,0,69.15077989601387,77.77335984095427,62.48847926267281,716,257,278,58,7,0,0,4,320,301,696,3
PYUTHAN,BARAULA,876,0,2,0,5,0,0,0,514,0,4,60,282,23,0,0,849,32,0,2,0,0,207,674,518,119,109,7,1,8,525,0,2,1,0,1,2,883,4205,1767,2438,4.762174405436014,72.47744052502051,548,113,4,16,202,0,849,32,1,1,0,0,0,862,16,3,2,811,1114,675,787,127,292,9,35,4103,1711,2392,34,23,11,26,11,15,23,13,10,0,0,0,8,6,2,9,2,7,0,0,0,2,1,1,151,59,92,1481,705,776,455,215,240,161,86,75,147,65,82,51,29,22,20,16,4,6,6,0,2,1,1,194,79,115,15,6,9,3661,1527,2134,2618,1240,1378,27,10,17,1016,277,739,0,0,0,71.51051625239006,81.20497707924034,64.57357075913777,574,222,81,4,1,0,0,1,124,301,458,0
PYUTHAN,BARJIWANG,595,0,0,0,1,0,0,0,577,0,7,4,6,2,0,0,581,0,1,12,0,2,95,497,408,83,106,5,9,3,402,1,4,2,0,3,4,596,2423,978,1445,4.065436241610739,67.68166089965398,525,46,0,0,25,0,575,2,2,15,0,0,2,586,3,0,7,486,627,428,405,51,184,7,38,2383,956,1427,14,6,8,3,0,3,12,9,3,0,0,0,5,3,2,1,0,1,3,2,1,2,2,0,124,68,56,777,357,420,277,127,150,79,39,40,69,41,28,31,23,8,8,7,1,3,3,0,7,3,4,71,26,45,5,2,3,2107,821,1286,1400,673,727,21,7,14,686,141,545,0,0,0,66.44518272425249,81.97320341047502,56.53188180404355,156,286,148,2,0,0,2,2,409,103,84,0
PYUTHAN,BELWAS,1279,5,12,2,13,0,0,7,1091,50,0,77,50,35,11,4,1250,20,7,1,30,10,232,1085,878,156,127,6,2,8,928,0,7,16,0,4,1,1318,5748,2323,3425,4.361153262518968,67.82481751824817,821,282,3,96,109,7,1187,81,3,7,2,26,12,1307,8,2,1,1130,1582,884,1026,202,443,44,113,5681,2291,3390,15,7,8,10,4,6,10,6,4,0,0,0,9,4,5,4,2,2,4,2,2,15,7,8,196,107,89,1881,859,1022,601,254,347,192,103,89,150,86,64,55,36,19,23,18,5,8,8,0,3,1,2,242,64,178,35,14,21,4969,1928,3041,3281,1495,1786,120,60,60,1564,372,1192,4,1,3,66.02938216945059,77.54149377593362,58.73068069713911,677,467,155,9,0,0,0,10,883,319,109,7
PYUTHAN,BHINGRI,1167,2,101,0,10,2,12,7,998,1,10,16,234,29,10,3,1157,23,92,22,1,6,115,1130,819,241,252,36,24,8,1013,20,47,51,1,36,56,1301,5389,2240,3149,4.142198308993082,71.13369323594792,1088,66,1,15,124,7,999,269,1,25,0,1,6,1182,97,7,15,1070,1362,881,946,176,385,13,31,5244,2166,3078,58,33,25,15,4,11,17,10,7,0,0,0,19,7,12,8,4,4,3,1,2,25,15,10,185,102,83,1707,811,896,678,292,386,235,112,123,191,97,94,142,78,64,43,34,9,15,12,3,1,0,1,353,118,235,7,5,2,4715,1902,2813,3486,1620,1866,66,35,31,1157,245,912,6,2,4,73.93425238600211,85.17350157728707,66.3348738002133,577,580,42,96,0,0,0,6,534,501,259,7
PYUTHAN,BIJAYA NAGAR,847,3,60,0,26,0,0,1,823,8,1,11,76,17,0,1,868,17,44,7,0,1,99,790,676,80,171,21,6,9,647,4,16,15,1,8,48,937,3993,1706,2287,4.2614727854855925,74.59554000874508,712,220,1,0,4,0,859,70,1,6,0,0,1,891,39,3,4,778,965,666,646,103,305,9,14,3882,1657,2225,67,26,41,4,2,2,15,6,9,1,1,0,7,3,4,7,3,4,8,6,2,2,2,0,190,101,89,1170,580,590,463,221,242,208,104,104,243,120,123,97,54,43,21,18,3,6,5,1,3,1,2,274,77,197,3,1,2,3514,1448,2066,2625,1257,1368,74,30,44,814,161,653,1,0,1,74.7011952191235,86.80939226519338,66.21490803484996,236,333,311,54,0,0,0,3,490,344,102,1
PYUTHAN,BIJUBAR,1206,16,487,1,115,7,7,12,1414,86,12,30,207,83,7,12,1342,153,326,16,0,14,244,1536,1096,134,675,122,46,158,1381,16,146,111,6,68,71,1851,7351,3376,3975,3.971366828741221,84.93081761006289,1574,249,5,2,9,12,1349,468,2,17,1,0,14,1433,344,45,29,1397,1521,1126,1099,245,388,26,34,7178,3276,3902,72,47,25,16,7,9,25,15,10,5,2,3,28,17,11,11,7,4,6,2,4,10,3,7,268,146,122,2105,999,1106,881,444,437,511,284,227,683,361,322,431,226,205,152,113,39,42,35,7,4,2,2,115,25,90,13,6,7,6596,2982,3614,5076,2570,2506,126,75,51,1394,337,1057,0,0,0,76.95573074590662,86.18376928236083,69.34144991698949,299,660,451,422,3,0,1,15,367,1173,299,12
PYUTHAN,BIJULI,908,0,2,0,13,0,0,0,644,4,24,115,118,17,1,0,909,0,3,11,0,0,138,777,637,100,99,5,1,4,700,1,13,6,0,2,8,923,3975,1675,2300,4.306608884073673,72.82608695652173,780,107,0,0,36,0,904,14,1,4,0,0,0,901,4,1,17,768,1020,700,757,67,252,1,11,3816,1596,2220,45,26,19,27,18,9,32,11,21,0,0,0,14,5,9,13,6,7,2,1,1,26,12,14,199,112,87,1226,566,660,552,221,331,223,116,107,221,93,128,45,29,16,8,7,1,2,2,0,3,3,0,197,85,112,1,1,0,3509,1419,2090,2488,1133,1355,30,16,14,991,270,721,0,0,0,70.90339127956683,79.84496124031007,64.83253588516746,384,284,252,3,0,0,0,0,398,333,192,0
