DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
RAMECHHAP,BAMTI BHANDAR,720,0,11,0,0,0,0,8,722,1,0,0,2,5,1,8,710,13,0,6,0,10,39,665,633,213,13,19,2,22,408,1,29,2,0,0,35,739,3144,1453,1691,4.2543978349120435,85.92548787699586,593,129,9,0,0,8,703,14,8,2,1,0,11,624,77,3,35,583,677,448,514,115,140,20,23,3115,1438,1677,6,3,3,7,4,3,8,3,5,1,1,0,2,0,2,2,1,1,0,0,0,3,3,0,118,55,63,750,391,359,364,170,194,165,92,73,214,131,83,115,50,65,28,16,12,14,14,0,0,0,0,99,45,54,13,6,7,2897,1332,1565,1776,922,854,210,106,104,911,304,607,0,0,0,61.30479806696583,69.21921921921921,54.56869009584665,23,202,379,1,121,0,0,13,40,327,364,8
RAMECHHAP,BETALI,942,0,0,0,1,0,0,9,800,1,2,9,126,4,1,9,933,6,0,1,0,12,146,784,599,138,22,3,1,15,543,1,2,0,1,1,22,952,4483,2047,2436,4.709033613445378,84.0311986863711,925,13,2,1,2,9,922,13,1,1,0,3,12,930,8,0,14,915,1037,699,693,180,299,36,45,4432,2015,2417,26,16,10,8,5,3,2,1,1,0,0,0,11,7,4,2,1,1,0,0,0,2,2,0,69,36,33,1007,538,469,663,363,300,355,191,164,128,68,60,129,63,66,19,9,10,11,6,5,0,0,0,140,59,81,24,11,13,4097,1854,2243,2484,1313,1171,237,71,166,1369,467,902,7,3,4,60.629729070051255,70.81984897518878,52.20686580472581,40,111,783,0,1,1,1,15,257,412,277,6
RAMECHHAP,BETHAN,1087,0,0,0,0,0,0,3,1074,0,0,6,6,0,1,3,1083,2,0,1,0,4,170,907,815,140,5,15,1,34,556,0,5,1,1,0,13,1090,4634,2089,2545,4.251376146788991,82.08251473477407,1007,60,0,20,0,3,1076,9,0,0,0,0,5,1074,14,0,2,832,949,694,761,134,182,4,6,4546,2043,2503,22,14,8,12,3,9,19,9,10,0,0,0,12,9,3,4,1,3,3,1,2,16,9,7,75,44,31,1035,541,494,604,299,305,243,135,108,313,189,124,107,48,59,24,17,7,6,4,2,3,2,1,173,92,81,8,4,4,4367,1961,2406,2570,1365,1205,166,88,78,1630,507,1123,1,1,0,58.850469429814524,69.60734319224885,50.0831255195345,321,190,574,1,0,0,1,3,455,547,85,3
RAMECHHAP,GAGAL BHADAURE,503,3,1,5,0,0,0,62,479,1,5,26,0,1,0,62,512,1,0,0,0,61,199,375,322,6,0,0,0,1,290,0,0,0,0,0,0,574,2475,1129,1346,4.311846689895471,83.87815750371472,16,218,0,278,0,62,507,6,0,0,0,0,61,573,0,1,0,477,540,349,368,128,172,0,0,2454,1117,1337,3,2,1,5,1,4,6,4,2,0,0,0,4,3,1,3,2,1,0,0,0,0,0,0,15,6,9,527,282,245,320,173,147,200,98,102,85,48,37,79,27,52,6,5,1,7,7,0,0,0,0,25,15,10,0,0,0,2313,1038,1275,1240,650,590,103,56,47,970,332,638,0,0,0,53.61003026372676,62.6204238921002,46.27450980392157,216,228,69,1,0,0,0,60,181,314,17,62
RAMECHHAP,BHATAULI,791,1,7,1,1,1,0,18,279,0,12,344,1,168,0,16,797,0,0,7,0,16,167,601,456,99,12,3,0,4,466,0,5,0,0,4,52,820,3936,1832,2104,4.8,87.07224334600761,373,244,1,181,3,18,797,0,0,5,0,0,18,789,25,0,6,812,941,609,654,154,208,49,79,3859,1787,2072,28,18,10,8,5,3,12,6,6,0,0,0,16,8,8,0,0,0,2,1,1,11,7,4,48,29,19,1034,547,487,519,290,229,209,91,118,134,82,52,77,44,33,17,13,4,4,3,1,0,0,0,84,39,45,43,14,29,3617,1664,1953,2158,1147,1011,147,76,71,1311,440,871,1,1,0,59.66270389825823,68.93028846153845,51.76651305683564,311,213,277,0,0,0,3,16,431,223,148,18
RAMECHHAP,BHIRPANI,734,5,14,0,7,0,0,4,493,0,64,63,24,116,0,4,752,5,0,1,1,5,217,547,455,69,11,1,0,32,379,2,8,0,1,1,0,764,3253,1392,1861,4.257853403141361,74.79849543256314,1,249,1,460,49,4,728,29,0,2,0,0,5,742,13,4,5,549,728,461,552,75,157,13,19,3157,1344,1813,31,14,17,16,8,8,9,6,3,0,0,0,14,7,7,3,2,1,4,3,1,19,8,11,55,26,29,807,421,386,388,200,188,202,85,117,171,76,95,69,28,41,10,5,5,4,4,0,0,0,0,213,113,100,2,0,2,2994,1264,1730,1908,948,960,78,38,40,1007,277,730,1,1,0,63.727454909819635,75,55.49132947976878,513,90,155,0,0,0,0,6,308,279,173,4
RAMECHHAP,BHUJEE,535,1,0,0,0,0,1,1,498,0,0,11,8,20,0,1,533,2,0,1,0,2,173,365,343,25,6,0,0,19,181,0,0,0,0,0,0,538,2402,1134,1268,4.4646840148698885,89.43217665615141,208,99,3,165,62,1,527,3,5,1,0,0,2,522,9,2,5,528,577,393,417,129,155,6,5,2371,1115,1256,7,6,1,1,1,0,9,5,4,0,0,0,8,5,3,1,1,0,2,0,2,3,1,2,91,44,47,706,383,323,264,136,128,99,62,37,71,38,33,24,15,9,5,4,1,0,0,0,2,0,2,199,83,116,7,3,4,2175,1018,1157,1459,761,698,15,9,6,701,248,453,0,0,0,67.08045977011494,74.75442043222003,60.328435609334484,41,11,479,2,0,0,2,3,166,344,27,1
RAMECHHAP,BIJULIKOT,1044,15,1,4,2,0,6,15,815,0,40,192,25,1,1,13,1063,2,2,5,0,15,321,742,709,12,2,1,0,56,283,0,6,0,1,2,24,1087,5058,2290,2768,4.653173873045078,82.73121387283237,3,647,6,406,11,14,1046,21,2,1,0,2,15,1061,22,1,3,966,1224,722,830,223,352,21,42,4989,2251,2738,26,13,13,11,4,7,12,8,4,1,0,1,7,7,0,0,0,0,1,1,0,11,6,5,17,9,8,1273,661,612,610,296,314,234,106,128,173,101,72,100,48,52,34,26,8,8,8,0,1,1,0,112,55,57,10,7,3,4600,2055,2545,2539,1303,1236,326,148,178,1686,590,1096,49,14,35,55.19565217391305,63.40632603406326,48.56581532416503,219,58,787,3,0,1,1,18,271,433,368,15
RAMECHHAP,CHANAKHU,468,5,0,0,0,0,0,3,383,0,28,31,1,30,0,3,471,0,0,0,0,5,92,372,342,5,1,2,0,1,232,0,0,0,0,0,12,476,2366,1036,1330,4.970588235294118,77.89473684210526,273,133,0,67,0,3,468,2,0,0,0,0,6,473,0,0,3,457,600,348,451,99,134,10,15,2325,1018,1307,20,8,12,7,3,4,3,1,2,2,1,1,4,2,2,0,0,0,1,0,1,4,3,1,6,4,2,565,300,265,383,181,202,142,58,84,85,53,32,28,11,17,10,6,4,4,3,1,2,0,2,68,45,23,5,4,1,2193,957,1236,1294,663,631,72,40,32,825,253,572,2,1,1,59.00592795257638,69.27899686520375,51.05177993527508,217,173,80,0,0,0,0,6,180,145,148,3
RAMECHHAP,CHISAPANI,661,1,3,1,10,0,0,10,188,0,257,93,71,67,0,10,672,1,0,1,1,11,102,570,451,206,14,7,1,12,487,0,1,3,4,9,14,686,3187,1412,1775,4.645772594752186,79.54929577464789,613,57,0,5,1,10,665,5,3,1,0,1,11,676,4,1,5,588,693,508,488,73,195,7,10,3038,1333,1705,40,23,17,40,16,24,30,15,15,4,1,3,4,2,2,8,5,3,1,0,1,22,17,5,61,28,33,677,361,316,441,231,210,202,108,94,248,125,123,76,44,32,25,20,5,3,3,0,1,1,0,275,122,153,1,1,0,2913,1288,1625,1972,1029,943,271,87,184,669,172,497,1,0,1,67.69653278407141,79.8913043478261,58.03076923076923,190,201,282,1,0,0,2,10,157,410,109,10
