DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
RASUWA,BHORLE,1161,2,12,0,0,1,0,8,985,0,1,1,177,8,4,8,1156,9,6,1,0,12,148,1013,779,197,88,18,3,22,754,1,5,1,0,3,23,1184,5570,2683,2887,4.704391891891892,92.93384135781088,1043,125,0,0,8,8,1152,17,2,0,0,0,13,1160,22,0,2,1121,1278,883,913,221,342,17,23,5503,2648,2855,25,13,12,5,4,1,17,8,9,2,2,0,4,1,3,6,4,2,1,0,1,7,3,4,55,21,34,1286,670,616,594,293,301,289,149,140,205,135,70,104,52,52,28,24,4,5,4,1,3,1,2,77,45,32,9,5,4,5060,2410,2650,2599,1373,1226,135,59,76,2319,977,1342,7,1,6,51.36363636363637,56.97095435684647,46.264150943396224,23,986,142,6,0,0,13,14,252,553,371,8
RASUWA,BRIDHIM,161,0,0,0,0,0,0,0,125,0,0,2,31,3,0,0,145,9,0,7,0,0,74,87,53,27,0,1,2,19,76,0,0,0,0,0,0,161,422,212,210,2.62111801242236,100.95238095238095,93,3,0,54,11,0,140,13,1,7,0,0,0,128,7,5,21,26,33,8,17,18,16,0,0,391,194,197,3,3,0,0,0,0,6,5,1,1,1,0,18,7,11,0,0,0,3,2,1,0,0,0,40,27,13,46,20,26,12,10,2,4,2,2,10,8,2,7,4,3,3,2,1,0,0,0,3,3,0,2,1,1,1,1,0,384,192,192,120,74,46,13,8,5,251,110,141,0,0,0,31.25,38.54166666666667,23.958333333333336,2,99,1,0,47,0,12,0,88,62,11,0
RASUWA,CHILIME,322,0,13,0,0,5,0,0,209,0,0,0,123,8,0,0,315,1,5,18,0,1,106,226,138,26,17,5,2,13,183,0,3,1,0,3,8,340,1378,685,693,4.052941176470588,98.84559884559884,126,35,0,71,108,0,312,8,8,10,0,1,1,312,14,8,6,242,305,173,213,59,83,10,9,1325,663,662,7,6,1,20,10,10,18,5,13,0,0,0,4,0,4,1,0,1,2,1,1,1,0,1,20,10,10,307,153,154,129,64,65,48,30,18,33,17,16,15,10,5,2,2,0,0,0,0,2,1,1,5,2,3,3,2,1,1235,606,629,548,281,267,47,30,17,639,295,344,1,0,1,44.37246963562753,46.36963696369637,42.4483306836248,1,207,2,6,123,0,0,1,234,83,23,0
RASUWA,DANDAGOUN,462,2,7,0,4,2,1,1,407,0,0,12,55,3,1,1,446,22,3,3,2,3,136,334,242,107,10,9,3,16,237,1,1,0,0,3,9,479,2186,1033,1153,4.5636743215031315,89.59236773633998,244,98,0,61,75,1,441,28,2,1,1,1,5,443,24,6,6,459,533,351,378,102,145,6,10,2153,1015,1138,10,2,8,7,6,1,4,3,1,0,0,0,10,6,4,1,0,1,1,1,0,0,0,0,18,14,4,636,334,302,294,152,142,89,40,49,104,59,45,44,27,17,27,23,4,2,2,0,0,0,0,23,14,9,12,3,9,1996,940,1056,1230,656,574,32,20,12,734,264,470,0,0,0,61.62324649298597,69.7872340425532,54.35606060606061,8,410,1,3,51,0,3,3,299,151,28,1
RASUWA,DHUNCHE,429,9,256,0,0,6,8,6,704,0,1,1,1,1,0,6,407,213,66,15,2,11,54,654,375,391,325,73,41,122,559,14,40,4,0,22,6,714,2744,1475,1269,3.843137254901961,116.23325453112687,669,25,0,2,12,6,397,288,13,4,0,1,11,372,211,92,39,552,528,431,387,118,132,3,9,2715,1455,1260,14,11,3,4,2,2,5,4,1,1,1,0,2,1,1,1,0,1,0,0,0,2,1,1,56,28,28,647,365,282,354,214,140,144,77,67,237,159,78,144,94,50,57,43,14,41,36,5,1,1,0,3,2,1,13,8,5,2527,1361,1166,1675,1014,661,70,41,29,779,306,473,3,0,3,66.2841313810843,74.50404114621601,56.68953687821612,16,568,8,110,0,0,1,11,150,450,109,5
RASUWA,GATLANG,398,1,0,0,0,0,0,1,377,0,0,9,7,5,0,2,386,1,0,8,2,3,218,177,84,24,0,4,0,9,130,1,0,0,0,0,5,400,1805,888,917,4.5125,96.83751363140675,196,35,0,35,132,2,381,1,13,0,0,0,5,390,7,1,2,364,378,286,276,78,96,0,6,1734,852,882,20,12,8,16,6,10,8,1,7,2,1,1,6,3,3,4,2,2,2,2,0,13,9,4,47,21,26,430,235,195,176,92,84,90,48,42,38,29,9,40,36,4,4,3,1,0,0,0,0,0,0,32,20,12,3,1,2,1591,791,800,830,474,356,54,25,29,705,292,413,2,0,2,52.16844751728472,59.92414664981036,44.5,2,59,2,0,333,0,1,3,267,83,48,2
RASUWA,GOLJUNG,259,1,9,0,0,0,0,0,109,0,0,9,149,2,0,0,245,2,2,19,0,1,110,158,106,62,9,2,3,1,97,1,3,0,0,0,1,269,972,471,501,3.613382899628253,94.01197604790418,216,31,0,11,11,0,229,9,25,5,0,0,1,255,10,1,3,191,206,159,173,31,31,1,2,940,456,484,6,4,2,10,5,5,4,0,4,1,0,1,6,3,3,0,0,0,1,1,0,4,2,2,48,24,24,229,118,111,82,48,34,42,17,25,21,12,9,19,10,9,7,6,1,4,3,1,0,0,0,1,0,1,0,0,0,894,433,461,417,222,195,16,10,6,460,201,259,1,0,1,46.644295302013425,51.27020785219399,42.299349240780906,1,126,1,1,138,0,1,1,168,57,44,0
RASUWA,HAKU,442,0,0,0,1,0,0,0,299,0,2,11,115,11,5,0,436,2,0,3,0,2,192,250,125,4,0,1,0,6,200,0,0,0,0,0,1,443,2169,1049,1120,4.8961625282167045,93.66071428571429,4,72,0,253,114,0,432,2,6,0,0,0,3,430,10,2,1,425,516,339,370,86,146,0,0,2160,1044,1116,5,4,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,2,54,24,30,566,269,297,169,89,80,46,29,17,31,25,6,30,22,8,4,2,2,0,0,0,1,1,0,7,5,2,0,0,0,1942,933,1009,831,422,409,85,42,43,1025,469,556,1,0,1,42.790937178166836,45.230439442658096,40.53518334985134,16,355,0,0,69,0,1,2,320,24,99,0
RASUWA,DHAIBUNG,928,6,165,0,2,1,1,6,1085,0,2,7,6,0,0,9,910,86,83,16,1,13,105,987,710,453,295,42,9,96,779,1,21,7,0,22,17,1109,4928,2368,2560,4.443642921550947,92.5,1036,49,0,0,15,9,891,182,19,0,0,3,14,957,143,6,3,945,980,777,774,161,197,7,9,4808,2297,2511,54,32,22,20,11,9,21,11,10,3,1,2,5,3,2,7,6,1,3,3,0,7,4,3,22,11,11,1033,549,484,643,326,317,391,196,195,313,169,144,297,146,151,76,52,24,22,13,9,5,4,1,143,95,48,25,15,10,4588,2216,2372,2955,1568,1387,161,77,84,1466,570,896,6,1,5,64.40714908456843,70.7581227436823,58.473861720067454,4,909,45,132,3,0,2,14,117,803,180,9
RASUWA,LAHAREPOUWA,910,0,90,0,45,0,3,5,995,0,0,2,38,13,0,5,1013,24,10,0,0,6,137,910,619,439,370,37,8,58,764,3,20,2,1,25,6,1053,4522,2068,2454,4.294396961063628,84.27057864710676,1003,38,0,0,7,5,914,129,2,1,0,0,7,981,53,3,16,774,916,662,725,96,163,16,28,4359,1985,2374,70,39,31,10,4,6,32,15,17,1,1,0,18,9,9,16,7,9,2,0,2,14,8,6,111,57,54,1024,536,488,606,301,305,246,117,129,317,167,150,209,117,92,47,35,12,2,2,0,0,0,0,20,9,11,7,5,2,4189,1900,2289,2541,1323,1218,134,71,63,1510,506,1004,4,0,4,60.658868465027446,69.63157894736842,53.21100917431193,5,977,32,31,1,0,0,7,243,652,153,5
RASUWA,LANGTANG,128,0,24,0,0,0,0,0,151,0,0,0,1,0,0,0,148,3,0,0,1,0,68,83,68,29,4,0,0,13,10,0,0,0,0,0,1,152,415,192,223,2.7302631578947367,86.09865470852019,123,5,0,24,0,0,132,6,14,0,0,0,0,132,15,1,4,19,26,10,4,9,22,0,0,373,164,209,9,6,3,8,6,2,15,11,4,1,0,1,6,3,3,0,0,0,0,0,0,3,2,1,3,3,0,40,27,13,21,19,2,26,19,7,1,1,0,8,5,3,2,2,0,0,0,0,2,2,0,9,4,5,0,0,0,377,179,198,109,80,29,21,15,6,247,84,163,0,0,0,28.912466843501328,44.6927374301676,14.646464646464647,0,92,0,0,60,0,0,0,100,47,5,0
RASUWA,RAMCHE,473,5,8,0,0,0,0,3,439,0,3,10,2,32,0,3,472,9,3,1,0,4,75,413,331,25,0,1,0,2,276,0,0,0,0,2,1,489,2268,1092,1176,4.638036809815951,92.85714285714286,408,76,0,0,2,3,471,13,1,0,0,0,4,482,7,0,0,485,584,300,319,173,248,12,17,2244,1076,1168,8,6,2,8,5,3,1,0,1,0,0,0,6,5,1,0,0,0,0,0,0,1,0,1,91,46,45,492,238,254,118,63,55,17,9,8,18,13,5,10,10,0,3,2,1,0,0,0,1,1,0,3,3,0,4,4,0,2076,988,1088,697,360,337,97,40,57,1268,584,684,14,4,10,33.57418111753372,36.43724696356275,30.974264705882355,16,454,0,14,0,0,1,4,198,24,264,3
RASUWA,SARAMTHALI,794,19,3,0,0,2,1,2,707,0,1,19,92,0,0,2,816,1,0,0,0,4,172,636,494,115,13,12,3,20,415,0,0,4,0,0,13,821,3992,1855,2137,4.862362971985384,86.80393074403369,432,252,0,23,112,2,803,13,1,0,0,0,4,793,20,2,6,837,1010,593,626,236,374,8,10,3893,1788,2105,39,29,10,21,14,7,19,10,9,2,1,1,9,7,2,5,3,2,3,3,0,1,0,1,111,54,57,1149,602,547,315,171,144,98,54,44,76,41,35,42,30,12,20,13,7,1,1,0,6,5,1,18,16,2,12,6,6,3547,1629,1918,1744,945,799,110,47,63,1692,637,1055,1,0,1,49.16831124894277,58.011049723756905,41.65797705943691,6,272,539,0,0,0,0,4,512,201,106,2
RASUWA,SYAFRU,407,10,200,0,1,0,3,0,618,0,0,2,0,1,0,0,365,164,2,90,0,0,99,522,169,197,174,18,9,153,451,11,33,5,2,46,0,621,2271,1172,1099,3.657004830917874,106.64240218380345,575,34,0,7,5,0,314,221,75,9,0,2,0,470,121,28,2,407,433,333,347,73,81,1,5,2235,1154,1081,8,5,3,4,2,2,7,4,3,0,0,0,13,4,9,1,0,1,2,2,0,1,1,0,37,16,21,573,346,227,286,161,125,145,76,69,155,98,57,50,33,17,12,10,2,10,7,3,4,4,0,61,41,20,3,2,1,2088,1069,1019,1321,790,531,7,4,3,759,275,484,1,0,1,63.26628352490421,73.90084190832555,52.10991167811579,9,488,15,85,18,1,5,0,180,289,152,0
RASUWA,THULOGOUN,287,0,9,0,21,0,0,0,291,0,0,0,2,8,16,0,312,0,0,1,4,0,88,227,149,99,15,3,0,11,158,0,0,0,0,1,2,317,1356,636,720,4.277602523659306,88.33333333333333,277,31,0,0,9,0,312,0,1,0,0,4,0,305,3,1,8,266,287,215,224,48,59,3,4,1299,610,689,21,11,10,6,2,4,11,4,7,1,1,0,5,2,3,4,3,1,3,2,1,6,1,5,23,9,14,339,191,148,183,89,94,83,46,37,64,24,40,24,10,14,6,6,0,0,0,0,0,0,0,74,31,43,0,0,0,1242,582,660,764,388,376,53,27,26,425,167,258,0,0,0,61.51368760064412,66.66666666666666,56.96969696969697,5,278,1,0,30,0,3,0,96,84,137,0
