DISTRICT,VDC/MUNICIPALITY,WOOD,KEROSENE,LPG,GUITHA,BIOGAS,OTHERS,ELECTRICITY,NOT_STATED,TAP_PIPED,TUBEWELL,COVERED_WELL,UNCOVERED_WELL,SPOUT_WATER,RIVER_STREAM,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,RCC_WITH_PILLAR,WOODEN_PILLAR,OTHERS,NOT_STATED,NO_FACILITY,AT_LEAST_ONE,RADIO,TELEVISION,CABLE_TELEVISION,COMPUTER,INTERNET,TELEPHONE,MOBILE_PHONE,MOTOR,MOTORCYCLE,CYCLE,OTHER_VEHICLE,REFRIGERATOR,NOT_STATED,HOUSEHOLD,TOTAL_POPULATION,MALE_POPULATION,FEMALE_POPULATION,AVERAGE_HOUSEHOLD_SIZE,SEX_RATIO,ELECTRICITY,KEROSENE,BIOGAS,SOLAR,OTHERS,NOT_STATED,MUD_BONDED,CEMENT_BONDED,WOOD_PLANKS,BAMBOO,UNBACKED_BRICK,OTHERS,NOT_STATED,OWNED,RENTED,INSTITUTIONAL,OTHERS,MALE_POPULATION_5_25,FEMALE_POPULATION_5_25,SCHOOL_GOING_MALE,SCHOOL_GOING_FEMALE,NOT_GOING_MALE,NOT_GOING_FEMALE,ATTENDENCE_NOT_STATED_MALE,ATTENDENCE_NOT_STATED_FEMALE,NO_DISABILITY_BOTH_SEX,NO_DISABILITY_MALE,NO_DISABILITY_FEMALE,PHYSICAL_BOTH_SEX,PHYSICAL_MALE,PHYSICAL_FEMALE,BLINDNESS_LOW_VISION_BOTH_SEX,BLINDNESS_LOW_VISION_MALE,BLINDNESS_LOW_VISION_FEMALE,DEAF_HEARING_BOTH_SEX,DEAF_HEARING_MALE,DEAF_HEARING_FEMALE,DEAF_BLIND_BOTH_SEX,DEAF_BLIND_MALE,DEAF_BLIND_FEMALE,SPEECH_PROBLEM_BOTH_SEX,SPEECH_PROBLEM_MALE,SPEECH_PROBLEM_FEMALE,MENTAL_DISABILITY_BOTH_SEX,MENTAL_DISABILITY_MALE,MENTAL_DISABILITY_FEMALE,INTELLECTUAL_DISABILITY_BOTH_SEX,INTELLECTUAL_DISABILITY_MALE,INTELLECTUAL_DISABILITY_FEMALE,MULTIPLE_DISABILITY_BOTH_SEX,MULTIPLE_DISABILITY_MALE,MULTIPLE_DISABILITY_FEMALE,BEGINNER_BOTH_SEX,BEGINNER_MALE,BEGINNER_FEMALE,PRIMARY_1_5_BOTH_SEX,PRIMARY_1_5_MALE,PRIMARY_1_5_FEMALE,LOWER_SECONDARY_6_8_BOTH_SEX,LOWER_SECONDARY_6_8_MALE,LOWER_SECONDARY_6_8_FEMALE,SECONDARY_9_10_BOTH_SEX,SECONDARY_9_10_MALE,SECONDARY_9_10_FEMALE,SLC_AND_EQUIVALENT_BOTH_SEX,SLC_AND_EQUIVALENT_MALE,SLC_AND_EQUIVALENT_FEMALE,INTERMEDIATE_BOTH_SEX,INTERMEDIATE_MALE,INTERMEDIATE_FEMALE,GRADUATE_BOTH_SEX,GRADUATE_MALE,GRADUATE_FEMALE,POST_GRADUATE_AND_ABOVE_BOTH_SEX,POST_GRADUATE_AND_ABOVE_MALE,POST_GRADUATE_AND_ABOVE_FEMALE,OTHERS_BOTH_SEX,OTHERS_MALE,OTHERS_FEMALE,NON_FORMAL_BOTH_SEX,NON_FORMAL_MALE,NON_FORMAL_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,POPULATION_5_AND_ABOVE_BOTH_SEX,POPULATION_5_AND_ABOVE_MALE,POPULATION_5_AND_ABOVE_FEMALE,CAN_READ_WRITE_BOTH_SEX,CAN_READ_WRITE_MALE,CAN_READ_WRITE_FEMALE,CAN_READ_ONLY_BOTH_SEX,CAN_READ_ONLY_MALE,CAN_READ_ONLY_FEMALE,CANT_READ_WRITE_BOTH_SEX,CANT_READ_WRITE_MALE,CANT_READ_WRITE_FEMALE,NOT_STATED_BOTH_SEX,NOT_STATED_MALE,NOT_STATED_FEMALE,LITERACY_RATE_BOTH_SEX,LITERACY_RATE_MALE,LITERACY_RATE_FEMALE,THATCH,GALV_IRON,TILE_SLATE,RCC,WOOD_PLANKS,MUD,OTHERS,NOT_STATED,NO_TOILET,FLUSH_TOILET,ORDINARY_TOILET,NOT_STATED
RAUTAHAT,AJAGABI,120,7,6,413,1,0,0,1,173,344,4,18,0,0,7,2,132,143,12,258,1,2,23,505,226,85,9,12,0,8,265,4,52,487,13,0,20,548,3785,1987,1798,6.906934306569343,110.51167964404894,386,150,0,10,0,2,108,148,12,276,2,0,2,547,0,0,1,924,792,543,380,266,336,115,76,3742,1961,1781,19,10,9,7,4,3,3,2,1,0,0,0,10,7,3,4,3,1,0,0,0,0,0,0,9,4,5,920,549,371,308,219,89,206,157,49,19,15,4,55,36,19,16,15,1,6,5,1,0,0,0,1,1,0,4,2,2,3291,1730,1561,1504,978,526,75,37,38,1712,715,997,0,0,0,45.70039501671225,56.53179190751445,33.696348494554776,85,7,348,96,10,0,0,2,485,56,5,2
RAUTAHAT,AKOLAWA,225,31,5,625,0,0,5,38,192,619,1,16,0,0,63,38,290,107,3,493,1,35,415,476,99,53,1,0,0,1,158,2,72,404,0,0,38,929,7186,3590,3596,7.735199138858988,99.83314794215795,192,681,3,13,2,38,139,126,74,550,4,1,35,927,1,0,1,1740,1710,399,340,1321,1352,20,18,7148,3564,3584,22,15,7,5,3,2,3,3,0,1,0,1,4,3,1,2,1,1,1,1,0,0,0,0,56,28,28,829,471,358,251,178,73,122,93,29,58,40,18,37,31,6,22,18,4,1,1,0,2,1,1,1,1,0,9,5,4,6156,3109,3047,1377,859,518,246,123,123,4533,2127,2406,0,0,0,22.36842105263158,27.629462849790933,17.000328191663932,132,18,645,94,2,0,1,37,814,56,21,38
RAUTAHAT,AURAIYA,960,16,20,609,0,0,25,18,296,1331,0,1,0,0,2,18,815,270,6,483,52,22,227,1361,687,385,99,17,5,14,1052,27,132,1159,21,6,60,1648,10832,5630,5202,6.572815533980583,108.22760476739714,692,935,1,2,0,18,662,293,9,626,6,29,23,1641,3,1,3,2455,2278,1362,1039,974,1042,119,197,10671,5520,5151,57,44,13,36,22,14,22,12,10,8,6,2,21,13,8,10,8,2,3,2,1,4,3,1,167,107,60,2226,1300,926,878,591,287,433,306,127,376,275,101,278,202,76,118,89,29,24,22,2,8,7,1,7,5,2,8,4,4,9539,4977,4562,4458,2864,1594,224,114,110,4855,1998,2857,2,1,1,46.73445853863088,57.544705645971476,34.94081543182815,119,2,1102,383,3,0,16,23,1316,180,134,18
RAUTAHAT,BADHARWA,206,4,4,500,8,0,65,15,6,775,0,3,0,0,3,15,60,103,15,608,0,16,179,614,327,163,11,1,0,6,485,3,30,514,0,2,9,802,4949,2616,2333,6.170822942643391,112.13030432918988,138,647,2,0,0,15,13,100,1,670,0,1,17,802,0,0,0,1131,1038,652,454,219,215,260,369,4861,2562,2299,37,22,15,16,9,7,8,6,2,0,0,0,19,12,7,3,2,1,3,1,2,2,2,0,54,30,24,1007,597,410,396,277,119,209,159,50,179,146,33,73,60,13,27,22,5,5,5,0,0,0,0,14,4,10,13,10,3,4262,2253,2009,1918,1281,637,135,67,68,2207,904,1303,2,1,1,45.002346316283436,56.857523302263644,31.70731707317073,245,3,515,20,0,0,2,17,648,20,121,13
RAUTAHAT,BAGAHI,606,3,3,314,0,0,41,6,64,870,0,4,0,0,29,6,106,287,20,535,20,5,142,828,295,177,6,9,0,6,548,4,71,644,20,0,3,973,5837,3003,2834,5.998972250770812,105.96330275229357,340,625,0,2,0,6,64,273,21,603,0,7,5,953,0,0,20,1290,1356,708,554,572,790,10,12,5740,2949,2791,42,28,14,17,7,10,5,0,5,0,0,0,21,12,9,8,4,4,1,0,1,3,3,0,14,12,2,1297,776,521,441,313,128,141,103,38,187,158,29,89,64,25,33,29,4,4,4,0,1,0,1,5,3,2,1,1,0,5089,2597,2492,2209,1461,748,101,69,32,2777,1066,1711,2,1,1,43.40734918451562,56.25721986907971,30.01605136436597,73,1,830,60,2,0,1,6,880,67,20,6
RAUTAHAT,BALUWA MADANPUR,163,1,2,203,1,0,2,3,1,369,0,1,0,0,1,3,8,48,0,315,1,3,81,279,140,77,5,0,0,0,135,1,37,250,3,0,15,375,2414,1246,1168,6.437333333333333,106.67808219178083,326,42,0,4,0,3,16,38,0,316,0,1,4,374,0,1,0,530,515,281,205,142,130,107,180,2405,1241,1164,7,4,3,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,423,249,174,206,143,63,97,75,22,96,77,19,88,65,23,9,8,1,0,0,0,0,0,0,5,2,3,11,6,5,2128,1112,1016,935,625,310,67,29,38,1126,458,668,0,0,0,43.93796992481203,56.20503597122302,30.511811023622048,14,2,338,10,3,0,2,6,159,48,165,3
RAUTAHAT,BAIRIYA,65,11,0,479,0,0,66,3,0,620,1,0,0,0,0,3,255,72,2,294,0,1,134,490,55,40,7,3,0,2,398,4,65,346,2,0,0,624,5098,2560,2538,8.169871794871796,100.86682427107958,226,393,1,0,1,3,177,81,5,358,1,0,2,616,1,0,7,1203,1254,300,271,896,971,7,12,5067,2544,2523,15,8,7,9,4,5,3,1,2,0,0,0,3,2,1,0,0,0,0,0,0,1,1,0,44,29,15,430,229,201,137,100,37,90,60,30,82,49,33,50,39,11,48,46,2,3,3,0,256,133,123,11,9,2,7,1,6,4382,2218,2164,1104,669,435,178,96,82,3095,1448,1647,5,5,0,25.19397535371976,30.162308385933272,20.10166358595194,73,2,412,107,28,0,1,1,566,23,32,3
RAUTAHAT,BANJARAHA,401,6,1,0,0,0,0,2,98,310,0,0,0,0,0,2,57,129,7,204,7,6,160,249,94,51,0,3,1,0,147,0,22,210,1,1,1,410,2998,1550,1448,7.31219512195122,107.04419889502763,190,214,1,2,1,2,86,108,8,185,2,7,14,409,1,0,0,729,665,317,229,406,432,6,4,2982,1541,1441,6,5,1,2,2,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,4,1,3,27,14,13,512,320,192,239,141,98,93,68,25,141,103,38,81,60,21,23,17,6,1,1,0,2,1,1,12,4,8,4,2,2,2650,1382,1268,1073,697,376,105,54,51,1470,630,840,2,1,1,40.490566037735846,50.43415340086831,29.652996845425868,75,3,248,76,2,0,0,6,319,56,33,2
RAUTAHAT,BARIYARPUR,425,39,6,683,4,0,7,26,34,1067,2,1,1,0,60,25,114,206,11,828,3,28,295,874,493,281,4,9,6,8,366,33,89,752,0,1,21,1190,8305,4247,4058,6.9789915966386555,104.65746673238047,859,286,14,5,0,26,80,186,43,845,7,0,29,1184,5,0,1,1907,1891,903,802,742,762,262,327,8295,4240,4055,4,3,1,3,2,1,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,19,10,9,1403,773,630,576,341,235,262,177,85,249,196,53,134,104,30,27,23,4,4,4,0,2,1,1,3,1,2,32,17,15,7186,3697,3489,2703,1644,1059,249,108,141,4230,1944,2286,4,1,3,37.6148065683273,44.46848796321341,30.352536543422183,153,14,881,107,7,0,0,28,898,53,213,26
RAUTAHAT,BASANTAPATTI,164,40,8,848,3,0,27,6,1,1025,4,9,0,0,51,6,221,174,8,684,0,9,163,928,589,248,3,5,2,7,556,8,107,882,4,5,5,1096,7733,4027,3706,7.055656934306569,108.6616297895305,273,815,1,1,0,6,152,197,48,687,0,0,12,1093,0,0,3,1813,1678,713,528,992,1060,108,90,7686,4003,3683,17,14,3,13,5,8,0,0,0,2,2,0,4,0,4,3,0,3,0,0,0,8,3,5,13,11,2,1241,700,541,468,306,162,178,129,49,226,177,49,183,140,43,37,31,6,8,8,0,9,2,7,4,2,2,34,20,14,6727,3519,3208,2359,1507,852,203,92,111,4155,1912,2243,10,8,2,35.06763787721124,42.82466609832339,26.55860349127182,145,4,778,140,20,0,0,9,875,101,114,6
